anaphor_agreement_gender_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.86500, Average Perplexity (Good Sentences): -869.48822, Average Perplexity (Bad Sentences): -1459.56458
0: good sentence 0, PPL: -547.22186
1: bad sentence 0, PPL: -1256.72253
2: good sentence 1, PPL: -730.57996
3: bad sentence 1, PPL: -1653.77563
4: good sentence 2, PPL: -936.68201
5: bad sentence 2, PPL: -305.98761
6: good sentence 3, PPL: -175.39195
7: bad sentence 3, PPL: -253.36137
8: good sentence 4, PPL: -2254.22705
9: bad sentence 4, PPL: -2585.54541
10: good sentence 5, PPL: -771.47406
11: bad sentence 5, PPL: -1407.22559
12: good sentence 6, PPL: -1013.34735
13: bad sentence 6, PPL: -1805.68335
14: good sentence 7, PPL: -996.18555
15: bad sentence 7, PPL: -612.31348
16: good sentence 8, PPL: -1003.56458
17: bad sentence 8, PPL: -2272.60400
18: good sentence 9, PPL: -1508.52808
19: bad sentence 9, PPL: -2387.44116
20: good sentence 10, PPL: -269.09827
21: bad sentence 10, PPL: -895.28070
22: good sentence 11, PPL: -1757.42896
23: bad sentence 11, PPL: -670.51282
24: good sentence 12, PPL: -1745.23816
25: bad sentence 12, PPL: -3947.87402
26: good sentence 13, PPL: -161.83757
27: bad sentence 13, PPL: -213.46368
28: good sentence 14, PPL: -1656.05212
29: bad sentence 14, PPL: -2005.39185
30: good sentence 15, PPL: -997.45605
31: bad sentence 15, PPL: -2255.49683
32: good sentence 16, PPL: -2872.88721
33: bad sentence 16, PPL: -5275.98145
34: good sentence 17, PPL: -1876.35339
35: bad sentence 17, PPL: -2474.45752
36: good sentence 18, PPL: -609.58234
37: bad sentence 18, PPL: -1824.24011
38: good sentence 19, PPL: -569.00885
39: bad sentence 19, PPL: -1056.91748
40: good sentence 20, PPL: -441.96826
41: bad sentence 20, PPL: -1300.65942
42: good sentence 21, PPL: -859.93018
43: bad sentence 21, PPL: -1312.45300
44: good sentence 22, PPL: -656.26184
45: bad sentence 22, PPL: -2530.81714
46: good sentence 23, PPL: -1772.49512
47: bad sentence 23, PPL: -1963.12720
48: good sentence 24, PPL: -6348.06982
49: bad sentence 24, PPL: -4991.66064
50: good sentence 25, PPL: -952.46613
51: bad sentence 25, PPL: -3039.31738
52: good sentence 26, PPL: -800.21979
53: bad sentence 26, PPL: -1403.99426
54: good sentence 27, PPL: -1442.32214
55: bad sentence 27, PPL: -3035.15771
56: good sentence 28, PPL: -393.74902
57: bad sentence 28, PPL: -1131.46130
58: good sentence 29, PPL: -2189.66431
59: bad sentence 29, PPL: -3912.22314
60: good sentence 30, PPL: -1413.27625
61: bad sentence 30, PPL: -8545.59473
62: good sentence 31, PPL: -709.65216
63: bad sentence 31, PPL: -1899.34595
64: good sentence 32, PPL: -5604.45508
65: bad sentence 32, PPL: -8467.97168
66: good sentence 33, PPL: -823.48102
67: bad sentence 33, PPL: -2219.18970
68: good sentence 34, PPL: -295.31320
69: bad sentence 34, PPL: -678.74048
70: good sentence 35, PPL: -1195.04761
71: bad sentence 35, PPL: -1565.46912
72: good sentence 36, PPL: -2169.36426
73: bad sentence 36, PPL: -1121.91016
74: good sentence 37, PPL: -5680.10400
75: bad sentence 37, PPL: -3241.46387
76: good sentence 38, PPL: -488.54077
77: bad sentence 38, PPL: -1438.26660
78: good sentence 39, PPL: -313.19373
79: bad sentence 39, PPL: -594.28821
80: good sentence 40, PPL: -800.07330
81: bad sentence 40, PPL: -1549.78638
82: good sentence 41, PPL: -2052.95044
83: bad sentence 41, PPL: -923.02228
84: good sentence 42, PPL: -983.44879
85: bad sentence 42, PPL: -2285.90894
86: good sentence 43, PPL: -2807.60547
87: bad sentence 43, PPL: -5314.16748
88: good sentence 44, PPL: -2239.19971
89: bad sentence 44, PPL: -2417.93115
90: good sentence 45, PPL: -1806.20435
91: bad sentence 45, PPL: -5791.09570
92: good sentence 46, PPL: -519.71252
93: bad sentence 46, PPL: -1527.10791
94: good sentence 47, PPL: -1148.47168
95: bad sentence 47, PPL: -1718.80859
96: good sentence 48, PPL: -644.65527
97: bad sentence 48, PPL: -1275.82178
98: good sentence 49, PPL: -946.93549
99: bad sentence 49, PPL: -1363.93298
100: good sentence 50, PPL: -361.54672
101: bad sentence 50, PPL: -818.93250
102: good sentence 51, PPL: -122.90526
103: bad sentence 51, PPL: -144.06010
104: good sentence 52, PPL: -297.53796
105: bad sentence 52, PPL: -415.54865
106: good sentence 53, PPL: -412.76688
107: bad sentence 53, PPL: -1335.42810
108: good sentence 54, PPL: -478.86108
109: bad sentence 54, PPL: -1219.47754
110: good sentence 55, PPL: -817.65106
111: bad sentence 55, PPL: -1441.60303
112: good sentence 56, PPL: -1614.41028
113: bad sentence 56, PPL: -4437.47803
114: good sentence 57, PPL: -392.03485
115: bad sentence 57, PPL: -1166.21155
116: good sentence 58, PPL: -870.75739
117: bad sentence 58, PPL: -2131.17090
118: good sentence 59, PPL: -5326.90869
119: bad sentence 59, PPL: -11250.61914
120: good sentence 60, PPL: -464.47260
121: bad sentence 60, PPL: -942.27985
122: good sentence 61, PPL: -180.42160
123: bad sentence 61, PPL: -430.31686
124: good sentence 62, PPL: -795.49432
125: bad sentence 62, PPL: -1178.74719
126: good sentence 63, PPL: -8478.29980
127: bad sentence 63, PPL: -1658.46960
128: good sentence 64, PPL: -5786.92773
129: bad sentence 64, PPL: -7822.78613
130: good sentence 65, PPL: -964.54498
131: bad sentence 65, PPL: -3717.88794
132: good sentence 66, PPL: -2738.32056
133: bad sentence 66, PPL: -5770.58154
134: good sentence 67, PPL: -838.18018
135: bad sentence 67, PPL: -1709.07312
136: good sentence 68, PPL: -934.43585
137: bad sentence 68, PPL: -1358.34534
138: good sentence 69, PPL: -1137.39917
139: bad sentence 69, PPL: -2517.50293
140: good sentence 70, PPL: -679.91211
141: bad sentence 70, PPL: -2000.00781
142: good sentence 71, PPL: -460.78091
143: bad sentence 71, PPL: -960.33429
144: good sentence 72, PPL: -375.67621
145: bad sentence 72, PPL: -1360.22510
146: good sentence 73, PPL: -422.33963
147: bad sentence 73, PPL: -1204.38953
148: good sentence 74, PPL: -70.49544
149: bad sentence 74, PPL: -263.42346
150: good sentence 75, PPL: -297.12216
151: bad sentence 75, PPL: -491.26108
152: good sentence 76, PPL: -1074.97119
153: bad sentence 76, PPL: -3461.37329
154: good sentence 77, PPL: -798.67706
155: bad sentence 77, PPL: -2550.86353
156: good sentence 78, PPL: -446.16229
157: bad sentence 78, PPL: -1118.19092
158: good sentence 79, PPL: -1502.78430
159: bad sentence 79, PPL: -947.60077
160: good sentence 80, PPL: -3895.67017
161: bad sentence 80, PPL: -6890.62695
162: good sentence 81, PPL: -192.18056
163: bad sentence 81, PPL: -569.48846
164: good sentence 82, PPL: -137.46056
165: bad sentence 82, PPL: -412.76883
166: good sentence 83, PPL: -1222.61230
167: bad sentence 83, PPL: -4633.81787
168: good sentence 84, PPL: -1984.92346
169: bad sentence 84, PPL: -8578.29688
170: good sentence 85, PPL: -660.65503
171: bad sentence 85, PPL: -1085.81750
