ba_construction_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.74300, Average Perplexity (Good Sentences): -708.00073, Average Perplexity (Bad Sentences): -930.18451
0: good sentence 0, PPL: -1346.60693
1: bad sentence 0, PPL: -1320.16638
2: good sentence 1, PPL: -393.72125
3: bad sentence 1, PPL: -1397.26611
4: good sentence 2, PPL: -652.61945
5: bad sentence 2, PPL: -1139.97009
6: good sentence 3, PPL: -78.25278
7: bad sentence 3, PPL: -90.39970
8: good sentence 4, PPL: -507.33267
9: bad sentence 4, PPL: -355.77112
10: good sentence 5, PPL: -192.42116
11: bad sentence 5, PPL: -496.67377
12: good sentence 6, PPL: -940.93158
13: bad sentence 6, PPL: -654.94611
14: good sentence 7, PPL: -5686.91162
15: bad sentence 7, PPL: -5700.54639
16: good sentence 8, PPL: -591.08508
17: bad sentence 8, PPL: -851.39703
18: good sentence 9, PPL: -340.88879
19: bad sentence 9, PPL: -499.98099
20: good sentence 10, PPL: -640.76129
21: bad sentence 10, PPL: -782.94922
22: good sentence 11, PPL: -255.30200
23: bad sentence 11, PPL: -1114.71179
24: good sentence 12, PPL: -1943.56641
25: bad sentence 12, PPL: -1643.57690
26: good sentence 13, PPL: -5602.29688
27: bad sentence 13, PPL: -2885.33350
28: good sentence 14, PPL: -623.57593
29: bad sentence 14, PPL: -592.11670
30: good sentence 15, PPL: -446.71811
31: bad sentence 15, PPL: -960.24042
32: good sentence 16, PPL: -225.93291
33: bad sentence 16, PPL: -528.10681
34: good sentence 17, PPL: -310.92599
35: bad sentence 17, PPL: -352.21039
36: good sentence 18, PPL: -862.63251
37: bad sentence 18, PPL: -1225.69678
38: good sentence 19, PPL: -271.97980
39: bad sentence 19, PPL: -449.53442
40: good sentence 20, PPL: -5465.92676
41: bad sentence 20, PPL: -7299.13916
42: good sentence 21, PPL: -773.36462
43: bad sentence 21, PPL: -1819.71985
44: good sentence 22, PPL: -1633.55798
45: bad sentence 22, PPL: -2411.85815
46: good sentence 23, PPL: -400.42139
47: bad sentence 23, PPL: -834.18781
48: good sentence 24, PPL: -497.98520
49: bad sentence 24, PPL: -744.39386
50: good sentence 25, PPL: -3136.54321
51: bad sentence 25, PPL: -2386.75928
52: good sentence 26, PPL: -254.64108
53: bad sentence 26, PPL: -421.06836
54: good sentence 27, PPL: -170.51561
55: bad sentence 27, PPL: -445.72891
56: good sentence 28, PPL: -317.96988
57: bad sentence 28, PPL: -415.76727
58: good sentence 29, PPL: -1829.03491
59: bad sentence 29, PPL: -1196.23975
60: good sentence 30, PPL: -151.28378
61: bad sentence 30, PPL: -740.80688
62: good sentence 31, PPL: -4290.67627
63: bad sentence 31, PPL: -3631.13965
64: good sentence 32, PPL: -2248.90088
65: bad sentence 32, PPL: -2767.80762
66: good sentence 33, PPL: -582.45667
67: bad sentence 33, PPL: -617.12097
68: good sentence 34, PPL: -7285.24414
69: bad sentence 34, PPL: -3675.51270
70: good sentence 35, PPL: -383.45782
71: bad sentence 35, PPL: -866.65112
72: good sentence 36, PPL: -981.81683
73: bad sentence 36, PPL: -659.40521
74: good sentence 37, PPL: -1480.19153
75: bad sentence 37, PPL: -4760.01074
76: good sentence 38, PPL: -934.59491
77: bad sentence 38, PPL: -585.36707
78: good sentence 39, PPL: -833.72455
79: bad sentence 39, PPL: -844.04749
80: good sentence 40, PPL: -391.74573
81: bad sentence 40, PPL: -363.02377
82: good sentence 41, PPL: -515.63245
83: bad sentence 41, PPL: -1476.79980
84: good sentence 42, PPL: -806.13538
85: bad sentence 42, PPL: -753.55151
86: good sentence 43, PPL: -158.79539
87: bad sentence 43, PPL: -346.60657
88: good sentence 44, PPL: -489.57480
89: bad sentence 44, PPL: -1069.04773
90: good sentence 45, PPL: -528.48944
91: bad sentence 45, PPL: -1358.04944
92: good sentence 46, PPL: -526.52899
93: bad sentence 46, PPL: -579.23523
94: good sentence 47, PPL: -149.04897
95: bad sentence 47, PPL: -167.80367
96: good sentence 48, PPL: -6430.77490
97: bad sentence 48, PPL: -8238.66016
98: good sentence 49, PPL: -1203.96570
99: bad sentence 49, PPL: -1492.54297
100: good sentence 50, PPL: -125.47878
101: bad sentence 50, PPL: -284.55597
102: good sentence 51, PPL: -732.01770
103: bad sentence 51, PPL: -1806.50488
104: good sentence 52, PPL: -2351.60791
105: bad sentence 52, PPL: -5898.51025
106: good sentence 53, PPL: -610.02026
107: bad sentence 53, PPL: -921.96924
108: good sentence 54, PPL: -387.05109
109: bad sentence 54, PPL: -603.27393
110: good sentence 55, PPL: -649.43384
111: bad sentence 55, PPL: -1095.82922
112: good sentence 56, PPL: -1158.05005
113: bad sentence 56, PPL: -924.29565
114: good sentence 57, PPL: -199.46591
115: bad sentence 57, PPL: -581.08289
116: good sentence 58, PPL: -670.33282
117: bad sentence 58, PPL: -675.58551
118: good sentence 59, PPL: -898.14075
119: bad sentence 59, PPL: -556.50372
120: good sentence 60, PPL: -190.44800
121: bad sentence 60, PPL: -269.16949
122: good sentence 61, PPL: -4041.73022
123: bad sentence 61, PPL: -6852.27832
124: good sentence 62, PPL: -2173.58374
125: bad sentence 62, PPL: -2478.58960
126: good sentence 63, PPL: -597.90057
127: bad sentence 63, PPL: -1713.78601
128: good sentence 64, PPL: -3490.96753
129: bad sentence 64, PPL: -4112.94141
130: good sentence 65, PPL: -440.72656
131: bad sentence 65, PPL: -368.44037
132: good sentence 66, PPL: -480.15891
133: bad sentence 66, PPL: -885.48303
134: good sentence 67, PPL: -572.91919
135: bad sentence 67, PPL: -700.13843
136: good sentence 68, PPL: -487.52521
137: bad sentence 68, PPL: -887.60266
138: good sentence 69, PPL: -2103.34692
139: bad sentence 69, PPL: -2701.36792
140: good sentence 70, PPL: -1083.16882
141: bad sentence 70, PPL: -562.06543
142: good sentence 71, PPL: -534.66815
143: bad sentence 71, PPL: -536.17908
144: good sentence 72, PPL: -83.69828
145: bad sentence 72, PPL: -203.88759
146: good sentence 73, PPL: -7329.18848
147: bad sentence 73, PPL: -3022.53516
148: good sentence 74, PPL: -1800.39600
149: bad sentence 74, PPL: -4015.38989
150: good sentence 75, PPL: -776.16675
151: bad sentence 75, PPL: -951.20081
152: good sentence 76, PPL: -1000.71222
153: bad sentence 76, PPL: -1562.50012
154: good sentence 77, PPL: -880.87128
155: bad sentence 77, PPL: -1034.21179
156: good sentence 78, PPL: -884.25861
157: bad sentence 78, PPL: -717.34283
158: good sentence 79, PPL: -339.41006
159: bad sentence 79, PPL: -694.72473
160: good sentence 80, PPL: -1111.00269
161: bad sentence 80, PPL: -1060.68286
162: good sentence 81, PPL: -569.81689
163: bad sentence 81, PPL: -709.65930
