binding_gender_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.58600, Average Perplexity (Good Sentences): -1364.52954, Average Perplexity (Bad Sentences): -1427.70081
0: good sentence 0, PPL: -1385.28040
1: bad sentence 0, PPL: -1405.09265
2: good sentence 1, PPL: -454.74774
3: bad sentence 1, PPL: -460.53159
4: good sentence 2, PPL: -1153.05078
5: bad sentence 2, PPL: -1338.06824
6: good sentence 3, PPL: -1348.39307
7: bad sentence 3, PPL: -2304.92432
8: good sentence 4, PPL: -1108.57996
9: bad sentence 4, PPL: -2217.15381
10: good sentence 5, PPL: -1003.84937
11: bad sentence 5, PPL: -1218.22168
12: good sentence 6, PPL: -2450.53906
13: bad sentence 6, PPL: -2859.25488
14: good sentence 7, PPL: -773.86334
15: bad sentence 7, PPL: -1361.87354
16: good sentence 8, PPL: -2823.16089
17: bad sentence 8, PPL: -5829.26758
18: good sentence 9, PPL: -870.32941
19: bad sentence 9, PPL: -1798.48254
20: good sentence 10, PPL: -1825.00305
21: bad sentence 10, PPL: -2176.41846
22: good sentence 11, PPL: -673.84912
23: bad sentence 11, PPL: -1760.41479
24: good sentence 12, PPL: -2488.66675
25: bad sentence 12, PPL: -2819.38330
26: good sentence 13, PPL: -651.61725
27: bad sentence 13, PPL: -751.61871
28: good sentence 14, PPL: -1426.70044
29: bad sentence 14, PPL: -1643.97742
30: good sentence 15, PPL: -683.25220
31: bad sentence 15, PPL: -1315.41833
32: good sentence 16, PPL: -1739.75024
33: bad sentence 16, PPL: -3885.71899
34: good sentence 17, PPL: -776.35004
35: bad sentence 17, PPL: -1510.32092
36: good sentence 18, PPL: -258.16095
37: bad sentence 18, PPL: -361.99353
38: good sentence 19, PPL: -425.49136
39: bad sentence 19, PPL: -885.92651
40: good sentence 20, PPL: -2099.19287
41: bad sentence 20, PPL: -2079.14355
42: good sentence 21, PPL: -3131.99707
43: bad sentence 21, PPL: -2650.42017
44: good sentence 22, PPL: -1222.26843
45: bad sentence 22, PPL: -2200.85547
46: good sentence 23, PPL: -487.62704
47: bad sentence 23, PPL: -1074.67188
48: good sentence 24, PPL: -2088.55640
49: bad sentence 24, PPL: -2290.18237
50: good sentence 25, PPL: -1473.39612
51: bad sentence 25, PPL: -3375.06006
52: good sentence 26, PPL: -2200.17456
53: bad sentence 26, PPL: -4705.68115
54: good sentence 27, PPL: -2485.38525
55: bad sentence 27, PPL: -2842.66016
56: good sentence 28, PPL: -1530.02490
57: bad sentence 28, PPL: -2875.09644
58: good sentence 29, PPL: -661.59827
59: bad sentence 29, PPL: -1306.47375
60: good sentence 30, PPL: -1702.27625
61: bad sentence 30, PPL: -1676.25562
62: good sentence 31, PPL: -462.61148
63: bad sentence 31, PPL: -788.77435
64: good sentence 32, PPL: -686.51312
65: bad sentence 32, PPL: -1499.41943
66: good sentence 33, PPL: -2034.77820
67: bad sentence 33, PPL: -1965.46985
68: good sentence 34, PPL: -1231.60400
69: bad sentence 34, PPL: -2446.45630
70: good sentence 35, PPL: -3290.94629
71: bad sentence 35, PPL: -3387.49756
72: good sentence 36, PPL: -2183.12549
73: bad sentence 36, PPL: -2263.83667
74: good sentence 37, PPL: -1212.32300
75: bad sentence 37, PPL: -2369.00098
76: good sentence 38, PPL: -202.39375
77: bad sentence 38, PPL: -569.75732
78: good sentence 39, PPL: -1671.99683
79: bad sentence 39, PPL: -3461.85889
80: good sentence 40, PPL: -3535.96021
81: bad sentence 40, PPL: -6267.94678
82: good sentence 41, PPL: -1006.13135
83: bad sentence 41, PPL: -946.54266
84: good sentence 42, PPL: -1339.57874
85: bad sentence 42, PPL: -2721.57886
86: good sentence 43, PPL: -1026.64648
87: bad sentence 43, PPL: -1273.19983
88: good sentence 44, PPL: -808.72113
89: bad sentence 44, PPL: -1629.56689
90: good sentence 45, PPL: -584.06165
91: bad sentence 45, PPL: -975.01929
92: good sentence 46, PPL: -341.11124
93: bad sentence 46, PPL: -725.10608
94: good sentence 47, PPL: -1530.40063
95: bad sentence 47, PPL: -1616.69263
96: good sentence 48, PPL: -1987.41321
97: bad sentence 48, PPL: -4741.24951
98: good sentence 49, PPL: -2508.18433
99: bad sentence 49, PPL: -2442.48608
100: good sentence 50, PPL: -2271.23340
101: bad sentence 50, PPL: -2671.46118
102: good sentence 51, PPL: -2146.18530
103: bad sentence 51, PPL: -2019.54431
104: good sentence 52, PPL: -3228.74658
105: bad sentence 52, PPL: -8948.10840
106: good sentence 53, PPL: -1273.42578
107: bad sentence 53, PPL: -1128.37195
108: good sentence 54, PPL: -2320.96924
109: bad sentence 54, PPL: -2500.79663
110: good sentence 55, PPL: -1753.17114
111: bad sentence 55, PPL: -1741.72986
112: good sentence 56, PPL: -1326.80481
113: bad sentence 56, PPL: -3194.33350
114: good sentence 57, PPL: -2509.92163
115: bad sentence 57, PPL: -2685.89331
116: good sentence 58, PPL: -88.86257
117: bad sentence 58, PPL: -161.95290
118: good sentence 59, PPL: -3565.57983
119: bad sentence 59, PPL: -6594.37939
120: good sentence 60, PPL: -4137.35596
121: bad sentence 60, PPL: -3963.10986
122: good sentence 61, PPL: -1018.08508
123: bad sentence 61, PPL: -2047.33020
124: good sentence 62, PPL: -1198.04309
125: bad sentence 62, PPL: -866.67468
126: good sentence 63, PPL: -2228.79663
127: bad sentence 63, PPL: -2236.25171
128: good sentence 64, PPL: -1152.77661
129: bad sentence 64, PPL: -2298.87646
130: good sentence 65, PPL: -859.96625
131: bad sentence 65, PPL: -1610.32849
132: good sentence 66, PPL: -967.13464
133: bad sentence 66, PPL: -2513.41162
134: good sentence 67, PPL: -1400.05591
135: bad sentence 67, PPL: -1499.91504
136: good sentence 68, PPL: -1566.35022
137: bad sentence 68, PPL: -1584.03870
138: good sentence 69, PPL: -1005.38849
139: bad sentence 69, PPL: -1618.08484
140: good sentence 70, PPL: -664.23132
141: bad sentence 70, PPL: -953.61365
142: good sentence 71, PPL: -966.06805
143: bad sentence 71, PPL: -911.14062
144: good sentence 72, PPL: -618.78815
145: bad sentence 72, PPL: -1158.36707
146: good sentence 73, PPL: -1363.09949
147: bad sentence 73, PPL: -1367.65833
148: good sentence 74, PPL: -419.28259
149: bad sentence 74, PPL: -853.37115
150: good sentence 75, PPL: -1315.13110
151: bad sentence 75, PPL: -3582.87183
152: good sentence 76, PPL: -543.73291
153: bad sentence 76, PPL: -1841.08569
154: good sentence 77, PPL: -855.26141
155: bad sentence 77, PPL: -2066.75439
156: good sentence 78, PPL: -222.96736
157: bad sentence 78, PPL: -506.21915
158: good sentence 79, PPL: -692.48364
159: bad sentence 79, PPL: -1276.17883
160: good sentence 80, PPL: -796.18231
161: bad sentence 80, PPL: -841.69952
162: good sentence 81, PPL: -986.40436
163: bad sentence 81, PPL: -937.79657
164: good sentence 82, PPL: -1531.31226
165: bad sentence 82, PPL: -3795.48926
166: good sentence 83, PPL: -718.02386
167: bad sentence 83, PPL: -1270.07361
168: good sentence 84, PPL: -996.40741
169: bad sentence 84, PPL: -1241.17725
170: good sentence 85, PPL: -1114.84790
171: bad sentence 85, PPL: -1211.88379
172: good sentence 86, PPL: -5634.99268
173: bad sentence 86, PPL: -6031.35059
174: good sentence 87, PPL: -925.79535
175: bad sentence 87, PPL: -1896.10095
176: good sentence 88, PPL: -400.23831
177: bad sentence 88, PPL: -955.58820
178: good sentence 89, PPL: -788.96356
179: bad sentence 89, PPL: -1672.62671
180: good sentence 90, PPL: -1108.60803
181: bad sentence 90, PPL: -1123.87305
182: good sentence 91, PPL: -967.22498
183: bad sentence 91, PPL: -1939.47253
184: good sentence 92, PPL: -206.82578
185: bad sentence 92, PPL: -415.17947
186: good sentence 93, PPL: -771.97784
187: bad sentence 93, PPL: -1605.16589
188: good sentence 94, PPL: -2072.43945
189: bad sentence 94, PPL: -4370.38965
190: good sentence 95, PPL: -1231.01453
191: bad sentence 95, PPL: -1446.75879
192: good sentence 96, PPL: -991.76770
193: bad sentence 96, PPL: -1556.08215
194: good sentence 97, PPL: -4010.73584
195: bad sentence 97, PPL: -4310.56787
196: good sentence 98, PPL: -463.11755
197: bad sentence 98, PPL: -1052.06921
198: good sentence 99, PPL: -1024.36829
199: bad sentence 99, PPL: -1904.91504
200: good sentence 100, PPL: -2311.79248
201: bad sentence 100, PPL: -2517.56641
202: good sentence 101, PPL: -767.16919
203: bad sentence 101, PPL: -740.81744
204: good sentence 102, PPL: -353.57578
205: bad sentence 102, PPL: -596.53284
206: good sentence 103, PPL: -1288.39111
207: bad sentence 103, PPL: -1360.18091
208: good sentence 104, PPL: -517.03711
209: bad sentence 104, PPL: -1006.39575
210: good sentence 105, PPL: -302.59583
211: bad sentence 105, PPL: -507.20111
212: good sentence 106, PPL: -1019.39124
213: bad sentence 106, PPL: -2079.97559
214: good sentence 107, PPL: -339.20102
215: bad sentence 107, PPL: -684.14252
216: good sentence 108, PPL: -1333.74805
217: bad sentence 108, PPL: -2779.69141
218: good sentence 109, PPL: -561.18945
219: bad sentence 109, PPL: -1125.55823
220: good sentence 110, PPL: -1366.46729
221: bad sentence 110, PPL: -1268.67175
222: good sentence 111, PPL: -1571.13843
223: bad sentence 111, PPL: -3376.47021
224: good sentence 112, PPL: -833.36084
225: bad sentence 112, PPL: -1667.64307
226: good sentence 113, PPL: -2142.78223
227: bad sentence 113, PPL: -1907.57922
228: good sentence 114, PPL: -412.82571
229: bad sentence 114, PPL: -424.72797
230: good sentence 115, PPL: -570.19788
231: bad sentence 115, PPL: -610.90460
232: good sentence 116, PPL: -1099.84436
233: bad sentence 116, PPL: -1935.82312
234: good sentence 117, PPL: -348.68066
235: bad sentence 117, PPL: -637.42920
236: good sentence 118, PPL: -582.89868
237: bad sentence 118, PPL: -1925.35144
238: good sentence 119, PPL: -962.35040
239: bad sentence 119, PPL: -2230.28174
240: good sentence 120, PPL: -1472.53650
241: bad sentence 120, PPL: -1483.03015
242: good sentence 121, PPL: -2997.46069
243: bad sentence 121, PPL: -3146.89819
244: good sentence 122, PPL: -461.16180
245: bad sentence 122, PPL: -920.66052
246: good sentence 123, PPL: -1719.60864
247: bad sentence 123, PPL: -1570.60583
248: good sentence 124, PPL: -615.32001
249: bad sentence 124, PPL: -1056.34412
250: good sentence 125, PPL: -683.11377
251: bad sentence 125, PPL: -1552.52612
252: good sentence 126, PPL: -5385.73389
253: bad sentence 126, PPL: -6909.32812
254: good sentence 127, PPL: -709.17627
255: bad sentence 127, PPL: -1398.16528
256: good sentence 128, PPL: -702.32324
257: bad sentence 128, PPL: -724.41248
258: good sentence 129, PPL: -854.61688
259: bad sentence 129, PPL: -1581.29175
260: good sentence 130, PPL: -1027.06274
261: bad sentence 130, PPL: -1796.87097
262: good sentence 131, PPL: -1431.23376
263: bad sentence 131, PPL: -3399.61450
264: good sentence 132, PPL: -450.04703
265: bad sentence 132, PPL: -855.67297
266: good sentence 133, PPL: -562.10162
267: bad sentence 133, PPL: -1304.67090
268: good sentence 134, PPL: -745.62128
269: bad sentence 134, PPL: -763.13428
270: good sentence 135, PPL: -3210.82007
271: bad sentence 135, PPL: -9171.27637
272: good sentence 136, PPL: -261.44604
273: bad sentence 136, PPL: -387.36719
274: good sentence 137, PPL: -564.23114
275: bad sentence 137, PPL: -620.14630
276: good sentence 138, PPL: -898.70538
277: bad sentence 138, PPL: -1817.72852
278: good sentence 139, PPL: -1800.69556
279: bad sentence 139, PPL: -3533.84302
280: good sentence 140, PPL: -3262.12354
281: bad sentence 140, PPL: -2983.46924
282: good sentence 141, PPL: -520.91858
283: bad sentence 141, PPL: -947.90997
284: good sentence 142, PPL: -3384.21362
285: bad sentence 142, PPL: -7315.76660
286: good sentence 143, PPL: -1431.07812
287: bad sentence 143, PPL: -1430.32214
288: good sentence 144, PPL: -1612.14392
289: bad sentence 144, PPL: -1621.68970
290: good sentence 145, PPL: -632.33087
291: bad sentence 145, PPL: -968.80450
292: good sentence 146, PPL: -915.53064
293: bad sentence 146, PPL: -897.58765
294: good sentence 147, PPL: -767.66644
295: bad sentence 147, PPL: -1374.11743
296: good sentence 148, PPL: -1888.81873
297: bad sentence 148, PPL: -2162.45288
298: good sentence 149, PPL: -1869.64612
299: bad sentence 149, PPL: -4630.76514
300: good sentence 150, PPL: -1285.89502
301: bad sentence 150, PPL: -1855.35120
302: good sentence 151, PPL: -1220.67773
303: bad sentence 151, PPL: -2118.16748
304: good sentence 152, PPL: -807.85199
305: bad sentence 152, PPL: -1780.54614
306: good sentence 153, PPL: -1103.56311
307: bad sentence 153, PPL: -970.71014
308: good sentence 154, PPL: -973.64319
309: bad sentence 154, PPL: -1860.99890
310: good sentence 155, PPL: -1080.96094
311: bad sentence 155, PPL: -1650.61792
312: good sentence 156, PPL: -8549.47461
313: bad sentence 156, PPL: -6247.70361
314: good sentence 157, PPL: -898.58240
315: bad sentence 157, PPL: -836.15228
316: good sentence 158, PPL: -2507.26123
317: bad sentence 158, PPL: -6782.87891
318: good sentence 159, PPL: -616.21326
319: bad sentence 159, PPL: -685.78870
320: good sentence 160, PPL: -759.46344
321: bad sentence 160, PPL: -1641.94983
322: good sentence 161, PPL: -1704.66028
323: bad sentence 161, PPL: -1663.42346
324: good sentence 162, PPL: -650.80585
325: bad sentence 162, PPL: -1265.12268
326: good sentence 163, PPL: -1463.63135
327: bad sentence 163, PPL: -1267.56628
328: good sentence 164, PPL: -965.68805
329: bad sentence 164, PPL: -2377.43750
330: good sentence 165, PPL: -2387.10205
331: bad sentence 165, PPL: -6173.37305
332: good sentence 166, PPL: -610.46082
333: bad sentence 166, PPL: -872.43933
334: good sentence 167, PPL: -1304.23169
335: bad sentence 167, PPL: -2029.06946
336: good sentence 168, PPL: -1367.23242
337: bad sentence 168, PPL: -3160.76978
338: good sentence 169, PPL: -575.64172
339: bad sentence 169, PPL: -1065.53101
340: good sentence 170, PPL: -1043.13562
341: bad sentence 170, PPL: -1678.53125
342: good sentence 171, PPL: -220.63919
343: bad sentence 171, PPL: -459.50656
344: good sentence 172, PPL: -874.94147
345: bad sentence 172, PPL: -1490.33826
346: good sentence 173, PPL: -971.09998
347: bad sentence 173, PPL: -1072.02832
348: good sentence 174, PPL: -679.82593
349: bad sentence 174, PPL: -1095.35010
350: good sentence 175, PPL: -870.08624
351: bad sentence 175, PPL: -1731.40234
352: good sentence 176, PPL: -1930.61841
353: bad sentence 176, PPL: -1770.22485
354: good sentence 177, PPL: -967.46674
355: bad sentence 177, PPL: -982.18579
356: good sentence 178, PPL: -2273.83960
357: bad sentence 178, PPL: -2810.48560
358: good sentence 179, PPL: -895.04120
359: bad sentence 179, PPL: -925.38269
360: good sentence 180, PPL: -996.08051
361: bad sentence 180, PPL: -1001.04877
362: good sentence 181, PPL: -2079.22681
363: bad sentence 181, PPL: -2075.74292
364: good sentence 182, PPL: -698.77905
365: bad sentence 182, PPL: -1214.02783
366: good sentence 183, PPL: -2604.44897
367: bad sentence 183, PPL: -7270.80664
368: good sentence 184, PPL: -685.21960
369: bad sentence 184, PPL: -790.31342
370: good sentence 185, PPL: -803.44482
371: bad sentence 185, PPL: -1685.80811
372: good sentence 186, PPL: -611.49304
373: bad sentence 186, PPL: -1560.20569
374: good sentence 187, PPL: -688.01141
375: bad sentence 187, PPL: -1388.54395
376: good sentence 188, PPL: -887.00568
377: bad sentence 188, PPL: -880.65454
378: good sentence 189, PPL: -1779.27393
379: bad sentence 189, PPL: -1927.91382
380: good sentence 190, PPL: -970.58008
381: bad sentence 190, PPL: -1877.16064
382: good sentence 191, PPL: -2912.42773
383: bad sentence 191, PPL: -3039.45654
384: good sentence 192, PPL: -2321.91333
385: bad sentence 192, PPL: -2609.22729
386: good sentence 193, PPL: -721.26599
387: bad sentence 193, PPL: -1583.11670
388: good sentence 194, PPL: -1599.70178
389: bad sentence 194, PPL: -1610.67700
390: good sentence 195, PPL: -346.33926
391: bad sentence 195, PPL: -745.66571
392: good sentence 196, PPL: -1251.11353
393: bad sentence 196, PPL: -2820.64990
394: good sentence 197, PPL: -729.91278
395: bad sentence 197, PPL: -3123.07007
396: good sentence 198, PPL: -873.79785
397: bad sentence 198, PPL: -880.08820
398: good sentence 199, PPL: -800.86261
