classifier_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.90200, Average Perplexity (Good Sentences): -710.02148, Average Perplexity (Bad Sentences): -1514.70947
0: good sentence 0, PPL: -1168.12549
1: bad sentence 0, PPL: -1830.85962
2: good sentence 1, PPL: -796.84845
3: bad sentence 1, PPL: -725.72632
4: good sentence 2, PPL: -773.87958
5: bad sentence 2, PPL: -681.62024
6: good sentence 3, PPL: -208.54207
7: bad sentence 3, PPL: -484.55679
8: good sentence 4, PPL: -486.55518
9: bad sentence 4, PPL: -899.45441
10: good sentence 5, PPL: -402.23746
11: bad sentence 5, PPL: -661.05585
12: good sentence 6, PPL: -748.28040
13: bad sentence 6, PPL: -1064.54895
14: good sentence 7, PPL: -1066.61438
15: bad sentence 7, PPL: -1761.91809
16: good sentence 8, PPL: -1451.19385
17: bad sentence 8, PPL: -5464.08154
18: good sentence 9, PPL: -1032.38086
19: bad sentence 9, PPL: -2036.89539
20: good sentence 10, PPL: -561.78839
21: bad sentence 10, PPL: -1924.79980
22: good sentence 11, PPL: -58.86658
23: bad sentence 11, PPL: -89.72192
24: good sentence 12, PPL: -371.99857
25: bad sentence 12, PPL: -1413.98950
26: good sentence 13, PPL: -506.97842
27: bad sentence 13, PPL: -1880.86731
28: good sentence 14, PPL: -393.21899
29: bad sentence 14, PPL: -799.19177
30: good sentence 15, PPL: -1546.67603
31: bad sentence 15, PPL: -1115.71948
32: good sentence 16, PPL: -854.53949
33: bad sentence 16, PPL: -4656.98340
34: good sentence 17, PPL: -945.46912
35: bad sentence 17, PPL: -875.06879
36: good sentence 18, PPL: -321.62967
37: bad sentence 18, PPL: -519.47913
38: good sentence 19, PPL: -1259.34448
39: bad sentence 19, PPL: -2102.77954
40: good sentence 20, PPL: -768.14471
41: bad sentence 20, PPL: -1709.49707
42: good sentence 21, PPL: -328.45871
43: bad sentence 21, PPL: -1099.42798
44: good sentence 22, PPL: -152.72592
45: bad sentence 22, PPL: -231.60947
46: good sentence 23, PPL: -1898.65417
47: bad sentence 23, PPL: -2549.35815
48: good sentence 24, PPL: -2106.74170
49: bad sentence 24, PPL: -1388.99768
50: good sentence 25, PPL: -586.31628
51: bad sentence 25, PPL: -727.74109
52: good sentence 26, PPL: -1007.37476
53: bad sentence 26, PPL: -1177.92688
54: good sentence 27, PPL: -2425.68457
55: bad sentence 27, PPL: -3279.87354
56: good sentence 28, PPL: -1032.45520
57: bad sentence 28, PPL: -1438.40125
58: good sentence 29, PPL: -1787.64722
59: bad sentence 29, PPL: -6048.78662
60: good sentence 30, PPL: -5258.10449
61: bad sentence 30, PPL: -3801.04590
62: good sentence 31, PPL: -1002.92401
63: bad sentence 31, PPL: -5387.62451
64: good sentence 32, PPL: -2730.99219
65: bad sentence 32, PPL: -5860.62793
66: good sentence 33, PPL: -1597.62292
67: bad sentence 33, PPL: -1147.86182
68: good sentence 34, PPL: -809.81586
69: bad sentence 34, PPL: -2129.35669
70: good sentence 35, PPL: -259.86755
71: bad sentence 35, PPL: -572.08771
72: good sentence 36, PPL: -679.25885
73: bad sentence 36, PPL: -1314.90796
74: good sentence 37, PPL: -1873.81689
75: bad sentence 37, PPL: -2366.43140
76: good sentence 38, PPL: -683.57550
77: bad sentence 38, PPL: -1264.15283
78: good sentence 39, PPL: -2483.92798
79: bad sentence 39, PPL: -3500.60229
80: good sentence 40, PPL: -449.59061
81: bad sentence 40, PPL: -596.12335
82: good sentence 41, PPL: -292.59592
83: bad sentence 41, PPL: -550.55737
84: good sentence 42, PPL: -534.28638
85: bad sentence 42, PPL: -1005.40094
86: good sentence 43, PPL: -2067.31030
87: bad sentence 43, PPL: -4382.73145
88: good sentence 44, PPL: -1169.20276
89: bad sentence 44, PPL: -3690.28174
90: good sentence 45, PPL: -6636.80811
91: bad sentence 45, PPL: -17139.13477
92: good sentence 46, PPL: -438.26855
93: bad sentence 46, PPL: -687.53064
94: good sentence 47, PPL: -492.39783
95: bad sentence 47, PPL: -1701.28870
96: good sentence 48, PPL: -2495.89941
97: bad sentence 48, PPL: -5580.62549
98: good sentence 49, PPL: -256.90088
99: bad sentence 49, PPL: -785.89062
100: good sentence 50, PPL: -925.25775
101: bad sentence 50, PPL: -1148.71875
102: good sentence 51, PPL: -1104.62451
103: bad sentence 51, PPL: -1746.31531
104: good sentence 52, PPL: -773.39124
105: bad sentence 52, PPL: -1423.48157
106: good sentence 53, PPL: -5774.08301
107: bad sentence 53, PPL: -12715.00098
108: good sentence 54, PPL: -569.30652
109: bad sentence 54, PPL: -1556.62830
110: good sentence 55, PPL: -4584.33301
111: bad sentence 55, PPL: -26641.22461
112: good sentence 56, PPL: -570.16473
113: bad sentence 56, PPL: -1138.18152
114: good sentence 57, PPL: -142.30370
115: bad sentence 57, PPL: -303.97693
116: good sentence 58, PPL: -275.94962
117: bad sentence 58, PPL: -158.15623
118: good sentence 59, PPL: -1004.65289
119: bad sentence 59, PPL: -1610.08044
120: good sentence 60, PPL: -2455.27612
121: bad sentence 60, PPL: -4330.67578
122: good sentence 61, PPL: -36498.02734
123: bad sentence 61, PPL: -15741.99609
124: good sentence 62, PPL: -6322.30225
125: bad sentence 62, PPL: -10508.86523
126: good sentence 63, PPL: -1320.78540
127: bad sentence 63, PPL: -2482.16968
128: good sentence 64, PPL: -678.42438
129: bad sentence 64, PPL: -1837.08069
130: good sentence 65, PPL: -351.99567
131: bad sentence 65, PPL: -1115.07593
132: good sentence 66, PPL: -312.80984
133: bad sentence 66, PPL: -453.15915
134: good sentence 67, PPL: -1145.09778
135: bad sentence 67, PPL: -5324.47559
136: good sentence 68, PPL: -831.07513
137: bad sentence 68, PPL: -1367.65051
138: good sentence 69, PPL: -700.72296
139: bad sentence 69, PPL: -787.53302
140: good sentence 70, PPL: -280.17627
141: bad sentence 70, PPL: -806.17963
142: good sentence 71, PPL: -546.23358
143: bad sentence 71, PPL: -2255.16895
144: good sentence 72, PPL: -623.87604
145: bad sentence 72, PPL: -731.69977
146: good sentence 73, PPL: -814.97852
147: bad sentence 73, PPL: -2827.66870
148: good sentence 74, PPL: -482.76071
149: bad sentence 74, PPL: -1639.18604
150: good sentence 75, PPL: -128.49608
151: bad sentence 75, PPL: -601.04352
152: good sentence 76, PPL: -3760.86328
153: bad sentence 76, PPL: -6125.02783
154: good sentence 77, PPL: -1013.94763
155: bad sentence 77, PPL: -1280.51416
156: good sentence 78, PPL: -513.84393
157: bad sentence 78, PPL: -740.85736
158: good sentence 79, PPL: -617.34497
159: bad sentence 79, PPL: -1506.41760
160: good sentence 80, PPL: -1669.69263
161: bad sentence 80, PPL: -2260.81738
162: good sentence 81, PPL: -721.49164
163: bad sentence 81, PPL: -2511.42285
164: good sentence 82, PPL: -1217.73376
165: bad sentence 82, PPL: -4390.72217
166: good sentence 83, PPL: -146.52849
167: bad sentence 83, PPL: -510.89453
168: good sentence 84, PPL: -613.50037
169: bad sentence 84, PPL: -422.78693
170: good sentence 85, PPL: -2925.76807
171: bad sentence 85, PPL: -2634.13672
