classifier_adj_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.84200, Average Perplexity (Good Sentences): -648.02045, Average Perplexity (Bad Sentences): -1063.92969
0: good sentence 0, PPL: -402.58115
1: bad sentence 0, PPL: -591.39856
2: good sentence 1, PPL: -378.99350
3: bad sentence 1, PPL: -596.35199
4: good sentence 2, PPL: -454.17694
5: bad sentence 2, PPL: -585.94708
6: good sentence 3, PPL: -750.70746
7: bad sentence 3, PPL: -734.96655
8: good sentence 4, PPL: -438.98093
9: bad sentence 4, PPL: -610.75287
10: good sentence 5, PPL: -1218.12695
11: bad sentence 5, PPL: -1575.40100
12: good sentence 6, PPL: -763.97168
13: bad sentence 6, PPL: -722.77460
14: good sentence 7, PPL: -135.59665
15: bad sentence 7, PPL: -237.44701
16: good sentence 8, PPL: -214.85260
17: bad sentence 8, PPL: -276.17209
18: good sentence 9, PPL: -154.05602
19: bad sentence 9, PPL: -159.95012
20: good sentence 10, PPL: -683.24341
21: bad sentence 10, PPL: -1201.37939
22: good sentence 11, PPL: -1498.12671
23: bad sentence 11, PPL: -1347.10583
24: good sentence 12, PPL: -596.94226
25: bad sentence 12, PPL: -1109.13208
26: good sentence 13, PPL: -586.10022
27: bad sentence 13, PPL: -943.87360
28: good sentence 14, PPL: -510.09900
29: bad sentence 14, PPL: -810.77606
30: good sentence 15, PPL: -316.31610
31: bad sentence 15, PPL: -619.50201
32: good sentence 16, PPL: -4775.52930
33: bad sentence 16, PPL: -12502.82715
34: good sentence 17, PPL: -211.41080
35: bad sentence 17, PPL: -497.00757
36: good sentence 18, PPL: -548.40497
37: bad sentence 18, PPL: -983.66644
38: good sentence 19, PPL: -1070.93713
39: bad sentence 19, PPL: -2047.81055
40: good sentence 20, PPL: -1155.89587
41: bad sentence 20, PPL: -1089.12073
42: good sentence 21, PPL: -755.76166
43: bad sentence 21, PPL: -1787.25684
44: good sentence 22, PPL: -248.57787
45: bad sentence 22, PPL: -659.26819
46: good sentence 23, PPL: -927.10919
47: bad sentence 23, PPL: -1547.86169
48: good sentence 24, PPL: -465.95285
49: bad sentence 24, PPL: -440.58203
