classifier_clause_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.80800, Average Perplexity (Good Sentences): -772.69043, Average Perplexity (Bad Sentences): -1059.28223
0: good sentence 0, PPL: -1235.31885
1: bad sentence 0, PPL: -2038.54529
2: good sentence 1, PPL: -1081.15430
3: bad sentence 1, PPL: -1013.82288
4: good sentence 2, PPL: -298.01065
5: bad sentence 2, PPL: -367.77234
6: good sentence 3, PPL: -301.57556
7: bad sentence 3, PPL: -425.67175
8: good sentence 4, PPL: -423.80585
9: bad sentence 4, PPL: -621.37006
10: good sentence 5, PPL: -1124.93628
11: bad sentence 5, PPL: -1045.76074
12: good sentence 6, PPL: -1330.20898
13: bad sentence 6, PPL: -1325.84912
14: good sentence 7, PPL: -564.98578
15: bad sentence 7, PPL: -807.86469
16: good sentence 8, PPL: -1080.44617
17: bad sentence 8, PPL: -695.34149
18: good sentence 9, PPL: -720.07623
19: bad sentence 9, PPL: -1323.95825
20: good sentence 10, PPL: -968.61609
21: bad sentence 10, PPL: -1251.52698
22: good sentence 11, PPL: -384.64288
23: bad sentence 11, PPL: -351.78610
24: good sentence 12, PPL: -364.71286
25: bad sentence 12, PPL: -578.95245
26: good sentence 13, PPL: -558.06329
27: bad sentence 13, PPL: -417.75848
28: good sentence 14, PPL: -2176.92676
29: bad sentence 14, PPL: -2259.27612
30: good sentence 15, PPL: -964.51093
31: bad sentence 15, PPL: -1139.61682
32: good sentence 16, PPL: -1527.78821
33: bad sentence 16, PPL: -2386.59204
34: good sentence 17, PPL: -2349.10181
35: bad sentence 17, PPL: -4340.52490
36: good sentence 18, PPL: -368.88568
37: bad sentence 18, PPL: -575.14868
38: good sentence 19, PPL: -809.96729
39: bad sentence 19, PPL: -796.18726
40: good sentence 20, PPL: -752.36023
41: bad sentence 20, PPL: -1970.31641
42: good sentence 21, PPL: -372.47675
43: bad sentence 21, PPL: -262.39072
44: good sentence 22, PPL: -1268.47522
45: bad sentence 22, PPL: -2510.35352
46: good sentence 23, PPL: -3632.97559
47: bad sentence 23, PPL: -3030.00146
48: good sentence 24, PPL: -1398.54456
49: bad sentence 24, PPL: -1738.43335
50: good sentence 25, PPL: -503.88556
