coverb_with_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.84900, Average Perplexity (Good Sentences): -869.97510, Average Perplexity (Bad Sentences): -1476.06750
0: good sentence 0, PPL: -687.81323
1: bad sentence 0, PPL: -1440.47266
2: good sentence 1, PPL: -705.33234
3: bad sentence 1, PPL: -836.27234
4: good sentence 2, PPL: -844.65991
5: bad sentence 2, PPL: -1045.74377
6: good sentence 3, PPL: -1491.00085
7: bad sentence 3, PPL: -2740.74902
8: good sentence 4, PPL: -2947.23218
9: bad sentence 4, PPL: -1684.59705
10: good sentence 5, PPL: -283.77872
11: bad sentence 5, PPL: -916.72888
12: good sentence 6, PPL: -526.10162
13: bad sentence 6, PPL: -646.52509
14: good sentence 7, PPL: -2557.13062
15: bad sentence 7, PPL: -2492.48364
16: good sentence 8, PPL: -409.20490
17: bad sentence 8, PPL: -1211.74573
18: good sentence 9, PPL: -2850.59937
19: bad sentence 9, PPL: -2971.47510
20: good sentence 10, PPL: -569.53271
21: bad sentence 10, PPL: -3042.12744
22: good sentence 11, PPL: -3486.82178
23: bad sentence 11, PPL: -2164.56982
24: good sentence 12, PPL: -1380.02844
25: bad sentence 12, PPL: -2834.00366
26: good sentence 13, PPL: -3873.44678
27: bad sentence 13, PPL: -2239.60547
28: good sentence 14, PPL: -853.24463
29: bad sentence 14, PPL: -1045.75720
30: good sentence 15, PPL: -1150.23975
31: bad sentence 15, PPL: -1670.66675
32: good sentence 16, PPL: -582.73584
33: bad sentence 16, PPL: -919.61890
34: good sentence 17, PPL: -1673.02722
35: bad sentence 17, PPL: -2634.37793
36: good sentence 18, PPL: -564.33771
37: bad sentence 18, PPL: -679.56635
38: good sentence 19, PPL: -2083.26392
39: bad sentence 19, PPL: -2186.80225
40: good sentence 20, PPL: -927.48547
41: bad sentence 20, PPL: -1299.21448
42: good sentence 21, PPL: -2077.79761
43: bad sentence 21, PPL: -2927.46362
44: good sentence 22, PPL: -1033.55359
45: bad sentence 22, PPL: -1159.21753
46: good sentence 23, PPL: -3343.54907
47: bad sentence 23, PPL: -8580.85742
48: good sentence 24, PPL: -5009.85986
49: bad sentence 24, PPL: -9909.22559
50: good sentence 25, PPL: -396.70233
51: bad sentence 25, PPL: -655.13190
52: good sentence 26, PPL: -382.72937
53: bad sentence 26, PPL: -706.10901
54: good sentence 27, PPL: -562.63550
55: bad sentence 27, PPL: -970.21362
56: good sentence 28, PPL: -5985.04785
57: bad sentence 28, PPL: -3662.41602
58: good sentence 29, PPL: -709.48669
59: bad sentence 29, PPL: -1305.62366
60: good sentence 30, PPL: -772.50549
61: bad sentence 30, PPL: -1538.83630
62: good sentence 31, PPL: -232.29300
63: bad sentence 31, PPL: -499.12701
64: good sentence 32, PPL: -700.91913
65: bad sentence 32, PPL: -1144.60754
66: good sentence 33, PPL: -979.41949
67: bad sentence 33, PPL: -1737.57068
68: good sentence 34, PPL: -728.68420
69: bad sentence 34, PPL: -527.95020
70: good sentence 35, PPL: -625.44849
71: bad sentence 35, PPL: -933.23175
72: good sentence 36, PPL: -793.80542
73: bad sentence 36, PPL: -1062.18896
74: good sentence 37, PPL: -4172.52637
75: bad sentence 37, PPL: -6637.06152
76: good sentence 38, PPL: -721.12598
77: bad sentence 38, PPL: -686.02063
78: good sentence 39, PPL: -1291.26575
79: bad sentence 39, PPL: -2578.98242
80: good sentence 40, PPL: -515.72888
81: bad sentence 40, PPL: -433.00003
82: good sentence 41, PPL: -675.10889
83: bad sentence 41, PPL: -1139.57178
84: good sentence 42, PPL: -213.27231
85: bad sentence 42, PPL: -559.35809
86: good sentence 43, PPL: -1073.81897
87: bad sentence 43, PPL: -1683.84705
88: good sentence 44, PPL: -1013.50244
89: bad sentence 44, PPL: -3008.71924
90: good sentence 45, PPL: -1062.19812
91: bad sentence 45, PPL: -1984.66040
92: good sentence 46, PPL: -246.34488
93: bad sentence 46, PPL: -390.70703
94: good sentence 47, PPL: -2356.33691
95: bad sentence 47, PPL: -3502.43896
96: good sentence 48, PPL: -878.40112
97: bad sentence 48, PPL: -2125.83521
98: good sentence 49, PPL: -895.48688
99: bad sentence 49, PPL: -1103.34851
100: good sentence 50, PPL: -1039.75916
101: bad sentence 50, PPL: -1655.72131
102: good sentence 51, PPL: -284.41351
103: bad sentence 51, PPL: -1638.31250
104: good sentence 52, PPL: -555.46686
105: bad sentence 52, PPL: -854.32233
106: good sentence 53, PPL: -633.18475
107: bad sentence 53, PPL: -1363.10071
108: good sentence 54, PPL: -678.37939
109: bad sentence 54, PPL: -1303.69763
110: good sentence 55, PPL: -746.53339
111: bad sentence 55, PPL: -962.64911
112: good sentence 56, PPL: -466.07419
113: bad sentence 56, PPL: -2875.30615
114: good sentence 57, PPL: -132.34045
115: bad sentence 57, PPL: -151.64606
116: good sentence 58, PPL: -2754.45996
117: bad sentence 58, PPL: -5967.71582
118: good sentence 59, PPL: -594.48798
119: bad sentence 59, PPL: -521.23737
120: good sentence 60, PPL: -2879.82446
121: bad sentence 60, PPL: -8109.40771
122: good sentence 61, PPL: -1165.94580
123: bad sentence 61, PPL: -996.13184
124: good sentence 62, PPL: -6110.93164
125: bad sentence 62, PPL: -3661.84644
126: good sentence 63, PPL: -1162.22278
127: bad sentence 63, PPL: -3727.15015
128: good sentence 64, PPL: -1059.32056
129: bad sentence 64, PPL: -1345.14941
130: good sentence 65, PPL: -1647.11682
131: bad sentence 65, PPL: -3589.35278
132: good sentence 66, PPL: -192.10165
133: bad sentence 66, PPL: -603.63824
134: good sentence 67, PPL: -902.02759
135: bad sentence 67, PPL: -1352.12036
136: good sentence 68, PPL: -1049.02161
137: bad sentence 68, PPL: -955.72125
138: good sentence 69, PPL: -1201.05566
139: bad sentence 69, PPL: -1655.10730
140: good sentence 70, PPL: -1070.63586
141: bad sentence 70, PPL: -2246.58569
142: good sentence 71, PPL: -321.49704
143: bad sentence 71, PPL: -249.68086
144: good sentence 72, PPL: -1031.03247
145: bad sentence 72, PPL: -1552.59119
146: good sentence 73, PPL: -1400.00391
147: bad sentence 73, PPL: -1469.29456
148: good sentence 74, PPL: -948.26666
149: bad sentence 74, PPL: -793.09564
150: good sentence 75, PPL: -1089.70044
