filler_gap_dependency_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.65200, Average Perplexity (Good Sentences): -766.45325, Average Perplexity (Bad Sentences): -985.09485
0: good sentence 0, PPL: -830.83661
1: bad sentence 0, PPL: -976.06494
2: good sentence 1, PPL: -872.52509
3: bad sentence 1, PPL: -1677.05432
4: good sentence 2, PPL: -654.18481
5: bad sentence 2, PPL: -524.07355
6: good sentence 3, PPL: -1176.89050
7: bad sentence 3, PPL: -1908.93054
8: good sentence 4, PPL: -789.17200
9: bad sentence 4, PPL: -768.03333
10: good sentence 5, PPL: -438.51044
11: bad sentence 5, PPL: -1311.53906
12: good sentence 6, PPL: -1395.13708
13: bad sentence 6, PPL: -2036.52161
14: good sentence 7, PPL: -1619.45337
15: bad sentence 7, PPL: -3347.77979
16: good sentence 8, PPL: -552.30597
17: bad sentence 8, PPL: -319.61465
18: good sentence 9, PPL: -461.04047
19: bad sentence 9, PPL: -650.99146
20: good sentence 10, PPL: -558.33453
21: bad sentence 10, PPL: -740.71820
22: good sentence 11, PPL: -1409.74622
23: bad sentence 11, PPL: -814.88287
24: good sentence 12, PPL: -391.02499
25: bad sentence 12, PPL: -245.28256
26: good sentence 13, PPL: -599.06549
27: bad sentence 13, PPL: -722.32361
28: good sentence 14, PPL: -4143.38916
29: bad sentence 14, PPL: -8920.20410
30: good sentence 15, PPL: -1885.88123
31: bad sentence 15, PPL: -2724.01831
32: good sentence 16, PPL: -371.99112
33: bad sentence 16, PPL: -181.17145
34: good sentence 17, PPL: -908.87036
35: bad sentence 17, PPL: -488.16238
36: good sentence 18, PPL: -1002.09558
37: bad sentence 18, PPL: -1186.79419
38: good sentence 19, PPL: -528.94531
39: bad sentence 19, PPL: -530.35907
40: good sentence 20, PPL: -942.33514
41: bad sentence 20, PPL: -1845.43823
42: good sentence 21, PPL: -1236.87366
43: bad sentence 21, PPL: -1448.13159
44: good sentence 22, PPL: -308.05063
45: bad sentence 22, PPL: -382.22269
46: good sentence 23, PPL: -590.45038
47: bad sentence 23, PPL: -1498.11743
48: good sentence 24, PPL: -1001.28119
49: bad sentence 24, PPL: -2810.50952
50: good sentence 25, PPL: -2564.44360
51: bad sentence 25, PPL: -2358.07104
52: good sentence 26, PPL: -325.29016
53: bad sentence 26, PPL: -387.32358
54: good sentence 27, PPL: -614.51483
55: bad sentence 27, PPL: -1020.77808
56: good sentence 28, PPL: -1679.26941
57: bad sentence 28, PPL: -960.94403
58: good sentence 29, PPL: -368.74338
59: bad sentence 29, PPL: -505.09821
60: good sentence 30, PPL: -1140.20715
61: bad sentence 30, PPL: -1023.21613
62: good sentence 31, PPL: -1364.60315
63: bad sentence 31, PPL: -736.65417
64: good sentence 32, PPL: -881.06824
65: bad sentence 32, PPL: -879.36877
66: good sentence 33, PPL: -2086.44336
67: bad sentence 33, PPL: -698.65704
68: good sentence 34, PPL: -602.18750
69: bad sentence 34, PPL: -519.23895
70: good sentence 35, PPL: -273.69366
71: bad sentence 35, PPL: -428.52231
72: good sentence 36, PPL: -231.87102
73: bad sentence 36, PPL: -223.03732
74: good sentence 37, PPL: -400.45135
75: bad sentence 37, PPL: -699.31335
76: good sentence 38, PPL: -1333.51978
77: bad sentence 38, PPL: -1865.59595
78: good sentence 39, PPL: -432.24069
79: bad sentence 39, PPL: -399.41968
80: good sentence 40, PPL: -429.79434
81: bad sentence 40, PPL: -399.46918
82: good sentence 41, PPL: -534.90863
83: bad sentence 41, PPL: -980.36707
84: good sentence 42, PPL: -779.77667
85: bad sentence 42, PPL: -597.16125
86: good sentence 43, PPL: -725.01038
87: bad sentence 43, PPL: -520.89496
88: good sentence 44, PPL: -249.25667
89: bad sentence 44, PPL: -449.14130
90: good sentence 45, PPL: -221.55231
91: bad sentence 45, PPL: -196.65318
92: good sentence 46, PPL: -499.10059
93: bad sentence 46, PPL: -1348.69409
94: good sentence 47, PPL: -1135.48621
95: bad sentence 47, PPL: -841.54584
96: good sentence 48, PPL: -570.61597
97: bad sentence 48, PPL: -611.54553
98: good sentence 49, PPL: -681.86279
99: bad sentence 49, PPL: -1637.40271
100: good sentence 50, PPL: -547.49384
101: bad sentence 50, PPL: -824.25653
102: good sentence 51, PPL: -786.94098
103: bad sentence 51, PPL: -1560.82019
104: good sentence 52, PPL: -472.43146
105: bad sentence 52, PPL: -755.17883
106: good sentence 53, PPL: -337.30972
107: bad sentence 53, PPL: -186.46638
108: good sentence 54, PPL: -1144.31995
109: bad sentence 54, PPL: -1480.36877
110: good sentence 55, PPL: -997.78479
111: bad sentence 55, PPL: -825.12915
112: good sentence 56, PPL: -517.49585
113: bad sentence 56, PPL: -728.21216
114: good sentence 57, PPL: -570.61597
115: bad sentence 57, PPL: -1216.12988
116: good sentence 58, PPL: -596.54248
117: bad sentence 58, PPL: -842.61273
118: good sentence 59, PPL: -350.28815
119: bad sentence 59, PPL: -240.32227
120: good sentence 60, PPL: -578.50043
121: bad sentence 60, PPL: -608.54907
122: good sentence 61, PPL: -763.52411
123: bad sentence 61, PPL: -650.02832
124: good sentence 62, PPL: -1456.70483
125: bad sentence 62, PPL: -3952.54126
126: good sentence 63, PPL: -699.02362
127: bad sentence 63, PPL: -814.72980
128: good sentence 64, PPL: -2255.11963
129: bad sentence 64, PPL: -5908.64990
130: good sentence 65, PPL: -865.60834
131: bad sentence 65, PPL: -510.76080
132: good sentence 66, PPL: -337.93921
133: bad sentence 66, PPL: -395.64331
134: good sentence 67, PPL: -1303.41980
135: bad sentence 67, PPL: -930.54736
136: good sentence 68, PPL: -632.38428
137: bad sentence 68, PPL: -317.92303
138: good sentence 69, PPL: -1167.05554
139: bad sentence 69, PPL: -1466.81860
140: good sentence 70, PPL: -842.33228
141: bad sentence 70, PPL: -1052.66638
142: good sentence 71, PPL: -1096.17102
143: bad sentence 71, PPL: -3790.29126
144: good sentence 72, PPL: -618.12134
145: bad sentence 72, PPL: -1025.97803
146: good sentence 73, PPL: -1251.81763
147: bad sentence 73, PPL: -899.69287
148: good sentence 74, PPL: -872.52509
149: bad sentence 74, PPL: -2375.64917
150: good sentence 75, PPL: -462.87271
151: bad sentence 75, PPL: -365.62979
152: good sentence 76, PPL: -504.77557
153: bad sentence 76, PPL: -816.68976
154: good sentence 77, PPL: -845.30737
155: bad sentence 77, PPL: -902.45563
156: good sentence 78, PPL: -574.06830
157: bad sentence 78, PPL: -688.41962
158: good sentence 79, PPL: -340.19720
159: bad sentence 79, PPL: -424.86752
160: good sentence 80, PPL: -583.64404
161: bad sentence 80, PPL: -1202.59216
162: good sentence 81, PPL: -2013.63904
163: bad sentence 81, PPL: -1591.18665
164: good sentence 82, PPL: -247.19963
165: bad sentence 82, PPL: -126.05059
166: good sentence 83, PPL: -466.65482
167: bad sentence 83, PPL: -863.94940
168: good sentence 84, PPL: -921.30737
169: bad sentence 84, PPL: -884.65210
170: good sentence 85, PPL: -1544.40930
171: bad sentence 85, PPL: -2104.10132
172: good sentence 86, PPL: -450.82327
173: bad sentence 86, PPL: -269.26254
174: good sentence 87, PPL: -2183.21387
175: bad sentence 87, PPL: -4634.23730
176: good sentence 88, PPL: -383.99121
177: bad sentence 88, PPL: -594.33667
178: good sentence 89, PPL: -425.91986
179: bad sentence 89, PPL: -935.69720
180: good sentence 90, PPL: -993.04871
181: bad sentence 90, PPL: -357.00760
182: good sentence 91, PPL: -495.58649
183: bad sentence 91, PPL: -531.85913
184: good sentence 92, PPL: -1637.01233
185: bad sentence 92, PPL: -2497.18750
186: good sentence 93, PPL: -1271.09021
187: bad sentence 93, PPL: -5520.66650
188: good sentence 94, PPL: -601.27167
189: bad sentence 94, PPL: -294.27383
190: good sentence 95, PPL: -1080.39673
191: bad sentence 95, PPL: -939.72272
192: good sentence 96, PPL: -483.08606
193: bad sentence 96, PPL: -1351.70911
194: good sentence 97, PPL: -223.45110
195: bad sentence 97, PPL: -68.72097
196: good sentence 98, PPL: -823.25531
197: bad sentence 98, PPL: -1475.47852
198: good sentence 99, PPL: -1185.32263
199: bad sentence 99, PPL: -2398.18579
200: good sentence 100, PPL: -977.12860
201: bad sentence 100, PPL: -1070.50098
202: good sentence 101, PPL: -659.54608
203: bad sentence 101, PPL: -1130.93274
204: good sentence 102, PPL: -355.12622
205: bad sentence 102, PPL: -564.69843
206: good sentence 103, PPL: -1191.69604
207: bad sentence 103, PPL: -1869.45886
208: good sentence 104, PPL: -1257.59473
209: bad sentence 104, PPL: -830.84253
210: good sentence 105, PPL: -650.51147
211: bad sentence 105, PPL: -732.90869
