head_final_clause_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.76800, Average Perplexity (Good Sentences): -1349.67200, Average Perplexity (Bad Sentences): -1685.55005
0: good sentence 0, PPL: -1314.01038
1: bad sentence 0, PPL: -2169.70068
2: good sentence 1, PPL: -1395.90698
3: bad sentence 1, PPL: -3294.77100
4: good sentence 2, PPL: -537.75220
5: bad sentence 2, PPL: -536.11206
6: good sentence 3, PPL: -1027.41150
7: bad sentence 3, PPL: -1005.15936
8: good sentence 4, PPL: -7815.73926
9: bad sentence 4, PPL: -5090.70410
10: good sentence 5, PPL: -855.00653
11: bad sentence 5, PPL: -879.33063
12: good sentence 6, PPL: -2016.06982
13: bad sentence 6, PPL: -1838.71777
14: good sentence 7, PPL: -1161.67712
15: bad sentence 7, PPL: -1818.80884
16: good sentence 8, PPL: -474.12158
17: bad sentence 8, PPL: -668.98914
18: good sentence 9, PPL: -1103.58154
19: bad sentence 9, PPL: -1239.84851
20: good sentence 10, PPL: -676.77747
21: bad sentence 10, PPL: -744.71234
22: good sentence 11, PPL: -1182.72437
23: bad sentence 11, PPL: -2732.15649
24: good sentence 12, PPL: -1635.28564
25: bad sentence 12, PPL: -1359.33875
26: good sentence 13, PPL: -2505.90820
27: bad sentence 13, PPL: -3367.01978
28: good sentence 14, PPL: -808.80981
29: bad sentence 14, PPL: -1098.50415
30: good sentence 15, PPL: -1326.48401
31: bad sentence 15, PPL: -1544.68311
32: good sentence 16, PPL: -846.53809
33: bad sentence 16, PPL: -994.40576
34: good sentence 17, PPL: -3889.23730
35: bad sentence 17, PPL: -3569.84644
36: good sentence 18, PPL: -1324.80334
37: bad sentence 18, PPL: -2020.75415
38: good sentence 19, PPL: -707.22003
39: bad sentence 19, PPL: -868.41003
40: good sentence 20, PPL: -3372.97485
41: bad sentence 20, PPL: -4753.26074
42: good sentence 21, PPL: -1314.61194
43: bad sentence 21, PPL: -1404.59021
44: good sentence 22, PPL: -867.25269
45: bad sentence 22, PPL: -1725.05029
46: good sentence 23, PPL: -904.00482
47: bad sentence 23, PPL: -1374.93396
48: good sentence 24, PPL: -356.53992
49: bad sentence 24, PPL: -589.58612
50: good sentence 25, PPL: -809.13885
51: bad sentence 25, PPL: -1727.33606
52: good sentence 26, PPL: -229.72295
53: bad sentence 26, PPL: -362.07623
54: good sentence 27, PPL: -720.45825
55: bad sentence 27, PPL: -812.04932
56: good sentence 28, PPL: -1339.79773
57: bad sentence 28, PPL: -1876.72742
58: good sentence 29, PPL: -1174.11414
59: bad sentence 29, PPL: -1348.01184
60: good sentence 30, PPL: -673.71899
61: bad sentence 30, PPL: -759.69598
62: good sentence 31, PPL: -799.65527
63: bad sentence 31, PPL: -993.61047
64: good sentence 32, PPL: -889.64838
65: bad sentence 32, PPL: -1156.79395
66: good sentence 33, PPL: -2493.14795
67: bad sentence 33, PPL: -2852.95190
68: good sentence 34, PPL: -5455.24561
69: bad sentence 34, PPL: -7001.86865
70: good sentence 35, PPL: -1371.15234
71: bad sentence 35, PPL: -2735.05298
72: good sentence 36, PPL: -4588.12500
73: bad sentence 36, PPL: -4978.64355
74: good sentence 37, PPL: -2213.64429
75: bad sentence 37, PPL: -2938.45605
76: good sentence 38, PPL: -1404.46570
77: bad sentence 38, PPL: -2135.48804
78: good sentence 39, PPL: -1605.64966
79: bad sentence 39, PPL: -2258.59448
80: good sentence 40, PPL: -1997.63269
81: bad sentence 40, PPL: -3160.56494
82: good sentence 41, PPL: -2562.96069
83: bad sentence 41, PPL: -2998.31006
84: good sentence 42, PPL: -1553.97705
85: bad sentence 42, PPL: -1832.35034
86: good sentence 43, PPL: -4119.22217
87: bad sentence 43, PPL: -4384.73438
88: good sentence 44, PPL: -2770.69556
89: bad sentence 44, PPL: -3228.94995
90: good sentence 45, PPL: -2177.13965
91: bad sentence 45, PPL: -1671.43481
92: good sentence 46, PPL: -677.61060
93: bad sentence 46, PPL: -762.91559
94: good sentence 47, PPL: -3033.58374
95: bad sentence 47, PPL: -2718.93408
96: good sentence 48, PPL: -4191.95850
97: bad sentence 48, PPL: -5205.80420
98: good sentence 49, PPL: -1108.90564
99: bad sentence 49, PPL: -1410.48645
100: good sentence 50, PPL: -832.24420
101: bad sentence 50, PPL: -952.30359
102: good sentence 51, PPL: -1304.74744
103: bad sentence 51, PPL: -2082.41602
104: good sentence 52, PPL: -1371.70886
105: bad sentence 52, PPL: -2387.58130
106: good sentence 53, PPL: -6072.00928
107: bad sentence 53, PPL: -7234.35645
108: good sentence 54, PPL: -376.52774
109: bad sentence 54, PPL: -716.05237
110: good sentence 55, PPL: -2575.06372
111: bad sentence 55, PPL: -2560.68750
112: good sentence 56, PPL: -1786.74634
113: bad sentence 56, PPL: -1634.56934
114: good sentence 57, PPL: -1493.69702
115: bad sentence 57, PPL: -1625.27710
116: good sentence 58, PPL: -3224.91821
117: bad sentence 58, PPL: -2910.81445
118: good sentence 59, PPL: -1109.88696
119: bad sentence 59, PPL: -1328.02820
120: good sentence 60, PPL: -797.27722
121: bad sentence 60, PPL: -853.83643
122: good sentence 61, PPL: -2859.83032
123: bad sentence 61, PPL: -2573.45703
124: good sentence 62, PPL: -2180.06494
125: bad sentence 62, PPL: -2366.74609
126: good sentence 63, PPL: -3740.30371
127: bad sentence 63, PPL: -1971.20447
128: good sentence 64, PPL: -2242.81494
129: bad sentence 64, PPL: -4222.15771
130: good sentence 65, PPL: -831.26892
131: bad sentence 65, PPL: -852.23871
132: good sentence 66, PPL: -1118.98242
133: bad sentence 66, PPL: -1629.20471
134: good sentence 67, PPL: -5374.10742
135: bad sentence 67, PPL: -5232.04834
136: good sentence 68, PPL: -640.29059
137: bad sentence 68, PPL: -784.78937
138: good sentence 69, PPL: -708.70972
139: bad sentence 69, PPL: -602.77277
140: good sentence 70, PPL: -1365.07556
141: bad sentence 70, PPL: -1309.22961
142: good sentence 71, PPL: -3603.29443
143: bad sentence 71, PPL: -3436.75000
144: good sentence 72, PPL: -669.77338
145: bad sentence 72, PPL: -510.62396
146: good sentence 73, PPL: -1031.82471
147: bad sentence 73, PPL: -860.69733
148: good sentence 74, PPL: -3439.18628
149: bad sentence 74, PPL: -7009.77930
150: good sentence 75, PPL: -626.23419
151: bad sentence 75, PPL: -1165.14990
152: good sentence 76, PPL: -2450.72485
153: bad sentence 76, PPL: -3158.22949
154: good sentence 77, PPL: -931.70447
155: bad sentence 77, PPL: -1309.39502
156: good sentence 78, PPL: -1115.10474
157: bad sentence 78, PPL: -2468.64990
158: good sentence 79, PPL: -6075.56006
159: bad sentence 79, PPL: -5412.20947
160: good sentence 80, PPL: -1110.59802
161: bad sentence 80, PPL: -1359.04309
162: good sentence 81, PPL: -633.87506
163: bad sentence 81, PPL: -788.70062
164: good sentence 82, PPL: -1615.25098
165: bad sentence 82, PPL: -2305.90356
166: good sentence 83, PPL: -378.19934
167: bad sentence 83, PPL: -342.39227
168: good sentence 84, PPL: -1644.20947
169: bad sentence 84, PPL: -3431.54932
170: good sentence 85, PPL: -2236.31445
171: bad sentence 85, PPL: -3536.33130
172: good sentence 86, PPL: -1066.06055
173: bad sentence 86, PPL: -837.62958
174: good sentence 87, PPL: -319.75049
175: bad sentence 87, PPL: -548.03320
176: good sentence 88, PPL: -3335.17944
177: bad sentence 88, PPL: -2653.43359
178: good sentence 89, PPL: -1002.81598
179: bad sentence 89, PPL: -1882.39160
180: good sentence 90, PPL: -2224.76294
181: bad sentence 90, PPL: -2139.78564
182: good sentence 91, PPL: -3939.29517
183: bad sentence 91, PPL: -4532.00830
184: good sentence 92, PPL: -2757.06567
185: bad sentence 92, PPL: -2489.40015
186: good sentence 93, PPL: -455.79260
187: bad sentence 93, PPL: -794.73376
188: good sentence 94, PPL: -1883.07581
189: bad sentence 94, PPL: -1658.18494
190: good sentence 95, PPL: -2506.72681
191: bad sentence 95, PPL: -4813.69092
192: good sentence 96, PPL: -2052.65576
193: bad sentence 96, PPL: -3050.57861
194: good sentence 97, PPL: -414.37885
195: bad sentence 97, PPL: -559.07355
196: good sentence 98, PPL: -3346.15503
197: bad sentence 98, PPL: -4147.88037
198: good sentence 99, PPL: -4037.03027
199: bad sentence 99, PPL: -5193.68457
200: good sentence 100, PPL: -737.42627
201: bad sentence 100, PPL: -1650.81702
202: good sentence 101, PPL: -2832.61890
203: bad sentence 101, PPL: -4307.38330
204: good sentence 102, PPL: -1265.28186
205: bad sentence 102, PPL: -1708.49548
206: good sentence 103, PPL: -1072.41992
207: bad sentence 103, PPL: -1429.17554
208: good sentence 104, PPL: -374.19571
209: bad sentence 104, PPL: -465.04169
210: good sentence 105, PPL: -1968.53113
211: bad sentence 105, PPL: -1915.96423
212: good sentence 106, PPL: -1082.72168
213: bad sentence 106, PPL: -955.15314
214: good sentence 107, PPL: -5071.43799
215: bad sentence 107, PPL: -4411.95703
216: good sentence 108, PPL: -2974.57568
217: bad sentence 108, PPL: -2723.75342
218: good sentence 109, PPL: -177.31360
219: bad sentence 109, PPL: -285.43112
220: good sentence 110, PPL: -627.55548
221: bad sentence 110, PPL: -622.07648
222: good sentence 111, PPL: -2167.51245
223: bad sentence 111, PPL: -6148.26758
224: good sentence 112, PPL: -1114.22461
225: bad sentence 112, PPL: -1253.39624
226: good sentence 113, PPL: -767.12421
227: bad sentence 113, PPL: -1091.39307
228: good sentence 114, PPL: -6154.75586
229: bad sentence 114, PPL: -3082.08765
230: good sentence 115, PPL: -2129.03491
231: bad sentence 115, PPL: -2095.86035
232: good sentence 116, PPL: -4236.51660
233: bad sentence 116, PPL: -4372.96631
234: good sentence 117, PPL: -950.83569
235: bad sentence 117, PPL: -1462.06323
236: good sentence 118, PPL: -964.19958
237: bad sentence 118, PPL: -1618.15344
238: good sentence 119, PPL: -2140.93774
239: bad sentence 119, PPL: -3026.42017
240: good sentence 120, PPL: -2240.35107
241: bad sentence 120, PPL: -4621.60596
242: good sentence 121, PPL: -603.89648
243: bad sentence 121, PPL: -581.44623
244: good sentence 122, PPL: -3419.63477
245: bad sentence 122, PPL: -4161.27637
246: good sentence 123, PPL: -704.84656
247: bad sentence 123, PPL: -788.69159
248: good sentence 124, PPL: -1955.64148
249: bad sentence 124, PPL: -2631.45776
250: good sentence 125, PPL: -457.97711
251: bad sentence 125, PPL: -558.06354
252: good sentence 126, PPL: -2318.51343
253: bad sentence 126, PPL: -3474.82153
254: good sentence 127, PPL: -1226.23157
255: bad sentence 127, PPL: -1201.43604
256: good sentence 128, PPL: -2994.18677
257: bad sentence 128, PPL: -4090.08667
258: good sentence 129, PPL: -934.11017
259: bad sentence 129, PPL: -1441.12329
260: good sentence 130, PPL: -3089.26196
261: bad sentence 130, PPL: -4969.59766
262: good sentence 131, PPL: -2209.61597
263: bad sentence 131, PPL: -2094.92407
264: good sentence 132, PPL: -811.61658
265: bad sentence 132, PPL: -766.30670
266: good sentence 133, PPL: -1628.58350
267: bad sentence 133, PPL: -1895.43030
268: good sentence 134, PPL: -484.32977
269: bad sentence 134, PPL: -548.08002
270: good sentence 135, PPL: -2607.63379
271: bad sentence 135, PPL: -3057.08789
272: good sentence 136, PPL: -1027.17249
273: bad sentence 136, PPL: -1645.33032
274: good sentence 137, PPL: -717.44647
275: bad sentence 137, PPL: -742.90424
276: good sentence 138, PPL: -1077.39587
277: bad sentence 138, PPL: -1746.53613
278: good sentence 139, PPL: -543.58435
279: bad sentence 139, PPL: -819.90771
280: good sentence 140, PPL: -547.06482
281: bad sentence 140, PPL: -529.41309
282: good sentence 141, PPL: -5197.06885
283: bad sentence 141, PPL: -5216.09131
284: good sentence 142, PPL: -1231.18237
285: bad sentence 142, PPL: -1399.08423
286: good sentence 143, PPL: -936.37567
287: bad sentence 143, PPL: -1499.64893
288: good sentence 144, PPL: -5259.44336
289: bad sentence 144, PPL: -6236.24463
290: good sentence 145, PPL: -698.46716
291: bad sentence 145, PPL: -742.78522
292: good sentence 146, PPL: -2745.71851
293: bad sentence 146, PPL: -2733.52368
294: good sentence 147, PPL: -1160.88965
295: bad sentence 147, PPL: -1005.82959
296: good sentence 148, PPL: -1175.39978
297: bad sentence 148, PPL: -1732.61963
298: good sentence 149, PPL: -958.28174
299: bad sentence 149, PPL: -716.69666
300: good sentence 150, PPL: -798.66180
301: bad sentence 150, PPL: -769.50037
302: good sentence 151, PPL: -230.58653
303: bad sentence 151, PPL: -305.14325
304: good sentence 152, PPL: -1917.43274
305: bad sentence 152, PPL: -2046.90649
306: good sentence 153, PPL: -1097.86743
307: bad sentence 153, PPL: -983.91412
308: good sentence 154, PPL: -756.92804
309: bad sentence 154, PPL: -1378.56177
310: good sentence 155, PPL: -567.46869
311: bad sentence 155, PPL: -878.44470
312: good sentence 156, PPL: -724.38281
313: bad sentence 156, PPL: -613.98499
314: good sentence 157, PPL: -734.96088
315: bad sentence 157, PPL: -750.78192
316: good sentence 158, PPL: -380.31232
317: bad sentence 158, PPL: -455.01782
318: good sentence 159, PPL: -454.99548
319: bad sentence 159, PPL: -769.93127
320: good sentence 160, PPL: -1405.31580
321: bad sentence 160, PPL: -1955.79626
322: good sentence 161, PPL: -6023.68799
323: bad sentence 161, PPL: -7905.13965
324: good sentence 162, PPL: -1889.11316
325: bad sentence 162, PPL: -2512.31274
326: good sentence 163, PPL: -641.23596
327: bad sentence 163, PPL: -970.60370
328: good sentence 164, PPL: -516.12616
329: bad sentence 164, PPL: -600.53357
330: good sentence 165, PPL: -528.26270
331: bad sentence 165, PPL: -710.62677
332: good sentence 166, PPL: -4158.97510
333: bad sentence 166, PPL: -7269.13623
334: good sentence 167, PPL: -1575.04492
335: bad sentence 167, PPL: -1867.59241
336: good sentence 168, PPL: -402.76318
337: bad sentence 168, PPL: -671.71985
338: good sentence 169, PPL: -913.43140
339: bad sentence 169, PPL: -2431.57690
340: good sentence 170, PPL: -5418.05029
341: bad sentence 170, PPL: -6711.39795
342: good sentence 171, PPL: -988.12830
343: bad sentence 171, PPL: -2059.67480
344: good sentence 172, PPL: -889.05768
345: bad sentence 172, PPL: -1247.25061
346: good sentence 173, PPL: -734.49280
347: bad sentence 173, PPL: -1082.45117
348: good sentence 174, PPL: -551.15601
349: bad sentence 174, PPL: -532.85345
350: good sentence 175, PPL: -3037.29492
351: bad sentence 175, PPL: -7552.43652
352: good sentence 176, PPL: -2774.89087
353: bad sentence 176, PPL: -2261.88696
354: good sentence 177, PPL: -754.80945
355: bad sentence 177, PPL: -818.52454
356: good sentence 178, PPL: -2133.86768
357: bad sentence 178, PPL: -3097.10864
358: good sentence 179, PPL: -1468.66077
359: bad sentence 179, PPL: -1814.07532
360: good sentence 180, PPL: -531.11121
361: bad sentence 180, PPL: -808.92474
362: good sentence 181, PPL: -6783.53857
363: bad sentence 181, PPL: -7567.53369
364: good sentence 182, PPL: -984.09290
365: bad sentence 182, PPL: -1255.03381
366: good sentence 183, PPL: -159.25446
367: bad sentence 183, PPL: -279.36542
368: good sentence 184, PPL: -3174.54224
369: bad sentence 184, PPL: -3015.21094
370: good sentence 185, PPL: -1496.71924
371: bad sentence 185, PPL: -3202.52954
372: good sentence 186, PPL: -1720.31311
373: bad sentence 186, PPL: -2033.97217
374: good sentence 187, PPL: -882.23065
375: bad sentence 187, PPL: -1059.89307
376: good sentence 188, PPL: -1254.04614
377: bad sentence 188, PPL: -1789.18396
378: good sentence 189, PPL: -505.40778
379: bad sentence 189, PPL: -605.75641
380: good sentence 190, PPL: -988.34924
381: bad sentence 190, PPL: -1119.60791
382: good sentence 191, PPL: -1707.53528
383: bad sentence 191, PPL: -1473.65540
384: good sentence 192, PPL: -3281.65063
385: bad sentence 192, PPL: -2811.70117
386: good sentence 193, PPL: -271.81345
387: bad sentence 193, PPL: -311.65970
388: good sentence 194, PPL: -3775.00317
389: bad sentence 194, PPL: -4441.63135
390: good sentence 195, PPL: -745.57288
391: bad sentence 195, PPL: -926.54614
392: good sentence 196, PPL: -4387.18506
393: bad sentence 196, PPL: -4212.40869
394: good sentence 197, PPL: -665.18286
395: bad sentence 197, PPL: -1714.68103
396: good sentence 198, PPL: -1551.78296
397: bad sentence 198, PPL: -1356.15662
398: good sentence 199, PPL: -575.13824
399: bad sentence 199, PPL: -627.89966
400: good sentence 200, PPL: -3085.00171
401: bad sentence 200, PPL: -3703.52759
402: good sentence 201, PPL: -1004.43018
403: bad sentence 201, PPL: -1965.30115
404: good sentence 202, PPL: -4245.95312
405: bad sentence 202, PPL: -4726.56836
406: good sentence 203, PPL: -1677.64465
407: bad sentence 203, PPL: -3179.73853
408: good sentence 204, PPL: -1054.81238
409: bad sentence 204, PPL: -884.67615
410: good sentence 205, PPL: -1632.07239
411: bad sentence 205, PPL: -1250.01086
412: good sentence 206, PPL: -2500.18262
413: bad sentence 206, PPL: -4086.52661
414: good sentence 207, PPL: -2754.43750
415: bad sentence 207, PPL: -2763.07373
416: good sentence 208, PPL: -688.50110
417: bad sentence 208, PPL: -894.23322
418: good sentence 209, PPL: -1712.15076
419: bad sentence 209, PPL: -4162.69336
420: good sentence 210, PPL: -1841.87341
421: bad sentence 210, PPL: -2153.19775
422: good sentence 211, PPL: -2904.98950
423: bad sentence 211, PPL: -2692.37891
424: good sentence 212, PPL: -874.36475
425: bad sentence 212, PPL: -1731.93494
426: good sentence 213, PPL: -1893.47363
427: bad sentence 213, PPL: -1969.25220
428: good sentence 214, PPL: -2486.46851
429: bad sentence 214, PPL: -4945.31982
430: good sentence 215, PPL: -3399.33569
431: bad sentence 215, PPL: -7807.90918
432: good sentence 216, PPL: -18771.50977
433: bad sentence 216, PPL: -15777.10547
434: good sentence 217, PPL: -4421.43408
435: bad sentence 217, PPL: -3344.32373
436: good sentence 218, PPL: -897.88300
437: bad sentence 218, PPL: -891.09576
438: good sentence 219, PPL: -393.94437
439: bad sentence 219, PPL: -805.26709
440: good sentence 220, PPL: -2036.57214
441: bad sentence 220, PPL: -1559.35107
442: good sentence 221, PPL: -2031.91602
443: bad sentence 221, PPL: -1628.11292
444: good sentence 222, PPL: -1723.90002
445: bad sentence 222, PPL: -1439.63074
446: good sentence 223, PPL: -1672.19617
447: bad sentence 223, PPL: -3065.58057
448: good sentence 224, PPL: -2707.79053
449: bad sentence 224, PPL: -5772.50293
450: good sentence 225, PPL: -615.54810
451: bad sentence 225, PPL: -701.75183
452: good sentence 226, PPL: -697.85498
453: bad sentence 226, PPL: -897.32019
454: good sentence 227, PPL: -875.34131
455: bad sentence 227, PPL: -1033.32739
456: good sentence 228, PPL: -2389.51074
457: bad sentence 228, PPL: -2202.25684
458: good sentence 229, PPL: -1205.75476
459: bad sentence 229, PPL: -1540.60132
460: good sentence 230, PPL: -931.26471
461: bad sentence 230, PPL: -1322.01587
462: good sentence 231, PPL: -1263.42615
463: bad sentence 231, PPL: -948.12061
464: good sentence 232, PPL: -1837.99902
465: bad sentence 232, PPL: -2328.15967
466: good sentence 233, PPL: -496.55276
467: bad sentence 233, PPL: -450.57803
468: good sentence 234, PPL: -1443.82153
469: bad sentence 234, PPL: -1578.88281
470: good sentence 235, PPL: -1564.71228
471: bad sentence 235, PPL: -2094.87329
472: good sentence 236, PPL: -703.84497
473: bad sentence 236, PPL: -1076.54285
474: good sentence 237, PPL: -981.98633
475: bad sentence 237, PPL: -1080.65332
476: good sentence 238, PPL: -578.30267
477: bad sentence 238, PPL: -1286.94446
478: good sentence 239, PPL: -767.33490
479: bad sentence 239, PPL: -1415.19019
480: good sentence 240, PPL: -2422.85474
481: bad sentence 240, PPL: -3053.65527
482: good sentence 241, PPL: -560.59760
483: bad sentence 241, PPL: -507.30606
484: good sentence 242, PPL: -720.47949
485: bad sentence 242, PPL: -794.33368
486: good sentence 243, PPL: -2236.71143
487: bad sentence 243, PPL: -4795.88916
488: good sentence 244, PPL: -853.61908
489: bad sentence 244, PPL: -1274.15405
490: good sentence 245, PPL: -1571.29492
491: bad sentence 245, PPL: -2272.79688
492: good sentence 246, PPL: -744.24585
493: bad sentence 246, PPL: -573.65814
494: good sentence 247, PPL: -1485.71985
495: bad sentence 247, PPL: -1860.20837
496: good sentence 248, PPL: -448.33331
497: bad sentence 248, PPL: -799.01874
498: good sentence 249, PPL: -2094.01025
499: bad sentence 249, PPL: -2191.39624
500: good sentence 250, PPL: -934.05316
501: bad sentence 250, PPL: -1158.34009
502: good sentence 251, PPL: -5191.33252
503: bad sentence 251, PPL: -4157.29395
504: good sentence 252, PPL: -1137.27173
505: bad sentence 252, PPL: -2290.81909
506: good sentence 253, PPL: -448.40985
507: bad sentence 253, PPL: -562.40350
508: good sentence 254, PPL: -2063.22437
509: bad sentence 254, PPL: -2579.92969
510: good sentence 255, PPL: -389.92700
511: bad sentence 255, PPL: -868.55048
512: good sentence 256, PPL: -780.06824
513: bad sentence 256, PPL: -1040.70703
514: good sentence 257, PPL: -1843.92615
515: bad sentence 257, PPL: -2512.38232
516: good sentence 258, PPL: -884.74451
517: bad sentence 258, PPL: -1315.75525
518: good sentence 259, PPL: -818.26459
519: bad sentence 259, PPL: -1070.96204
520: good sentence 260, PPL: -1282.77466
521: bad sentence 260, PPL: -1794.54285
522: good sentence 261, PPL: -1732.89807
523: bad sentence 261, PPL: -2109.29297
524: good sentence 262, PPL: -870.69598
525: bad sentence 262, PPL: -772.86700
526: good sentence 263, PPL: -1722.60913
527: bad sentence 263, PPL: -2262.33765
528: good sentence 264, PPL: -1349.33667
529: bad sentence 264, PPL: -1599.34631
530: good sentence 265, PPL: -1635.87073
531: bad sentence 265, PPL: -2597.10254
532: good sentence 266, PPL: -936.65076
533: bad sentence 266, PPL: -1170.09338
534: good sentence 267, PPL: -1574.28357
535: bad sentence 267, PPL: -1379.80933
536: good sentence 268, PPL: -1228.69043
537: bad sentence 268, PPL: -1668.61572
538: good sentence 269, PPL: -384.15182
539: bad sentence 269, PPL: -444.33450
540: good sentence 270, PPL: -3036.35083
541: bad sentence 270, PPL: -8436.68066
542: good sentence 271, PPL: -970.63196
543: bad sentence 271, PPL: -1527.53320
544: good sentence 272, PPL: -2286.91846
545: bad sentence 272, PPL: -2544.49902
546: good sentence 273, PPL: -1594.66699
547: bad sentence 273, PPL: -1497.67737
548: good sentence 274, PPL: -641.77466
549: bad sentence 274, PPL: -472.26050
550: good sentence 275, PPL: -477.80756
551: bad sentence 275, PPL: -673.78455
552: good sentence 276, PPL: -637.77368
553: bad sentence 276, PPL: -1401.33032
554: good sentence 277, PPL: -526.08453
555: bad sentence 277, PPL: -583.13666
556: good sentence 278, PPL: -929.42767
557: bad sentence 278, PPL: -1251.80383
558: good sentence 279, PPL: -2305.27490
559: bad sentence 279, PPL: -1597.83179
560: good sentence 280, PPL: -4590.80371
561: bad sentence 280, PPL: -5701.10059
562: good sentence 281, PPL: -368.50153
563: bad sentence 281, PPL: -446.11911
564: good sentence 282, PPL: -1905.18481
565: bad sentence 282, PPL: -3209.24658
566: good sentence 283, PPL: -1577.72241
567: bad sentence 283, PPL: -1887.27295
568: good sentence 284, PPL: -2276.71802
569: bad sentence 284, PPL: -2885.52222
570: good sentence 285, PPL: -1989.39478
571: bad sentence 285, PPL: -1486.50000
572: good sentence 286, PPL: -2196.35986
573: bad sentence 286, PPL: -2477.33105
574: good sentence 287, PPL: -1412.08740
575: bad sentence 287, PPL: -1884.96326
576: good sentence 288, PPL: -2838.05518
577: bad sentence 288, PPL: -2096.23999
578: good sentence 289, PPL: -2093.85864
579: bad sentence 289, PPL: -4358.14062
580: good sentence 290, PPL: -498.89523
581: bad sentence 290, PPL: -440.74841
582: good sentence 291, PPL: -726.89587
583: bad sentence 291, PPL: -984.56268
584: good sentence 292, PPL: -196.66397
585: bad sentence 292, PPL: -399.15616
586: good sentence 293, PPL: -15349.65527
587: bad sentence 293, PPL: -6788.41211
588: good sentence 294, PPL: -1684.47900
589: bad sentence 294, PPL: -3024.29102
590: good sentence 295, PPL: -896.04089
591: bad sentence 295, PPL: -666.95605
592: good sentence 296, PPL: -1009.26575
593: bad sentence 296, PPL: -1382.61304
594: good sentence 297, PPL: -2065.13501
595: bad sentence 297, PPL: -1307.65601
596: good sentence 298, PPL: -812.48236
597: bad sentence 298, PPL: -1132.56567
598: good sentence 299, PPL: -3581.57373
599: bad sentence 299, PPL: -3278.61304
600: good sentence 300, PPL: -1147.59412
601: bad sentence 300, PPL: -1056.70776
602: good sentence 301, PPL: -3478.99976
603: bad sentence 301, PPL: -3558.90430
604: good sentence 302, PPL: -6281.00342
605: bad sentence 302, PPL: -5471.15723
606: good sentence 303, PPL: -685.78113
607: bad sentence 303, PPL: -921.58331
608: good sentence 304, PPL: -571.10431
609: bad sentence 304, PPL: -794.00037
610: good sentence 305, PPL: -873.94415
611: bad sentence 305, PPL: -1286.25244
612: good sentence 306, PPL: -2684.43359
613: bad sentence 306, PPL: -2868.57373
614: good sentence 307, PPL: -738.41327
615: bad sentence 307, PPL: -1869.51331
616: good sentence 308, PPL: -2045.22644
617: bad sentence 308, PPL: -2167.53125
618: good sentence 309, PPL: -2050.44092
619: bad sentence 309, PPL: -3009.77246
620: good sentence 310, PPL: -573.90106
621: bad sentence 310, PPL: -445.48605
622: good sentence 311, PPL: -2684.85864
623: bad sentence 311, PPL: -2738.49683
624: good sentence 312, PPL: -855.77173
625: bad sentence 312, PPL: -1397.63074
626: good sentence 313, PPL: -1172.91943
627: bad sentence 313, PPL: -1610.81079
628: good sentence 314, PPL: -985.58014
629: bad sentence 314, PPL: -1442.65442
630: good sentence 315, PPL: -300.95239
631: bad sentence 315, PPL: -264.24750
632: good sentence 316, PPL: -1065.63367
633: bad sentence 316, PPL: -1292.20752
