passive_formal_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.50300, Average Perplexity (Good Sentences): -866.30530, Average Perplexity (Bad Sentences): -867.49500
0: good sentence 0, PPL: -374.03320
1: bad sentence 0, PPL: -491.61234
2: good sentence 1, PPL: -791.11230
3: bad sentence 1, PPL: -452.93597
4: good sentence 2, PPL: -540.57483
5: bad sentence 2, PPL: -1333.92114
6: good sentence 3, PPL: -803.82617
7: bad sentence 3, PPL: -513.93652
8: good sentence 4, PPL: -868.53345
9: bad sentence 4, PPL: -1447.46338
10: good sentence 5, PPL: -3926.58008
11: bad sentence 5, PPL: -168.27321
12: good sentence 6, PPL: -2277.46509
13: bad sentence 6, PPL: -2711.10815
14: good sentence 7, PPL: -361.61591
15: bad sentence 7, PPL: -1103.30847
16: good sentence 8, PPL: -907.15881
17: bad sentence 8, PPL: -429.21310
18: good sentence 9, PPL: -836.76337
19: bad sentence 9, PPL: -565.95160
20: good sentence 10, PPL: -270.34747
21: bad sentence 10, PPL: -584.37030
22: good sentence 11, PPL: -1795.39197
23: bad sentence 11, PPL: -347.61404
24: good sentence 12, PPL: -50.91507
25: bad sentence 12, PPL: -224.42334
26: good sentence 13, PPL: -505.83987
27: bad sentence 13, PPL: -915.54547
28: good sentence 14, PPL: -110.77366
29: bad sentence 14, PPL: -290.42136
30: good sentence 15, PPL: -395.17233
31: bad sentence 15, PPL: -1254.28833
32: good sentence 16, PPL: -1491.64355
33: bad sentence 16, PPL: -984.13611
34: good sentence 17, PPL: -1260.13269
35: bad sentence 17, PPL: -208.46880
36: good sentence 18, PPL: -1109.69385
37: bad sentence 18, PPL: -27959.62500
38: good sentence 19, PPL: -1854.72327
39: bad sentence 19, PPL: -1317.55273
40: good sentence 20, PPL: -1127.10876
41: bad sentence 20, PPL: -5197.05371
42: good sentence 21, PPL: -1564.34460
43: bad sentence 21, PPL: -827.41199
44: good sentence 22, PPL: -828.01068
45: bad sentence 22, PPL: -901.97510
46: good sentence 23, PPL: -4227.66992
47: bad sentence 23, PPL: -5064.23682
48: good sentence 24, PPL: -23019.69727
49: bad sentence 24, PPL: -5329.03223
50: good sentence 25, PPL: -6142.33643
51: bad sentence 25, PPL: -3574.60571
52: good sentence 26, PPL: -1379.21533
53: bad sentence 26, PPL: -278.75464
54: good sentence 27, PPL: -2143.92480
55: bad sentence 27, PPL: -580.77069
56: good sentence 28, PPL: -1085.85840
57: bad sentence 28, PPL: -1197.47815
58: good sentence 29, PPL: -4516.20020
59: bad sentence 29, PPL: -16706.22266
60: good sentence 30, PPL: -5862.61816
61: bad sentence 30, PPL: -2772.07104
62: good sentence 31, PPL: -97.46060
63: bad sentence 31, PPL: -465.54312
64: good sentence 32, PPL: -1131.07019
65: bad sentence 32, PPL: -1229.55151
66: good sentence 33, PPL: -148.79602
67: bad sentence 33, PPL: -135.01707
68: good sentence 34, PPL: -3925.58813
69: bad sentence 34, PPL: -1303.56079
70: good sentence 35, PPL: -19799.55078
71: bad sentence 35, PPL: -4707.34668
72: good sentence 36, PPL: -599.52411
73: bad sentence 36, PPL: -636.15814
74: good sentence 37, PPL: -3645.19189
75: bad sentence 37, PPL: -1045.45862
76: good sentence 38, PPL: -172.89792
77: bad sentence 38, PPL: -251.97739
78: good sentence 39, PPL: -2476.83618
79: bad sentence 39, PPL: -262.53415
80: good sentence 40, PPL: -3645.03540
81: bad sentence 40, PPL: -2807.11963
82: good sentence 41, PPL: -7975.01514
83: bad sentence 41, PPL: -1604.97144
84: good sentence 42, PPL: -1502.68054
85: bad sentence 42, PPL: -3076.15869
86: good sentence 43, PPL: -161.25107
87: bad sentence 43, PPL: -2128.50586
88: good sentence 44, PPL: -1187.82520
89: bad sentence 44, PPL: -394.02325
90: good sentence 45, PPL: -565.69965
91: bad sentence 45, PPL: -328.55865
92: good sentence 46, PPL: -1897.74182
93: bad sentence 46, PPL: -1890.33057
94: good sentence 47, PPL: -754.69464
95: bad sentence 47, PPL: -3122.37305
96: good sentence 48, PPL: -604.19690
97: bad sentence 48, PPL: -1318.60742
98: good sentence 49, PPL: -537.63245
99: bad sentence 49, PPL: -495.05060
100: good sentence 50, PPL: -1235.10962
101: bad sentence 50, PPL: -1015.50073
102: good sentence 51, PPL: -1598.54810
103: bad sentence 51, PPL: -1378.45068
104: good sentence 52, PPL: -658.71259
105: bad sentence 52, PPL: -639.88562
106: good sentence 53, PPL: -739.18793
107: bad sentence 53, PPL: -2706.65430
108: good sentence 54, PPL: -1159.24731
109: bad sentence 54, PPL: -1235.82544
110: good sentence 55, PPL: -336.40347
111: bad sentence 55, PPL: -866.83624
