verb_complement_direction_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.91800, Average Perplexity (Good Sentences): -1086.46497, Average Perplexity (Bad Sentences): -2439.11206
0: good sentence 0, PPL: -650.76770
1: bad sentence 0, PPL: -1282.32947
2: good sentence 1, PPL: -1282.41321
3: bad sentence 1, PPL: -15107.63184
4: good sentence 2, PPL: -1605.25537
5: bad sentence 2, PPL: -4726.82080
6: good sentence 3, PPL: -739.24719
7: bad sentence 3, PPL: -3580.97607
8: good sentence 4, PPL: -773.96448
9: bad sentence 4, PPL: -2751.63354
10: good sentence 5, PPL: -1870.26855
11: bad sentence 5, PPL: -9705.07910
12: good sentence 6, PPL: -965.08966
13: bad sentence 6, PPL: -1121.88184
14: good sentence 7, PPL: -1141.42126
15: bad sentence 7, PPL: -1900.38782
16: good sentence 8, PPL: -1085.54468
17: bad sentence 8, PPL: -2541.57568
18: good sentence 9, PPL: -513.01666
19: bad sentence 9, PPL: -801.89478
20: good sentence 10, PPL: -599.43726
21: bad sentence 10, PPL: -2990.86768
22: good sentence 11, PPL: -363.81296
23: bad sentence 11, PPL: -1537.49792
24: good sentence 12, PPL: -410.98047
25: bad sentence 12, PPL: -380.13284
26: good sentence 13, PPL: -221.54427
27: bad sentence 13, PPL: -2057.76147
28: good sentence 14, PPL: -154.80551
29: bad sentence 14, PPL: -123.14812
30: good sentence 15, PPL: -1280.23083
31: bad sentence 15, PPL: -2788.24316
32: good sentence 16, PPL: -9290.99316
33: bad sentence 16, PPL: -6089.30176
34: good sentence 17, PPL: -594.64740
35: bad sentence 17, PPL: -3479.89209
36: good sentence 18, PPL: -664.56244
37: bad sentence 18, PPL: -788.86084
38: good sentence 19, PPL: -1885.10266
39: bad sentence 19, PPL: -1889.04468
40: good sentence 20, PPL: -1996.01111
41: bad sentence 20, PPL: -3221.72461
42: good sentence 21, PPL: -637.36810
43: bad sentence 21, PPL: -4790.33057
44: good sentence 22, PPL: -381.18961
45: bad sentence 22, PPL: -470.50369
46: good sentence 23, PPL: -584.49182
47: bad sentence 23, PPL: -2907.08740
48: good sentence 24, PPL: -341.62463
49: bad sentence 24, PPL: -583.82025
50: good sentence 25, PPL: -1040.73096
51: bad sentence 25, PPL: -6695.04541
52: good sentence 26, PPL: -720.44342
53: bad sentence 26, PPL: -1339.59534
54: good sentence 27, PPL: -213.29092
55: bad sentence 27, PPL: -770.33008
56: good sentence 28, PPL: -10195.65820
57: bad sentence 28, PPL: -14124.20117
58: good sentence 29, PPL: -1516.49829
59: bad sentence 29, PPL: -2163.16357
60: good sentence 30, PPL: -114.68049
61: bad sentence 30, PPL: -212.96815
62: good sentence 31, PPL: -1689.92151
