verb_complement_frequency_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.25400, Average Perplexity (Good Sentences): -1222.73181, Average Perplexity (Bad Sentences): -884.19153
0: good sentence 0, PPL: -3010.04517
1: bad sentence 0, PPL: -1961.65613
2: good sentence 1, PPL: -2329.31885
3: bad sentence 1, PPL: -1306.03406
4: good sentence 2, PPL: -1281.56421
5: bad sentence 2, PPL: -924.16510
6: good sentence 3, PPL: -1422.75269
7: bad sentence 3, PPL: -1263.79736
8: good sentence 4, PPL: -1052.31458
9: bad sentence 4, PPL: -1158.56714
10: good sentence 5, PPL: -463.82233
11: bad sentence 5, PPL: -361.71436
12: good sentence 6, PPL: -933.29980
13: bad sentence 6, PPL: -2864.39941
14: good sentence 7, PPL: -2376.98633
15: bad sentence 7, PPL: -1699.81201
16: good sentence 8, PPL: -585.43073
17: bad sentence 8, PPL: -533.77069
18: good sentence 9, PPL: -218.37386
19: bad sentence 9, PPL: -271.13834
20: good sentence 10, PPL: -835.38788
21: bad sentence 10, PPL: -556.95264
22: good sentence 11, PPL: -884.66260
23: bad sentence 11, PPL: -695.46021
24: good sentence 12, PPL: -808.56958
25: bad sentence 12, PPL: -698.73633
26: good sentence 13, PPL: -278.00201
27: bad sentence 13, PPL: -258.43164
28: good sentence 14, PPL: -474.09058
29: bad sentence 14, PPL: -732.25159
30: good sentence 15, PPL: -1521.29358
31: bad sentence 15, PPL: -757.15472
32: good sentence 16, PPL: -473.87427
33: bad sentence 16, PPL: -562.09033
34: good sentence 17, PPL: -2603.46436
35: bad sentence 17, PPL: -1239.93494
36: good sentence 18, PPL: -460.42731
37: bad sentence 18, PPL: -487.64099
38: good sentence 19, PPL: -768.91064
39: bad sentence 19, PPL: -411.09140
40: good sentence 20, PPL: -488.81177
41: bad sentence 20, PPL: -675.65735
42: good sentence 21, PPL: -822.27887
43: bad sentence 21, PPL: -838.58356
44: good sentence 22, PPL: -426.12015
45: bad sentence 22, PPL: -442.94128
46: good sentence 23, PPL: -684.83807
47: bad sentence 23, PPL: -368.68503
48: good sentence 24, PPL: -1234.24951
49: bad sentence 24, PPL: -622.39246
50: good sentence 25, PPL: -1401.03760
51: bad sentence 25, PPL: -1124.30505
52: good sentence 26, PPL: -803.64026
53: bad sentence 26, PPL: -913.47192
54: good sentence 27, PPL: -676.36230
55: bad sentence 27, PPL: -382.54324
56: good sentence 28, PPL: -615.35168
57: bad sentence 28, PPL: -606.86316
58: good sentence 29, PPL: -1418.31323
59: bad sentence 29, PPL: -1022.08331
60: good sentence 30, PPL: -2037.04211
61: bad sentence 30, PPL: -1597.39062
62: good sentence 31, PPL: -14256.04980
63: bad sentence 31, PPL: -2376.64160
64: good sentence 32, PPL: -682.80829
65: bad sentence 32, PPL: -372.98862
66: good sentence 33, PPL: -652.12207
67: bad sentence 33, PPL: -652.25732
68: good sentence 34, PPL: -1518.27161
69: bad sentence 34, PPL: -833.08868
70: good sentence 35, PPL: -8717.17578
71: bad sentence 35, PPL: -1614.59497
72: good sentence 36, PPL: -1261.38135
73: bad sentence 36, PPL: -871.94568
74: good sentence 37, PPL: -391.62585
75: bad sentence 37, PPL: -529.90332
76: good sentence 38, PPL: -2050.07324
77: bad sentence 38, PPL: -975.22943
78: good sentence 39, PPL: -875.41101
79: bad sentence 39, PPL: -1015.19775
80: good sentence 40, PPL: -475.81653
81: bad sentence 40, PPL: -299.60159
82: good sentence 41, PPL: -363.84137
83: bad sentence 41, PPL: -270.08310
84: good sentence 42, PPL: -9522.97656
85: bad sentence 42, PPL: -3569.35986
86: good sentence 43, PPL: -2483.68750
87: bad sentence 43, PPL: -1058.10950
88: good sentence 44, PPL: -901.19781
89: bad sentence 44, PPL: -452.10156
90: good sentence 45, PPL: -795.76788
91: bad sentence 45, PPL: -1240.57251
92: good sentence 46, PPL: -382.32388
93: bad sentence 46, PPL: -377.85779
94: good sentence 47, PPL: -741.20685
95: bad sentence 47, PPL: -713.63092
96: good sentence 48, PPL: -1377.54065
97: bad sentence 48, PPL: -1123.70911
98: good sentence 49, PPL: -691.05701
99: bad sentence 49, PPL: -759.47937
100: good sentence 50, PPL: -642.44427
101: bad sentence 50, PPL: -611.02405
102: good sentence 51, PPL: -1040.20801
103: bad sentence 51, PPL: -767.55011
104: good sentence 52, PPL: -3384.20068
105: bad sentence 52, PPL: -1824.24951
106: good sentence 53, PPL: -986.11798
107: bad sentence 53, PPL: -864.37665
108: good sentence 54, PPL: -269.47797
109: bad sentence 54, PPL: -281.47314
110: good sentence 55, PPL: -3305.69849
111: bad sentence 55, PPL: -1300.66748
112: good sentence 56, PPL: -304.89136
113: bad sentence 56, PPL: -311.96970
114: good sentence 57, PPL: -3175.05981
115: bad sentence 57, PPL: -839.22919
116: good sentence 58, PPL: -2190.88940
117: bad sentence 58, PPL: -753.71246
118: good sentence 59, PPL: -831.90973
119: bad sentence 59, PPL: -504.89401
120: good sentence 60, PPL: -1092.11926
121: bad sentence 60, PPL: -914.43768
