verb_complement_res_adj_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.95200, Average Perplexity (Good Sentences): -863.77930, Average Perplexity (Bad Sentences): -3395.57715
0: good sentence 0, PPL: -356.05792
1: bad sentence 0, PPL: -1141.38098
2: good sentence 1, PPL: -696.32294
3: bad sentence 1, PPL: -4160.74854
4: good sentence 2, PPL: -2742.65234
5: bad sentence 2, PPL: -4063.34961
6: good sentence 3, PPL: -3241.77295
7: bad sentence 3, PPL: -40660.19141
8: good sentence 4, PPL: -574.28870
9: bad sentence 4, PPL: -3330.56787
10: good sentence 5, PPL: -291.91501
11: bad sentence 5, PPL: -1431.22754
12: good sentence 6, PPL: -18.50126
13: bad sentence 6, PPL: -567.93268
14: good sentence 7, PPL: -4032.79761
15: bad sentence 7, PPL: -1930.41577
16: good sentence 8, PPL: -3286.06323
17: bad sentence 8, PPL: -6998.61816
18: good sentence 9, PPL: -111.89158
19: bad sentence 9, PPL: -4870.48926
20: good sentence 10, PPL: -3770.10986
21: bad sentence 10, PPL: -7356.63916
22: good sentence 11, PPL: -342.83237
23: bad sentence 11, PPL: -453.05911
24: good sentence 12, PPL: -671.11035
25: bad sentence 12, PPL: -2739.17993
26: good sentence 13, PPL: -1891.55408
27: bad sentence 13, PPL: -2396.38428
28: good sentence 14, PPL: -27860.84766
29: bad sentence 14, PPL: -97776.01562
30: good sentence 15, PPL: -885.35211
31: bad sentence 15, PPL: -2073.54565
32: good sentence 16, PPL: -151.26698
33: bad sentence 16, PPL: -1296.25415
34: good sentence 17, PPL: -199.44603
35: bad sentence 17, PPL: -912.21783
36: good sentence 18, PPL: -592.65619
37: bad sentence 18, PPL: -8521.84668
38: good sentence 19, PPL: -826.56372
39: bad sentence 19, PPL: -6818.01025
40: good sentence 20, PPL: -328.32422
41: bad sentence 20, PPL: -11361.28613
42: good sentence 21, PPL: -6369.01514
43: bad sentence 21, PPL: -17884.72656
44: good sentence 22, PPL: -1612.14087
45: bad sentence 22, PPL: -2779.91138
46: good sentence 23, PPL: -3934.02783
47: bad sentence 23, PPL: -25678.78516
48: good sentence 24, PPL: -8876.93262
49: bad sentence 24, PPL: -20910.39844
50: good sentence 25, PPL: -1543.26660
51: bad sentence 25, PPL: -17952.51367
52: good sentence 26, PPL: -5754.05176
53: bad sentence 26, PPL: -6253.70068
54: good sentence 27, PPL: -118.14837
55: bad sentence 27, PPL: -582.72253
