anaphor_agreement_gender_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.79900, Average Perplexity (Good Sentences): -68037.95312, Average Perplexity (Bad Sentences): -88256.31250
0: good sentence 0, PPL: -89619.30469
1: bad sentence 0, PPL: -149173.82812
2: good sentence 1, PPL: -37208.37500
3: bad sentence 1, PPL: -64672.86328
4: good sentence 2, PPL: -67525.35156
5: bad sentence 2, PPL: -67817.76562
6: good sentence 3, PPL: -169611.28125
7: bad sentence 3, PPL: -174414.35938
8: good sentence 4, PPL: -147125.90625
9: bad sentence 4, PPL: -140533.87500
10: good sentence 5, PPL: -71597.12500
11: bad sentence 5, PPL: -125744.25000
12: good sentence 6, PPL: -139460.71875
13: bad sentence 6, PPL: -225470.78125
14: good sentence 7, PPL: -55795.26953
15: bad sentence 7, PPL: -56530.32812
16: good sentence 8, PPL: -81324.13281
17: bad sentence 8, PPL: -113284.77344
18: good sentence 9, PPL: -104598.76562
19: bad sentence 9, PPL: -101394.32812
20: good sentence 10, PPL: -47781.28125
21: bad sentence 10, PPL: -102772.55469
22: good sentence 11, PPL: -8901.99219
23: bad sentence 11, PPL: -8907.55566
24: good sentence 12, PPL: -58525.43750
25: bad sentence 12, PPL: -88332.85156
26: good sentence 13, PPL: -14449.15234
27: bad sentence 13, PPL: -15984.20801
28: good sentence 14, PPL: -57823.62500
29: bad sentence 14, PPL: -57877.14062
30: good sentence 15, PPL: -239228.79688
31: bad sentence 15, PPL: -374743.03125
32: good sentence 16, PPL: -240416.73438
33: bad sentence 16, PPL: -242566.37500
34: good sentence 17, PPL: -197218.60938
35: bad sentence 17, PPL: -352105.31250
36: good sentence 18, PPL: -204767.48438
37: bad sentence 18, PPL: -363232.81250
38: good sentence 19, PPL: -155474.79688
39: bad sentence 19, PPL: -210376.23438
40: good sentence 20, PPL: -61375.67188
41: bad sentence 20, PPL: -65952.94531
42: good sentence 21, PPL: -156818.12500
43: bad sentence 21, PPL: -157479.04688
44: good sentence 22, PPL: -90326.25000
45: bad sentence 22, PPL: -88907.89062
46: good sentence 23, PPL: -230488.37500
47: bad sentence 23, PPL: -227951.98438
48: good sentence 24, PPL: -32962.31250
49: bad sentence 24, PPL: -59124.18359
50: good sentence 25, PPL: -20097.14062
51: bad sentence 25, PPL: -19399.54492
52: good sentence 26, PPL: -85200.87500
53: bad sentence 26, PPL: -81913.28125
54: good sentence 27, PPL: -118630.20312
55: bad sentence 27, PPL: -193282.00000
56: good sentence 28, PPL: -117611.75000
57: bad sentence 28, PPL: -185376.14062
58: good sentence 29, PPL: -70144.30469
59: bad sentence 29, PPL: -118948.99219
60: good sentence 30, PPL: -53961.67969
61: bad sentence 30, PPL: -52242.58203
62: good sentence 31, PPL: -67969.14062
63: bad sentence 31, PPL: -116053.77344
64: good sentence 32, PPL: -36501.96094
65: bad sentence 32, PPL: -80158.51562
66: good sentence 33, PPL: -155388.07812
67: bad sentence 33, PPL: -245643.20312
68: good sentence 34, PPL: -21463.57227
69: bad sentence 34, PPL: -36038.42578
70: good sentence 35, PPL: -105344.17969
71: bad sentence 35, PPL: -104023.28906
72: good sentence 36, PPL: -132360.23438
73: bad sentence 36, PPL: -221934.96875
74: good sentence 37, PPL: -42090.69922
75: bad sentence 37, PPL: -83421.96875
76: good sentence 38, PPL: -59863.58203
77: bad sentence 38, PPL: -64956.33203
78: good sentence 39, PPL: -23735.45312
79: bad sentence 39, PPL: -38606.77344
80: good sentence 40, PPL: -177339.31250
81: bad sentence 40, PPL: -301051.03125
82: good sentence 41, PPL: -15771.05762
83: bad sentence 41, PPL: -16612.05664
84: good sentence 42, PPL: -39548.24609
85: bad sentence 42, PPL: -58826.54297
86: good sentence 43, PPL: -72389.56250
87: bad sentence 43, PPL: -99730.63281
88: good sentence 44, PPL: -244100.06250
89: bad sentence 44, PPL: -240239.09375
90: good sentence 45, PPL: -35048.33203
91: bad sentence 45, PPL: -57616.98438
92: good sentence 46, PPL: -124267.32031
93: bad sentence 46, PPL: -202757.64062
94: good sentence 47, PPL: -102978.78906
95: bad sentence 47, PPL: -108164.83594
96: good sentence 48, PPL: -111721.67188
97: bad sentence 48, PPL: -137369.93750
98: good sentence 49, PPL: -169022.07812
99: bad sentence 49, PPL: -173309.57812
100: good sentence 50, PPL: -31124.71484
101: bad sentence 50, PPL: -59592.90234
102: good sentence 51, PPL: -110671.71875
103: bad sentence 51, PPL: -115555.47656
104: good sentence 52, PPL: -25257.39453
105: bad sentence 52, PPL: -25515.30469
106: good sentence 53, PPL: -76777.19531
107: bad sentence 53, PPL: -80473.08594
108: good sentence 54, PPL: -19533.24609
109: bad sentence 54, PPL: -34520.58984
110: good sentence 55, PPL: -296868.21875
111: bad sentence 55, PPL: -316966.56250
112: good sentence 56, PPL: -359013.34375
113: bad sentence 56, PPL: -585852.68750
114: good sentence 57, PPL: -23584.12109
115: bad sentence 57, PPL: -41423.32812
116: good sentence 58, PPL: -7687.31396
117: bad sentence 58, PPL: -12145.91211
118: good sentence 59, PPL: -111090.04688
119: bad sentence 59, PPL: -208890.82812
120: good sentence 60, PPL: -71240.42969
121: bad sentence 60, PPL: -70240.83594
122: good sentence 61, PPL: -41748.21094
123: bad sentence 61, PPL: -50331.64453
124: good sentence 62, PPL: -58672.01953
125: bad sentence 62, PPL: -61293.25781
126: good sentence 63, PPL: -30397.71094
127: bad sentence 63, PPL: -31255.89258
128: good sentence 64, PPL: -123061.55469
129: bad sentence 64, PPL: -122475.44531
130: good sentence 65, PPL: -30241.13477
131: bad sentence 65, PPL: -58657.75391
132: good sentence 66, PPL: -39284.77344
133: bad sentence 66, PPL: -69683.58594
134: good sentence 67, PPL: -72152.46875
135: bad sentence 67, PPL: -116381.96094
136: good sentence 68, PPL: -147065.59375
137: bad sentence 68, PPL: -157711.70312
138: good sentence 69, PPL: -63118.77344
139: bad sentence 69, PPL: -88852.78906
140: good sentence 70, PPL: -228240.85938
141: bad sentence 70, PPL: -391548.56250
142: good sentence 71, PPL: -39772.23438
143: bad sentence 71, PPL: -61686.39062
144: good sentence 72, PPL: -49175.18359
145: bad sentence 72, PPL: -82140.69531
146: good sentence 73, PPL: -44194.42578
147: bad sentence 73, PPL: -69339.26562
148: good sentence 74, PPL: -42982.34766
149: bad sentence 74, PPL: -41765.69531
150: good sentence 75, PPL: -152496.00000
151: bad sentence 75, PPL: -147867.06250
152: good sentence 76, PPL: -176447.07812
153: bad sentence 76, PPL: -314756.75000
154: good sentence 77, PPL: -152033.79688
155: bad sentence 77, PPL: -243551.98438
156: good sentence 78, PPL: -53404.72266
157: bad sentence 78, PPL: -94345.21094
158: good sentence 79, PPL: -60672.77344
159: bad sentence 79, PPL: -58436.08984
160: good sentence 80, PPL: -115142.74219
161: bad sentence 80, PPL: -213813.93750
162: good sentence 81, PPL: -39413.26562
163: bad sentence 81, PPL: -66632.44531
164: good sentence 82, PPL: -45692.28516
165: bad sentence 82, PPL: -82243.92969
166: good sentence 83, PPL: -184110.95312
167: bad sentence 83, PPL: -280055.40625
168: good sentence 84, PPL: -161522.57812
169: bad sentence 84, PPL: -254640.00000
170: good sentence 85, PPL: -129701.65625
171: bad sentence 85, PPL: -142217.15625
172: good sentence 86, PPL: -78842.20312
173: bad sentence 86, PPL: -73723.60938
