binding_gender_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.51300, Average Perplexity (Good Sentences): -37336.19531, Average Perplexity (Bad Sentences): -37444.88281
0: good sentence 0, PPL: -39085.07031
1: bad sentence 0, PPL: -41751.63672
2: good sentence 1, PPL: -25654.38086
3: bad sentence 1, PPL: -25877.94141
4: good sentence 2, PPL: -27212.64844
5: bad sentence 2, PPL: -28904.52148
6: good sentence 3, PPL: -14411.45898
7: bad sentence 3, PPL: -14508.14062
8: good sentence 4, PPL: -41350.89844
9: bad sentence 4, PPL: -42453.64453
10: good sentence 5, PPL: -27543.92969
11: bad sentence 5, PPL: -27126.80664
12: good sentence 6, PPL: -35629.67578
13: bad sentence 6, PPL: -36562.71875
14: good sentence 7, PPL: -33916.69141
15: bad sentence 7, PPL: -36191.17578
16: good sentence 8, PPL: -31977.33594
17: bad sentence 8, PPL: -33438.72656
18: good sentence 9, PPL: -10011.06055
19: bad sentence 9, PPL: -9993.93750
20: good sentence 10, PPL: -34185.08594
21: bad sentence 10, PPL: -35222.06641
22: good sentence 11, PPL: -28589.05859
23: bad sentence 11, PPL: -28571.37109
24: good sentence 12, PPL: -20048.86328
25: bad sentence 12, PPL: -20662.74414
26: good sentence 13, PPL: -14898.72266
27: bad sentence 13, PPL: -15317.35254
28: good sentence 14, PPL: -13094.55664
29: bad sentence 14, PPL: -13331.37012
30: good sentence 15, PPL: -27657.66797
31: bad sentence 15, PPL: -28495.25977
32: good sentence 16, PPL: -38107.16797
33: bad sentence 16, PPL: -38777.43359
34: good sentence 17, PPL: -26373.61914
35: bad sentence 17, PPL: -26900.61523
36: good sentence 18, PPL: -12392.84082
37: bad sentence 18, PPL: -12614.71582
38: good sentence 19, PPL: -30714.02734
39: bad sentence 19, PPL: -31948.10352
40: good sentence 20, PPL: -31679.11133
41: bad sentence 20, PPL: -32148.96875
42: good sentence 21, PPL: -47170.10938
43: bad sentence 21, PPL: -51231.38672
44: good sentence 22, PPL: -24881.91992
45: bad sentence 22, PPL: -24426.83008
46: good sentence 23, PPL: -61495.37500
47: bad sentence 23, PPL: -61626.23828
48: good sentence 24, PPL: -24297.23438
49: bad sentence 24, PPL: -25880.08789
50: good sentence 25, PPL: -63919.52344
51: bad sentence 25, PPL: -65493.70703
52: good sentence 26, PPL: -17415.43164
53: bad sentence 26, PPL: -18347.93164
54: good sentence 27, PPL: -54384.39062
55: bad sentence 27, PPL: -57153.07031
56: good sentence 28, PPL: -25250.77148
57: bad sentence 28, PPL: -25605.51953
58: good sentence 29, PPL: -15678.51465
59: bad sentence 29, PPL: -16675.69141
60: good sentence 30, PPL: -56310.79688
61: bad sentence 30, PPL: -57997.09766
62: good sentence 31, PPL: -11675.26465
63: bad sentence 31, PPL: -11962.59180
64: good sentence 32, PPL: -17514.93359
65: bad sentence 32, PPL: -18234.41016
66: good sentence 33, PPL: -34835.86328
67: bad sentence 33, PPL: -35867.02344
68: good sentence 34, PPL: -49663.16406
69: bad sentence 34, PPL: -50612.55859
70: good sentence 35, PPL: -29118.75000
71: bad sentence 35, PPL: -31442.17773
72: good sentence 36, PPL: -22942.59375
73: bad sentence 36, PPL: -24742.26367
74: good sentence 37, PPL: -57734.91016
75: bad sentence 37, PPL: -58435.31250
76: good sentence 38, PPL: -26060.14258
77: bad sentence 38, PPL: -25893.17188
78: good sentence 39, PPL: -30192.63672
79: bad sentence 39, PPL: -31730.33398
80: good sentence 40, PPL: -55599.10938
81: bad sentence 40, PPL: -54200.73438
82: good sentence 41, PPL: -40796.59766
83: bad sentence 41, PPL: -43051.92188
84: good sentence 42, PPL: -36325.44141
85: bad sentence 42, PPL: -38194.45312
86: good sentence 43, PPL: -80069.28125
