classifier_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.57100, Average Perplexity (Good Sentences): -129147.57812, Average Perplexity (Bad Sentences): -140183.42188
0: good sentence 0, PPL: -363853.37500
1: bad sentence 0, PPL: -158947.89062
2: good sentence 1, PPL: -213010.84375
3: bad sentence 1, PPL: -203865.73438
4: good sentence 2, PPL: -17541.17773
5: bad sentence 2, PPL: -15928.93848
6: good sentence 3, PPL: -24543.07031
7: bad sentence 3, PPL: -87347.54688
8: good sentence 4, PPL: -374093.87500
9: bad sentence 4, PPL: -356949.90625
10: good sentence 5, PPL: -59688.00391
11: bad sentence 5, PPL: -75886.11719
12: good sentence 6, PPL: -30003.50977
13: bad sentence 6, PPL: -74268.03906
14: good sentence 7, PPL: -325453.25000
15: bad sentence 7, PPL: -359047.21875
16: good sentence 8, PPL: -61318.28125
17: bad sentence 8, PPL: -174514.01562
18: good sentence 9, PPL: -247561.32812
19: bad sentence 9, PPL: -266054.87500
20: good sentence 10, PPL: -359819.50000
21: bad sentence 10, PPL: -233327.21875
22: good sentence 11, PPL: -30839.08984
23: bad sentence 11, PPL: -66326.98438
24: good sentence 12, PPL: -347691.00000
25: bad sentence 12, PPL: -385006.06250
26: good sentence 13, PPL: -57913.47266
27: bad sentence 13, PPL: -54080.22656
28: good sentence 14, PPL: -75974.17188
29: bad sentence 14, PPL: -233788.04688
30: good sentence 15, PPL: -367009.06250
31: bad sentence 15, PPL: -407025.75000
32: good sentence 16, PPL: -271100.87500
33: bad sentence 16, PPL: -138441.81250
34: good sentence 17, PPL: -346739.34375
35: bad sentence 17, PPL: -107054.55469
36: good sentence 18, PPL: -285633.75000
37: bad sentence 18, PPL: -460976.09375
38: good sentence 19, PPL: -419341.03125
39: bad sentence 19, PPL: -138248.92188
40: good sentence 20, PPL: -57998.53516
41: bad sentence 20, PPL: -65878.52344
42: good sentence 21, PPL: -208699.85938
43: bad sentence 21, PPL: -99218.92188
44: good sentence 22, PPL: -35001.36719
45: bad sentence 22, PPL: -34705.67578
46: good sentence 23, PPL: -83442.81250
47: bad sentence 23, PPL: -167337.68750
48: good sentence 24, PPL: -54680.98438
49: bad sentence 24, PPL: -189761.53125
50: good sentence 25, PPL: -152811.62500
51: bad sentence 25, PPL: -223580.50000
52: good sentence 26, PPL: -84161.52344
53: bad sentence 26, PPL: -91671.18750
54: good sentence 27, PPL: -319553.43750
55: bad sentence 27, PPL: -589540.62500
56: good sentence 28, PPL: -19178.72656
57: bad sentence 28, PPL: -25337.39258
58: good sentence 29, PPL: -98601.64062
59: bad sentence 29, PPL: -538057.50000
60: good sentence 30, PPL: -285226.28125
61: bad sentence 30, PPL: -595976.43750
62: good sentence 31, PPL: -162501.82812
63: bad sentence 31, PPL: -163170.82812
64: good sentence 32, PPL: -151224.15625
65: bad sentence 32, PPL: -316144.21875
66: good sentence 33, PPL: -38429.93750
67: bad sentence 33, PPL: -60955.57031
68: good sentence 34, PPL: -529153.68750
69: bad sentence 34, PPL: -714343.56250
70: good sentence 35, PPL: -23165.75195
71: bad sentence 35, PPL: -33750.71484
72: good sentence 36, PPL: -13709.55566
73: bad sentence 36, PPL: -28643.15039
74: good sentence 37, PPL: -500545.18750
75: bad sentence 37, PPL: -842588.31250
76: good sentence 38, PPL: -97759.52344
77: bad sentence 38, PPL: -203621.48438
78: good sentence 39, PPL: -145198.85938
79: bad sentence 39, PPL: -91812.66406
80: good sentence 40, PPL: -50415.33203
81: bad sentence 40, PPL: -47508.38672
82: good sentence 41, PPL: -113283.91406
83: bad sentence 41, PPL: -59156.89453
84: good sentence 42, PPL: -120149.85156
85: bad sentence 42, PPL: -71507.79688
86: good sentence 43, PPL: -165821.03125
87: bad sentence 43, PPL: -47019.06641
88: good sentence 44, PPL: -231264.29688
89: bad sentence 44, PPL: -386349.31250
90: good sentence 45, PPL: -373607.93750
91: bad sentence 45, PPL: -513978.93750
92: good sentence 46, PPL: -142593.60938
93: bad sentence 46, PPL: -227420.62500
94: good sentence 47, PPL: -104923.46875
95: bad sentence 47, PPL: -314248.37500
96: good sentence 48, PPL: -78139.54688
97: bad sentence 48, PPL: -83670.55469
98: good sentence 49, PPL: -39407.96484
99: bad sentence 49, PPL: -44139.62500
100: good sentence 50, PPL: -184052.15625
101: bad sentence 50, PPL: -242051.06250
102: good sentence 51, PPL: -25875.34961
103: bad sentence 51, PPL: -25568.30664
104: good sentence 52, PPL: -15704.62793
105: bad sentence 52, PPL: -26709.37695
106: good sentence 53, PPL: -419878.03125
107: bad sentence 53, PPL: -514031.40625
108: good sentence 54, PPL: -310343.00000
109: bad sentence 54, PPL: -420166.43750
110: good sentence 55, PPL: -209415.01562
111: bad sentence 55, PPL: -427920.59375
112: good sentence 56, PPL: -109377.03906
113: bad sentence 56, PPL: -82184.26562
114: good sentence 57, PPL: -160921.70312
115: bad sentence 57, PPL: -239427.84375
116: good sentence 58, PPL: -215491.93750
117: bad sentence 58, PPL: -338740.75000
118: good sentence 59, PPL: -391980.46875
119: bad sentence 59, PPL: -512172.90625
120: good sentence 60, PPL: -367930.03125
121: bad sentence 60, PPL: -811894.93750
122: good sentence 61, PPL: -449555.68750
123: bad sentence 61, PPL: -479760.03125
124: good sentence 62, PPL: -66446.39062
125: bad sentence 62, PPL: -139322.45312
126: good sentence 63, PPL: -84416.91406
127: bad sentence 63, PPL: -67249.96875
128: good sentence 64, PPL: -400298.68750
129: bad sentence 64, PPL: -376405.68750
130: good sentence 65, PPL: -131411.89062
131: bad sentence 65, PPL: -160038.48438
132: good sentence 66, PPL: -151349.96875
133: bad sentence 66, PPL: -120582.84375
134: good sentence 67, PPL: -178398.29688
135: bad sentence 67, PPL: -250523.21875
136: good sentence 68, PPL: -209697.60938
137: bad sentence 68, PPL: -337912.15625
138: good sentence 69, PPL: -179487.23438
139: bad sentence 69, PPL: -238354.54688
140: good sentence 70, PPL: -46230.89453
141: bad sentence 70, PPL: -36171.71484
142: good sentence 71, PPL: -73134.46875
143: bad sentence 71, PPL: -26458.46680
144: good sentence 72, PPL: -46452.35547
145: bad sentence 72, PPL: -213476.93750
146: good sentence 73, PPL: -142144.60938
147: bad sentence 73, PPL: -891875.81250
148: good sentence 74, PPL: -136859.71875
149: bad sentence 74, PPL: -168514.75000
150: good sentence 75, PPL: -236234.57812
151: bad sentence 75, PPL: -95687.82031
152: good sentence 76, PPL: -469715.78125
153: bad sentence 76, PPL: -554331.00000
154: good sentence 77, PPL: -25146.76367
155: bad sentence 77, PPL: -35336.86328
156: good sentence 78, PPL: -489208.43750
157: bad sentence 78, PPL: -777442.18750
158: good sentence 79, PPL: -67231.05469
159: bad sentence 79, PPL: -47872.96094
160: good sentence 80, PPL: -114701.93750
