classifier_adj_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.55500, Average Perplexity (Good Sentences): -55672.06250, Average Perplexity (Bad Sentences): -57070.12109
0: good sentence 0, PPL: -29997.67188
1: bad sentence 0, PPL: -32112.44141
2: good sentence 1, PPL: -140051.67188
3: bad sentence 1, PPL: -245915.10938
4: good sentence 2, PPL: -171926.43750
5: bad sentence 2, PPL: -105266.75000
6: good sentence 3, PPL: -26109.52344
7: bad sentence 3, PPL: -28370.14844
8: good sentence 4, PPL: -8903.18945
9: bad sentence 4, PPL: -11031.44531
10: good sentence 5, PPL: -259830.51562
11: bad sentence 5, PPL: -88192.28906
12: good sentence 6, PPL: -57652.76953
13: bad sentence 6, PPL: -71044.75781
14: good sentence 7, PPL: -258354.18750
15: bad sentence 7, PPL: -236150.76562
16: good sentence 8, PPL: -371210.28125
17: bad sentence 8, PPL: -404352.68750
18: good sentence 9, PPL: -178794.64062
19: bad sentence 9, PPL: -148896.53125
20: good sentence 10, PPL: -43839.00000
21: bad sentence 10, PPL: -37454.09766
22: good sentence 11, PPL: -71541.35938
23: bad sentence 11, PPL: -89154.71094
24: good sentence 12, PPL: -128885.50781
25: bad sentence 12, PPL: -203915.90625
26: good sentence 13, PPL: -59586.08203
27: bad sentence 13, PPL: -42560.66016
28: good sentence 14, PPL: -29503.80273
29: bad sentence 14, PPL: -78004.33594
30: good sentence 15, PPL: -171199.82812
31: bad sentence 15, PPL: -119218.60156
32: good sentence 16, PPL: -124825.20312
33: bad sentence 16, PPL: -176826.60938
34: good sentence 17, PPL: -19622.90625
35: bad sentence 17, PPL: -12187.89355
36: good sentence 18, PPL: -13245.23438
37: bad sentence 18, PPL: -13750.59180
38: good sentence 19, PPL: -70968.03125
39: bad sentence 19, PPL: -105436.84375
40: good sentence 20, PPL: -8881.93750
41: bad sentence 20, PPL: -15539.73340
42: good sentence 21, PPL: -125577.32031
43: bad sentence 21, PPL: -134882.28125
44: good sentence 22, PPL: -241261.50000
45: bad sentence 22, PPL: -158672.56250
46: good sentence 23, PPL: -53482.03906
47: bad sentence 23, PPL: -60279.20703
48: good sentence 24, PPL: -21853.76172
49: bad sentence 24, PPL: -13752.74316
50: good sentence 25, PPL: -16520.69336
51: bad sentence 25, PPL: -23111.35938
52: good sentence 26, PPL: -109430.14062
53: bad sentence 26, PPL: -110298.30469
54: good sentence 27, PPL: -5344.50488
55: bad sentence 27, PPL: -7590.59131
56: good sentence 28, PPL: -42974.19141
57: bad sentence 28, PPL: -29059.30078
58: good sentence 29, PPL: -52706.13281
59: bad sentence 29, PPL: -70636.83594
60: good sentence 30, PPL: -94218.07031
61: bad sentence 30, PPL: -134163.96875
62: good sentence 31, PPL: -111335.25781
63: bad sentence 31, PPL: -104700.46875
64: good sentence 32, PPL: -18173.62891
65: bad sentence 32, PPL: -21394.72266
66: good sentence 33, PPL: -36152.60938
67: bad sentence 33, PPL: -28947.50000
68: good sentence 34, PPL: -19663.44531
69: bad sentence 34, PPL: -19985.44531
70: good sentence 35, PPL: -14956.22168
71: bad sentence 35, PPL: -18499.65039
72: good sentence 36, PPL: -231342.35938
73: bad sentence 36, PPL: -263530.18750
74: good sentence 37, PPL: -100860.91406
75: bad sentence 37, PPL: -100711.74219
76: good sentence 38, PPL: -49533.27734
77: bad sentence 38, PPL: -31250.32031
78: good sentence 39, PPL: -117233.14062
79: bad sentence 39, PPL: -77937.18750
80: good sentence 40, PPL: -46175.10938
81: bad sentence 40, PPL: -60071.97656
82: good sentence 41, PPL: -102069.49219
83: bad sentence 41, PPL: -102559.80469
84: good sentence 42, PPL: -56761.32812
85: bad sentence 42, PPL: -63029.02734
86: good sentence 43, PPL: -68098.45312
87: bad sentence 43, PPL: -74819.20312
88: good sentence 44, PPL: -51821.39844
89: bad sentence 44, PPL: -98681.13281
90: good sentence 45, PPL: -57929.65625
91: bad sentence 45, PPL: -71693.45312
92: good sentence 46, PPL: -70375.74219
93: bad sentence 46, PPL: -31946.09180
94: good sentence 47, PPL: -16997.53711
95: bad sentence 47, PPL: -28284.80664
96: good sentence 48, PPL: -53102.39453
97: bad sentence 48, PPL: -51136.00391
98: good sentence 49, PPL: -77473.95312
99: bad sentence 49, PPL: -94204.24219
100: good sentence 50, PPL: -235761.03125
101: bad sentence 50, PPL: -145141.39062
102: good sentence 51, PPL: -106953.52344
103: bad sentence 51, PPL: -107750.12500
104: good sentence 52, PPL: -47864.37891
105: bad sentence 52, PPL: -56996.41797
106: good sentence 53, PPL: -22254.60938
107: bad sentence 53, PPL: -39529.80469
108: good sentence 54, PPL: -145333.65625
109: bad sentence 54, PPL: -81486.85156
110: good sentence 55, PPL: -91907.53906
111: bad sentence 55, PPL: -118998.57812
112: good sentence 56, PPL: -7826.45020
113: bad sentence 56, PPL: -8669.69434
114: good sentence 57, PPL: -15473.67480
115: bad sentence 57, PPL: -20632.59766
116: good sentence 58, PPL: -73052.57031
117: bad sentence 58, PPL: -96796.55469
118: good sentence 59, PPL: -16634.85547
119: bad sentence 59, PPL: -21475.50977
120: good sentence 60, PPL: -63293.64062
121: bad sentence 60, PPL: -75083.82031
122: good sentence 61, PPL: -44184.35156
123: bad sentence 61, PPL: -51570.40625
124: good sentence 62, PPL: -44077.37109
125: bad sentence 62, PPL: -48209.70703
126: good sentence 63, PPL: -309880.15625
127: bad sentence 63, PPL: -348652.25000
128: good sentence 64, PPL: -17809.42773
129: bad sentence 64, PPL: -33484.10547
130: good sentence 65, PPL: -62116.56250
131: bad sentence 65, PPL: -64677.79688
132: good sentence 66, PPL: -15861.84668
133: bad sentence 66, PPL: -23321.25195
134: good sentence 67, PPL: -25027.71094
135: bad sentence 67, PPL: -44311.53906
136: good sentence 68, PPL: -269126.12500
137: bad sentence 68, PPL: -242714.48438
138: good sentence 69, PPL: -7364.33252
139: bad sentence 69, PPL: -5475.57812
140: good sentence 70, PPL: -50962.74219
141: bad sentence 70, PPL: -67488.52344
142: good sentence 71, PPL: -18145.19141
143: bad sentence 71, PPL: -16203.03809
144: good sentence 72, PPL: -33761.27344
145: bad sentence 72, PPL: -32506.06836
146: good sentence 73, PPL: -25535.60547
147: bad sentence 73, PPL: -13912.20312
148: good sentence 74, PPL: -23649.77344
149: bad sentence 74, PPL: -29855.79883
150: good sentence 75, PPL: -87702.63281
151: bad sentence 75, PPL: -234703.98438
152: good sentence 76, PPL: -156420.81250
153: bad sentence 76, PPL: -178133.09375
154: good sentence 77, PPL: -142535.14062
155: bad sentence 77, PPL: -193949.12500
156: good sentence 78, PPL: -55112.69141
157: bad sentence 78, PPL: -68223.78125
158: good sentence 79, PPL: -8236.90039
159: bad sentence 79, PPL: -6492.85547
160: good sentence 80, PPL: -56683.53906
161: bad sentence 80, PPL: -55367.08594
162: good sentence 81, PPL: -96665.28906
163: bad sentence 81, PPL: -122547.06250
164: good sentence 82, PPL: -197563.10938
165: bad sentence 82, PPL: -258911.35938
166: good sentence 83, PPL: -34896.34375
167: bad sentence 83, PPL: -36040.96875
168: good sentence 84, PPL: -118246.73438
169: bad sentence 84, PPL: -114577.29688
170: good sentence 85, PPL: -85558.08594
171: bad sentence 85, PPL: -91597.33594
172: good sentence 86, PPL: -40251.26562
173: bad sentence 86, PPL: -21312.10547
174: good sentence 87, PPL: -21569.64062
175: bad sentence 87, PPL: -24376.03125
176: good sentence 88, PPL: -181715.93750
177: bad sentence 88, PPL: -93074.85156
178: good sentence 89, PPL: -80453.52344
179: bad sentence 89, PPL: -124248.58594
180: good sentence 90, PPL: -172191.76562
181: bad sentence 90, PPL: -304000.18750
182: good sentence 91, PPL: -46826.46484
183: bad sentence 91, PPL: -66396.03125
184: good sentence 92, PPL: -136475.21875
185: bad sentence 92, PPL: -174355.64062
186: good sentence 93, PPL: -5655.09521
187: bad sentence 93, PPL: -7375.40234
188: good sentence 94, PPL: -66610.33594
189: bad sentence 94, PPL: -107440.35156
190: good sentence 95, PPL: -90462.53906
191: bad sentence 95, PPL: -55269.59375
192: good sentence 96, PPL: -96571.76562
193: bad sentence 96, PPL: -95466.51562
194: good sentence 97, PPL: -5605.45508
195: bad sentence 97, PPL: -7403.08252
196: good sentence 98, PPL: -53067.71484
197: bad sentence 98, PPL: -54130.53516
198: good sentence 99, PPL: -32997.06250
199: bad sentence 99, PPL: -44263.85547
200: good sentence 100, PPL: -172831.59375
201: bad sentence 100, PPL: -249851.32812
202: good sentence 101, PPL: -157830.85938
203: bad sentence 101, PPL: -250205.42188
204: good sentence 102, PPL: -44324.80859
205: bad sentence 102, PPL: -25828.60547
206: good sentence 103, PPL: -7952.64893
207: bad sentence 103, PPL: -6129.74316
208: good sentence 104, PPL: -16887.18359
209: bad sentence 104, PPL: -15743.27246
210: good sentence 105, PPL: -134071.25000
211: bad sentence 105, PPL: -97981.28125
212: good sentence 106, PPL: -19257.38867
213: bad sentence 106, PPL: -18838.58203
214: good sentence 107, PPL: -14192.34766
215: bad sentence 107, PPL: -10409.64746
216: good sentence 108, PPL: -51676.79688
217: bad sentence 108, PPL: -31067.39062
218: good sentence 109, PPL: -29033.20703
219: bad sentence 109, PPL: -27597.33203
220: good sentence 110, PPL: -11652.60547
221: bad sentence 110, PPL: -12281.73828
