coverb_instrument_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.36000, Average Perplexity (Good Sentences): -111747.78125, Average Perplexity (Bad Sentences): -99074.16406
0: good sentence 0, PPL: -48205.38281
1: bad sentence 0, PPL: -44968.83984
2: good sentence 1, PPL: -172088.67188
3: bad sentence 1, PPL: -198092.68750
4: good sentence 2, PPL: -149278.71875
5: bad sentence 2, PPL: -113150.02344
6: good sentence 3, PPL: -164465.65625
7: bad sentence 3, PPL: -190533.67188
8: good sentence 4, PPL: -363381.09375
9: bad sentence 4, PPL: -206667.95312
10: good sentence 5, PPL: -24553.18359
11: bad sentence 5, PPL: -27720.33008
12: good sentence 6, PPL: -101108.71094
13: bad sentence 6, PPL: -101358.94531
14: good sentence 7, PPL: -322328.28125
15: bad sentence 7, PPL: -343624.21875
16: good sentence 8, PPL: -17989.53320
17: bad sentence 8, PPL: -14194.56836
18: good sentence 9, PPL: -309819.00000
19: bad sentence 9, PPL: -273452.37500
20: good sentence 10, PPL: -106545.60156
21: bad sentence 10, PPL: -169093.17188
22: good sentence 11, PPL: -64127.60938
23: bad sentence 11, PPL: -62623.57422
24: good sentence 12, PPL: -108204.75781
25: bad sentence 12, PPL: -38427.77344
26: good sentence 13, PPL: -202561.84375
27: bad sentence 13, PPL: -161951.06250
28: good sentence 14, PPL: -51652.16406
29: bad sentence 14, PPL: -52855.77734
30: good sentence 15, PPL: -63400.50781
31: bad sentence 15, PPL: -78364.69531
32: good sentence 16, PPL: -388410.00000
33: bad sentence 16, PPL: -357173.31250
34: good sentence 17, PPL: -227016.50000
35: bad sentence 17, PPL: -188184.09375
36: good sentence 18, PPL: -91983.56250
37: bad sentence 18, PPL: -98157.95312
38: good sentence 19, PPL: -131026.44531
39: bad sentence 19, PPL: -128632.18750
40: good sentence 20, PPL: -148662.56250
41: bad sentence 20, PPL: -174494.21875
42: good sentence 21, PPL: -216408.81250
43: bad sentence 21, PPL: -362032.78125
44: good sentence 22, PPL: -222437.14062
45: bad sentence 22, PPL: -219030.56250
46: good sentence 23, PPL: -124030.87500
47: bad sentence 23, PPL: -89671.45312
48: good sentence 24, PPL: -22802.22852
49: bad sentence 24, PPL: -19314.88477
50: good sentence 25, PPL: -528472.87500
51: bad sentence 25, PPL: -352663.53125
52: good sentence 26, PPL: -59042.31250
53: bad sentence 26, PPL: -40699.75781
54: good sentence 27, PPL: -83872.52344
55: bad sentence 27, PPL: -88985.07812
56: good sentence 28, PPL: -66313.20312
57: bad sentence 28, PPL: -43844.26953
58: good sentence 29, PPL: -75695.87500
59: bad sentence 29, PPL: -52377.72656
60: good sentence 30, PPL: -338357.15625
61: bad sentence 30, PPL: -379515.25000
62: good sentence 31, PPL: -28666.48633
63: bad sentence 31, PPL: -35539.67969
64: good sentence 32, PPL: -53278.35938
65: bad sentence 32, PPL: -50983.59375
66: good sentence 33, PPL: -44698.49219
67: bad sentence 33, PPL: -36962.82031
68: good sentence 34, PPL: -23414.71680
69: bad sentence 34, PPL: -12737.05273
70: good sentence 35, PPL: -413895.03125
71: bad sentence 35, PPL: -444356.34375
72: good sentence 36, PPL: -166364.65625
73: bad sentence 36, PPL: -159874.50000
74: good sentence 37, PPL: -169982.75000
75: bad sentence 37, PPL: -157858.71875
76: good sentence 38, PPL: -128665.80469
77: bad sentence 38, PPL: -96984.87500
78: good sentence 39, PPL: -225258.65625
79: bad sentence 39, PPL: -337048.00000
80: good sentence 40, PPL: -18965.07031
81: bad sentence 40, PPL: -25646.50195
82: good sentence 41, PPL: -64046.31641
83: bad sentence 41, PPL: -41085.33203
84: good sentence 42, PPL: -76924.14062
85: bad sentence 42, PPL: -58031.39844
86: good sentence 43, PPL: -7416.04932
87: bad sentence 43, PPL: -8956.94531
88: good sentence 44, PPL: -32087.18945
89: bad sentence 44, PPL: -35620.12891
90: good sentence 45, PPL: -146583.07812
91: bad sentence 45, PPL: -105437.95312
92: good sentence 46, PPL: -399227.78125
93: bad sentence 46, PPL: -279367.46875
94: good sentence 47, PPL: -166950.65625
95: bad sentence 47, PPL: -158926.06250
96: good sentence 48, PPL: -164511.46875
97: bad sentence 48, PPL: -140918.35938
98: good sentence 49, PPL: -63464.63281
99: bad sentence 49, PPL: -44240.80859
100: good sentence 50, PPL: -524272.78125
101: bad sentence 50, PPL: -601895.12500
102: good sentence 51, PPL: -29567.43555
103: bad sentence 51, PPL: -32862.99609
104: good sentence 52, PPL: -161369.98438
105: bad sentence 52, PPL: -127751.84375
106: good sentence 53, PPL: -232296.56250
107: bad sentence 53, PPL: -122319.14844
108: good sentence 54, PPL: -161951.68750
109: bad sentence 54, PPL: -153831.04688
