coverb_with_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.61700, Average Perplexity (Good Sentences): -57874.54688, Average Perplexity (Bad Sentences): -65475.28125
0: good sentence 0, PPL: -103493.39844
1: bad sentence 0, PPL: -171599.79688
2: good sentence 1, PPL: -123723.71875
3: bad sentence 1, PPL: -139699.65625
4: good sentence 2, PPL: -95122.26562
5: bad sentence 2, PPL: -70938.46094
6: good sentence 3, PPL: -32003.05469
7: bad sentence 3, PPL: -39580.01562
8: good sentence 4, PPL: -185672.14062
9: bad sentence 4, PPL: -162664.95312
10: good sentence 5, PPL: -26113.18359
11: bad sentence 5, PPL: -55561.36719
12: good sentence 6, PPL: -176463.39062
13: bad sentence 6, PPL: -161864.90625
14: good sentence 7, PPL: -58864.48047
15: bad sentence 7, PPL: -63582.33594
16: good sentence 8, PPL: -58783.19141
17: bad sentence 8, PPL: -97028.81250
18: good sentence 9, PPL: -115694.85156
19: bad sentence 9, PPL: -133698.79688
20: good sentence 10, PPL: -108488.08594
21: bad sentence 10, PPL: -154502.35938
22: good sentence 11, PPL: -234740.67188
23: bad sentence 11, PPL: -159031.89062
24: good sentence 12, PPL: -252203.15625
25: bad sentence 12, PPL: -194913.51562
26: good sentence 13, PPL: -10839.98145
27: bad sentence 13, PPL: -10704.66309
28: good sentence 14, PPL: -86474.53125
29: bad sentence 14, PPL: -53121.84375
30: good sentence 15, PPL: -172262.06250
31: bad sentence 15, PPL: -217618.70312
32: good sentence 16, PPL: -137656.23438
33: bad sentence 16, PPL: -126731.68750
34: good sentence 17, PPL: -117963.34375
35: bad sentence 17, PPL: -98418.35938
36: good sentence 18, PPL: -47143.88672
37: bad sentence 18, PPL: -74536.67969
38: good sentence 19, PPL: -149394.50000
39: bad sentence 19, PPL: -167775.20312
40: good sentence 20, PPL: -69456.14844
41: bad sentence 20, PPL: -59739.36719
42: good sentence 21, PPL: -114346.75000
43: bad sentence 21, PPL: -116016.92969
44: good sentence 22, PPL: -10841.20117
45: bad sentence 22, PPL: -9930.13281
46: good sentence 23, PPL: -82680.62500
47: bad sentence 23, PPL: -103642.35156
48: good sentence 24, PPL: -209374.67188
49: bad sentence 24, PPL: -180707.03125
50: good sentence 25, PPL: -209546.87500
51: bad sentence 25, PPL: -171430.84375
52: good sentence 26, PPL: -39127.14062
53: bad sentence 26, PPL: -39589.75391
54: good sentence 27, PPL: -25059.69141
55: bad sentence 27, PPL: -31063.92383
56: good sentence 28, PPL: -144569.34375
57: bad sentence 28, PPL: -109855.50781
58: good sentence 29, PPL: -72319.32031
59: bad sentence 29, PPL: -69161.88281
60: good sentence 30, PPL: -140511.75000
61: bad sentence 30, PPL: -91393.25000
62: good sentence 31, PPL: -27707.93359
63: bad sentence 31, PPL: -28059.36719
64: good sentence 32, PPL: -75489.84375
65: bad sentence 32, PPL: -105700.11719
66: good sentence 33, PPL: -195754.96875
67: bad sentence 33, PPL: -47060.46875
68: good sentence 34, PPL: -89714.48438
69: bad sentence 34, PPL: -65487.64453
70: good sentence 35, PPL: -21638.37109
71: bad sentence 35, PPL: -30772.16602
72: good sentence 36, PPL: -12628.31738
73: bad sentence 36, PPL: -17780.78125
74: good sentence 37, PPL: -40174.37500
75: bad sentence 37, PPL: -53972.85156
76: good sentence 38, PPL: -70208.22656
77: bad sentence 38, PPL: -63747.12109
78: good sentence 39, PPL: -92996.59375
79: bad sentence 39, PPL: -133752.85938
80: good sentence 40, PPL: -52524.43750
81: bad sentence 40, PPL: -52913.57812
82: good sentence 41, PPL: -80863.97656
83: bad sentence 41, PPL: -109562.65625
84: good sentence 42, PPL: -27576.07422
85: bad sentence 42, PPL: -37988.44531
86: good sentence 43, PPL: -43974.46094
87: bad sentence 43, PPL: -40165.02734
88: good sentence 44, PPL: -45994.96094
89: bad sentence 44, PPL: -75347.71875
90: good sentence 45, PPL: -6645.45996
91: bad sentence 45, PPL: -6291.73486
92: good sentence 46, PPL: -15816.18262
93: bad sentence 46, PPL: -23550.65430
94: good sentence 47, PPL: -116650.31250
95: bad sentence 47, PPL: -147906.70312
96: good sentence 48, PPL: -34871.09766
97: bad sentence 48, PPL: -42931.71484
98: good sentence 49, PPL: -77365.50000
99: bad sentence 49, PPL: -76116.09375
100: good sentence 50, PPL: -55697.12891
101: bad sentence 50, PPL: -90245.14062
102: good sentence 51, PPL: -44410.65625
103: bad sentence 51, PPL: -78456.22656
104: good sentence 52, PPL: -205400.59375
105: bad sentence 52, PPL: -340112.87500
106: good sentence 53, PPL: -92757.96875
107: bad sentence 53, PPL: -130278.98438
108: good sentence 54, PPL: -26292.63086
109: bad sentence 54, PPL: -23312.09180
110: good sentence 55, PPL: -33314.04688
111: bad sentence 55, PPL: -37816.20312
112: good sentence 56, PPL: -67278.89844
113: bad sentence 56, PPL: -88205.99219
114: good sentence 57, PPL: -123850.85156
115: bad sentence 57, PPL: -113927.57812
116: good sentence 58, PPL: -23208.49805
117: bad sentence 58, PPL: -35649.79688
118: good sentence 59, PPL: -31573.42969
119: bad sentence 59, PPL: -30665.90820
120: good sentence 60, PPL: -47530.63672
121: bad sentence 60, PPL: -74885.79688
122: good sentence 61, PPL: -210066.29688
123: bad sentence 61, PPL: -136952.93750
124: good sentence 62, PPL: -4806.79150
125: bad sentence 62, PPL: -4275.62402
126: good sentence 63, PPL: -101894.61719
127: bad sentence 63, PPL: -83480.38281
128: good sentence 64, PPL: -57745.26562
129: bad sentence 64, PPL: -74181.03906
130: good sentence 65, PPL: -39868.80469
131: bad sentence 65, PPL: -112864.32031
132: good sentence 66, PPL: -21058.99023
133: bad sentence 66, PPL: -54762.76172
134: good sentence 67, PPL: -80572.69531
135: bad sentence 67, PPL: -73071.79688
136: good sentence 68, PPL: -59841.37891
137: bad sentence 68, PPL: -66317.31250
138: good sentence 69, PPL: -115311.31250
139: bad sentence 69, PPL: -85202.41406
140: good sentence 70, PPL: -30104.59961
141: bad sentence 70, PPL: -48508.50781
142: good sentence 71, PPL: -28252.88672
143: bad sentence 71, PPL: -21676.66406
144: good sentence 72, PPL: -96528.67188
145: bad sentence 72, PPL: -28018.77539
146: good sentence 73, PPL: -23831.64648
147: bad sentence 73, PPL: -45154.23047
148: good sentence 74, PPL: -85490.05469
149: bad sentence 74, PPL: -60327.80078
150: good sentence 75, PPL: -52201.89062
151: bad sentence 75, PPL: -65428.90625
152: good sentence 76, PPL: -32765.54883
153: bad sentence 76, PPL: -40682.06641
154: good sentence 77, PPL: -42321.01562
155: bad sentence 77, PPL: -66839.28906
156: good sentence 78, PPL: -42371.25000
157: bad sentence 78, PPL: -82732.52344
158: good sentence 79, PPL: -134779.01562
159: bad sentence 79, PPL: -98289.47656
160: good sentence 80, PPL: -65563.25781
161: bad sentence 80, PPL: -146479.79688
162: good sentence 81, PPL: -336292.53125
163: bad sentence 81, PPL: -590246.62500
164: good sentence 82, PPL: -129340.97656
165: bad sentence 82, PPL: -112882.94531
166: good sentence 83, PPL: -406219.53125
167: bad sentence 83, PPL: -387265.62500
168: good sentence 84, PPL: -100228.15625
169: bad sentence 84, PPL: -99177.29688
170: good sentence 85, PPL: -112306.53906
171: bad sentence 85, PPL: -56637.98438
172: good sentence 86, PPL: -30874.19531
173: bad sentence 86, PPL: -17583.87109
174: good sentence 87, PPL: -34613.28906
175: bad sentence 87, PPL: -32037.92773
176: good sentence 88, PPL: -18582.18945
177: bad sentence 88, PPL: -18743.88867
178: good sentence 89, PPL: -103265.36719
179: bad sentence 89, PPL: -50590.93359
180: good sentence 90, PPL: -31829.19336
181: bad sentence 90, PPL: -30209.13867
182: good sentence 91, PPL: -22177.06641
183: bad sentence 91, PPL: -30228.47852
184: good sentence 92, PPL: -40729.81250
185: bad sentence 92, PPL: -92279.13281
186: good sentence 93, PPL: -72604.65625
187: bad sentence 93, PPL: -42820.85938
188: good sentence 94, PPL: -35067.85547
189: bad sentence 94, PPL: -37925.38672
190: good sentence 95, PPL: -64372.82422
191: bad sentence 95, PPL: -60216.80469
192: good sentence 96, PPL: -73045.94531
193: bad sentence 96, PPL: -87922.46094
194: good sentence 97, PPL: -49290.31250
195: bad sentence 97, PPL: -34030.57812
196: good sentence 98, PPL: -40537.41016
197: bad sentence 98, PPL: -47254.61719
198: good sentence 99, PPL: -30071.85938
199: bad sentence 99, PPL: -41854.97266
200: good sentence 100, PPL: -302255.53125
201: bad sentence 100, PPL: -425800.09375
202: good sentence 101, PPL: -35080.56641
203: bad sentence 101, PPL: -11486.28906
204: good sentence 102, PPL: -15550.36230
205: bad sentence 102, PPL: -22433.64648
206: good sentence 103, PPL: -56151.52734
207: bad sentence 103, PPL: -88306.91406
208: good sentence 104, PPL: -92099.51562
209: bad sentence 104, PPL: -56690.18359
210: good sentence 105, PPL: -66015.18750
211: bad sentence 105, PPL: -82324.04688
212: good sentence 106, PPL: -15253.25781
213: bad sentence 106, PPL: -14620.43848
214: good sentence 107, PPL: -12537.65723
215: bad sentence 107, PPL: -18184.20508
216: good sentence 108, PPL: -77360.47656
217: bad sentence 108, PPL: -74747.38281
218: good sentence 109, PPL: -186130.07812
219: bad sentence 109, PPL: -153384.96875
220: good sentence 110, PPL: -13178.84570
221: bad sentence 110, PPL: -10572.70898
222: good sentence 111, PPL: -54107.46484
223: bad sentence 111, PPL: -29316.27734
224: good sentence 112, PPL: -14865.38477
225: bad sentence 112, PPL: -12426.29785
226: good sentence 113, PPL: -61317.69141
227: bad sentence 113, PPL: -140108.98438
228: good sentence 114, PPL: -104033.70312
229: bad sentence 114, PPL: -149015.00000
230: good sentence 115, PPL: -85440.50000
231: bad sentence 115, PPL: -164506.59375
232: good sentence 116, PPL: -59314.39453
233: bad sentence 116, PPL: -98882.35938
234: good sentence 117, PPL: -24090.34180
235: bad sentence 117, PPL: -40701.62109
236: good sentence 118, PPL: -58556.98047
237: bad sentence 118, PPL: -62254.68359
238: good sentence 119, PPL: -394434.40625
239: bad sentence 119, PPL: -320009.37500
240: good sentence 120, PPL: -45108.69531
241: bad sentence 120, PPL: -42093.14844
242: good sentence 121, PPL: -36663.48828
243: bad sentence 121, PPL: -22203.24219
244: good sentence 122, PPL: -40055.20703
245: bad sentence 122, PPL: -39497.28516
246: good sentence 123, PPL: -24888.23242
247: bad sentence 123, PPL: -25276.21289
248: good sentence 124, PPL: -19832.75391
249: bad sentence 124, PPL: -25205.80273
250: good sentence 125, PPL: -59703.14453
251: bad sentence 125, PPL: -54942.24219
252: good sentence 126, PPL: -123922.33594
253: bad sentence 126, PPL: -136494.73438
254: good sentence 127, PPL: -131384.68750
255: bad sentence 127, PPL: -127213.61719
256: good sentence 128, PPL: -84799.29688
257: bad sentence 128, PPL: -104349.48438
258: good sentence 129, PPL: -111338.86719
259: bad sentence 129, PPL: -133568.93750
260: good sentence 130, PPL: -19388.52148
261: bad sentence 130, PPL: -23134.84375
262: good sentence 131, PPL: -35397.67578
263: bad sentence 131, PPL: -50330.10938
264: good sentence 132, PPL: -31979.77734
265: bad sentence 132, PPL: -53379.76953
266: good sentence 133, PPL: -14372.35645
267: bad sentence 133, PPL: -19570.63281
268: good sentence 134, PPL: -44856.36328
269: bad sentence 134, PPL: -86146.10156
270: good sentence 135, PPL: -38207.85938
271: bad sentence 135, PPL: -46645.82031
272: good sentence 136, PPL: -86195.50000
273: bad sentence 136, PPL: -60991.32812
274: good sentence 137, PPL: -147627.81250
275: bad sentence 137, PPL: -169894.90625
276: good sentence 138, PPL: -43881.37500
277: bad sentence 138, PPL: -70708.07812
278: good sentence 139, PPL: -118506.50000
279: bad sentence 139, PPL: -100175.40625
280: good sentence 140, PPL: -109102.94531
281: bad sentence 140, PPL: -91448.52344
282: good sentence 141, PPL: -33232.49609
283: bad sentence 141, PPL: -26696.61914
284: good sentence 142, PPL: -26137.45117
285: bad sentence 142, PPL: -52954.82422
286: good sentence 143, PPL: -35386.37109
287: bad sentence 143, PPL: -70580.53906
288: good sentence 144, PPL: -79961.14844
289: bad sentence 144, PPL: -101525.35156
290: good sentence 145, PPL: -33600.89453
291: bad sentence 145, PPL: -38729.94141
292: good sentence 146, PPL: -99194.51562
293: bad sentence 146, PPL: -100689.17188
294: good sentence 147, PPL: -13302.70703
295: bad sentence 147, PPL: -13665.13574
296: good sentence 148, PPL: -118472.48438
297: bad sentence 148, PPL: -79382.25000
298: good sentence 149, PPL: -19540.27148
299: bad sentence 149, PPL: -30219.77344
300: good sentence 150, PPL: -24712.33984
301: bad sentence 150, PPL: -35297.49219
302: good sentence 151, PPL: -38839.64844
303: bad sentence 151, PPL: -36803.93750
304: good sentence 152, PPL: -96192.24219
305: bad sentence 152, PPL: -95298.50781
306: good sentence 153, PPL: -12543.37305
307: bad sentence 153, PPL: -18532.42578
308: good sentence 154, PPL: -47054.77344
309: bad sentence 154, PPL: -44876.42969
310: good sentence 155, PPL: -27208.26562
311: bad sentence 155, PPL: -44959.32031
312: good sentence 156, PPL: -34619.56250
313: bad sentence 156, PPL: -110187.07031
314: good sentence 157, PPL: -32806.75781
315: bad sentence 157, PPL: -78472.24219
316: good sentence 158, PPL: -82115.46875
317: bad sentence 158, PPL: -149536.60938
318: good sentence 159, PPL: -140541.37500
319: bad sentence 159, PPL: -163647.70312
320: good sentence 160, PPL: -179728.92188
321: bad sentence 160, PPL: -198064.15625
322: good sentence 161, PPL: -24552.64453
323: bad sentence 161, PPL: -25232.98047
324: good sentence 162, PPL: -181958.53125
325: bad sentence 162, PPL: -190786.95312
326: good sentence 163, PPL: -16080.28809
327: bad sentence 163, PPL: -15659.79102
328: good sentence 164, PPL: -58257.47656
329: bad sentence 164, PPL: -71187.85938
330: good sentence 165, PPL: -37823.67578
331: bad sentence 165, PPL: -49375.08984
332: good sentence 166, PPL: -109662.90625
333: bad sentence 166, PPL: -117082.08594
334: good sentence 167, PPL: -73242.86719
335: bad sentence 167, PPL: -79757.64844
336: good sentence 168, PPL: -158524.92188
337: bad sentence 168, PPL: -140298.71875
338: good sentence 169, PPL: -16135.97559
339: bad sentence 169, PPL: -20558.09961
340: good sentence 170, PPL: -102460.27344
341: bad sentence 170, PPL: -154415.59375
342: good sentence 171, PPL: -22500.71094
343: bad sentence 171, PPL: -74081.14062
344: good sentence 172, PPL: -12166.08496
345: bad sentence 172, PPL: -16590.73047
346: good sentence 173, PPL: -14062.16113
347: bad sentence 173, PPL: -29378.10352
348: good sentence 174, PPL: -394402.06250
349: bad sentence 174, PPL: -388696.81250
350: good sentence 175, PPL: -8448.90332
351: bad sentence 175, PPL: -14551.85938
352: good sentence 176, PPL: -23142.14844
353: bad sentence 176, PPL: -24337.81836
354: good sentence 177, PPL: -119474.80469
355: bad sentence 177, PPL: -169626.98438
356: good sentence 178, PPL: -90289.21094
357: bad sentence 178, PPL: -95307.68750
358: good sentence 179, PPL: -112161.60938
359: bad sentence 179, PPL: -221355.15625
360: good sentence 180, PPL: -151177.29688
361: bad sentence 180, PPL: -111247.70312
362: good sentence 181, PPL: -48692.56250
363: bad sentence 181, PPL: -39470.77734
364: good sentence 182, PPL: -98497.03906
365: bad sentence 182, PPL: -149636.46875
366: good sentence 183, PPL: -42259.75000
367: bad sentence 183, PPL: -41839.08984
368: good sentence 184, PPL: -24977.47266
369: bad sentence 184, PPL: -15388.99609
370: good sentence 185, PPL: -79837.85938
371: bad sentence 185, PPL: -68509.49219
372: good sentence 186, PPL: -34148.91406
373: bad sentence 186, PPL: -46958.61328
374: good sentence 187, PPL: -147282.71875
375: bad sentence 187, PPL: -120235.94531
376: good sentence 188, PPL: -40473.44141
377: bad sentence 188, PPL: -51250.29688
378: good sentence 189, PPL: -169605.78125
379: bad sentence 189, PPL: -268328.34375
380: good sentence 190, PPL: -76890.91406
381: bad sentence 190, PPL: -92020.67969
382: good sentence 191, PPL: -64344.77344
383: bad sentence 191, PPL: -81392.33594
384: good sentence 192, PPL: -106670.25000
385: bad sentence 192, PPL: -183226.21875
386: good sentence 193, PPL: -43760.72656
387: bad sentence 193, PPL: -52317.96875
388: good sentence 194, PPL: -27572.47070
389: bad sentence 194, PPL: -28402.60938
390: good sentence 195, PPL: -261139.68750
391: bad sentence 195, PPL: -300134.84375
392: good sentence 196, PPL: -211742.73438
393: bad sentence 196, PPL: -234496.34375
394: good sentence 197, PPL: -62815.09766
395: bad sentence 197, PPL: -83584.10938
396: good sentence 198, PPL: -15761.20801
397: bad sentence 198, PPL: -24838.98438
398: good sentence 199, PPL: -27525.36328
399: bad sentence 199, PPL: -33053.16016
400: good sentence 200, PPL: -40721.30469
401: bad sentence 200, PPL: -38808.50781
402: good sentence 201, PPL: -75004.09375
403: bad sentence 201, PPL: -74254.22656
404: good sentence 202, PPL: -123737.53125
405: bad sentence 202, PPL: -70038.28906
406: good sentence 203, PPL: -8085.46826
407: bad sentence 203, PPL: -26331.42383
408: good sentence 204, PPL: -41467.75391
409: bad sentence 204, PPL: -32634.88086
410: good sentence 205, PPL: -67683.30469
411: bad sentence 205, PPL: -52241.18750
412: good sentence 206, PPL: -59877.74219
413: bad sentence 206, PPL: -65297.43750
414: good sentence 207, PPL: -142769.42188
415: bad sentence 207, PPL: -184044.95312
