filler_gap_dependency_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.62300, Average Perplexity (Good Sentences): -22274.61133, Average Perplexity (Bad Sentences): -23977.84570
0: good sentence 0, PPL: -10589.66113
1: bad sentence 0, PPL: -2000.76697
2: good sentence 1, PPL: -11173.83398
3: bad sentence 1, PPL: -10223.14453
4: good sentence 2, PPL: -2810.19189
5: bad sentence 2, PPL: -5450.84619
6: good sentence 3, PPL: -13948.08398
7: bad sentence 3, PPL: -12488.11035
8: good sentence 4, PPL: -25897.04883
9: bad sentence 4, PPL: -7042.80078
10: good sentence 5, PPL: -52124.19141
11: bad sentence 5, PPL: -75064.77344
12: good sentence 6, PPL: -12933.42480
13: bad sentence 6, PPL: -8112.95020
14: good sentence 7, PPL: -15557.72070
15: bad sentence 7, PPL: -15327.11426
16: good sentence 8, PPL: -53194.84766
17: bad sentence 8, PPL: -81321.81250
18: good sentence 9, PPL: -45082.50391
19: bad sentence 9, PPL: -50240.67188
20: good sentence 10, PPL: -59913.27344
21: bad sentence 10, PPL: -46722.26172
22: good sentence 11, PPL: -66703.71875
23: bad sentence 11, PPL: -74795.30469
24: good sentence 12, PPL: -19859.66797
25: bad sentence 12, PPL: -56731.01953
26: good sentence 13, PPL: -12634.94336
27: bad sentence 13, PPL: -15993.06738
28: good sentence 14, PPL: -41469.84766
29: bad sentence 14, PPL: -26032.22266
30: good sentence 15, PPL: -32353.65820
31: bad sentence 15, PPL: -35756.67969
32: good sentence 16, PPL: -22411.92188
33: bad sentence 16, PPL: -24887.02344
34: good sentence 17, PPL: -12516.77441
35: bad sentence 17, PPL: -17937.86523
36: good sentence 18, PPL: -22965.92969
37: bad sentence 18, PPL: -46813.91797
38: good sentence 19, PPL: -30507.22656
39: bad sentence 19, PPL: -36079.31250
40: good sentence 20, PPL: -45371.48438
41: bad sentence 20, PPL: -57056.67969
42: good sentence 21, PPL: -16026.97852
43: bad sentence 21, PPL: -19493.81445
44: good sentence 22, PPL: -37471.85547
45: bad sentence 22, PPL: -52226.09766
46: good sentence 23, PPL: -30744.15039
47: bad sentence 23, PPL: -30435.01172
48: good sentence 24, PPL: -31828.37695
49: bad sentence 24, PPL: -46079.21484
50: good sentence 25, PPL: -36921.35156
51: bad sentence 25, PPL: -21580.05078
52: good sentence 26, PPL: -18352.09766
53: bad sentence 26, PPL: -27606.91406
54: good sentence 27, PPL: -37637.25000
55: bad sentence 27, PPL: -53477.34766
56: good sentence 28, PPL: -9998.88574
57: bad sentence 28, PPL: -8994.18848
58: good sentence 29, PPL: -43677.58594
59: bad sentence 29, PPL: -49602.62500
60: good sentence 30, PPL: -10480.49121
61: bad sentence 30, PPL: -12813.91797
62: good sentence 31, PPL: -39670.75000
63: bad sentence 31, PPL: -34569.21875
64: good sentence 32, PPL: -26641.17383
65: bad sentence 32, PPL: -25982.27148
66: good sentence 33, PPL: -41517.21875
67: bad sentence 33, PPL: -70786.14062
68: good sentence 34, PPL: -38945.17188
69: bad sentence 34, PPL: -24843.53320
70: good sentence 35, PPL: -34076.01172
71: bad sentence 35, PPL: -27537.91406
72: good sentence 36, PPL: -26793.69531
73: bad sentence 36, PPL: -51151.75781
74: good sentence 37, PPL: -59268.87500
75: bad sentence 37, PPL: -37927.37500
76: good sentence 38, PPL: -3006.60254
77: bad sentence 38, PPL: -4058.02856
78: good sentence 39, PPL: -34157.54688
79: bad sentence 39, PPL: -17208.79297
80: good sentence 40, PPL: -8937.55859
81: bad sentence 40, PPL: -9161.73047
82: good sentence 41, PPL: -47164.80078
83: bad sentence 41, PPL: -51665.11719
84: good sentence 42, PPL: -18442.94727
85: bad sentence 42, PPL: -25457.23828
86: good sentence 43, PPL: -43089.42578
87: bad sentence 43, PPL: -57211.53125
88: good sentence 44, PPL: -15533.06543
89: bad sentence 44, PPL: -11722.77148
90: good sentence 45, PPL: -37319.50000
91: bad sentence 45, PPL: -40635.65234
92: good sentence 46, PPL: -19533.91797
93: bad sentence 46, PPL: -13100.83887
94: good sentence 47, PPL: -5218.84277
95: bad sentence 47, PPL: -9405.78613
96: good sentence 48, PPL: -24214.65234
97: bad sentence 48, PPL: -34840.67969
98: good sentence 49, PPL: -16754.26367
99: bad sentence 49, PPL: -15780.52148
100: good sentence 50, PPL: -43175.39844
101: bad sentence 50, PPL: -45480.52344
102: good sentence 51, PPL: -4571.37109
103: bad sentence 51, PPL: -8608.60254
104: good sentence 52, PPL: -9570.71191
105: bad sentence 52, PPL: -15640.88086
106: good sentence 53, PPL: -24770.68945
107: bad sentence 53, PPL: -31671.68164
108: good sentence 54, PPL: -7821.64502
109: bad sentence 54, PPL: -7485.57764
110: good sentence 55, PPL: -31972.02930
111: bad sentence 55, PPL: -12005.33496
112: good sentence 56, PPL: -40923.58984
113: bad sentence 56, PPL: -57612.03906
114: good sentence 57, PPL: -24214.65234
115: bad sentence 57, PPL: -39223.67969
116: good sentence 58, PPL: -22498.77930
117: bad sentence 58, PPL: -29121.14062
118: good sentence 59, PPL: -39683.53906
119: bad sentence 59, PPL: -44592.64453
120: good sentence 60, PPL: -25594.53125
121: bad sentence 60, PPL: -26655.81250
122: good sentence 61, PPL: -24864.22461
123: bad sentence 61, PPL: -43149.54688
124: good sentence 62, PPL: -25928.06445
125: bad sentence 62, PPL: -28713.13477
126: good sentence 63, PPL: -33346.50000
127: bad sentence 63, PPL: -37469.42578
128: good sentence 64, PPL: -16381.82910
129: bad sentence 64, PPL: -26537.31055
130: good sentence 65, PPL: -19103.90234
131: bad sentence 65, PPL: -18254.57422
132: good sentence 66, PPL: -59153.56641
133: bad sentence 66, PPL: -32024.33398
134: good sentence 67, PPL: -33406.37500
135: bad sentence 67, PPL: -40013.66797
136: good sentence 68, PPL: -32118.07812
137: bad sentence 68, PPL: -53063.05859
138: good sentence 69, PPL: -49647.62891
139: bad sentence 69, PPL: -53507.03906
140: good sentence 70, PPL: -10325.59473
141: bad sentence 70, PPL: -17669.61914
142: good sentence 71, PPL: -33611.14844
143: bad sentence 71, PPL: -51453.09375
144: good sentence 72, PPL: -23941.05859
145: bad sentence 72, PPL: -40783.29297
146: good sentence 73, PPL: -5984.18604
147: bad sentence 73, PPL: -6585.47461
148: good sentence 74, PPL: -11173.83398
149: bad sentence 74, PPL: -20791.36719
150: good sentence 75, PPL: -25507.39648
151: bad sentence 75, PPL: -22572.90625
152: good sentence 76, PPL: -28941.39844
153: bad sentence 76, PPL: -27191.66211
154: good sentence 77, PPL: -3595.44751
155: bad sentence 77, PPL: -3665.59912
156: good sentence 78, PPL: -20418.25781
157: bad sentence 78, PPL: -58202.55078
158: good sentence 79, PPL: -7411.54541
159: bad sentence 79, PPL: -6374.57520
160: good sentence 80, PPL: -17978.48828
161: bad sentence 80, PPL: -25555.92383
162: good sentence 81, PPL: -56048.53516
163: bad sentence 81, PPL: -54640.21484
164: good sentence 82, PPL: -24795.26953
165: bad sentence 82, PPL: -24581.65039
166: good sentence 83, PPL: -19220.71289
167: bad sentence 83, PPL: -19602.51758
168: good sentence 84, PPL: -41608.53906
169: bad sentence 84, PPL: -30366.01367
170: good sentence 85, PPL: -15018.95410
171: bad sentence 85, PPL: -13088.26367
172: good sentence 86, PPL: -10356.73047
173: bad sentence 86, PPL: -17054.90430
174: good sentence 87, PPL: -16436.89844
175: bad sentence 87, PPL: -35102.85547
176: good sentence 88, PPL: -11581.39062
177: bad sentence 88, PPL: -16010.11328
178: good sentence 89, PPL: -14806.07324
179: bad sentence 89, PPL: -17401.95117
180: good sentence 90, PPL: -20275.51953
181: bad sentence 90, PPL: -19144.59180
182: good sentence 91, PPL: -30618.97852
183: bad sentence 91, PPL: -22363.71094
184: good sentence 92, PPL: -16809.28516
185: bad sentence 92, PPL: -10064.23730
186: good sentence 93, PPL: -26953.05273
187: bad sentence 93, PPL: -25426.05859
188: good sentence 94, PPL: -14268.67285
189: bad sentence 94, PPL: -6653.92578
190: good sentence 95, PPL: -47648.17969
191: bad sentence 95, PPL: -39729.24609
192: good sentence 96, PPL: -12856.50391
193: bad sentence 96, PPL: -17214.98047
194: good sentence 97, PPL: -29776.66406
195: bad sentence 97, PPL: -60898.39453
196: good sentence 98, PPL: -28544.05469
197: bad sentence 98, PPL: -31280.31250
198: good sentence 99, PPL: -17612.73828
199: bad sentence 99, PPL: -14252.66504
200: good sentence 100, PPL: -5188.28369
201: bad sentence 100, PPL: -4923.31152
202: good sentence 101, PPL: -11709.11719
203: bad sentence 101, PPL: -17020.58789
204: good sentence 102, PPL: -28348.64844
205: bad sentence 102, PPL: -49664.91797
206: good sentence 103, PPL: -4066.40845
207: bad sentence 103, PPL: -3495.37158
208: good sentence 104, PPL: -2496.03271
209: bad sentence 104, PPL: -2497.37549
210: good sentence 105, PPL: -28233.33203
211: bad sentence 105, PPL: -8389.21582
212: good sentence 106, PPL: -20747.27734
213: bad sentence 106, PPL: -19473.13281
