verb_complement_direction_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.81400, Average Perplexity (Good Sentences): -47848.67969, Average Perplexity (Bad Sentences): -90929.69531
0: good sentence 0, PPL: -70171.20312
1: bad sentence 0, PPL: -165304.56250
2: good sentence 1, PPL: -53884.23828
3: bad sentence 1, PPL: -83409.87500
4: good sentence 2, PPL: -82169.67969
5: bad sentence 2, PPL: -590243.81250
6: good sentence 3, PPL: -43587.53906
7: bad sentence 3, PPL: -86939.82812
8: good sentence 4, PPL: -60089.10938
9: bad sentence 4, PPL: -417237.96875
10: good sentence 5, PPL: -92410.26562
11: bad sentence 5, PPL: -332741.50000
12: good sentence 6, PPL: -208265.43750
13: bad sentence 6, PPL: -175056.25000
14: good sentence 7, PPL: -8680.72266
15: bad sentence 7, PPL: -10707.58398
16: good sentence 8, PPL: -61532.21484
17: bad sentence 8, PPL: -130450.66406
18: good sentence 9, PPL: -19233.32812
19: bad sentence 9, PPL: -34455.07422
20: good sentence 10, PPL: -194814.64062
21: bad sentence 10, PPL: -195255.64062
22: good sentence 11, PPL: -43564.05859
23: bad sentence 11, PPL: -57350.83203
24: good sentence 12, PPL: -36774.39453
25: bad sentence 12, PPL: -57830.85156
26: good sentence 13, PPL: -307426.71875
27: bad sentence 13, PPL: -263293.28125
28: good sentence 14, PPL: -63817.43750
29: bad sentence 14, PPL: -119001.63281
30: good sentence 15, PPL: -100069.51562
31: bad sentence 15, PPL: -195731.25000
32: good sentence 16, PPL: -367733.96875
33: bad sentence 16, PPL: -350766.03125
34: good sentence 17, PPL: -68169.53906
35: bad sentence 17, PPL: -119196.54688
36: good sentence 18, PPL: -39219.07812
37: bad sentence 18, PPL: -68344.51562
38: good sentence 19, PPL: -42519.12109
39: bad sentence 19, PPL: -32810.57812
40: good sentence 20, PPL: -27756.80859
41: bad sentence 20, PPL: -33473.60156
42: good sentence 21, PPL: -124399.40625
43: bad sentence 21, PPL: -237346.04688
44: good sentence 22, PPL: -42127.16406
45: bad sentence 22, PPL: -62685.96094
46: good sentence 23, PPL: -128699.17969
47: bad sentence 23, PPL: -150507.93750
48: good sentence 24, PPL: -20007.54688
