verb_complement_duration_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.83600, Average Perplexity (Good Sentences): -49424.65234, Average Perplexity (Bad Sentences): -75508.06250
0: good sentence 0, PPL: -80889.11719
1: bad sentence 0, PPL: -161110.42188
2: good sentence 1, PPL: -90038.30469
3: bad sentence 1, PPL: -135514.95312
4: good sentence 2, PPL: -94405.24219
5: bad sentence 2, PPL: -124405.21875
6: good sentence 3, PPL: -47203.18359
7: bad sentence 3, PPL: -36724.45312
8: good sentence 4, PPL: -54939.25391
9: bad sentence 4, PPL: -118863.93750
10: good sentence 5, PPL: -14950.87305
11: bad sentence 5, PPL: -23707.37891
12: good sentence 6, PPL: -101598.86719
13: bad sentence 6, PPL: -95161.54688
14: good sentence 7, PPL: -27929.37695
15: bad sentence 7, PPL: -74203.89844
16: good sentence 8, PPL: -107750.85156
17: bad sentence 8, PPL: -329144.84375
18: good sentence 9, PPL: -10380.59082
19: bad sentence 9, PPL: -10004.61816
20: good sentence 10, PPL: -19565.25781
21: bad sentence 10, PPL: -46859.96875
22: good sentence 11, PPL: -96624.54688
23: bad sentence 11, PPL: -145893.84375
24: good sentence 12, PPL: -224827.90625
25: bad sentence 12, PPL: -149325.70312
26: good sentence 13, PPL: -227554.50000
27: bad sentence 13, PPL: -347461.93750
28: good sentence 14, PPL: -7077.05127
29: bad sentence 14, PPL: -6976.86621
30: good sentence 15, PPL: -76886.66406
31: bad sentence 15, PPL: -117842.80469
32: good sentence 16, PPL: -96089.00000
33: bad sentence 16, PPL: -129877.16406
34: good sentence 17, PPL: -11421.75391
35: bad sentence 17, PPL: -21089.41992
36: good sentence 18, PPL: -128956.68750
37: bad sentence 18, PPL: -337473.21875
38: good sentence 19, PPL: -24097.50977
39: bad sentence 19, PPL: -99546.10156
40: good sentence 20, PPL: -34867.10547
41: bad sentence 20, PPL: -55508.29688
42: good sentence 21, PPL: -76277.20312
43: bad sentence 21, PPL: -105388.18750
44: good sentence 22, PPL: -13028.77344
45: bad sentence 22, PPL: -12513.45508
46: good sentence 23, PPL: -15379.63477
47: bad sentence 23, PPL: -53961.37500
48: good sentence 24, PPL: -42257.29297
49: bad sentence 24, PPL: -68002.46875
50: good sentence 25, PPL: -43874.21484
51: bad sentence 25, PPL: -51682.07031
52: good sentence 26, PPL: -32270.45703
53: bad sentence 26, PPL: -35708.21875
54: good sentence 27, PPL: -25150.55078
55: bad sentence 27, PPL: -28317.70898
56: good sentence 28, PPL: -23005.41016
57: bad sentence 28, PPL: -24673.85938
58: good sentence 29, PPL: -115434.20312
59: bad sentence 29, PPL: -348792.28125
60: good sentence 30, PPL: -107672.99219
61: bad sentence 30, PPL: -139613.07812
62: good sentence 31, PPL: -38885.30859
63: bad sentence 31, PPL: -36177.92188
64: good sentence 32, PPL: -143559.93750
65: bad sentence 32, PPL: -188592.09375
66: good sentence 33, PPL: -31168.40820
67: bad sentence 33, PPL: -35726.10156
68: good sentence 34, PPL: -109763.56250
69: bad sentence 34, PPL: -93933.57812
70: good sentence 35, PPL: -9138.16895
71: bad sentence 35, PPL: -20167.52734
72: good sentence 36, PPL: -65700.14062
73: bad sentence 36, PPL: -343330.09375
74: good sentence 37, PPL: -39068.67188
75: bad sentence 37, PPL: -226613.51562
76: good sentence 38, PPL: -169876.28125
77: bad sentence 38, PPL: -215833.76562
78: good sentence 39, PPL: -111029.67969
79: bad sentence 39, PPL: -127260.45312
80: good sentence 40, PPL: -25633.81250
81: bad sentence 40, PPL: -26094.88672
82: good sentence 41, PPL: -12952.73047
83: bad sentence 41, PPL: -21750.32227
84: good sentence 42, PPL: -86515.44531
85: bad sentence 42, PPL: -68448.75000
86: good sentence 43, PPL: -44170.49219
87: bad sentence 43, PPL: -273106.28125
88: good sentence 44, PPL: -13159.35352
89: bad sentence 44, PPL: -22586.17188
90: good sentence 45, PPL: -12584.59180
91: bad sentence 45, PPL: -13668.31543
92: good sentence 46, PPL: -154972.51562
93: bad sentence 46, PPL: -211004.75000
94: good sentence 47, PPL: -11418.79102
95: bad sentence 47, PPL: -12050.61133
96: good sentence 48, PPL: -85859.94531
97: bad sentence 48, PPL: -496268.28125
98: good sentence 49, PPL: -62856.44922
99: bad sentence 49, PPL: -187282.10938
100: good sentence 50, PPL: -33833.66406
101: bad sentence 50, PPL: -74636.76562
102: good sentence 51, PPL: -153542.60938
103: bad sentence 51, PPL: -171403.37500
104: good sentence 52, PPL: -31734.23828
105: bad sentence 52, PPL: -42420.37500
106: good sentence 53, PPL: -41083.21484
107: bad sentence 53, PPL: -50290.91406
108: good sentence 54, PPL: -32765.14258
109: bad sentence 54, PPL: -31428.98828
110: good sentence 55, PPL: -75044.30469
111: bad sentence 55, PPL: -111842.76562
112: good sentence 56, PPL: -187021.70312
113: bad sentence 56, PPL: -436048.56250
114: good sentence 57, PPL: -32047.52344
115: bad sentence 57, PPL: -44594.17188
116: good sentence 58, PPL: -114790.89844
117: bad sentence 58, PPL: -305258.96875
118: good sentence 59, PPL: -47934.22266
119: bad sentence 59, PPL: -54643.71094
120: good sentence 60, PPL: -56622.91797
121: bad sentence 60, PPL: -61157.56250
122: good sentence 61, PPL: -86211.28125
123: bad sentence 61, PPL: -65394.28125
124: good sentence 62, PPL: -118785.64062
125: bad sentence 62, PPL: -166480.98438
126: good sentence 63, PPL: -161898.25000
127: bad sentence 63, PPL: -122257.45312
128: good sentence 64, PPL: -10549.26172
129: bad sentence 64, PPL: -22763.75000
130: good sentence 65, PPL: -117588.53125
131: bad sentence 65, PPL: -226807.45312
132: good sentence 66, PPL: -51998.67578
133: bad sentence 66, PPL: -123948.22656
134: good sentence 67, PPL: -34708.75391
135: bad sentence 67, PPL: -88692.70312
136: good sentence 68, PPL: -280609.34375
137: bad sentence 68, PPL: -522139.68750
138: good sentence 69, PPL: -47523.60938
139: bad sentence 69, PPL: -108465.74219
140: good sentence 70, PPL: -13425.77246
141: bad sentence 70, PPL: -20946.86523
142: good sentence 71, PPL: -335799.31250
143: bad sentence 71, PPL: -967688.25000
144: good sentence 72, PPL: -43421.00391
145: bad sentence 72, PPL: -43404.64844
146: good sentence 73, PPL: -147312.64062
147: bad sentence 73, PPL: -294674.62500
148: good sentence 74, PPL: -24973.61328
149: bad sentence 74, PPL: -26825.39844
150: good sentence 75, PPL: -48575.91406
151: bad sentence 75, PPL: -41920.25000
152: good sentence 76, PPL: -70059.00000
153: bad sentence 76, PPL: -128759.45312
154: good sentence 77, PPL: -117199.93750
155: bad sentence 77, PPL: -136002.28125
156: good sentence 78, PPL: -59432.90234
157: bad sentence 78, PPL: -65263.94531
158: good sentence 79, PPL: -39420.40625
159: bad sentence 79, PPL: -45939.19922
160: good sentence 80, PPL: -23456.62500
161: bad sentence 80, PPL: -22313.92383
162: good sentence 81, PPL: -13109.11328
163: bad sentence 81, PPL: -19981.65234
164: good sentence 82, PPL: -30466.46289
165: bad sentence 82, PPL: -47260.11328
166: good sentence 83, PPL: -15216.68652
167: bad sentence 83, PPL: -26693.63867
168: good sentence 84, PPL: -45607.17969
169: bad sentence 84, PPL: -45626.97266
170: good sentence 85, PPL: -81655.89844
171: bad sentence 85, PPL: -94785.31250
172: good sentence 86, PPL: -57820.87109
173: bad sentence 86, PPL: -87605.58594
174: good sentence 87, PPL: -165581.00000
175: bad sentence 87, PPL: -211733.25000
176: good sentence 88, PPL: -17741.82227
177: bad sentence 88, PPL: -48229.75391
178: good sentence 89, PPL: -93648.77344
179: bad sentence 89, PPL: -153395.50000
180: good sentence 90, PPL: -33208.19531
181: bad sentence 90, PPL: -72423.67969
182: good sentence 91, PPL: -28384.59961
183: bad sentence 91, PPL: -27636.44141
184: good sentence 92, PPL: -26716.84180
185: bad sentence 92, PPL: -25472.02734
186: good sentence 93, PPL: -17180.60547
187: bad sentence 93, PPL: -13818.83398
188: good sentence 94, PPL: -57208.91016
189: bad sentence 94, PPL: -51619.71094
190: good sentence 95, PPL: -48097.79297
191: bad sentence 95, PPL: -74959.39844
192: good sentence 96, PPL: -62665.45703
193: bad sentence 96, PPL: -105899.49219
194: good sentence 97, PPL: -38409.89062
195: bad sentence 97, PPL: -77346.31250
196: good sentence 98, PPL: -15610.13867
197: bad sentence 98, PPL: -14370.61523
198: good sentence 99, PPL: -51357.39844
199: bad sentence 99, PPL: -95799.67969
200: good sentence 100, PPL: -55954.11328
201: bad sentence 100, PPL: -69106.50000
202: good sentence 101, PPL: -42394.12891
203: bad sentence 101, PPL: -80461.19531
204: good sentence 102, PPL: -35508.84766
205: bad sentence 102, PPL: -65272.16406
206: good sentence 103, PPL: -12060.63672
207: bad sentence 103, PPL: -21931.51367
208: good sentence 104, PPL: -13898.42480
209: bad sentence 104, PPL: -17172.11914
210: good sentence 105, PPL: -181447.00000
211: bad sentence 105, PPL: -292075.68750
212: good sentence 106, PPL: -127724.06250
213: bad sentence 106, PPL: -262439.18750
214: good sentence 107, PPL: -17122.89648
215: bad sentence 107, PPL: -22740.16406
216: good sentence 108, PPL: -530114.93750
217: bad sentence 108, PPL: -541432.06250
218: good sentence 109, PPL: -115203.69531
219: bad sentence 109, PPL: -113991.36719
220: good sentence 110, PPL: -147608.39062
221: bad sentence 110, PPL: -176457.01562
222: good sentence 111, PPL: -44868.64453
223: bad sentence 111, PPL: -35329.01172
224: good sentence 112, PPL: -119355.79688
225: bad sentence 112, PPL: -462806.31250
226: good sentence 113, PPL: -27798.21289
227: bad sentence 113, PPL: -26561.82031
228: good sentence 114, PPL: -33184.39062
229: bad sentence 114, PPL: -32622.09180
230: good sentence 115, PPL: -36924.24219
231: bad sentence 115, PPL: -76050.14062
232: good sentence 116, PPL: -41470.95703
233: bad sentence 116, PPL: -38669.82031
234: good sentence 117, PPL: -64052.24609
235: bad sentence 117, PPL: -140649.71875
236: good sentence 118, PPL: -119148.23438
237: bad sentence 118, PPL: -107816.32812
238: good sentence 119, PPL: -60363.71094
239: bad sentence 119, PPL: -77244.81250
240: good sentence 120, PPL: -7360.75879
241: bad sentence 120, PPL: -10031.15918
