verb_complement_frequency_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.48800, Average Perplexity (Good Sentences): -42803.50781, Average Perplexity (Bad Sentences): -45307.32031
0: good sentence 0, PPL: -74104.11719
1: bad sentence 0, PPL: -263659.37500
2: good sentence 1, PPL: -72224.00000
3: bad sentence 1, PPL: -121929.91406
4: good sentence 2, PPL: -20384.69531
5: bad sentence 2, PPL: -20811.08594
6: good sentence 3, PPL: -214021.42188
7: bad sentence 3, PPL: -88101.24219
8: good sentence 4, PPL: -12517.34668
9: bad sentence 4, PPL: -12336.84082
10: good sentence 5, PPL: -35540.96484
11: bad sentence 5, PPL: -36211.40625
12: good sentence 6, PPL: -37919.45703
13: bad sentence 6, PPL: -42221.11719
14: good sentence 7, PPL: -66235.58594
15: bad sentence 7, PPL: -47345.46484
16: good sentence 8, PPL: -80287.35156
17: bad sentence 8, PPL: -193373.62500
18: good sentence 9, PPL: -52757.07422
19: bad sentence 9, PPL: -47826.46094
20: good sentence 10, PPL: -11764.99512
21: bad sentence 10, PPL: -11264.86523
22: good sentence 11, PPL: -16433.23047
23: bad sentence 11, PPL: -16114.13867
24: good sentence 12, PPL: -86977.14062
25: bad sentence 12, PPL: -149308.32812
26: good sentence 13, PPL: -58324.84766
27: bad sentence 13, PPL: -58467.25391
28: good sentence 14, PPL: -15284.34570
29: bad sentence 14, PPL: -13303.40527
30: good sentence 15, PPL: -24995.39062
31: bad sentence 15, PPL: -27032.00195
32: good sentence 16, PPL: -24651.82227
33: bad sentence 16, PPL: -22834.15430
34: good sentence 17, PPL: -36138.23438
35: bad sentence 17, PPL: -31704.80469
36: good sentence 18, PPL: -8360.91797
37: bad sentence 18, PPL: -8850.42383
38: good sentence 19, PPL: -10668.45312
39: bad sentence 19, PPL: -15964.11523
40: good sentence 20, PPL: -18243.62891
41: bad sentence 20, PPL: -17771.47461
42: good sentence 21, PPL: -21650.63281
43: bad sentence 21, PPL: -22351.42969
44: good sentence 22, PPL: -18708.95703
45: bad sentence 22, PPL: -13419.06445
46: good sentence 23, PPL: -72420.35938
47: bad sentence 23, PPL: -121841.21875
48: good sentence 24, PPL: -17624.24805
49: bad sentence 24, PPL: -29282.02148
50: good sentence 25, PPL: -20212.42773
51: bad sentence 25, PPL: -24317.16992
52: good sentence 26, PPL: -28797.68164
53: bad sentence 26, PPL: -40965.41016
54: good sentence 27, PPL: -52124.33984
55: bad sentence 27, PPL: -50432.06641
56: good sentence 28, PPL: -44981.19141
57: bad sentence 28, PPL: -115448.96094
58: good sentence 29, PPL: -25389.08398
59: bad sentence 29, PPL: -41661.46875
60: good sentence 30, PPL: -88779.43750
61: bad sentence 30, PPL: -58738.75391
62: good sentence 31, PPL: -120840.02344
63: bad sentence 31, PPL: -358618.09375
64: good sentence 32, PPL: -51856.30078
65: bad sentence 32, PPL: -51813.53906
66: good sentence 33, PPL: -99802.27344
67: bad sentence 33, PPL: -127673.40625
68: good sentence 34, PPL: -32722.48633
69: bad sentence 34, PPL: -56083.82812
70: good sentence 35, PPL: -48390.54688
71: bad sentence 35, PPL: -118947.06250
72: good sentence 36, PPL: -19231.82422
73: bad sentence 36, PPL: -20543.98828
74: good sentence 37, PPL: -19702.67578
75: bad sentence 37, PPL: -15673.47656
76: good sentence 38, PPL: -195762.98438
77: bad sentence 38, PPL: -148283.35938
78: good sentence 39, PPL: -28218.82422
79: bad sentence 39, PPL: -31986.73047
80: good sentence 40, PPL: -59302.80078
81: bad sentence 40, PPL: -61234.71094
82: good sentence 41, PPL: -30402.05859
83: bad sentence 41, PPL: -31597.46680
84: good sentence 42, PPL: -190413.60938
85: bad sentence 42, PPL: -235474.09375
86: good sentence 43, PPL: -19164.74023
87: bad sentence 43, PPL: -15733.14062
88: good sentence 44, PPL: -11272.68945
89: bad sentence 44, PPL: -11731.63965
90: good sentence 45, PPL: -137865.00000
91: bad sentence 45, PPL: -97411.46094
92: good sentence 46, PPL: -17399.79297
93: bad sentence 46, PPL: -16147.15137
94: good sentence 47, PPL: -107951.10938
95: bad sentence 47, PPL: -59534.05078
96: good sentence 48, PPL: -127058.42188
97: bad sentence 48, PPL: -116479.56250
98: good sentence 49, PPL: -97581.42188
99: bad sentence 49, PPL: -123383.07812
100: good sentence 50, PPL: -73974.75000
101: bad sentence 50, PPL: -46489.49219
102: good sentence 51, PPL: -23648.57812
103: bad sentence 51, PPL: -21108.25391
104: good sentence 52, PPL: -20406.75195
105: bad sentence 52, PPL: -18409.20703
106: good sentence 53, PPL: -27269.59766
107: bad sentence 53, PPL: -46200.66016
108: good sentence 54, PPL: -9196.29004
109: bad sentence 54, PPL: -12648.09570
110: good sentence 55, PPL: -163266.40625
111: bad sentence 55, PPL: -144275.00000
112: good sentence 56, PPL: -24851.08984
113: bad sentence 56, PPL: -23007.49414
114: good sentence 57, PPL: -99430.44531
115: bad sentence 57, PPL: -85310.39844
116: good sentence 58, PPL: -100379.19531
117: bad sentence 58, PPL: -210709.15625
118: good sentence 59, PPL: -31304.60547
119: bad sentence 59, PPL: -28944.57227
120: good sentence 60, PPL: -14681.60742
121: bad sentence 60, PPL: -13087.15332
122: good sentence 61, PPL: -47832.89062
123: bad sentence 61, PPL: -41018.38281
124: good sentence 62, PPL: -114790.68750
125: bad sentence 62, PPL: -126540.38281
