verb_complement_res_adj_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.25900, Average Perplexity (Good Sentences): -64265.48047, Average Perplexity (Bad Sentences): -43504.02734
0: good sentence 0, PPL: -97866.78906
1: bad sentence 0, PPL: -45617.31250
2: good sentence 1, PPL: -28558.83984
3: bad sentence 1, PPL: -34034.27734
4: good sentence 2, PPL: -56709.43750
5: bad sentence 2, PPL: -62994.95312
6: good sentence 3, PPL: -288769.28125
7: bad sentence 3, PPL: -140964.73438
8: good sentence 4, PPL: -65871.35938
9: bad sentence 4, PPL: -68092.41406
10: good sentence 5, PPL: -10008.51172
11: bad sentence 5, PPL: -7011.31738
12: good sentence 6, PPL: -273694.21875
13: bad sentence 6, PPL: -97422.89062
14: good sentence 7, PPL: -98051.67188
15: bad sentence 7, PPL: -82498.67969
16: good sentence 8, PPL: -42669.21484
17: bad sentence 8, PPL: -39279.90234
18: good sentence 9, PPL: -60748.74219
19: bad sentence 9, PPL: -35571.48438
20: good sentence 10, PPL: -128335.65625
21: bad sentence 10, PPL: -133836.56250
22: good sentence 11, PPL: -106704.01562
23: bad sentence 11, PPL: -161782.48438
24: good sentence 12, PPL: -38648.95312
25: bad sentence 12, PPL: -33927.85156
26: good sentence 13, PPL: -50550.80859
27: bad sentence 13, PPL: -44321.21875
28: good sentence 14, PPL: -86269.92188
29: bad sentence 14, PPL: -81683.46875
30: good sentence 15, PPL: -72510.61719
31: bad sentence 15, PPL: -93459.18750
32: good sentence 16, PPL: -174571.10938
33: bad sentence 16, PPL: -148772.46875
34: good sentence 17, PPL: -32579.93359
35: bad sentence 17, PPL: -30560.28125
36: good sentence 18, PPL: -22135.69531
37: bad sentence 18, PPL: -19102.48047
38: good sentence 19, PPL: -150804.04688
39: bad sentence 19, PPL: -22855.80859
40: good sentence 20, PPL: -148855.07812
41: bad sentence 20, PPL: -48849.16406
42: good sentence 21, PPL: -46707.02344
43: bad sentence 21, PPL: -36859.89062
44: good sentence 22, PPL: -24103.69336
45: bad sentence 22, PPL: -29781.00977
46: good sentence 23, PPL: -6386.57471
47: bad sentence 23, PPL: -6183.24805
48: good sentence 24, PPL: -38135.52734
49: bad sentence 24, PPL: -31429.55664
50: good sentence 25, PPL: -52548.93750
51: bad sentence 25, PPL: -46857.33203
52: good sentence 26, PPL: -65320.17188
53: bad sentence 26, PPL: -57913.97266
54: good sentence 27, PPL: -127611.80469
55: bad sentence 27, PPL: -38194.34375
56: good sentence 28, PPL: -80699.96094
57: bad sentence 28, PPL: -70281.03906
58: good sentence 29, PPL: -450342.25000
59: bad sentence 29, PPL: -423399.65625
60: good sentence 30, PPL: -62994.10938
