anaphor_agreement_gender_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.62500, Average Perplexity (Good Sentences): -1769.40283, Average Perplexity (Bad Sentences): -2629.07593
0: good sentence 0, PPL: -693.15588
1: bad sentence 0, PPL: -1999.20984
2: good sentence 1, PPL: -1468.78613
3: bad sentence 1, PPL: -923.50659
4: good sentence 2, PPL: -11206.16895
5: bad sentence 2, PPL: -12551.24805
6: good sentence 3, PPL: -939.96790
7: bad sentence 3, PPL: -4051.70996
8: good sentence 4, PPL: -969.37061
9: bad sentence 4, PPL: -2733.64746
10: good sentence 5, PPL: -1243.37842
11: bad sentence 5, PPL: -1073.30042
12: good sentence 6, PPL: -894.01196
13: bad sentence 6, PPL: -2272.55933
14: good sentence 7, PPL: -4874.86182
15: bad sentence 7, PPL: -6920.64453
16: good sentence 8, PPL: -1703.08801
17: bad sentence 8, PPL: -3925.00781
18: good sentence 9, PPL: -10644.99707
19: bad sentence 9, PPL: -102134.04688
20: good sentence 10, PPL: -1171.08093
21: bad sentence 10, PPL: -1009.10596
22: good sentence 11, PPL: -1212.83008
23: bad sentence 11, PPL: -381.98477
24: good sentence 12, PPL: -6522.97510
25: bad sentence 12, PPL: -2556.99170
26: good sentence 13, PPL: -4113.39258
27: bad sentence 13, PPL: -1531.43799
28: good sentence 14, PPL: -509.73260
29: bad sentence 14, PPL: -2131.13940
30: good sentence 15, PPL: -2914.79785
31: bad sentence 15, PPL: -8434.52441
32: good sentence 16, PPL: -434.93652
33: bad sentence 16, PPL: -269.35153
34: good sentence 17, PPL: -27101.31055
35: bad sentence 17, PPL: -5085.99756
36: good sentence 18, PPL: -737.29303
37: bad sentence 18, PPL: -2153.92578
38: good sentence 19, PPL: -1338.77783
39: bad sentence 19, PPL: -3367.97998
40: good sentence 20, PPL: -1098.11084
41: bad sentence 20, PPL: -1248.87061
42: good sentence 21, PPL: -1134.63647
43: bad sentence 21, PPL: -9112.42773
44: good sentence 22, PPL: -2095.64551
45: bad sentence 22, PPL: -1862.91040
46: good sentence 23, PPL: -12819.99316
47: bad sentence 23, PPL: -1828.16650
48: good sentence 24, PPL: -5574.59863
49: bad sentence 24, PPL: -2728.83521
50: good sentence 25, PPL: -4982.12061
51: bad sentence 25, PPL: -5867.59033
52: good sentence 26, PPL: -623.44275
53: bad sentence 26, PPL: -4666.39941
54: good sentence 27, PPL: -1192.79663
55: bad sentence 27, PPL: -4846.49268
56: good sentence 28, PPL: -280.58374
57: bad sentence 28, PPL: -891.76648
58: good sentence 29, PPL: -1534.80737
59: bad sentence 29, PPL: -1194.18176
60: good sentence 30, PPL: -6604.00195
61: bad sentence 30, PPL: -9011.04980
62: good sentence 31, PPL: -822.50159
63: bad sentence 31, PPL: -2160.63062
64: good sentence 32, PPL: -1577.82617
65: bad sentence 32, PPL: -3271.85083
66: good sentence 33, PPL: -3081.64648
67: bad sentence 33, PPL: -1989.96118
68: good sentence 34, PPL: -799.19592
69: bad sentence 34, PPL: -777.13818
70: good sentence 35, PPL: -770.07928
71: bad sentence 35, PPL: -2776.47485
72: good sentence 36, PPL: -8500.45898
73: bad sentence 36, PPL: -24353.46875
74: good sentence 37, PPL: -6581.16699
75: bad sentence 37, PPL: -1944.04004
76: good sentence 38, PPL: -1576.77246
77: bad sentence 38, PPL: -1901.95068
78: good sentence 39, PPL: -887.29797
79: bad sentence 39, PPL: -775.78387
80: good sentence 40, PPL: -2799.63794
81: bad sentence 40, PPL: -8618.22949
82: good sentence 41, PPL: -11561.87988
83: bad sentence 41, PPL: -12518.02734
84: good sentence 42, PPL: -1263.48877
85: bad sentence 42, PPL: -4664.92188
86: good sentence 43, PPL: -1541.30164
87: bad sentence 43, PPL: -3340.25977
88: good sentence 44, PPL: -8510.86621
