ba_construction_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.73500, Average Perplexity (Good Sentences): -1196.08337, Average Perplexity (Bad Sentences): -1661.83167
0: good sentence 0, PPL: -5249.12646
1: bad sentence 0, PPL: -3428.68677
2: good sentence 1, PPL: -336.03922
3: bad sentence 1, PPL: -1094.79358
4: good sentence 2, PPL: -12077.27930
5: bad sentence 2, PPL: -21792.03320
6: good sentence 3, PPL: -206.53120
7: bad sentence 3, PPL: -273.18597
8: good sentence 4, PPL: -8983.42969
9: bad sentence 4, PPL: -4591.42529
10: good sentence 5, PPL: -294.91003
11: bad sentence 5, PPL: -424.04437
12: good sentence 6, PPL: -861.86084
13: bad sentence 6, PPL: -803.20276
14: good sentence 7, PPL: -5848.89697
15: bad sentence 7, PPL: -3900.36914
16: good sentence 8, PPL: -1889.68713
17: bad sentence 8, PPL: -1384.49329
18: good sentence 9, PPL: -565.89819
19: bad sentence 9, PPL: -1320.23315
20: good sentence 10, PPL: -967.52899
21: bad sentence 10, PPL: -993.25232
22: good sentence 11, PPL: -1292.03503
23: bad sentence 11, PPL: -10674.24414
24: good sentence 12, PPL: -845.93646
25: bad sentence 12, PPL: -1075.19836
26: good sentence 13, PPL: -5779.50928
27: bad sentence 13, PPL: -2185.90332
28: good sentence 14, PPL: -753.39917
29: bad sentence 14, PPL: -682.12292
30: good sentence 15, PPL: -540.22308
31: bad sentence 15, PPL: -1386.17236
32: good sentence 16, PPL: -442.78818
33: bad sentence 16, PPL: -1054.33630
34: good sentence 17, PPL: -2277.60742
35: bad sentence 17, PPL: -2422.53564
36: good sentence 18, PPL: -4237.07031
37: bad sentence 18, PPL: -5104.00488
38: good sentence 19, PPL: -298.74310
39: bad sentence 19, PPL: -657.79950
40: good sentence 20, PPL: -3041.46875
41: bad sentence 20, PPL: -5332.36230
42: good sentence 21, PPL: -6301.89551
43: bad sentence 21, PPL: -15029.45703
44: good sentence 22, PPL: -3047.68237
45: bad sentence 22, PPL: -2100.62769
46: good sentence 23, PPL: -917.21460
47: bad sentence 23, PPL: -2139.53955
48: good sentence 24, PPL: -332.50137
49: bad sentence 24, PPL: -401.47195
50: good sentence 25, PPL: -2052.13403
51: bad sentence 25, PPL: -2288.66821
52: good sentence 26, PPL: -1531.12097
53: bad sentence 26, PPL: -5648.90723
54: good sentence 27, PPL: -187.03043
55: bad sentence 27, PPL: -491.06482
56: good sentence 28, PPL: -581.46069
57: bad sentence 28, PPL: -828.25909
58: good sentence 29, PPL: -1425.49133
59: bad sentence 29, PPL: -763.46405
60: good sentence 30, PPL: -739.55780
61: bad sentence 30, PPL: -2127.17261
62: good sentence 31, PPL: -2176.76489
63: bad sentence 31, PPL: -2611.66309
64: good sentence 32, PPL: -2085.19800
65: bad sentence 32, PPL: -2891.73975
66: good sentence 33, PPL: -522.79211
67: bad sentence 33, PPL: -528.74304
68: good sentence 34, PPL: -6350.58301
69: bad sentence 34, PPL: -6891.26416
70: good sentence 35, PPL: -466.74606
71: bad sentence 35, PPL: -1112.46045
72: good sentence 36, PPL: -4571.95508
73: bad sentence 36, PPL: -9261.60547
74: good sentence 37, PPL: -1710.42896
75: bad sentence 37, PPL: -4294.18457
76: good sentence 38, PPL: -629.12726
77: bad sentence 38, PPL: -372.83496
78: good sentence 39, PPL: -3391.93286
79: bad sentence 39, PPL: -4295.75732
80: good sentence 40, PPL: -1242.26660
81: bad sentence 40, PPL: -1385.78906
82: good sentence 41, PPL: -897.06866
83: bad sentence 41, PPL: -2358.57715
84: good sentence 42, PPL: -162.94254
85: bad sentence 42, PPL: -168.27890
86: good sentence 43, PPL: -295.30643
87: bad sentence 43, PPL: -568.70447
88: good sentence 44, PPL: -620.11560
89: bad sentence 44, PPL: -1135.54736
90: good sentence 45, PPL: -6716.28320
91: bad sentence 45, PPL: -10828.16211
92: good sentence 46, PPL: -614.76190
93: bad sentence 46, PPL: -885.25763
94: good sentence 47, PPL: -532.84198
95: bad sentence 47, PPL: -1050.79785
96: good sentence 48, PPL: -4138.23975
97: bad sentence 48, PPL: -4452.59473
98: good sentence 49, PPL: -914.36920
99: bad sentence 49, PPL: -1510.01990
100: good sentence 50, PPL: -169.43674
101: bad sentence 50, PPL: -559.93396
102: good sentence 51, PPL: -1084.45203
103: bad sentence 51, PPL: -5610.46045
104: good sentence 52, PPL: -2585.14600
105: bad sentence 52, PPL: -6233.53320
106: good sentence 53, PPL: -437.71365
107: bad sentence 53, PPL: -735.97369
108: good sentence 54, PPL: -305.06161
109: bad sentence 54, PPL: -507.07901
110: good sentence 55, PPL: -424.62851
111: bad sentence 55, PPL: -669.21698
112: good sentence 56, PPL: -1206.45984
113: bad sentence 56, PPL: -602.09857
114: good sentence 57, PPL: -577.89880
115: bad sentence 57, PPL: -947.56104
116: good sentence 58, PPL: -2175.54565
117: bad sentence 58, PPL: -3247.78857
118: good sentence 59, PPL: -965.56927
119: bad sentence 59, PPL: -466.03708
120: good sentence 60, PPL: -516.56842
121: bad sentence 60, PPL: -622.17590
122: good sentence 61, PPL: -3548.65552
123: bad sentence 61, PPL: -2056.52173
124: good sentence 62, PPL: -1413.22034
125: bad sentence 62, PPL: -2054.64160
126: good sentence 63, PPL: -3124.97070
127: bad sentence 63, PPL: -5881.84375
128: good sentence 64, PPL: -5880.03223
129: bad sentence 64, PPL: -6420.86572
130: good sentence 65, PPL: -718.67706
131: bad sentence 65, PPL: -487.96060
132: good sentence 66, PPL: -349.54800
133: bad sentence 66, PPL: -532.74194
134: good sentence 67, PPL: -466.59232
135: bad sentence 67, PPL: -435.12283
136: good sentence 68, PPL: -1008.57538
137: bad sentence 68, PPL: -1316.06592
138: good sentence 69, PPL: -835.86053
139: bad sentence 69, PPL: -898.02942
140: good sentence 70, PPL: -1762.06580
141: bad sentence 70, PPL: -3034.45166
142: good sentence 71, PPL: -1455.09778
143: bad sentence 71, PPL: -1554.91907
144: good sentence 72, PPL: -143.13463
145: bad sentence 72, PPL: -347.83755
146: good sentence 73, PPL: -4187.38721
147: bad sentence 73, PPL: -3242.39771
148: good sentence 74, PPL: -2048.14746
149: bad sentence 74, PPL: -5961.06641
150: good sentence 75, PPL: -642.99347
151: bad sentence 75, PPL: -1857.25525
152: good sentence 76, PPL: -5215.77783
153: bad sentence 76, PPL: -10357.62891
154: good sentence 77, PPL: -753.29749
155: bad sentence 77, PPL: -897.03009
156: good sentence 78, PPL: -3765.36353
157: bad sentence 78, PPL: -4519.40137
158: good sentence 79, PPL: -416.67072
159: bad sentence 79, PPL: -1211.11938
160: good sentence 80, PPL: -1079.86780
161: bad sentence 80, PPL: -1042.02051
162: good sentence 81, PPL: -687.94806
163: bad sentence 81, PPL: -799.17499
164: good sentence 82, PPL: -148.22488
165: bad sentence 82, PPL: -387.83826
166: good sentence 83, PPL: -477.72534
167: bad sentence 83, PPL: -615.17188
168: good sentence 84, PPL: -1343.52893
169: bad sentence 84, PPL: -1994.62305
170: good sentence 85, PPL: -832.37036
171: bad sentence 85, PPL: -782.54791
172: good sentence 86, PPL: -3502.99658
173: bad sentence 86, PPL: -3141.88135
174: good sentence 87, PPL: -1229.85864
175: bad sentence 87, PPL: -837.11176
176: good sentence 88, PPL: -500.30890
177: bad sentence 88, PPL: -569.53461
178: good sentence 89, PPL: -2095.46069
179: bad sentence 89, PPL: -1370.06482
180: good sentence 90, PPL: -4824.34424
181: bad sentence 90, PPL: -3531.58228
182: good sentence 91, PPL: -1393.43359
183: bad sentence 91, PPL: -2016.05835
184: good sentence 92, PPL: -1225.00610
185: bad sentence 92, PPL: -536.39209
186: good sentence 93, PPL: -291.22513
187: bad sentence 93, PPL: -471.15048
188: good sentence 94, PPL: -1105.25623
189: bad sentence 94, PPL: -1531.18311
190: good sentence 95, PPL: -4662.16455
191: bad sentence 95, PPL: -2201.17554
192: good sentence 96, PPL: -984.49048
193: bad sentence 96, PPL: -1057.17200
194: good sentence 97, PPL: -199.88626
195: bad sentence 97, PPL: -400.57379
196: good sentence 98, PPL: -2836.42090
197: bad sentence 98, PPL: -2513.62231
198: good sentence 99, PPL: -2828.32031
199: bad sentence 99, PPL: -3634.52490
200: good sentence 100, PPL: -2754.09106
201: bad sentence 100, PPL: -1750.00989
202: good sentence 101, PPL: -1472.08850
203: bad sentence 101, PPL: -1651.75024
204: good sentence 102, PPL: -667.98346
205: bad sentence 102, PPL: -977.31219
206: good sentence 103, PPL: -1331.80273
207: bad sentence 103, PPL: -1965.37891
208: good sentence 104, PPL: -11903.68750
209: bad sentence 104, PPL: -17035.73828
210: good sentence 105, PPL: -257.61090
211: bad sentence 105, PPL: -394.09991
212: good sentence 106, PPL: -1039.39587
213: bad sentence 106, PPL: -2049.59351
214: good sentence 107, PPL: -485.46152
215: bad sentence 107, PPL: -544.09106
216: good sentence 108, PPL: -562.38477
217: bad sentence 108, PPL: -501.20956
218: good sentence 109, PPL: -682.00519
219: bad sentence 109, PPL: -909.16119
220: good sentence 110, PPL: -581.68750
221: bad sentence 110, PPL: -587.89160
222: good sentence 111, PPL: -1709.20276
223: bad sentence 111, PPL: -3226.88110
224: good sentence 112, PPL: -512.30402
225: bad sentence 112, PPL: -593.11871
226: good sentence 113, PPL: -3564.82837
227: bad sentence 113, PPL: -4257.90332
228: good sentence 114, PPL: -1048.36450
229: bad sentence 114, PPL: -563.19360
230: good sentence 115, PPL: -909.83173
231: bad sentence 115, PPL: -873.75165
232: good sentence 116, PPL: -1848.81335
233: bad sentence 116, PPL: -6049.70996
234: good sentence 117, PPL: -2107.13354
235: bad sentence 117, PPL: -2319.35278
236: good sentence 118, PPL: -1943.28381
237: bad sentence 118, PPL: -4062.60962
238: good sentence 119, PPL: -265.42801
239: bad sentence 119, PPL: -441.56046
240: good sentence 120, PPL: -3517.27759
241: bad sentence 120, PPL: -3339.12598
242: good sentence 121, PPL: -287.90540
243: bad sentence 121, PPL: -453.16995
244: good sentence 122, PPL: -855.94922
245: bad sentence 122, PPL: -645.02081
246: good sentence 123, PPL: -467.19141
247: bad sentence 123, PPL: -867.58514
248: good sentence 124, PPL: -399.78055
249: bad sentence 124, PPL: -757.94617
250: good sentence 125, PPL: -182.91299
251: bad sentence 125, PPL: -151.78119
252: good sentence 126, PPL: -224.24352
253: bad sentence 126, PPL: -410.39688
254: good sentence 127, PPL: -529.81946
255: bad sentence 127, PPL: -1008.05371
256: good sentence 128, PPL: -412.67831
257: bad sentence 128, PPL: -454.38208
258: good sentence 129, PPL: -394.75424
259: bad sentence 129, PPL: -489.89798
260: good sentence 130, PPL: -3735.39160
261: bad sentence 130, PPL: -8977.11719
262: good sentence 131, PPL: -6170.33008
263: bad sentence 131, PPL: -10506.29004
264: good sentence 132, PPL: -1046.47449
265: bad sentence 132, PPL: -1816.35608
266: good sentence 133, PPL: -536.11365
267: bad sentence 133, PPL: -991.77997
268: good sentence 134, PPL: -3627.01440
269: bad sentence 134, PPL: -3582.91626
270: good sentence 135, PPL: -2948.65747
271: bad sentence 135, PPL: -2530.84985
272: good sentence 136, PPL: -871.40863
273: bad sentence 136, PPL: -431.49112
274: good sentence 137, PPL: -2936.77246
275: bad sentence 137, PPL: -4281.70801
276: good sentence 138, PPL: -764.48010
277: bad sentence 138, PPL: -688.39825
278: good sentence 139, PPL: -493.35574
279: bad sentence 139, PPL: -463.80972
280: good sentence 140, PPL: -375.62839
281: bad sentence 140, PPL: -956.91058
282: good sentence 141, PPL: -147.17313
283: bad sentence 141, PPL: -326.27878
284: good sentence 142, PPL: -9679.85352
285: bad sentence 142, PPL: -1519.94055
286: good sentence 143, PPL: -800.32550
287: bad sentence 143, PPL: -776.92810
288: good sentence 144, PPL: -262.71210
289: bad sentence 144, PPL: -357.08676
290: good sentence 145, PPL: -1394.59302
291: bad sentence 145, PPL: -2073.51807
292: good sentence 146, PPL: -1607.73364
293: bad sentence 146, PPL: -2061.85840
294: good sentence 147, PPL: -224.65450
295: bad sentence 147, PPL: -249.87787
296: good sentence 148, PPL: -3011.11328
297: bad sentence 148, PPL: -4941.07715
298: good sentence 149, PPL: -2010.88342
299: bad sentence 149, PPL: -3186.11304
300: good sentence 150, PPL: -2435.35474
301: bad sentence 150, PPL: -13979.07324
302: good sentence 151, PPL: -437.38083
303: bad sentence 151, PPL: -398.83215
304: good sentence 152, PPL: -856.05176
305: bad sentence 152, PPL: -1086.55200
306: good sentence 153, PPL: -2363.79004
307: bad sentence 153, PPL: -3526.90723
308: good sentence 154, PPL: -2507.89844
309: bad sentence 154, PPL: -8551.74121
310: good sentence 155, PPL: -665.47192
311: bad sentence 155, PPL: -664.75952
312: good sentence 156, PPL: -23438.10742
313: bad sentence 156, PPL: -33306.00781
314: good sentence 157, PPL: -524.86853
315: bad sentence 157, PPL: -1003.70099
316: good sentence 158, PPL: -952.42847
317: bad sentence 158, PPL: -1337.86731
318: good sentence 159, PPL: -1088.59424
319: bad sentence 159, PPL: -648.90356
320: good sentence 160, PPL: -220.01324
321: bad sentence 160, PPL: -327.97247
322: good sentence 161, PPL: -581.82318
323: bad sentence 161, PPL: -810.25970
324: good sentence 162, PPL: -2227.30273
325: bad sentence 162, PPL: -820.05164
326: good sentence 163, PPL: -5742.56152
327: bad sentence 163, PPL: -5837.20117
328: good sentence 164, PPL: -10492.73242
329: bad sentence 164, PPL: -5442.61816
330: good sentence 165, PPL: -942.03680
331: bad sentence 165, PPL: -1523.35303
332: good sentence 166, PPL: -871.82758
333: bad sentence 166, PPL: -1254.86865
334: good sentence 167, PPL: -510.42285
335: bad sentence 167, PPL: -645.87769
336: good sentence 168, PPL: -496.39346
337: bad sentence 168, PPL: -606.80383
338: good sentence 169, PPL: -2318.94019
339: bad sentence 169, PPL: -551.12396
340: good sentence 170, PPL: -424.53745
341: bad sentence 170, PPL: -838.68756
342: good sentence 171, PPL: -761.42847
343: bad sentence 171, PPL: -754.78101
344: good sentence 172, PPL: -632.82593
345: bad sentence 172, PPL: -737.41223
346: good sentence 173, PPL: -864.30334
347: bad sentence 173, PPL: -643.53052
348: good sentence 174, PPL: -1029.51135
349: bad sentence 174, PPL: -464.92395
350: good sentence 175, PPL: -7713.70020
351: bad sentence 175, PPL: -6119.04346
352: good sentence 176, PPL: -2214.81738
353: bad sentence 176, PPL: -4176.80664
354: good sentence 177, PPL: -512.18024
355: bad sentence 177, PPL: -647.02899
356: good sentence 178, PPL: -5225.96973
357: bad sentence 178, PPL: -4594.20703
358: good sentence 179, PPL: -380.40247
359: bad sentence 179, PPL: -1412.01257
360: good sentence 180, PPL: -1993.24146
361: bad sentence 180, PPL: -4409.28174
362: good sentence 181, PPL: -19839.41211
363: bad sentence 181, PPL: -32822.65625
364: good sentence 182, PPL: -346.13852
365: bad sentence 182, PPL: -536.24762
366: good sentence 183, PPL: -286.35706
367: bad sentence 183, PPL: -813.44727
368: good sentence 184, PPL: -2532.46973
369: bad sentence 184, PPL: -1472.71338
370: good sentence 185, PPL: -976.36713
371: bad sentence 185, PPL: -418.11481
372: good sentence 186, PPL: -1046.74353
373: bad sentence 186, PPL: -1389.11621
374: good sentence 187, PPL: -1000.92175
375: bad sentence 187, PPL: -898.73627
376: good sentence 188, PPL: -1842.11401
377: bad sentence 188, PPL: -4129.31494
378: good sentence 189, PPL: -2119.99927
379: bad sentence 189, PPL: -5057.47998
380: good sentence 190, PPL: -805.05975
381: bad sentence 190, PPL: -700.59430
382: good sentence 191, PPL: -1326.05212
383: bad sentence 191, PPL: -2419.16626
384: good sentence 192, PPL: -1269.33435
