binding_gender_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.51200, Average Perplexity (Good Sentences): -2410.81299, Average Perplexity (Bad Sentences): -2360.74878
0: good sentence 0, PPL: -940.52466
1: bad sentence 0, PPL: -2060.99121
2: good sentence 1, PPL: -1392.43738
3: bad sentence 1, PPL: -3099.23291
4: good sentence 2, PPL: -1280.25464
5: bad sentence 2, PPL: -3443.01904
6: good sentence 3, PPL: -1179.79993
7: bad sentence 3, PPL: -967.50220
8: good sentence 4, PPL: -1693.43542
9: bad sentence 4, PPL: -1899.29431
10: good sentence 5, PPL: -2518.04199
11: bad sentence 5, PPL: -4994.77979
12: good sentence 6, PPL: -14388.60840
13: bad sentence 6, PPL: -36711.35156
14: good sentence 7, PPL: -3287.41089
15: bad sentence 7, PPL: -3815.36230
16: good sentence 8, PPL: -13256.02637
17: bad sentence 8, PPL: -13798.84375
18: good sentence 9, PPL: -1309.46997
19: bad sentence 9, PPL: -1223.78528
20: good sentence 10, PPL: -421.59030
21: bad sentence 10, PPL: -710.51965
22: good sentence 11, PPL: -799.76166
23: bad sentence 11, PPL: -891.89111
24: good sentence 12, PPL: -2425.98389
25: bad sentence 12, PPL: -7614.56787
26: good sentence 13, PPL: -447.08017
27: bad sentence 13, PPL: -534.48694
28: good sentence 14, PPL: -2093.34131
29: bad sentence 14, PPL: -5385.93945
30: good sentence 15, PPL: -964.12463
31: bad sentence 15, PPL: -1062.18896
32: good sentence 16, PPL: -5566.59766
33: bad sentence 16, PPL: -3817.13452
34: good sentence 17, PPL: -3618.16309
35: bad sentence 17, PPL: -3875.14233
36: good sentence 18, PPL: -545.94769
37: bad sentence 18, PPL: -476.50677
38: good sentence 19, PPL: -1226.50000
39: bad sentence 19, PPL: -1345.65295
40: good sentence 20, PPL: -1560.19678
41: bad sentence 20, PPL: -3071.92261
42: good sentence 21, PPL: -542.36255
43: bad sentence 21, PPL: -843.93079
44: good sentence 22, PPL: -9082.00195
45: bad sentence 22, PPL: -8864.38672
46: good sentence 23, PPL: -4177.88232
47: bad sentence 23, PPL: -4474.51709
48: good sentence 24, PPL: -2567.70850
49: bad sentence 24, PPL: -5769.30566
50: good sentence 25, PPL: -2604.50488
51: bad sentence 25, PPL: -3124.44946
52: good sentence 26, PPL: -1723.97388
53: bad sentence 26, PPL: -3795.14893
54: good sentence 27, PPL: -1272.02393
55: bad sentence 27, PPL: -2619.90649
56: good sentence 28, PPL: -6512.50146
57: bad sentence 28, PPL: -5963.02783
58: good sentence 29, PPL: -1223.30811
59: bad sentence 29, PPL: -1422.33069
60: good sentence 30, PPL: -1579.88684
61: bad sentence 30, PPL: -3644.21851
62: good sentence 31, PPL: -2870.85620
63: bad sentence 31, PPL: -2865.23828
64: good sentence 32, PPL: -3549.98584
65: bad sentence 32, PPL: -3182.07739
66: good sentence 33, PPL: -1324.80127
67: bad sentence 33, PPL: -3083.41040
68: good sentence 34, PPL: -5359.53613
69: bad sentence 34, PPL: -5650.63672
70: good sentence 35, PPL: -2460.93164
71: bad sentence 35, PPL: -6531.59668
72: good sentence 36, PPL: -1735.33752
73: bad sentence 36, PPL: -4236.78320
74: good sentence 37, PPL: -5144.95361
75: bad sentence 37, PPL: -6008.83350
76: good sentence 38, PPL: -1207.80457
77: bad sentence 38, PPL: -1332.73853
78: good sentence 39, PPL: -3480.88452
79: bad sentence 39, PPL: -3374.65137
80: good sentence 40, PPL: -2101.58960
81: bad sentence 40, PPL: -1807.25964
82: good sentence 41, PPL: -423.75919
83: bad sentence 41, PPL: -672.34509
84: good sentence 42, PPL: -1285.83435
85: bad sentence 42, PPL: -1206.90344
86: good sentence 43, PPL: -1774.71350
87: bad sentence 43, PPL: -4224.30029
88: good sentence 44, PPL: -3738.59888
89: bad sentence 44, PPL: -4497.52051
90: good sentence 45, PPL: -2440.46509
91: bad sentence 45, PPL: -2384.43311
92: good sentence 46, PPL: -858.70624
93: bad sentence 46, PPL: -883.54333
94: good sentence 47, PPL: -1212.43689
95: bad sentence 47, PPL: -3349.38599
96: good sentence 48, PPL: -4357.23096
