classifier_adj_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.87000, Average Perplexity (Good Sentences): -1289.04736, Average Perplexity (Bad Sentences): -2400.42017
0: good sentence 0, PPL: -416.62799
1: bad sentence 0, PPL: -1178.39819
2: good sentence 1, PPL: -715.54382
3: bad sentence 1, PPL: -3127.17676
4: good sentence 2, PPL: -1012.92224
5: bad sentence 2, PPL: -970.15906
6: good sentence 3, PPL: -4388.89258
7: bad sentence 3, PPL: -6618.81299
8: good sentence 4, PPL: -2002.38293
9: bad sentence 4, PPL: -1627.66187
10: good sentence 5, PPL: -3807.18066
11: bad sentence 5, PPL: -6390.71143
12: good sentence 6, PPL: -4674.12256
13: bad sentence 6, PPL: -3845.53589
14: good sentence 7, PPL: -454.83798
15: bad sentence 7, PPL: -1563.85535
16: good sentence 8, PPL: -4924.88477
17: bad sentence 8, PPL: -11864.47363
18: good sentence 9, PPL: -305.08447
19: bad sentence 9, PPL: -644.61432
20: good sentence 10, PPL: -967.78412
21: bad sentence 10, PPL: -2184.35107
22: good sentence 11, PPL: -3618.30811
23: bad sentence 11, PPL: -6212.63672
24: good sentence 12, PPL: -7324.39502
25: bad sentence 12, PPL: -17549.14258
26: good sentence 13, PPL: -612.04553
27: bad sentence 13, PPL: -1229.73792
28: good sentence 14, PPL: -1365.49487
29: bad sentence 14, PPL: -3068.20996
30: good sentence 15, PPL: -307.86694
31: bad sentence 15, PPL: -790.37030
32: good sentence 16, PPL: -3306.95020
33: bad sentence 16, PPL: -17457.05273
34: good sentence 17, PPL: -253.18188
35: bad sentence 17, PPL: -495.49527
36: good sentence 18, PPL: -775.41626
37: bad sentence 18, PPL: -1320.89368
38: good sentence 19, PPL: -5557.80322
39: bad sentence 19, PPL: -3330.86963
40: good sentence 20, PPL: -772.62445
41: bad sentence 20, PPL: -1686.09741
42: good sentence 21, PPL: -16218.51367
43: bad sentence 21, PPL: -8288.97949
44: good sentence 22, PPL: -466.06329
45: bad sentence 22, PPL: -848.70526
46: good sentence 23, PPL: -2593.23389
