classifier_clause_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.84300, Average Perplexity (Good Sentences): -1277.63770, Average Perplexity (Bad Sentences): -1868.03955
0: good sentence 0, PPL: -2738.91724
1: bad sentence 0, PPL: -4563.68262
2: good sentence 1, PPL: -819.58563
3: bad sentence 1, PPL: -1109.89221
4: good sentence 2, PPL: -927.87646
5: bad sentence 2, PPL: -1522.79297
6: good sentence 3, PPL: -410.91110
7: bad sentence 3, PPL: -666.63300
8: good sentence 4, PPL: -2021.41614
9: bad sentence 4, PPL: -1573.23364
10: good sentence 5, PPL: -1618.47290
11: bad sentence 5, PPL: -2782.28931
12: good sentence 6, PPL: -4774.05859
13: bad sentence 6, PPL: -2122.23462
14: good sentence 7, PPL: -1101.37842
15: bad sentence 7, PPL: -1961.00439
16: good sentence 8, PPL: -1787.62671
17: bad sentence 8, PPL: -1460.33667
18: good sentence 9, PPL: -1005.71692
19: bad sentence 9, PPL: -2179.13599
20: good sentence 10, PPL: -840.51758
21: bad sentence 10, PPL: -707.62140
22: good sentence 11, PPL: -1881.62366
23: bad sentence 11, PPL: -1528.66187
24: good sentence 12, PPL: -429.33511
25: bad sentence 12, PPL: -1497.48096
26: good sentence 13, PPL: -210.68251
27: bad sentence 13, PPL: -267.18829
28: good sentence 14, PPL: -1636.54553
29: bad sentence 14, PPL: -2483.83081
30: good sentence 15, PPL: -746.09003
31: bad sentence 15, PPL: -1091.99646
32: good sentence 16, PPL: -2492.58472
33: bad sentence 16, PPL: -2165.33374
34: good sentence 17, PPL: -2183.50439
35: bad sentence 17, PPL: -3126.20190
36: good sentence 18, PPL: -520.55060
37: bad sentence 18, PPL: -955.88812
38: good sentence 19, PPL: -666.77478
39: bad sentence 19, PPL: -872.20514
40: good sentence 20, PPL: -22661.70898
41: bad sentence 20, PPL: -79469.13281
42: good sentence 21, PPL: -389.57257
43: bad sentence 21, PPL: -496.20129
44: good sentence 22, PPL: -2892.35327
45: bad sentence 22, PPL: -3177.78638
46: good sentence 23, PPL: -3050.40112
47: bad sentence 23, PPL: -3201.90674
48: good sentence 24, PPL: -2915.50684
49: bad sentence 24, PPL: -2252.60132
50: good sentence 25, PPL: -445.81354
51: bad sentence 25, PPL: -847.96094
52: good sentence 26, PPL: -1054.48108
53: bad sentence 26, PPL: -958.15607
54: good sentence 27, PPL: -606.60162
55: bad sentence 27, PPL: -1817.25537
56: good sentence 28, PPL: -4928.93506
57: bad sentence 28, PPL: -1781.95776
58: good sentence 29, PPL: -12612.21387
59: bad sentence 29, PPL: -8523.65137
60: good sentence 30, PPL: -3138.15308
61: bad sentence 30, PPL: -4832.75732
62: good sentence 31, PPL: -2119.23438
63: bad sentence 31, PPL: -3340.29150
64: good sentence 32, PPL: -944.07654
65: bad sentence 32, PPL: -1095.94727
66: good sentence 33, PPL: -698.74603
67: bad sentence 33, PPL: -1467.83948
68: good sentence 34, PPL: -485.88187
69: bad sentence 34, PPL: -601.62646
70: good sentence 35, PPL: -796.81128
71: bad sentence 35, PPL: -2622.65283
72: good sentence 36, PPL: -5798.43994
73: bad sentence 36, PPL: -7577.67285
74: good sentence 37, PPL: -1731.61621
75: bad sentence 37, PPL: -3039.14062
76: good sentence 38, PPL: -5032.33154
77: bad sentence 38, PPL: -11341.14062
78: good sentence 39, PPL: -1331.17981
79: bad sentence 39, PPL: -2528.54321
80: good sentence 40, PPL: -1052.37122
81: bad sentence 40, PPL: -2235.03223
82: good sentence 41, PPL: -1594.69128
83: bad sentence 41, PPL: -2697.94238
84: good sentence 42, PPL: -2963.25562
85: bad sentence 42, PPL: -11346.26758
86: good sentence 43, PPL: -3165.98901
87: bad sentence 43, PPL: -4521.42773
88: good sentence 44, PPL: -4268.56348
89: bad sentence 44, PPL: -3704.81348
90: good sentence 45, PPL: -1929.78540
91: bad sentence 45, PPL: -2175.92212
92: good sentence 46, PPL: -5352.72217
93: bad sentence 46, PPL: -5781.87451
94: good sentence 47, PPL: -1784.68494
95: bad sentence 47, PPL: -3196.80518
96: good sentence 48, PPL: -784.48853
97: bad sentence 48, PPL: -1231.11377
98: good sentence 49, PPL: -788.95264
99: bad sentence 49, PPL: -840.85266
100: good sentence 50, PPL: -504.37473
101: bad sentence 50, PPL: -1233.59766
102: good sentence 51, PPL: -764.75421
103: bad sentence 51, PPL: -1134.67603
104: good sentence 52, PPL: -1848.38049
105: bad sentence 52, PPL: -2227.74487
106: good sentence 53, PPL: -210.65419
107: bad sentence 53, PPL: -235.79451
108: good sentence 54, PPL: -500.55945
109: bad sentence 54, PPL: -1947.36792
110: good sentence 55, PPL: -1340.75586
111: bad sentence 55, PPL: -3105.74219
112: good sentence 56, PPL: -2135.94946
113: bad sentence 56, PPL: -2018.15125
