coverb_instrument_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.80500, Average Perplexity (Good Sentences): -1210.21436, Average Perplexity (Bad Sentences): -2027.68347
0: good sentence 0, PPL: -228.31268
1: bad sentence 0, PPL: -693.02576
2: good sentence 1, PPL: -1869.12744
3: bad sentence 1, PPL: -4779.68896
4: good sentence 2, PPL: -1850.28967
5: bad sentence 2, PPL: -16223.78906
6: good sentence 3, PPL: -1133.34204
7: bad sentence 3, PPL: -4897.24658
8: good sentence 4, PPL: -4740.44922
9: bad sentence 4, PPL: -5594.36279
10: good sentence 5, PPL: -1500.26196
11: bad sentence 5, PPL: -2186.78540
12: good sentence 6, PPL: -1984.51355
13: bad sentence 6, PPL: -4291.30225
14: good sentence 7, PPL: -1769.29810
15: bad sentence 7, PPL: -4730.31104
16: good sentence 8, PPL: -4361.54199
17: bad sentence 8, PPL: -5161.66797
18: good sentence 9, PPL: -3589.48633
19: bad sentence 9, PPL: -5345.35059
20: good sentence 10, PPL: -1645.24158
21: bad sentence 10, PPL: -6771.05176
22: good sentence 11, PPL: -4796.81787
23: bad sentence 11, PPL: -5465.52539
24: good sentence 12, PPL: -418.84756
25: bad sentence 12, PPL: -519.50690
26: good sentence 13, PPL: -4856.15283
27: bad sentence 13, PPL: -2130.06152
28: good sentence 14, PPL: -731.68823
29: bad sentence 14, PPL: -1375.99207
30: good sentence 15, PPL: -375.19785
31: bad sentence 15, PPL: -1030.78760
32: good sentence 16, PPL: -1102.14282
33: bad sentence 16, PPL: -1200.92505
34: good sentence 17, PPL: -347.94354
35: bad sentence 17, PPL: -687.62732
36: good sentence 18, PPL: -2595.97192
37: bad sentence 18, PPL: -6824.17090
38: good sentence 19, PPL: -729.39368
39: bad sentence 19, PPL: -2331.46704
40: good sentence 20, PPL: -766.75665
41: bad sentence 20, PPL: -1116.68726
42: good sentence 21, PPL: -2906.80737
43: bad sentence 21, PPL: -5133.89160
44: good sentence 22, PPL: -1125.97205
45: bad sentence 22, PPL: -1102.98608
46: good sentence 23, PPL: -615.47382
47: bad sentence 23, PPL: -694.64691
48: good sentence 24, PPL: -1141.51221
49: bad sentence 24, PPL: -1127.23181
50: good sentence 25, PPL: -14956.86230
51: bad sentence 25, PPL: -77727.28125
52: good sentence 26, PPL: -271.24554
53: bad sentence 26, PPL: -294.93900
54: good sentence 27, PPL: -1775.48047
55: bad sentence 27, PPL: -3095.13037
56: good sentence 28, PPL: -877.96942
57: bad sentence 28, PPL: -1652.06213
58: good sentence 29, PPL: -6849.82129
59: bad sentence 29, PPL: -6079.58838
60: good sentence 30, PPL: -648.44885
61: bad sentence 30, PPL: -1510.45203
62: good sentence 31, PPL: -680.37885
63: bad sentence 31, PPL: -1198.49902
64: good sentence 32, PPL: -502.81052
65: bad sentence 32, PPL: -497.07419
66: good sentence 33, PPL: -409.02658
67: bad sentence 33, PPL: -723.49872
68: good sentence 34, PPL: -183.51161
69: bad sentence 34, PPL: -593.34729
70: good sentence 35, PPL: -1121.92578
71: bad sentence 35, PPL: -3035.36621
72: good sentence 36, PPL: -857.66150
73: bad sentence 36, PPL: -2148.13574
74: good sentence 37, PPL: -3069.78174
