coverb_with_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.84800, Average Perplexity (Good Sentences): -1219.25659, Average Perplexity (Bad Sentences): -2181.77881
0: good sentence 0, PPL: -525.84326
1: bad sentence 0, PPL: -701.59692
2: good sentence 1, PPL: -491.51486
3: bad sentence 1, PPL: -1369.52991
4: good sentence 2, PPL: -1111.98157
5: bad sentence 2, PPL: -1755.22473
6: good sentence 3, PPL: -1276.64868
7: bad sentence 3, PPL: -1544.27966
8: good sentence 4, PPL: -13690.14062
9: bad sentence 4, PPL: -14784.25977
10: good sentence 5, PPL: -333.09232
11: bad sentence 5, PPL: -1040.82617
12: good sentence 6, PPL: -304.38074
13: bad sentence 6, PPL: -340.65451
14: good sentence 7, PPL: -5949.99121
15: bad sentence 7, PPL: -6279.94336
16: good sentence 8, PPL: -341.74863
17: bad sentence 8, PPL: -849.74072
18: good sentence 9, PPL: -1826.26538
19: bad sentence 9, PPL: -5375.98877
20: good sentence 10, PPL: -744.74115
21: bad sentence 10, PPL: -2961.44775
22: good sentence 11, PPL: -6581.34326
23: bad sentence 11, PPL: -4140.03564
24: good sentence 12, PPL: -590.69287
25: bad sentence 12, PPL: -1662.19934
26: good sentence 13, PPL: -2574.19458
27: bad sentence 13, PPL: -2933.57861
28: good sentence 14, PPL: -1639.01416
29: bad sentence 14, PPL: -1995.29553
30: good sentence 15, PPL: -3378.40283
31: bad sentence 15, PPL: -5752.91064
32: good sentence 16, PPL: -706.23462
33: bad sentence 16, PPL: -1399.70483
34: good sentence 17, PPL: -2169.39868
35: bad sentence 17, PPL: -1568.49902
36: good sentence 18, PPL: -586.10608
37: bad sentence 18, PPL: -972.54480
38: good sentence 19, PPL: -7584.68652
39: bad sentence 19, PPL: -14168.12695
40: good sentence 20, PPL: -3699.85254
41: bad sentence 20, PPL: -4629.44482
42: good sentence 21, PPL: -1170.67334
43: bad sentence 21, PPL: -2869.59985
44: good sentence 22, PPL: -2033.06824
45: bad sentence 22, PPL: -2398.26367
46: good sentence 23, PPL: -1954.83691
47: bad sentence 23, PPL: -4042.33887
48: good sentence 24, PPL: -362.98413
49: bad sentence 24, PPL: -878.44220
50: good sentence 25, PPL: -1734.88159
51: bad sentence 25, PPL: -1834.24390
52: good sentence 26, PPL: -223.03563
53: bad sentence 26, PPL: -418.76630
54: good sentence 27, PPL: -377.35074
55: bad sentence 27, PPL: -577.13440
56: good sentence 28, PPL: -4288.13623
57: bad sentence 28, PPL: -2428.68091
58: good sentence 29, PPL: -688.98975
59: bad sentence 29, PPL: -1148.54407
60: good sentence 30, PPL: -3794.74731
61: bad sentence 30, PPL: -6149.46973
62: good sentence 31, PPL: -784.74670
63: bad sentence 31, PPL: -1461.00110
64: good sentence 32, PPL: -1728.27197
65: bad sentence 32, PPL: -4865.54492
66: good sentence 33, PPL: -2847.92163
67: bad sentence 33, PPL: -4051.62500
68: good sentence 34, PPL: -611.31024
69: bad sentence 34, PPL: -655.77167
70: good sentence 35, PPL: -987.96100
71: bad sentence 35, PPL: -2160.90991
