filler_gap_dependency_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.70300, Average Perplexity (Good Sentences): -269.60135, Average Perplexity (Bad Sentences): -386.99573
0: good sentence 0, PPL: -416.86563
1: bad sentence 0, PPL: -45.66257
2: good sentence 1, PPL: -170.13461
3: bad sentence 1, PPL: -318.72922
4: good sentence 2, PPL: -222.33067
5: bad sentence 2, PPL: -299.25351
6: good sentence 3, PPL: -147.38423
7: bad sentence 3, PPL: -289.42365
8: good sentence 4, PPL: -540.70142
9: bad sentence 4, PPL: -339.83905
10: good sentence 5, PPL: -189.89078
11: bad sentence 5, PPL: -519.38678
12: good sentence 6, PPL: -281.42899
13: bad sentence 6, PPL: -323.84311
14: good sentence 7, PPL: -368.49432
15: bad sentence 7, PPL: -599.13403
16: good sentence 8, PPL: -477.68729
17: bad sentence 8, PPL: -233.36224
18: good sentence 9, PPL: -292.45193
19: bad sentence 9, PPL: -363.84018
20: good sentence 10, PPL: -477.01398
21: bad sentence 10, PPL: -481.68964
22: good sentence 11, PPL: -504.62036
23: bad sentence 11, PPL: -887.84265
24: good sentence 12, PPL: -131.65981
25: bad sentence 12, PPL: -138.68646
26: good sentence 13, PPL: -225.16875
27: bad sentence 13, PPL: -424.88617
28: good sentence 14, PPL: -558.67651
29: bad sentence 14, PPL: -1466.95361
30: good sentence 15, PPL: -759.85901
31: bad sentence 15, PPL: -934.06610
32: good sentence 16, PPL: -119.27653
33: bad sentence 16, PPL: -268.86545
34: good sentence 17, PPL: -123.43932
35: bad sentence 17, PPL: -59.30780
36: good sentence 18, PPL: -664.48889
37: bad sentence 18, PPL: -454.12628
38: good sentence 19, PPL: -522.07690
39: bad sentence 19, PPL: -1391.64148
40: good sentence 20, PPL: -652.92981
41: bad sentence 20, PPL: -1290.30139
42: good sentence 21, PPL: -287.33459
43: bad sentence 21, PPL: -225.27023
44: good sentence 22, PPL: -396.78296
45: bad sentence 22, PPL: -556.63727
46: good sentence 23, PPL: -173.36476
47: bad sentence 23, PPL: -483.34116
48: good sentence 24, PPL: -390.25534
49: bad sentence 24, PPL: -1020.04285
50: good sentence 25, PPL: -612.79547
51: bad sentence 25, PPL: -490.16486
52: good sentence 26, PPL: -254.22858
53: bad sentence 26, PPL: -289.02838
54: good sentence 27, PPL: -291.25790
55: bad sentence 27, PPL: -506.66547
56: good sentence 28, PPL: -243.08092
57: bad sentence 28, PPL: -154.92477
58: good sentence 29, PPL: -122.56290
59: bad sentence 29, PPL: -811.10779
60: good sentence 30, PPL: -206.36296
61: bad sentence 30, PPL: -183.64949
62: good sentence 31, PPL: -772.58136
63: bad sentence 31, PPL: -292.83530
64: good sentence 32, PPL: -201.10492
65: bad sentence 32, PPL: -410.69012
66: good sentence 33, PPL: -348.83966
67: bad sentence 33, PPL: -196.39053
68: good sentence 34, PPL: -106.71759
69: bad sentence 34, PPL: -100.65795
70: good sentence 35, PPL: -135.58742
71: bad sentence 35, PPL: -208.93304
72: good sentence 36, PPL: -395.59448
73: bad sentence 36, PPL: -369.57370
74: good sentence 37, PPL: -828.54822
75: bad sentence 37, PPL: -2405.02832
76: good sentence 38, PPL: -403.49615
77: bad sentence 38, PPL: -506.75894
78: good sentence 39, PPL: -159.97835
