head_final_clause_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.80600, Average Perplexity (Good Sentences): -2145.59180, Average Perplexity (Bad Sentences): -2881.57178
0: good sentence 0, PPL: -1570.18042
1: bad sentence 0, PPL: -2258.98438
2: good sentence 1, PPL: -3354.27686
3: bad sentence 1, PPL: -5988.71289
4: good sentence 2, PPL: -577.65393
5: bad sentence 2, PPL: -662.12878
6: good sentence 3, PPL: -4015.11816
7: bad sentence 3, PPL: -4081.93066
8: good sentence 4, PPL: -7492.35547
9: bad sentence 4, PPL: -6849.81445
10: good sentence 5, PPL: -2534.06445
11: bad sentence 5, PPL: -2444.64526
12: good sentence 6, PPL: -2888.81934
13: bad sentence 6, PPL: -3071.82861
14: good sentence 7, PPL: -1330.27563
15: bad sentence 7, PPL: -1995.01477
16: good sentence 8, PPL: -849.48505
17: bad sentence 8, PPL: -1829.67969
18: good sentence 9, PPL: -1936.69458
19: bad sentence 9, PPL: -2960.36768
20: good sentence 10, PPL: -1086.73438
21: bad sentence 10, PPL: -2194.83984
22: good sentence 11, PPL: -2466.49048
23: bad sentence 11, PPL: -4203.21533
24: good sentence 12, PPL: -7465.48047
25: bad sentence 12, PPL: -9174.35547
26: good sentence 13, PPL: -11344.21191
27: bad sentence 13, PPL: -14417.74219
28: good sentence 14, PPL: -3819.66187
29: bad sentence 14, PPL: -3806.41431
30: good sentence 15, PPL: -2340.74951
31: bad sentence 15, PPL: -3821.58936
32: good sentence 16, PPL: -982.23309
33: bad sentence 16, PPL: -858.99622
34: good sentence 17, PPL: -3632.72632
35: bad sentence 17, PPL: -3479.47070
36: good sentence 18, PPL: -1030.06238
37: bad sentence 18, PPL: -1411.11011
38: good sentence 19, PPL: -4765.27002
39: bad sentence 19, PPL: -4284.77197
40: good sentence 20, PPL: -2775.86206
41: bad sentence 20, PPL: -6890.16016
42: good sentence 21, PPL: -1924.88611
43: bad sentence 21, PPL: -1659.51306
44: good sentence 22, PPL: -1639.12988
45: bad sentence 22, PPL: -2051.37988
46: good sentence 23, PPL: -4022.48413
47: bad sentence 23, PPL: -3986.29297
48: good sentence 24, PPL: -1642.09790
49: bad sentence 24, PPL: -1170.91833
50: good sentence 25, PPL: -3303.33496
51: bad sentence 25, PPL: -4676.66357
52: good sentence 26, PPL: -597.07550
53: bad sentence 26, PPL: -912.07483
54: good sentence 27, PPL: -2352.74194
55: bad sentence 27, PPL: -3048.35962
56: good sentence 28, PPL: -820.89819
57: bad sentence 28, PPL: -2060.77319
58: good sentence 29, PPL: -1328.79529
59: bad sentence 29, PPL: -2622.70020
60: good sentence 30, PPL: -1409.64331
61: bad sentence 30, PPL: -1681.84973
62: good sentence 31, PPL: -1628.48486
63: bad sentence 31, PPL: -1818.81067
64: good sentence 32, PPL: -631.36432
65: bad sentence 32, PPL: -945.20673
66: good sentence 33, PPL: -5953.52686
67: bad sentence 33, PPL: -6645.81445
68: good sentence 34, PPL: -4326.74170
69: bad sentence 34, PPL: -4238.64648
