passive_formal_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.49200, Average Perplexity (Good Sentences): -1232.50696, Average Perplexity (Bad Sentences): -1196.00867
0: good sentence 0, PPL: -367.05627
1: bad sentence 0, PPL: -716.15894
2: good sentence 1, PPL: -1724.89319
3: bad sentence 1, PPL: -17536.04297
4: good sentence 2, PPL: -629.10382
5: bad sentence 2, PPL: -1777.72449
6: good sentence 3, PPL: -580.41412
7: bad sentence 3, PPL: -603.01886
8: good sentence 4, PPL: -543.74927
9: bad sentence 4, PPL: -695.55902
10: good sentence 5, PPL: -11722.78223
11: bad sentence 5, PPL: -376.59775
12: good sentence 6, PPL: -1284.56702
13: bad sentence 6, PPL: -839.18561
14: good sentence 7, PPL: -472.27966
15: bad sentence 7, PPL: -1254.78369
16: good sentence 8, PPL: -8798.53223
17: bad sentence 8, PPL: -8329.15527
18: good sentence 9, PPL: -2342.98145
19: bad sentence 9, PPL: -618.09100
20: good sentence 10, PPL: -558.12744
21: bad sentence 10, PPL: -674.31323
22: good sentence 11, PPL: -2529.40186
23: bad sentence 11, PPL: -661.92328
24: good sentence 12, PPL: -143.47322
25: bad sentence 12, PPL: -979.89832
26: good sentence 13, PPL: -786.23889
27: bad sentence 13, PPL: -1041.51624
28: good sentence 14, PPL: -94.81020
29: bad sentence 14, PPL: -263.10651
30: good sentence 15, PPL: -596.46283
31: bad sentence 15, PPL: -691.27417
32: good sentence 16, PPL: -3533.17236
33: bad sentence 16, PPL: -4167.76611
34: good sentence 17, PPL: -10045.53809
35: bad sentence 17, PPL: -783.45343
36: good sentence 18, PPL: -400.11829
37: bad sentence 18, PPL: -11730.02832
38: good sentence 19, PPL: -18890.59375
39: bad sentence 19, PPL: -1365.57288
40: good sentence 20, PPL: -1067.48389
41: bad sentence 20, PPL: -5197.36133
42: good sentence 21, PPL: -1581.94775
43: bad sentence 21, PPL: -2782.67383
44: good sentence 22, PPL: -651.44916
45: bad sentence 22, PPL: -783.72949
46: good sentence 23, PPL: -5221.80469
47: bad sentence 23, PPL: -6425.68066
48: good sentence 24, PPL: -20891.50391
49: bad sentence 24, PPL: -3053.50684
50: good sentence 25, PPL: -5648.03467
51: bad sentence 25, PPL: -3458.93164
52: good sentence 26, PPL: -2621.74365
53: bad sentence 26, PPL: -852.15173
54: good sentence 27, PPL: -3746.76538
55: bad sentence 27, PPL: -2594.52661
56: good sentence 28, PPL: -1021.52740
57: bad sentence 28, PPL: -8600.55273
58: good sentence 29, PPL: -14475.78613
59: bad sentence 29, PPL: -78433.17969
60: good sentence 30, PPL: -3981.65747
61: bad sentence 30, PPL: -8615.26367
62: good sentence 31, PPL: -661.40588
63: bad sentence 31, PPL: -1122.24780
64: good sentence 32, PPL: -916.35126
65: bad sentence 32, PPL: -810.44403
66: good sentence 33, PPL: -974.30396
67: bad sentence 33, PPL: -253.41609
68: good sentence 34, PPL: -17082.39648
69: bad sentence 34, PPL: -1157.66919
70: good sentence 35, PPL: -15276.14160
71: bad sentence 35, PPL: -1056.97339
72: good sentence 36, PPL: -799.57629
73: bad sentence 36, PPL: -751.80542
74: good sentence 37, PPL: -70983.19531
75: bad sentence 37, PPL: -1919.54785
76: good sentence 38, PPL: -84.14262
77: bad sentence 38, PPL: -191.06233
78: good sentence 39, PPL: -15398.14160
79: bad sentence 39, PPL: -246.92690
80: good sentence 40, PPL: -3609.79517
81: bad sentence 40, PPL: -1586.24121
82: good sentence 41, PPL: -3678.99146
83: bad sentence 41, PPL: -1894.99280
84: good sentence 42, PPL: -1634.34167
85: bad sentence 42, PPL: -2754.80005
86: good sentence 43, PPL: -401.63913
87: bad sentence 43, PPL: -4784.27686
88: good sentence 44, PPL: -660.99341
89: bad sentence 44, PPL: -228.65990
90: good sentence 45, PPL: -3065.09521
91: bad sentence 45, PPL: -26940.28125
92: good sentence 46, PPL: -537.64911
93: bad sentence 46, PPL: -829.38147
94: good sentence 47, PPL: -443.77045
95: bad sentence 47, PPL: -1785.28064
96: good sentence 48, PPL: -1551.23914
97: bad sentence 48, PPL: -3943.29834
98: good sentence 49, PPL: -2839.15161
99: bad sentence 49, PPL: -2449.25293
100: good sentence 50, PPL: -1372.03992
101: bad sentence 50, PPL: -38702.39453
102: good sentence 51, PPL: -18646.13281
103: bad sentence 51, PPL: -14974.77539
104: good sentence 52, PPL: -1049.66248
105: bad sentence 52, PPL: -897.95880
106: good sentence 53, PPL: -911.87738
107: bad sentence 53, PPL: -2766.87354
108: good sentence 54, PPL: -714.09113
109: bad sentence 54, PPL: -1360.12708
110: good sentence 55, PPL: -715.46057
111: bad sentence 55, PPL: -710.57422
112: good sentence 56, PPL: -321.53766
113: bad sentence 56, PPL: -5395.90332
114: good sentence 57, PPL: -667.33240
115: bad sentence 57, PPL: -1538.33374
116: good sentence 58, PPL: -1692.35608
117: bad sentence 58, PPL: -1977.56494
118: good sentence 59, PPL: -72.92416
119: bad sentence 59, PPL: -393.95526
120: good sentence 60, PPL: -444.20697
121: bad sentence 60, PPL: -390.68707
122: good sentence 61, PPL: -1475.76013
123: bad sentence 61, PPL: -2102.34033
124: good sentence 62, PPL: -114.81683
125: bad sentence 62, PPL: -494.30826
126: good sentence 63, PPL: -1253.63831
127: bad sentence 63, PPL: -626.27362
128: good sentence 64, PPL: -1014.36060
129: bad sentence 64, PPL: -2777.11719
130: good sentence 65, PPL: -1264.72571
131: bad sentence 65, PPL: -544.34613
132: good sentence 66, PPL: -2482.32715
133: bad sentence 66, PPL: -3061.72388
134: good sentence 67, PPL: -2118.98169
135: bad sentence 67, PPL: -857.42517
136: good sentence 68, PPL: -551.53119
137: bad sentence 68, PPL: -8488.99609
138: good sentence 69, PPL: -1218.47546
139: bad sentence 69, PPL: -474.32080
140: good sentence 70, PPL: -1145.40356
141: bad sentence 70, PPL: -847.66821
142: good sentence 71, PPL: -849.37653
143: bad sentence 71, PPL: -682.83112
144: good sentence 72, PPL: -10120.09766
145: bad sentence 72, PPL: -9657.28125
146: good sentence 73, PPL: -406.79828
147: bad sentence 73, PPL: -977.40869
148: good sentence 74, PPL: -687.58044
149: bad sentence 74, PPL: -2148.79956
150: good sentence 75, PPL: -1495.66553
151: bad sentence 75, PPL: -681.69147
152: good sentence 76, PPL: -951.89954
153: bad sentence 76, PPL: -467.35046
154: good sentence 77, PPL: -4302.40723
155: bad sentence 77, PPL: -11899.16992
156: good sentence 78, PPL: -521.55688
157: bad sentence 78, PPL: -658.50690
158: good sentence 79, PPL: -1180.34741
159: bad sentence 79, PPL: -1594.46008
160: good sentence 80, PPL: -16962.46094
161: bad sentence 80, PPL: -1015.25677
162: good sentence 81, PPL: -28800.01758
163: bad sentence 81, PPL: -25037.30859
164: good sentence 82, PPL: -1054.40356
165: bad sentence 82, PPL: -1407.66858
166: good sentence 83, PPL: -1814.53308
167: bad sentence 83, PPL: -510.63248
168: good sentence 84, PPL: -2939.92236
169: bad sentence 84, PPL: -607.41840
170: good sentence 85, PPL: -27.40222
171: bad sentence 85, PPL: -116.41703
172: good sentence 86, PPL: -1112.97351
173: bad sentence 86, PPL: -118.42745
174: good sentence 87, PPL: -918.36169
175: bad sentence 87, PPL: -3815.91919
176: good sentence 88, PPL: -660.69531
177: bad sentence 88, PPL: -1444.95117
178: good sentence 89, PPL: -3146.34302
179: bad sentence 89, PPL: -250.92584
180: good sentence 90, PPL: -1550.79395
181: bad sentence 90, PPL: -1368.08679
182: good sentence 91, PPL: -503.38461
183: bad sentence 91, PPL: -301.00333
184: good sentence 92, PPL: -3947.53882
185: bad sentence 92, PPL: -24281.94727
186: good sentence 93, PPL: -2839.92603
187: bad sentence 93, PPL: -51763.80469
188: good sentence 94, PPL: -714.15582
189: bad sentence 94, PPL: -262.26675
190: good sentence 95, PPL: -634.67200
191: bad sentence 95, PPL: -916.32587
192: good sentence 96, PPL: -1110.75842
193: bad sentence 96, PPL: -1045.89746
194: good sentence 97, PPL: -1731.03662
195: bad sentence 97, PPL: -1302.83374
196: good sentence 98, PPL: -180.51350
197: bad sentence 98, PPL: -1113.77832
198: good sentence 99, PPL: -1484.02051
199: bad sentence 99, PPL: -1218.17517
200: good sentence 100, PPL: -2321.29224
201: bad sentence 100, PPL: -2257.89453
202: good sentence 101, PPL: -2043.72229
203: bad sentence 101, PPL: -988.56042
204: good sentence 102, PPL: -4354.04443
205: bad sentence 102, PPL: -1373.03271
206: good sentence 103, PPL: -1001.77979
207: bad sentence 103, PPL: -4514.57666
208: good sentence 104, PPL: -4070.73071
209: bad sentence 104, PPL: -849.53168
210: good sentence 105, PPL: -587.87482
211: bad sentence 105, PPL: -932.70325
212: good sentence 106, PPL: -244.34157
213: bad sentence 106, PPL: -2266.74146
214: good sentence 107, PPL: -1114.20703
215: bad sentence 107, PPL: -1122.04553
216: good sentence 108, PPL: -1724.55518
217: bad sentence 108, PPL: -2437.62036
218: good sentence 109, PPL: -33299.18359
219: bad sentence 109, PPL: -4136.83936
220: good sentence 110, PPL: -668.67786
221: bad sentence 110, PPL: -1142.16931
222: good sentence 111, PPL: -403.75095
223: bad sentence 111, PPL: -1104.54712
224: good sentence 112, PPL: -3622.65869
225: bad sentence 112, PPL: -852.47681
226: good sentence 113, PPL: -629.74463
227: bad sentence 113, PPL: -1566.82532
228: good sentence 114, PPL: -1421.10583
229: bad sentence 114, PPL: -3544.21826
230: good sentence 115, PPL: -5715.06396
231: bad sentence 115, PPL: -5380.28711
232: good sentence 116, PPL: -600.95093
233: bad sentence 116, PPL: -1217.85974
234: good sentence 117, PPL: -1284.67773
235: bad sentence 117, PPL: -724.35864
236: good sentence 118, PPL: -747.17554
237: bad sentence 118, PPL: -3485.59155
238: good sentence 119, PPL: -471.65335
239: bad sentence 119, PPL: -535.27808
240: good sentence 120, PPL: -3421.03101
241: bad sentence 120, PPL: -3813.52881
242: good sentence 121, PPL: -11729.02246
243: bad sentence 121, PPL: -1030.84607
244: good sentence 122, PPL: -1108.43616
245: bad sentence 122, PPL: -4688.87354
246: good sentence 123, PPL: -1063.80396
247: bad sentence 123, PPL: -1300.45410
248: good sentence 124, PPL: -4222.50830
249: bad sentence 124, PPL: -664.15472
250: good sentence 125, PPL: -1141.64563
251: bad sentence 125, PPL: -629.08801
252: good sentence 126, PPL: -633.47559
253: bad sentence 126, PPL: -149.85095
254: good sentence 127, PPL: -121.00745
255: bad sentence 127, PPL: -501.07959
256: good sentence 128, PPL: -1041.75317
257: bad sentence 128, PPL: -803.18475
258: good sentence 129, PPL: -4486.83203
259: bad sentence 129, PPL: -492.55539
260: good sentence 130, PPL: -576.06702
261: bad sentence 130, PPL: -2370.72656
262: good sentence 131, PPL: -808.37677
263: bad sentence 131, PPL: -3869.25977
264: good sentence 132, PPL: -994.29297
265: bad sentence 132, PPL: -6981.21289
266: good sentence 133, PPL: -1371.54919
267: bad sentence 133, PPL: -26461.82227
268: good sentence 134, PPL: -510.57062
269: bad sentence 134, PPL: -1068.68433
270: good sentence 135, PPL: -2189.43457
271: bad sentence 135, PPL: -2368.74243
272: good sentence 136, PPL: -1862.10840
273: bad sentence 136, PPL: -1278.41040
274: good sentence 137, PPL: -883.17596
275: bad sentence 137, PPL: -2212.16479
276: good sentence 138, PPL: -3669.87354
277: bad sentence 138, PPL: -5189.47656
278: good sentence 139, PPL: -13087.51562
279: bad sentence 139, PPL: -1730.22388
280: good sentence 140, PPL: -724.99066
281: bad sentence 140, PPL: -1291.31384
282: good sentence 141, PPL: -1346.80078
283: bad sentence 141, PPL: -823.68842
284: good sentence 142, PPL: -1226.65857
285: bad sentence 142, PPL: -1143.46362
286: good sentence 143, PPL: -547.72601
287: bad sentence 143, PPL: -329.17355
288: good sentence 144, PPL: -14659.87891
289: bad sentence 144, PPL: -565.01758
290: good sentence 145, PPL: -589.70508
291: bad sentence 145, PPL: -263.17627
292: good sentence 146, PPL: -1530.60510
293: bad sentence 146, PPL: -699.71027
294: good sentence 147, PPL: -3301.87988
295: bad sentence 147, PPL: -664.16742
296: good sentence 148, PPL: -1348.56152
297: bad sentence 148, PPL: -1736.13293
298: good sentence 149, PPL: -2939.26343
299: bad sentence 149, PPL: -324.64554
300: good sentence 150, PPL: -414.53378
301: bad sentence 150, PPL: -762.18005
302: good sentence 151, PPL: -1244.80994
303: bad sentence 151, PPL: -13412.94922
304: good sentence 152, PPL: -1655.25488
305: bad sentence 152, PPL: -744.03546
306: good sentence 153, PPL: -575.64532
307: bad sentence 153, PPL: -412.75958
308: good sentence 154, PPL: -448.63336
309: bad sentence 154, PPL: -689.46698
310: good sentence 155, PPL: -516.36646
311: bad sentence 155, PPL: -812.59088
312: good sentence 156, PPL: -271.84998
313: bad sentence 156, PPL: -428.07935
314: good sentence 157, PPL: -185.82863
315: bad sentence 157, PPL: -382.58557
316: good sentence 158, PPL: -1230.05334
317: bad sentence 158, PPL: -356.02667
