verb_complement_direction_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.86100, Average Perplexity (Good Sentences): -1543.05847, Average Perplexity (Bad Sentences): -3452.37354
0: good sentence 0, PPL: -635.41357
1: bad sentence 0, PPL: -2246.30615
2: good sentence 1, PPL: -628.81177
3: bad sentence 1, PPL: -12041.21387
4: good sentence 2, PPL: -74099.65625
5: bad sentence 2, PPL: -32816.05078
6: good sentence 3, PPL: -595.06091
7: bad sentence 3, PPL: -4850.42725
8: good sentence 4, PPL: -361.76816
9: bad sentence 4, PPL: -4250.43408
10: good sentence 5, PPL: -144.31023
11: bad sentence 5, PPL: -4323.25244
12: good sentence 6, PPL: -1285.49524
13: bad sentence 6, PPL: -1641.51074
14: good sentence 7, PPL: -1536.57080
15: bad sentence 7, PPL: -2553.35596
16: good sentence 8, PPL: -1023.46838
17: bad sentence 8, PPL: -2965.34497
18: good sentence 9, PPL: -31162.61328
19: bad sentence 9, PPL: -62131.61328
20: good sentence 10, PPL: -416.09052
21: bad sentence 10, PPL: -2505.82446
22: good sentence 11, PPL: -248.62149
23: bad sentence 11, PPL: -1380.20349
24: good sentence 12, PPL: -640.78363
25: bad sentence 12, PPL: -604.63177
26: good sentence 13, PPL: -903.24689
27: bad sentence 13, PPL: -1331.84656
28: good sentence 14, PPL: -194.69827
29: bad sentence 14, PPL: -124.84769
30: good sentence 15, PPL: -2696.71924
31: bad sentence 15, PPL: -2160.88525
32: good sentence 16, PPL: -6086.65430
33: bad sentence 16, PPL: -4184.39355
34: good sentence 17, PPL: -446.79184
35: bad sentence 17, PPL: -2121.34131
36: good sentence 18, PPL: -1256.91248
37: bad sentence 18, PPL: -560.56500
38: good sentence 19, PPL: -3511.44556
39: bad sentence 19, PPL: -3680.83032
40: good sentence 20, PPL: -1612.00330
41: bad sentence 20, PPL: -3421.39966
42: good sentence 21, PPL: -185.58122
43: bad sentence 21, PPL: -4905.83887
44: good sentence 22, PPL: -1382.44958
45: bad sentence 22, PPL: -1594.47913
46: good sentence 23, PPL: -1119.15100
47: bad sentence 23, PPL: -6785.24707
48: good sentence 24, PPL: -275.61270
49: bad sentence 24, PPL: -516.14294
50: good sentence 25, PPL: -155.92856
51: bad sentence 25, PPL: -2061.48071
52: good sentence 26, PPL: -939.71155
53: bad sentence 26, PPL: -2667.04956
54: good sentence 27, PPL: -248.11520
55: bad sentence 27, PPL: -852.67645
56: good sentence 28, PPL: -13384.81152
57: bad sentence 28, PPL: -9689.55176
58: good sentence 29, PPL: -1937.65698
59: bad sentence 29, PPL: -2148.02734
60: good sentence 30, PPL: -435.28632
61: bad sentence 30, PPL: -1025.16821
62: good sentence 31, PPL: -190674.73438
63: bad sentence 31, PPL: -34762.51953
64: good sentence 32, PPL: -1239.04126
65: bad sentence 32, PPL: -1093.23108
66: good sentence 33, PPL: -762.98151
67: bad sentence 33, PPL: -5742.21094
68: good sentence 34, PPL: -5499.94580
69: bad sentence 34, PPL: -2112.64600
70: good sentence 35, PPL: -162.29204
71: bad sentence 35, PPL: -855.73254
72: good sentence 36, PPL: -991.01270
73: bad sentence 36, PPL: -1131.65344
74: good sentence 37, PPL: -1212.69592
75: bad sentence 37, PPL: -88826.10156
76: good sentence 38, PPL: -259.23474
77: bad sentence 38, PPL: -522.72882
78: good sentence 39, PPL: -70786.20312
79: bad sentence 39, PPL: -11767.83398
80: good sentence 40, PPL: -7901.43164
81: bad sentence 40, PPL: -13145.51855
82: good sentence 41, PPL: -441.01291
83: bad sentence 41, PPL: -601.62701
