verb_complement_duration_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.94200, Average Perplexity (Good Sentences): -1209.94653, Average Perplexity (Bad Sentences): -4318.81445
0: good sentence 0, PPL: -1244.69299
1: bad sentence 0, PPL: -12003.91602
2: good sentence 1, PPL: -1004.47998
3: bad sentence 1, PPL: -31454.89453
4: good sentence 2, PPL: -2403.13452
5: bad sentence 2, PPL: -8608.98828
6: good sentence 3, PPL: -679.31421
7: bad sentence 3, PPL: -3008.17700
8: good sentence 4, PPL: -489.49564
9: bad sentence 4, PPL: -775.33337
10: good sentence 5, PPL: -27702.17383
11: bad sentence 5, PPL: -23478.46680
12: good sentence 6, PPL: -893.28540
13: bad sentence 6, PPL: -2119.94678
14: good sentence 7, PPL: -6294.33350
15: bad sentence 7, PPL: -6803.63623
16: good sentence 8, PPL: -2279.11963
17: bad sentence 8, PPL: -4535.11279
18: good sentence 9, PPL: -298.19376
19: bad sentence 9, PPL: -676.55939
20: good sentence 10, PPL: -655.38312
21: bad sentence 10, PPL: -1119.36768
22: good sentence 11, PPL: -297.72061
23: bad sentence 11, PPL: -1071.94861
24: good sentence 12, PPL: -2360.69360
25: bad sentence 12, PPL: -3472.45630
26: good sentence 13, PPL: -1634.32141
27: bad sentence 13, PPL: -3668.56836
28: good sentence 14, PPL: -139.51044
29: bad sentence 14, PPL: -181.78195
30: good sentence 15, PPL: -339.55719
31: bad sentence 15, PPL: -860.13031
32: good sentence 16, PPL: -1382.05664
33: bad sentence 16, PPL: -4001.00977
34: good sentence 17, PPL: -4059.28296
35: bad sentence 17, PPL: -2743.71997
36: good sentence 18, PPL: -7107.21680
37: bad sentence 18, PPL: -43729.60156
38: good sentence 19, PPL: -478.53287
39: bad sentence 19, PPL: -11658.53027
40: good sentence 20, PPL: -1339.66309
41: bad sentence 20, PPL: -2738.73193
42: good sentence 21, PPL: -623.41425
43: bad sentence 21, PPL: -4183.48389
44: good sentence 22, PPL: -415.32343
45: bad sentence 22, PPL: -1045.15808
46: good sentence 23, PPL: -2098.26221
47: bad sentence 23, PPL: -12802.94922
48: good sentence 24, PPL: -1940.35315
49: bad sentence 24, PPL: -6501.86475
50: good sentence 25, PPL: -491.71811
51: bad sentence 25, PPL: -718.46771
52: good sentence 26, PPL: -254.81938
53: bad sentence 26, PPL: -516.92102
