verb_complement_frequency_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.32600, Average Perplexity (Good Sentences): -1599.33032, Average Perplexity (Bad Sentences): -1201.28369
0: good sentence 0, PPL: -2197.07104
1: bad sentence 0, PPL: -2175.01245
2: good sentence 1, PPL: -1194.11963
3: bad sentence 1, PPL: -1133.34961
4: good sentence 2, PPL: -1381.90442
5: bad sentence 2, PPL: -1168.37061
6: good sentence 3, PPL: -1588.65820
7: bad sentence 3, PPL: -1737.26819
8: good sentence 4, PPL: -6417.71289
9: bad sentence 4, PPL: -5201.24365
10: good sentence 5, PPL: -1081.10840
11: bad sentence 5, PPL: -1082.74951
12: good sentence 6, PPL: -973.08203
13: bad sentence 6, PPL: -662.34729
14: good sentence 7, PPL: -1675.53882
15: bad sentence 7, PPL: -1577.01013
16: good sentence 8, PPL: -601.90393
17: bad sentence 8, PPL: -573.16217
18: good sentence 9, PPL: -1812.65210
19: bad sentence 9, PPL: -1588.01062
20: good sentence 10, PPL: -1252.13586
21: bad sentence 10, PPL: -1446.30286
22: good sentence 11, PPL: -1699.16211
23: bad sentence 11, PPL: -1643.55737
24: good sentence 12, PPL: -2873.53784
25: bad sentence 12, PPL: -2239.02588
26: good sentence 13, PPL: -301.40250
27: bad sentence 13, PPL: -374.74069
28: good sentence 14, PPL: -1420.39648
29: bad sentence 14, PPL: -1998.34058
30: good sentence 15, PPL: -1466.22217
31: bad sentence 15, PPL: -734.65222
32: good sentence 16, PPL: -339.26215
33: bad sentence 16, PPL: -567.98114
34: good sentence 17, PPL: -20527.71289
35: bad sentence 17, PPL: -5891.62354
36: good sentence 18, PPL: -542.31885
37: bad sentence 18, PPL: -462.04138
38: good sentence 19, PPL: -868.77081
39: bad sentence 19, PPL: -438.17850
40: good sentence 20, PPL: -300.25476
41: bad sentence 20, PPL: -734.92834
42: good sentence 21, PPL: -1055.18469
43: bad sentence 21, PPL: -1289.24414
44: good sentence 22, PPL: -267.55316
45: bad sentence 22, PPL: -356.46393
46: good sentence 23, PPL: -418.32980
47: bad sentence 23, PPL: -424.08844
48: good sentence 24, PPL: -2257.90625
49: bad sentence 24, PPL: -1504.26050
50: good sentence 25, PPL: -577.91541
51: bad sentence 25, PPL: -582.64551
52: good sentence 26, PPL: -2096.21118
53: bad sentence 26, PPL: -2987.38721
54: good sentence 27, PPL: -474.98801
55: bad sentence 27, PPL: -210.07741
56: good sentence 28, PPL: -1851.48914
57: bad sentence 28, PPL: -1491.31213
58: good sentence 29, PPL: -2231.60400
59: bad sentence 29, PPL: -1953.27344
60: good sentence 30, PPL: -3978.46924
61: bad sentence 30, PPL: -7031.58643
62: good sentence 31, PPL: -8929.57520
63: bad sentence 31, PPL: -1061.31665
64: good sentence 32, PPL: -1668.07397
65: bad sentence 32, PPL: -986.83575
66: good sentence 33, PPL: -1394.83044
67: bad sentence 33, PPL: -1370.12366
68: good sentence 34, PPL: -7142.78125
69: bad sentence 34, PPL: -1572.03687
70: good sentence 35, PPL: -6550.92871
71: bad sentence 35, PPL: -2098.35620
72: good sentence 36, PPL: -1017.78168
73: bad sentence 36, PPL: -880.62891
74: good sentence 37, PPL: -437.05188
75: bad sentence 37, PPL: -654.95227
76: good sentence 38, PPL: -306.88364
77: bad sentence 38, PPL: -265.29047
78: good sentence 39, PPL: -783.86517
79: bad sentence 39, PPL: -709.11133
80: good sentence 40, PPL: -277.58014
81: bad sentence 40, PPL: -238.03935
82: good sentence 41, PPL: -562.19781
83: bad sentence 41, PPL: -413.64169
84: good sentence 42, PPL: -12328.96191
85: bad sentence 42, PPL: -2715.00195
86: good sentence 43, PPL: -4501.83789
87: bad sentence 43, PPL: -1633.73938
88: good sentence 44, PPL: -1332.83386
89: bad sentence 44, PPL: -982.81409
90: good sentence 45, PPL: -2069.27686
91: bad sentence 45, PPL: -3587.99048
92: good sentence 46, PPL: -472.36908
93: bad sentence 46, PPL: -421.73868
94: good sentence 47, PPL: -414.92810
95: bad sentence 47, PPL: -489.07059
96: good sentence 48, PPL: -1578.77527
97: bad sentence 48, PPL: -1276.61218
98: good sentence 49, PPL: -1020.45880
99: bad sentence 49, PPL: -1110.02039
100: good sentence 50, PPL: -753.03644
101: bad sentence 50, PPL: -1308.53125
102: good sentence 51, PPL: -955.61646
103: bad sentence 51, PPL: -655.41248
104: good sentence 52, PPL: -2037.62207
105: bad sentence 52, PPL: -1039.43103
106: good sentence 53, PPL: -656.19427
107: bad sentence 53, PPL: -434.02182
108: good sentence 54, PPL: -49.25577
109: bad sentence 54, PPL: -65.93439
110: good sentence 55, PPL: -5794.28320
111: bad sentence 55, PPL: -2315.93335
112: good sentence 56, PPL: -572.49402
113: bad sentence 56, PPL: -718.99652
114: good sentence 57, PPL: -2466.84839
115: bad sentence 57, PPL: -1108.71057
116: good sentence 58, PPL: -340.78607
117: bad sentence 58, PPL: -379.62585
118: good sentence 59, PPL: -556.13873
119: bad sentence 59, PPL: -401.17133
120: good sentence 60, PPL: -5164.75049
121: bad sentence 60, PPL: -3477.18506
122: good sentence 61, PPL: -9058.12891
123: bad sentence 61, PPL: -2051.83569
124: good sentence 62, PPL: -3003.67334
125: bad sentence 62, PPL: -1148.80261
126: good sentence 63, PPL: -660.12158
127: bad sentence 63, PPL: -1094.09106
128: good sentence 64, PPL: -1378.62219
129: bad sentence 64, PPL: -2079.79102
130: good sentence 65, PPL: -2985.84058
131: bad sentence 65, PPL: -1180.80957
132: good sentence 66, PPL: -947.37360
133: bad sentence 66, PPL: -1670.50342
134: good sentence 67, PPL: -548.77246
135: bad sentence 67, PPL: -415.86243
136: good sentence 68, PPL: -2126.23169
137: bad sentence 68, PPL: -1631.37366
138: good sentence 69, PPL: -2150.52588
139: bad sentence 69, PPL: -1644.07617
140: good sentence 70, PPL: -4975.71045
141: bad sentence 70, PPL: -665.19427
142: good sentence 71, PPL: -1076.53516
143: bad sentence 71, PPL: -1824.76550
144: good sentence 72, PPL: -2248.12354
145: bad sentence 72, PPL: -2352.08789
146: good sentence 73, PPL: -375.66763
147: bad sentence 73, PPL: -783.10004
148: good sentence 74, PPL: -272.40991
149: bad sentence 74, PPL: -635.36395
150: good sentence 75, PPL: -2007.57715
151: bad sentence 75, PPL: -1452.72534
152: good sentence 76, PPL: -3188.19214
153: bad sentence 76, PPL: -2231.14966
154: good sentence 77, PPL: -1027.00635
155: bad sentence 77, PPL: -1000.21234
156: good sentence 78, PPL: -10818.35547
157: bad sentence 78, PPL: -3539.94507
158: good sentence 79, PPL: -7153.40234
159: bad sentence 79, PPL: -1646.25391
160: good sentence 80, PPL: -806.23804
161: bad sentence 80, PPL: -867.57397
162: good sentence 81, PPL: -2193.97021
163: bad sentence 81, PPL: -1365.84314
164: good sentence 82, PPL: -11498.62012
165: bad sentence 82, PPL: -2327.18945
166: good sentence 83, PPL: -1787.70691
167: bad sentence 83, PPL: -1671.80627
168: good sentence 84, PPL: -505.93781
169: bad sentence 84, PPL: -563.77557
170: good sentence 85, PPL: -1784.48499
171: bad sentence 85, PPL: -2396.46997
172: good sentence 86, PPL: -778.76294
173: bad sentence 86, PPL: -727.49268
174: good sentence 87, PPL: -4646.71729
175: bad sentence 87, PPL: -3950.40869
176: good sentence 88, PPL: -1091.42273
177: bad sentence 88, PPL: -1865.62524
178: good sentence 89, PPL: -559.26312
179: bad sentence 89, PPL: -443.40875
180: good sentence 90, PPL: -1346.84631
181: bad sentence 90, PPL: -1201.67896
182: good sentence 91, PPL: -2621.68506
183: bad sentence 91, PPL: -1403.54785
184: good sentence 92, PPL: -4208.21289
185: bad sentence 92, PPL: -1300.91553
186: good sentence 93, PPL: -534.29913
187: bad sentence 93, PPL: -561.24194
188: good sentence 94, PPL: -550.30151
189: bad sentence 94, PPL: -625.73370
190: good sentence 95, PPL: -1102.74365
191: bad sentence 95, PPL: -765.83624
192: good sentence 96, PPL: -3491.44702
193: bad sentence 96, PPL: -2441.35791
194: good sentence 97, PPL: -3438.53003
195: bad sentence 97, PPL: -2062.54077
196: good sentence 98, PPL: -537.02319
197: bad sentence 98, PPL: -672.46210
198: good sentence 99, PPL: -369.59167
199: bad sentence 99, PPL: -373.34238
200: good sentence 100, PPL: -1472.40930
201: bad sentence 100, PPL: -1044.92188
202: good sentence 101, PPL: -2181.90991
203: bad sentence 101, PPL: -1675.52441
204: good sentence 102, PPL: -562.85339
205: bad sentence 102, PPL: -621.87836
206: good sentence 103, PPL: -854.91608
207: bad sentence 103, PPL: -731.98175
208: good sentence 104, PPL: -6335.97949
209: bad sentence 104, PPL: -3400.96021
210: good sentence 105, PPL: -3852.99902
211: bad sentence 105, PPL: -1523.09644
212: good sentence 106, PPL: -1079.50684
213: bad sentence 106, PPL: -817.07227
214: good sentence 107, PPL: -351.66885
215: bad sentence 107, PPL: -262.31903
216: good sentence 108, PPL: -8537.05859
217: bad sentence 108, PPL: -6094.07178
218: good sentence 109, PPL: -3890.82861
219: bad sentence 109, PPL: -1418.47754
220: good sentence 110, PPL: -1914.77588
221: bad sentence 110, PPL: -1336.95532
