verb_complement_res_adj_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.91100, Average Perplexity (Good Sentences): -1306.78589, Average Perplexity (Bad Sentences): -4254.85449
0: good sentence 0, PPL: -1579.83325
1: bad sentence 0, PPL: -2793.89136
2: good sentence 1, PPL: -595.46222
3: bad sentence 1, PPL: -4608.15186
4: good sentence 2, PPL: -21157.69141
5: bad sentence 2, PPL: -32717.96289
6: good sentence 3, PPL: -2121.97656
7: bad sentence 3, PPL: -19505.56641
8: good sentence 4, PPL: -504.04388
9: bad sentence 4, PPL: -2087.72119
10: good sentence 5, PPL: -673.51697
11: bad sentence 5, PPL: -5035.41406
12: good sentence 6, PPL: -79.40151
13: bad sentence 6, PPL: -5005.84814
14: good sentence 7, PPL: -2210.62231
15: bad sentence 7, PPL: -3429.60254
16: good sentence 8, PPL: -27854.79102
17: bad sentence 8, PPL: -63550.57422
18: good sentence 9, PPL: -127.72387
19: bad sentence 9, PPL: -9282.16406
20: good sentence 10, PPL: -5066.89404
21: bad sentence 10, PPL: -11381.52246
22: good sentence 11, PPL: -1695.35913
23: bad sentence 11, PPL: -4281.38965
24: good sentence 12, PPL: -885.98816
25: bad sentence 12, PPL: -2906.12402
26: good sentence 13, PPL: -760.82996
27: bad sentence 13, PPL: -761.56970
28: good sentence 14, PPL: -10887.99219
29: bad sentence 14, PPL: -22678.31250
30: good sentence 15, PPL: -1104.39905
31: bad sentence 15, PPL: -2157.12646
32: good sentence 16, PPL: -322.57794
33: bad sentence 16, PPL: -3282.48633
34: good sentence 17, PPL: -262.01352
35: bad sentence 17, PPL: -1742.18921
36: good sentence 18, PPL: -3466.35840
37: bad sentence 18, PPL: -11856.64551
38: good sentence 19, PPL: -1348.53137
39: bad sentence 19, PPL: -2174.17041
40: good sentence 20, PPL: -249.09271
41: bad sentence 20, PPL: -4153.03369
42: good sentence 21, PPL: -5045.95117
43: bad sentence 21, PPL: -14161.61621
44: good sentence 22, PPL: -4846.06299
45: bad sentence 22, PPL: -7041.41064
46: good sentence 23, PPL: -2064.64551
47: bad sentence 23, PPL: -23806.79492
48: good sentence 24, PPL: -11165.39746
49: bad sentence 24, PPL: -20179.53125
50: good sentence 25, PPL: -1513.52319
51: bad sentence 25, PPL: -5832.73779
