classifier_adj_1000.csv
Model: THUDM/chatglm3-6b, Accuracy: 0.88100, Average Perplexity (Good Sentences): -inf, Average Perplexity (Bad Sentences): -inf
0: good sentence 0, PPL: -7976.00000
1: bad sentence 0, PPL: -17296.00000
2: good sentence 1, PPL: -37184.00000
3: bad sentence 1, PPL: -inf
4: good sentence 2, PPL: -24192.00000
5: bad sentence 2, PPL: -54080.00000
6: good sentence 3, PPL: -30112.00000
7: bad sentence 3, PPL: -inf
8: good sentence 4, PPL: -14336.00000
9: bad sentence 4, PPL: -10568.00000
10: good sentence 5, PPL: -inf
11: bad sentence 5, PPL: -inf
12: good sentence 6, PPL: -20688.00000
13: bad sentence 6, PPL: -36608.00000
14: good sentence 7, PPL: -8896.00000
15: bad sentence 7, PPL: -inf
16: good sentence 8, PPL: -49632.00000
17: bad sentence 8, PPL: -43808.00000
18: good sentence 9, PPL: -13360.00000
19: bad sentence 9, PPL: -10408.00000
20: good sentence 10, PPL: -12168.00000
21: bad sentence 10, PPL: -18112.00000
22: good sentence 11, PPL: -inf
23: bad sentence 11, PPL: -inf
24: good sentence 12, PPL: -inf
25: bad sentence 12, PPL: -inf
26: good sentence 13, PPL: -inf
27: bad sentence 13, PPL: -inf
28: good sentence 14, PPL: -32048.00000
29: bad sentence 14, PPL: -inf
30: good sentence 15, PPL: -3540.00000
31: bad sentence 15, PPL: -5656.00000
32: good sentence 16, PPL: -inf
33: bad sentence 16, PPL: -inf
34: good sentence 17, PPL: -12352.00000
35: bad sentence 17, PPL: -52832.00000
36: good sentence 18, PPL: -inf
37: bad sentence 18, PPL: -inf
38: good sentence 19, PPL: -inf
39: bad sentence 19, PPL: -inf
40: good sentence 20, PPL: -13048.00000
41: bad sentence 20, PPL: -41472.00000
42: good sentence 21, PPL: -35200.00000
43: bad sentence 21, PPL: -50432.00000
44: good sentence 22, PPL: -inf
45: bad sentence 22, PPL: -56672.00000
46: good sentence 23, PPL: -29184.00000
47: bad sentence 23, PPL: -inf
48: good sentence 24, PPL: -42784.00000
49: bad sentence 24, PPL: -32800.00000
50: good sentence 25, PPL: -14000.00000
51: bad sentence 25, PPL: -20688.00000
52: good sentence 26, PPL: -14448.00000
53: bad sentence 26, PPL: -43456.00000
54: good sentence 27, PPL: -7320.00000
55: bad sentence 27, PPL: -7320.00000
56: good sentence 28, PPL: -6212.00000
57: bad sentence 28, PPL: -22896.00000
58: good sentence 29, PPL: -25952.00000
59: bad sentence 29, PPL: -25744.00000
60: good sentence 30, PPL: -54528.00000
61: bad sentence 30, PPL: -inf
62: good sentence 31, PPL: -16624.00000
63: bad sentence 31, PPL: -65248.00000
64: good sentence 32, PPL: -inf
65: bad sentence 32, PPL: -inf
66: good sentence 33, PPL: -inf
67: bad sentence 33, PPL: -inf
68: good sentence 34, PPL: -21344.00000
69: bad sentence 34, PPL: -35744.00000
70: good sentence 35, PPL: -37184.00000
71: bad sentence 35, PPL: -61280.00000
72: good sentence 36, PPL: -54528.00000
73: bad sentence 36, PPL: -54080.00000
74: good sentence 37, PPL: -11160.00000
75: bad sentence 37, PPL: -20048.00000
76: good sentence 38, PPL: -10160.00000
77: bad sentence 38, PPL: -39872.00000
78: good sentence 39, PPL: -25744.00000
79: bad sentence 39, PPL: -inf
80: good sentence 40, PPL: -36320.00000
81: bad sentence 40, PPL: -inf
82: good sentence 41, PPL: -48864.00000
83: bad sentence 41, PPL: -inf
84: good sentence 42, PPL: -5032.00000
85: bad sentence 42, PPL: -11520.00000
86: good sentence 43, PPL: -36320.00000
87: bad sentence 43, PPL: -65248.00000
88: good sentence 44, PPL: -48096.00000
89: bad sentence 44, PPL: -62272.00000
90: good sentence 45, PPL: -9776.00000
91: bad sentence 45, PPL: -9928.00000
92: good sentence 46, PPL: -6664.00000
93: bad sentence 46, PPL: -20848.00000
