verb_complement_frequency_1000.csv
Model: THUDM/chatglm3-6b, Accuracy: 0.81300, Average Perplexity (Good Sentences): -inf, Average Perplexity (Bad Sentences): -inf
0: good sentence 0, PPL: -20368.00000
1: bad sentence 0, PPL: -45184.00000
2: good sentence 1, PPL: -37184.00000
3: bad sentence 1, PPL: -29632.00000
4: good sentence 2, PPL: -37472.00000
5: bad sentence 2, PPL: -45920.00000
6: good sentence 3, PPL: -51616.00000
7: bad sentence 3, PPL: -39872.00000
8: good sentence 4, PPL: -inf
9: bad sentence 4, PPL: -inf
10: good sentence 5, PPL: -9544.00000
11: bad sentence 5, PPL: -9928.00000
12: good sentence 6, PPL: -14336.00000
13: bad sentence 6, PPL: -26576.00000
14: good sentence 7, PPL: -24768.00000
15: bad sentence 7, PPL: -36896.00000
16: good sentence 8, PPL: -21184.00000
17: bad sentence 8, PPL: -45536.00000
18: good sentence 9, PPL: -inf
19: bad sentence 9, PPL: -inf
20: good sentence 10, PPL: -12456.00000
21: bad sentence 10, PPL: -35200.00000
22: good sentence 11, PPL: -58944.00000
23: bad sentence 11, PPL: -inf
24: good sentence 12, PPL: -inf
25: bad sentence 12, PPL: -inf
26: good sentence 13, PPL: -8624.00000
27: bad sentence 13, PPL: -10736.00000
28: good sentence 14, PPL: -48096.00000
29: bad sentence 14, PPL: -inf
30: good sentence 15, PPL: -40512.00000
31: bad sentence 15, PPL: -38368.00000
32: good sentence 16, PPL: -7264.00000
33: bad sentence 16, PPL: -25152.00000
34: good sentence 17, PPL: -inf
35: bad sentence 17, PPL: -inf
36: good sentence 18, PPL: -4372.00000
37: bad sentence 18, PPL: -14000.00000
38: good sentence 19, PPL: -inf
39: bad sentence 19, PPL: -30336.00000
40: good sentence 20, PPL: -19584.00000
41: bad sentence 20, PPL: -56672.00000
42: good sentence 21, PPL: -55808.00000
43: bad sentence 21, PPL: -inf
44: good sentence 22, PPL: -3076.00000
45: bad sentence 22, PPL: -9040.00000
46: good sentence 23, PPL: -19744.00000
47: bad sentence 23, PPL: -39264.00000
48: good sentence 24, PPL: -52832.00000
49: bad sentence 24, PPL: -inf
50: good sentence 25, PPL: -34112.00000
51: bad sentence 25, PPL: -31056.00000
52: good sentence 26, PPL: -45920.00000
53: bad sentence 26, PPL: -inf
54: good sentence 27, PPL: -20528.00000
55: bad sentence 27, PPL: -38976.00000
56: good sentence 28, PPL: -21680.00000
57: bad sentence 28, PPL: -inf
58: good sentence 29, PPL: -22032.00000
59: bad sentence 29, PPL: -14672.00000
