ba_construction_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.69000, Average Perplexity (Good Sentences): -50.25241, Average Perplexity (Bad Sentences): -66.44653
0: good sentence 0, PPL: -34.43134
1: bad sentence 0, PPL: -53.10632
2: good sentence 1, PPL: -16.00921
3: bad sentence 1, PPL: -33.18052
4: good sentence 2, PPL: -240.26229
5: bad sentence 2, PPL: -189.81777
6: good sentence 3, PPL: -11.45164
7: bad sentence 3, PPL: -16.29272
8: good sentence 4, PPL: -182.97799
9: bad sentence 4, PPL: -399.18058
10: good sentence 5, PPL: -38.97844
11: bad sentence 5, PPL: -48.86198
12: good sentence 6, PPL: -9.46201
13: bad sentence 6, PPL: -7.99569
14: good sentence 7, PPL: -21.62852
15: bad sentence 7, PPL: -31.58563
16: good sentence 8, PPL: -329.43700
17: bad sentence 8, PPL: -263.66090
18: good sentence 9, PPL: -23.83252
19: bad sentence 9, PPL: -44.68238
20: good sentence 10, PPL: -32.44224
21: bad sentence 10, PPL: -23.79195
22: good sentence 11, PPL: -87.03698
23: bad sentence 11, PPL: -1245.66960
24: good sentence 12, PPL: -9.76347
25: bad sentence 12, PPL: -10.03466
26: good sentence 13, PPL: -33.73130
27: bad sentence 13, PPL: -19.00499
28: good sentence 14, PPL: -9.11327
29: bad sentence 14, PPL: -7.53925
30: good sentence 15, PPL: -76.68904
31: bad sentence 15, PPL: -247.36935
32: good sentence 16, PPL: -27.71889
33: bad sentence 16, PPL: -77.38966
34: good sentence 17, PPL: -14.15899
35: bad sentence 17, PPL: -14.26053
36: good sentence 18, PPL: -7.25756
37: bad sentence 18, PPL: -10.62386
38: good sentence 19, PPL: -24.47189
39: bad sentence 19, PPL: -34.73725
40: good sentence 20, PPL: -84.77451
41: bad sentence 20, PPL: -102.70933
42: good sentence 21, PPL: -17.89080
43: bad sentence 21, PPL: -50.05342
44: good sentence 22, PPL: -117.71828
45: bad sentence 22, PPL: -50.80720
46: good sentence 23, PPL: -141.65242
47: bad sentence 23, PPL: -259.01378
48: good sentence 24, PPL: -20.85846
49: bad sentence 24, PPL: -21.57487
50: good sentence 25, PPL: -318.80151
51: bad sentence 25, PPL: -279.74178
52: good sentence 26, PPL: -41.21367
53: bad sentence 26, PPL: -93.18395
54: good sentence 27, PPL: -21.69911
55: bad sentence 27, PPL: -115.09493
56: good sentence 28, PPL: -29.26034
57: bad sentence 28, PPL: -29.80739
58: good sentence 29, PPL: -10.97561
59: bad sentence 29, PPL: -10.22064
60: good sentence 30, PPL: -138.75403
61: bad sentence 30, PPL: -567.47448
62: good sentence 31, PPL: -819.55604
63: bad sentence 31, PPL: -813.50738
64: good sentence 32, PPL: -35.64514
65: bad sentence 32, PPL: -28.81325
66: good sentence 33, PPL: -31.51874
67: bad sentence 33, PPL: -57.93419
68: good sentence 34, PPL: -140.89135
69: bad sentence 34, PPL: -124.40296
70: good sentence 35, PPL: -32.98405
71: bad sentence 35, PPL: -39.65093
72: good sentence 36, PPL: -187.32339
73: bad sentence 36, PPL: -115.70080
74: good sentence 37, PPL: -789.48086
75: bad sentence 37, PPL: -15343.03290
76: good sentence 38, PPL: -49.39474
77: bad sentence 38, PPL: -42.35892
78: good sentence 39, PPL: -41.33652
79: bad sentence 39, PPL: -62.37998
80: good sentence 40, PPL: -34.01595
81: bad sentence 40, PPL: -37.17149
82: good sentence 41, PPL: -28.68897
83: bad sentence 41, PPL: -139.52255
84: good sentence 42, PPL: -89.70342
85: bad sentence 42, PPL: -155.88166
86: good sentence 43, PPL: -12.15870
87: bad sentence 43, PPL: -16.77541
88: good sentence 44, PPL: -43.29488
89: bad sentence 44, PPL: -183.64711
90: good sentence 45, PPL: -99.56726
91: bad sentence 45, PPL: -162.28455
92: good sentence 46, PPL: -16.85990
93: bad sentence 46, PPL: -41.45304
94: good sentence 47, PPL: -10.13003
95: bad sentence 47, PPL: -40.12919
96: good sentence 48, PPL: -67.29532
97: bad sentence 48, PPL: -54.55113
98: good sentence 49, PPL: -412.84238
99: bad sentence 49, PPL: -380.71677
100: good sentence 50, PPL: -7.92936
101: bad sentence 50, PPL: -20.61258
102: good sentence 51, PPL: -221.82705
103: bad sentence 51, PPL: -381.27805
