coverb_instrument_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.91100, Average Perplexity (Good Sentences): -49.97573, Average Perplexity (Bad Sentences): -110.47756
0: good sentence 0, PPL: -84.20668
1: bad sentence 0, PPL: -462.17281
2: good sentence 1, PPL: -39.83221
3: bad sentence 1, PPL: -114.65601
4: good sentence 2, PPL: -89.52838
5: bad sentence 2, PPL: -482.76198
6: good sentence 3, PPL: -10.59872
7: bad sentence 3, PPL: -36.41547
8: good sentence 4, PPL: -80.04261
9: bad sentence 4, PPL: -253.92017
10: good sentence 5, PPL: -44.61078
11: bad sentence 5, PPL: -69.89334
12: good sentence 6, PPL: -30.30200
13: bad sentence 6, PPL: -35.01989
14: good sentence 7, PPL: -21.12820
15: bad sentence 7, PPL: -43.89830
16: good sentence 8, PPL: -11.95869
17: bad sentence 8, PPL: -25.11827
18: good sentence 9, PPL: -88.26750
19: bad sentence 9, PPL: -224.69741
20: good sentence 10, PPL: -8.05643
21: bad sentence 10, PPL: -18.85121
22: good sentence 11, PPL: -25.95337
23: bad sentence 11, PPL: -30.44945
24: good sentence 12, PPL: -19.24569
25: bad sentence 12, PPL: -51.48508
26: good sentence 13, PPL: -18.46535
27: bad sentence 13, PPL: -35.86857
28: good sentence 14, PPL: -18.76565
29: bad sentence 14, PPL: -34.66909
30: good sentence 15, PPL: -40.47922
31: bad sentence 15, PPL: -221.25595
32: good sentence 16, PPL: -24.35762
33: bad sentence 16, PPL: -56.68828
34: good sentence 17, PPL: -8.33251
35: bad sentence 17, PPL: -22.32409
36: good sentence 18, PPL: -229.65844
37: bad sentence 18, PPL: -921.76026
38: good sentence 19, PPL: -12.73174
39: bad sentence 19, PPL: -34.77227
40: good sentence 20, PPL: -91.74110
41: bad sentence 20, PPL: -180.24486
42: good sentence 21, PPL: -32.02602
43: bad sentence 21, PPL: -54.07170
44: good sentence 22, PPL: -123.57108
45: bad sentence 22, PPL: -220.48482
46: good sentence 23, PPL: -23.03411
47: bad sentence 23, PPL: -27.99977
48: good sentence 24, PPL: -47.74585
49: bad sentence 24, PPL: -50.35050
50: good sentence 25, PPL: -11.41648
51: bad sentence 25, PPL: -20.66288
52: good sentence 26, PPL: -17.14218
53: bad sentence 26, PPL: -14.85087
54: good sentence 27, PPL: -9.66323
55: bad sentence 27, PPL: -21.53630
56: good sentence 28, PPL: -66.95051
57: bad sentence 28, PPL: -266.37612
58: good sentence 29, PPL: -41.68563
59: bad sentence 29, PPL: -101.59940
60: good sentence 30, PPL: -64.48211
61: bad sentence 30, PPL: -116.85211
62: good sentence 31, PPL: -36.45499
63: bad sentence 31, PPL: -125.66662
64: good sentence 32, PPL: -34.70517
65: bad sentence 32, PPL: -58.71208
66: good sentence 33, PPL: -26.89440
67: bad sentence 33, PPL: -32.07967
68: good sentence 34, PPL: -84.68830
69: bad sentence 34, PPL: -137.01917
70: good sentence 35, PPL: -17.69781
71: bad sentence 35, PPL: -18.78940
72: good sentence 36, PPL: -103.28203
73: bad sentence 36, PPL: -169.08038
74: good sentence 37, PPL: -189.03859
75: bad sentence 37, PPL: -152.73396
76: good sentence 38, PPL: -143.86551
77: bad sentence 38, PPL: -226.91155
78: good sentence 39, PPL: -42.92927
79: bad sentence 39, PPL: -106.60553
80: good sentence 40, PPL: -25.01119
