ba_construction_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.63000, Average Perplexity (Good Sentences): -227.87699, Average Perplexity (Bad Sentences): -273.84016
0: good sentence 0, PPL: -18.48625
1: bad sentence 0, PPL: -20.69194
2: good sentence 1, PPL: -39.03204
3: bad sentence 1, PPL: -125.23788
4: good sentence 2, PPL: -299.18737
5: bad sentence 2, PPL: -329.58119
6: good sentence 3, PPL: -1781.16198
7: bad sentence 3, PPL: -2194.75187
8: good sentence 4, PPL: -331.39249
9: bad sentence 4, PPL: -563.05708
10: good sentence 5, PPL: -263.47911
11: bad sentence 5, PPL: -498.74688
12: good sentence 6, PPL: -57.09100
13: bad sentence 6, PPL: -53.68383
14: good sentence 7, PPL: -185.78140
15: bad sentence 7, PPL: -158.87520
16: good sentence 8, PPL: -314.10858
17: bad sentence 8, PPL: -430.68848
18: good sentence 9, PPL: -179.54388
19: bad sentence 9, PPL: -270.44322
20: good sentence 10, PPL: -83.65580
21: bad sentence 10, PPL: -106.00671
22: good sentence 11, PPL: -225.94407
23: bad sentence 11, PPL: -1604.81096
24: good sentence 12, PPL: -374.24523
25: bad sentence 12, PPL: -234.47924
26: good sentence 13, PPL: -245.82187
27: bad sentence 13, PPL: -118.01055
28: good sentence 14, PPL: -55.71644
29: bad sentence 14, PPL: -60.48082
30: good sentence 15, PPL: -727.70342
31: bad sentence 15, PPL: -791.69046
32: good sentence 16, PPL: -148.26593
33: bad sentence 16, PPL: -144.71424
34: good sentence 17, PPL: -49.55471
35: bad sentence 17, PPL: -26.14844
36: good sentence 18, PPL: -23.81345
37: bad sentence 18, PPL: -44.82385
38: good sentence 19, PPL: -20.16144
39: bad sentence 19, PPL: -89.62414
40: good sentence 20, PPL: -602.37939
41: bad sentence 20, PPL: -580.95592
42: good sentence 21, PPL: -112.59550
43: bad sentence 21, PPL: -115.49249
44: good sentence 22, PPL: -599.12709
45: bad sentence 22, PPL: -396.44075
46: good sentence 23, PPL: -453.13790
47: bad sentence 23, PPL: -489.95776
48: good sentence 24, PPL: -190.88586
49: bad sentence 24, PPL: -547.44566
50: good sentence 25, PPL: -978.60854
51: bad sentence 25, PPL: -562.75579
52: good sentence 26, PPL: -49.30384
53: bad sentence 26, PPL: -109.70825
54: good sentence 27, PPL: -445.08327
55: bad sentence 27, PPL: -1376.81773
56: good sentence 28, PPL: -163.52714
57: bad sentence 28, PPL: -239.51983
58: good sentence 29, PPL: -346.49019
59: bad sentence 29, PPL: -92.01745
60: good sentence 30, PPL: -2437.22685
61: bad sentence 30, PPL: -5831.58599
62: good sentence 31, PPL: -2441.74624
63: bad sentence 31, PPL: -10710.51316
64: good sentence 32, PPL: -986.57685
65: bad sentence 32, PPL: -652.68424
66: good sentence 33, PPL: -291.39239
67: bad sentence 33, PPL: -349.48820
68: good sentence 34, PPL: -510.08148
