binding_gender_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.54200, Average Perplexity (Good Sentences): -285.22761, Average Perplexity (Bad Sentences): -290.87853
0: good sentence 0, PPL: -125.47883
1: bad sentence 0, PPL: -136.30838
2: good sentence 1, PPL: -412.92501
3: bad sentence 1, PPL: -553.36486
4: good sentence 2, PPL: -79.74144
5: bad sentence 2, PPL: -105.58518
6: good sentence 3, PPL: -174.71351
7: bad sentence 3, PPL: -182.63780
8: good sentence 4, PPL: -245.80315
9: bad sentence 4, PPL: -303.39780
10: good sentence 5, PPL: -491.31253
11: bad sentence 5, PPL: -675.13923
12: good sentence 6, PPL: -596.74102
13: bad sentence 6, PPL: -780.65484
14: good sentence 7, PPL: -438.88528
15: bad sentence 7, PPL: -562.44006
16: good sentence 8, PPL: -221.37116
17: bad sentence 8, PPL: -361.67448
18: good sentence 9, PPL: -58.25760
19: bad sentence 9, PPL: -73.23750
20: good sentence 10, PPL: -836.58080
21: bad sentence 10, PPL: -859.28562
22: good sentence 11, PPL: -133.08128
23: bad sentence 11, PPL: -151.96100
24: good sentence 12, PPL: -146.77294
25: bad sentence 12, PPL: -195.16707
26: good sentence 13, PPL: -27.10528
27: bad sentence 13, PPL: -29.56110
28: good sentence 14, PPL: -87.14228
29: bad sentence 14, PPL: -91.66993
30: good sentence 15, PPL: -231.20082
31: bad sentence 15, PPL: -276.58740
32: good sentence 16, PPL: -114.38643
33: bad sentence 16, PPL: -93.33264
34: good sentence 17, PPL: -425.39721
35: bad sentence 17, PPL: -592.57716
36: good sentence 18, PPL: -131.84125
37: bad sentence 18, PPL: -155.26280
38: good sentence 19, PPL: -123.68378
39: bad sentence 19, PPL: -132.02416
40: good sentence 20, PPL: -1233.32875
41: bad sentence 20, PPL: -1377.07385
42: good sentence 21, PPL: -769.36643
43: bad sentence 21, PPL: -804.38523
44: good sentence 22, PPL: -114.26619
45: bad sentence 22, PPL: -138.73358
46: good sentence 23, PPL: -239.27039
47: bad sentence 23, PPL: -336.12354
48: good sentence 24, PPL: -147.57640
49: bad sentence 24, PPL: -166.61310
50: good sentence 25, PPL: -200.31850
51: bad sentence 25, PPL: -232.87616
52: good sentence 26, PPL: -97.60657
53: bad sentence 26, PPL: -131.48437
54: good sentence 27, PPL: -1092.22945
55: bad sentence 27, PPL: -1437.19743
56: good sentence 28, PPL: -236.24027
57: bad sentence 28, PPL: -215.17076
58: good sentence 29, PPL: -1321.89034
59: bad sentence 29, PPL: -1537.64515
60: good sentence 30, PPL: -815.13772
61: bad sentence 30, PPL: -957.28573
62: good sentence 31, PPL: -265.44732
63: bad sentence 31, PPL: -319.16811
64: good sentence 32, PPL: -66.15759
65: bad sentence 32, PPL: -70.64848
66: good sentence 33, PPL: -310.07573
67: bad sentence 33, PPL: -337.62344
68: good sentence 34, PPL: -179.35528
69: bad sentence 34, PPL: -230.98161
70: good sentence 35, PPL: -122.44560
71: bad sentence 35, PPL: -195.11726
72: good sentence 36, PPL: -165.59116
73: bad sentence 36, PPL: -220.07806
74: good sentence 37, PPL: -182.03207
75: bad sentence 37, PPL: -218.92634
76: good sentence 38, PPL: -45.69265
77: bad sentence 38, PPL: -55.66964
78: good sentence 39, PPL: -395.63363
79: bad sentence 39, PPL: -458.24811
80: good sentence 40, PPL: -383.93903
81: bad sentence 40, PPL: -361.54228
82: good sentence 41, PPL: -356.30313
83: bad sentence 41, PPL: -427.14134
84: good sentence 42, PPL: -301.79248
85: bad sentence 42, PPL: -358.67181
86: good sentence 43, PPL: -620.31035
87: bad sentence 43, PPL: -835.31425
88: good sentence 44, PPL: -79.02066
89: bad sentence 44, PPL: -70.70247
90: good sentence 45, PPL: -174.34397
91: bad sentence 45, PPL: -210.82613
92: good sentence 46, PPL: -298.11760
93: bad sentence 46, PPL: -367.86000
94: good sentence 47, PPL: -205.38337
95: bad sentence 47, PPL: -230.94444
96: good sentence 48, PPL: -68.61595
97: bad sentence 48, PPL: -87.61835
98: good sentence 49, PPL: -421.84614
99: bad sentence 49, PPL: -555.72470
100: good sentence 50, PPL: -262.20480
101: bad sentence 50, PPL: -327.16500
102: good sentence 51, PPL: -687.17350
103: bad sentence 51, PPL: -755.97092
104: good sentence 52, PPL: -106.52887
105: bad sentence 52, PPL: -105.07757
106: good sentence 53, PPL: -491.74392
107: bad sentence 53, PPL: -473.57474
108: good sentence 54, PPL: -409.48937
109: bad sentence 54, PPL: -480.50507
110: good sentence 55, PPL: -964.81635
111: bad sentence 55, PPL: -1031.71787
112: good sentence 56, PPL: -773.04068
113: bad sentence 56, PPL: -708.13406
114: good sentence 57, PPL: -351.59896
115: bad sentence 57, PPL: -395.66202
116: good sentence 58, PPL: -189.97891
117: bad sentence 58, PPL: -252.01518
118: good sentence 59, PPL: -351.66554
119: bad sentence 59, PPL: -436.40353
120: good sentence 60, PPL: -537.86430
121: bad sentence 60, PPL: -723.73994
