classifier_adj_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.87800, Average Perplexity (Good Sentences): -90.61143, Average Perplexity (Bad Sentences): -156.39951
0: good sentence 0, PPL: -38.19039
1: bad sentence 0, PPL: -76.34648
2: good sentence 1, PPL: -201.05315
3: bad sentence 1, PPL: -367.32886
4: good sentence 2, PPL: -129.79134
5: bad sentence 2, PPL: -162.46845
6: good sentence 3, PPL: -29.12546
7: bad sentence 3, PPL: -42.21749
8: good sentence 4, PPL: -58.62861
9: bad sentence 4, PPL: -50.07475
10: good sentence 5, PPL: -352.81310
11: bad sentence 5, PPL: -250.81765
12: good sentence 6, PPL: -62.39138
13: bad sentence 6, PPL: -187.19454
14: good sentence 7, PPL: -15.01283
15: bad sentence 7, PPL: -28.39195
16: good sentence 8, PPL: -71.15229
17: bad sentence 8, PPL: -268.78984
18: good sentence 9, PPL: -17.09001
19: bad sentence 9, PPL: -29.28011
20: good sentence 10, PPL: -327.02128
21: bad sentence 10, PPL: -427.10973
22: good sentence 11, PPL: -64.73180
23: bad sentence 11, PPL: -99.88132
24: good sentence 12, PPL: -27.79796
25: bad sentence 12, PPL: -63.77972
26: good sentence 13, PPL: -86.50901
27: bad sentence 13, PPL: -87.19111
28: good sentence 14, PPL: -122.19077
29: bad sentence 14, PPL: -128.99312
30: good sentence 15, PPL: -27.32463
31: bad sentence 15, PPL: -40.23483
32: good sentence 16, PPL: -87.90431
33: bad sentence 16, PPL: -189.84567
34: good sentence 17, PPL: -37.78723
35: bad sentence 17, PPL: -56.96537
36: good sentence 18, PPL: -69.69933
37: bad sentence 18, PPL: -91.48673
38: good sentence 19, PPL: -334.88700
39: bad sentence 19, PPL: -278.33553
40: good sentence 20, PPL: -180.99469
41: bad sentence 20, PPL: -300.29192
42: good sentence 21, PPL: -24.35151
43: bad sentence 21, PPL: -40.55439
44: good sentence 22, PPL: -14.08011
45: bad sentence 22, PPL: -25.73849
46: good sentence 23, PPL: -59.47726
47: bad sentence 23, PPL: -186.26160
48: good sentence 24, PPL: -22.27074
49: bad sentence 24, PPL: -34.67475
