classifier_clause_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.84300, Average Perplexity (Good Sentences): -93.54450, Average Perplexity (Bad Sentences): -136.33013
0: good sentence 0, PPL: -721.26870
1: bad sentence 0, PPL: -1345.63349
2: good sentence 1, PPL: -78.18569
3: bad sentence 1, PPL: -182.73935
4: good sentence 2, PPL: -76.89948
5: bad sentence 2, PPL: -97.82022
6: good sentence 3, PPL: -34.48212
7: bad sentence 3, PPL: -72.46657
8: good sentence 4, PPL: -503.37462
9: bad sentence 4, PPL: -660.54793
10: good sentence 5, PPL: -525.71710
11: bad sentence 5, PPL: -611.29786
12: good sentence 6, PPL: -54.81837
13: bad sentence 6, PPL: -97.28926
14: good sentence 7, PPL: -32.19924
15: bad sentence 7, PPL: -41.23763
16: good sentence 8, PPL: -14.61234
17: bad sentence 8, PPL: -27.35474
18: good sentence 9, PPL: -109.16255
19: bad sentence 9, PPL: -225.07827
20: good sentence 10, PPL: -113.27013
21: bad sentence 10, PPL: -96.22623
22: good sentence 11, PPL: -69.82985
23: bad sentence 11, PPL: -65.47483
24: good sentence 12, PPL: -71.07592
25: bad sentence 12, PPL: -187.46142
26: good sentence 13, PPL: -22.16310
27: bad sentence 13, PPL: -30.52709
28: good sentence 14, PPL: -48.37681
29: bad sentence 14, PPL: -62.71178
30: good sentence 15, PPL: -28.86389
31: bad sentence 15, PPL: -36.41550
32: good sentence 16, PPL: -103.12049
33: bad sentence 16, PPL: -136.05343
34: good sentence 17, PPL: -150.98313
35: bad sentence 17, PPL: -141.99531
36: good sentence 18, PPL: -10.27852
37: bad sentence 18, PPL: -16.72961
38: good sentence 19, PPL: -45.16169
39: bad sentence 19, PPL: -61.30103
40: good sentence 20, PPL: -65.29773
41: bad sentence 20, PPL: -199.64914
42: good sentence 21, PPL: -30.34663
43: bad sentence 21, PPL: -30.19294
44: good sentence 22, PPL: -108.52366
45: bad sentence 22, PPL: -124.69504
46: good sentence 23, PPL: -72.34930
47: bad sentence 23, PPL: -125.55331
48: good sentence 24, PPL: -82.46983
49: bad sentence 24, PPL: -100.69012
50: good sentence 25, PPL: -30.83599
51: bad sentence 25, PPL: -37.98355
52: good sentence 26, PPL: -281.74209
53: bad sentence 26, PPL: -273.92749
54: good sentence 27, PPL: -41.57067
55: bad sentence 27, PPL: -134.94022
56: good sentence 28, PPL: -75.43709
57: bad sentence 28, PPL: -93.15516
58: good sentence 29, PPL: -56.86450
59: bad sentence 29, PPL: -100.82725
60: good sentence 30, PPL: -308.32976
61: bad sentence 30, PPL: -304.03933
62: good sentence 31, PPL: -146.10346
63: bad sentence 31, PPL: -200.77893
64: good sentence 32, PPL: -335.29508
65: bad sentence 32, PPL: -848.10148
66: good sentence 33, PPL: -17.03443
67: bad sentence 33, PPL: -25.07800
68: good sentence 34, PPL: -10.92306
69: bad sentence 34, PPL: -27.73052
70: good sentence 35, PPL: -213.47428
71: bad sentence 35, PPL: -353.78608
72: good sentence 36, PPL: -429.28205
