coverb_instrument_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.57500, Average Perplexity (Good Sentences): -987.83614, Average Perplexity (Bad Sentences): -1118.53177
0: good sentence 0, PPL: -8003.04027
1: bad sentence 0, PPL: -41637.83245
2: good sentence 1, PPL: -1013.48104
3: bad sentence 1, PPL: -1515.19704
4: good sentence 2, PPL: -4633.41384
5: bad sentence 2, PPL: -3670.10654
6: good sentence 3, PPL: -814.91332
7: bad sentence 3, PPL: -1671.52351
8: good sentence 4, PPL: -2827.38565
9: bad sentence 4, PPL: -1048.21498
10: good sentence 5, PPL: -264.41943
11: bad sentence 5, PPL: -348.63551
12: good sentence 6, PPL: -2265.81560
13: bad sentence 6, PPL: -2034.91158
14: good sentence 7, PPL: -1138.82358
15: bad sentence 7, PPL: -2729.47564
16: good sentence 8, PPL: -79.65714
17: bad sentence 8, PPL: -172.46586
18: good sentence 9, PPL: -1190.17145
19: bad sentence 9, PPL: -1070.03341
20: good sentence 10, PPL: -119.16188
21: bad sentence 10, PPL: -528.83794
22: good sentence 11, PPL: -79.73949
23: bad sentence 11, PPL: -93.27493
24: good sentence 12, PPL: -251.49395
25: bad sentence 12, PPL: -190.65860
26: good sentence 13, PPL: -255.54366
27: bad sentence 13, PPL: -393.06580
28: good sentence 14, PPL: -490.28424
29: bad sentence 14, PPL: -2893.15844
30: good sentence 15, PPL: -8817.08845
31: bad sentence 15, PPL: -14154.20678
32: good sentence 16, PPL: -678.40126
33: bad sentence 16, PPL: -737.10809
34: good sentence 17, PPL: -256.38940
35: bad sentence 17, PPL: -421.93456
36: good sentence 18, PPL: -2732.70588
37: bad sentence 18, PPL: -1092.61062
38: good sentence 19, PPL: -202.26143
39: bad sentence 19, PPL: -484.76840
40: good sentence 20, PPL: -636.85158
41: bad sentence 20, PPL: -5589.15922
42: good sentence 21, PPL: -119.84651
43: bad sentence 21, PPL: -265.82751
44: good sentence 22, PPL: -8581.85690
45: bad sentence 22, PPL: -7707.74036
46: good sentence 23, PPL: -67.17618
47: bad sentence 23, PPL: -123.71963
48: good sentence 24, PPL: -2534.95026
49: bad sentence 24, PPL: -2138.36233
50: good sentence 25, PPL: -77.51198
51: bad sentence 25, PPL: -90.03909
52: good sentence 26, PPL: -614.08609
53: bad sentence 26, PPL: -339.27496
54: good sentence 27, PPL: -190.89314
55: bad sentence 27, PPL: -95.10706
56: good sentence 28, PPL: -3089.41730
57: bad sentence 28, PPL: -2068.75633
58: good sentence 29, PPL: -478.00913
59: bad sentence 29, PPL: -441.73689
60: good sentence 30, PPL: -177.42806
61: bad sentence 30, PPL: -2124.32551
62: good sentence 31, PPL: -109.01967
63: bad sentence 31, PPL: -349.84549
64: good sentence 32, PPL: -174.84430
65: bad sentence 32, PPL: -205.77738
66: good sentence 33, PPL: -7888.88156
67: bad sentence 33, PPL: -1979.42054
68: good sentence 34, PPL: -7457.49453
69: bad sentence 34, PPL: -2347.64096
70: good sentence 35, PPL: -199.84887
71: bad sentence 35, PPL: -429.50031
72: good sentence 36, PPL: -1315.77057
73: bad sentence 36, PPL: -1549.17832
74: good sentence 37, PPL: -988.86658
75: bad sentence 37, PPL: -562.17666
76: good sentence 38, PPL: -6295.62610
77: bad sentence 38, PPL: -2661.42398
78: good sentence 39, PPL: -1485.46606
79: bad sentence 39, PPL: -2204.54286
80: good sentence 40, PPL: -206.94275
81: bad sentence 40, PPL: -393.43727
82: good sentence 41, PPL: -150.41479
83: bad sentence 41, PPL: -207.07964
84: good sentence 42, PPL: -698.14524
85: bad sentence 42, PPL: -702.25994
86: good sentence 43, PPL: -48.52935
87: bad sentence 43, PPL: -50.89761
88: good sentence 44, PPL: -7480.16016
89: bad sentence 44, PPL: -8413.05183
90: good sentence 45, PPL: -5127.49709
91: bad sentence 45, PPL: -2836.33511
92: good sentence 46, PPL: -964.27597
93: bad sentence 46, PPL: -851.47638
94: good sentence 47, PPL: -334.11341
95: bad sentence 47, PPL: -868.78019
96: good sentence 48, PPL: -533.46316
97: bad sentence 48, PPL: -448.27361
98: good sentence 49, PPL: -7281.41661
99: bad sentence 49, PPL: -4576.33808
100: good sentence 50, PPL: -31214.52197
101: bad sentence 50, PPL: -38242.76655
102: good sentence 51, PPL: -16821.68866
103: bad sentence 51, PPL: -10905.70945
104: good sentence 52, PPL: -775.84281
105: bad sentence 52, PPL: -376.99239
106: good sentence 53, PPL: -655.98727
107: bad sentence 53, PPL: -499.87188
108: good sentence 54, PPL: -1025.01199
109: bad sentence 54, PPL: -6156.32007
110: good sentence 55, PPL: -8983.88189
111: bad sentence 55, PPL: -30361.91027
112: good sentence 56, PPL: -677.96405
113: bad sentence 56, PPL: -605.20782
114: good sentence 57, PPL: -16270.87864
115: bad sentence 57, PPL: -6676.13946
116: good sentence 58, PPL: -2339.61189
117: bad sentence 58, PPL: -3487.61171
118: good sentence 59, PPL: -3770.38839
119: bad sentence 59, PPL: -1461.28898
120: good sentence 60, PPL: -2167.56457
121: bad sentence 60, PPL: -2546.28516
122: good sentence 61, PPL: -38299.43374
123: bad sentence 61, PPL: -43693.77062
124: good sentence 62, PPL: -260.92685
125: bad sentence 62, PPL: -276.90535
126: good sentence 63, PPL: -334.58279
127: bad sentence 63, PPL: -2438.25799
128: good sentence 64, PPL: -183.64036
129: bad sentence 64, PPL: -98.21119
130: good sentence 65, PPL: -7324.81673
131: bad sentence 65, PPL: -6391.42418
132: good sentence 66, PPL: -551.35629
133: bad sentence 66, PPL: -1921.05766
134: good sentence 67, PPL: -466.40313
135: bad sentence 67, PPL: -770.43682
136: good sentence 68, PPL: -484.66233
137: bad sentence 68, PPL: -1071.25841
138: good sentence 69, PPL: -164.70319
139: bad sentence 69, PPL: -149.30496
140: good sentence 70, PPL: -410.43149
141: bad sentence 70, PPL: -429.01792
142: good sentence 71, PPL: -174.32493
143: bad sentence 71, PPL: -253.46749
144: good sentence 72, PPL: -1706.23575
145: bad sentence 72, PPL: -1150.70882
146: good sentence 73, PPL: -1883.53044
147: bad sentence 73, PPL: -1832.18954
148: good sentence 74, PPL: -400.64473
149: bad sentence 74, PPL: -323.08113
150: good sentence 75, PPL: -2801.24731
151: bad sentence 75, PPL: -3561.78972
152: good sentence 76, PPL: -2695.56610
153: bad sentence 76, PPL: -2975.36159
154: good sentence 77, PPL: -1142.29315
155: bad sentence 77, PPL: -1803.23569
156: good sentence 78, PPL: -1591.09623
157: bad sentence 78, PPL: -1483.08685
158: good sentence 79, PPL: -35053.64549
159: bad sentence 79, PPL: -1462.06489
160: good sentence 80, PPL: -653.80679
161: bad sentence 80, PPL: -1297.89555
162: good sentence 81, PPL: -1217.69150
163: bad sentence 81, PPL: -648.36643
164: good sentence 82, PPL: -1896.13684
165: bad sentence 82, PPL: -562.75644
166: good sentence 83, PPL: -745.58779
167: bad sentence 83, PPL: -1330.43932
168: good sentence 84, PPL: -344.74478
169: bad sentence 84, PPL: -1292.30114
170: good sentence 85, PPL: -1106.74471
171: bad sentence 85, PPL: -2109.36844
172: good sentence 86, PPL: -704.42257
173: bad sentence 86, PPL: -1026.71177
174: good sentence 87, PPL: -815.04019
175: bad sentence 87, PPL: -1515.68515
176: good sentence 88, PPL: -896.75857
177: bad sentence 88, PPL: -958.08540
178: good sentence 89, PPL: -2146.55107
179: bad sentence 89, PPL: -780.52052
180: good sentence 90, PPL: -343.21069
181: bad sentence 90, PPL: -383.40139
182: good sentence 91, PPL: -646.43604
