coverb_with_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.82300, Average Perplexity (Good Sentences): -807.81681, Average Perplexity (Bad Sentences): -1810.27996
0: good sentence 0, PPL: -927.07339
1: bad sentence 0, PPL: -2821.20465
2: good sentence 1, PPL: -5063.43123
3: bad sentence 1, PPL: -11985.66126
4: good sentence 2, PPL: -872.12024
5: bad sentence 2, PPL: -705.18188
6: good sentence 3, PPL: -277.89119
7: bad sentence 3, PPL: -288.43091
8: good sentence 4, PPL: -1044.85024
9: bad sentence 4, PPL: -437.40201
10: good sentence 5, PPL: -751.10678
11: bad sentence 5, PPL: -6160.27980
12: good sentence 6, PPL: -255.82948
13: bad sentence 6, PPL: -234.80525
14: good sentence 7, PPL: -914.59168
15: bad sentence 7, PPL: -1183.58873
16: good sentence 8, PPL: -893.69446
17: bad sentence 8, PPL: -5228.62651
18: good sentence 9, PPL: -1584.36092
19: bad sentence 9, PPL: -15786.03183
20: good sentence 10, PPL: -332.66666
21: bad sentence 10, PPL: -3368.47546
22: good sentence 11, PPL: -440.48263
23: bad sentence 11, PPL: -792.55311
24: good sentence 12, PPL: -676.06726
25: bad sentence 12, PPL: -1775.64501
26: good sentence 13, PPL: -218.02815
27: bad sentence 13, PPL: -248.31867
28: good sentence 14, PPL: -147.85820
29: bad sentence 14, PPL: -173.65871
30: good sentence 15, PPL: -1046.30856
31: bad sentence 15, PPL: -1494.37762
32: good sentence 16, PPL: -1678.05518
33: bad sentence 16, PPL: -1310.27010
34: good sentence 17, PPL: -2152.47052
35: bad sentence 17, PPL: -6885.37513
36: good sentence 18, PPL: -240.11914
37: bad sentence 18, PPL: -406.39838
38: good sentence 19, PPL: -1107.83744
39: bad sentence 19, PPL: -5577.26281
40: good sentence 20, PPL: -1107.52589
41: bad sentence 20, PPL: -637.94897
42: good sentence 21, PPL: -646.49373
43: bad sentence 21, PPL: -1622.22524
44: good sentence 22, PPL: -275.79285
45: bad sentence 22, PPL: -634.95097
46: good sentence 23, PPL: -418.34419
47: bad sentence 23, PPL: -683.67605
48: good sentence 24, PPL: -183.52213
49: bad sentence 24, PPL: -352.68606
50: good sentence 25, PPL: -771.47341
51: bad sentence 25, PPL: -3557.08865
52: good sentence 26, PPL: -1794.06773
53: bad sentence 26, PPL: -12647.84780
54: good sentence 27, PPL: -898.26252
