filler_gap_dependency_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.87300, Average Perplexity (Good Sentences): -37.18026, Average Perplexity (Bad Sentences): -126.96713
0: good sentence 0, PPL: -39.58450
1: bad sentence 0, PPL: -305.39114
2: good sentence 1, PPL: -67.05125
3: bad sentence 1, PPL: -679.20914
4: good sentence 2, PPL: -90.23886
5: bad sentence 2, PPL: -477.61114
6: good sentence 3, PPL: -23.54039
7: bad sentence 3, PPL: -1356.55070
8: good sentence 4, PPL: -43.04552
9: bad sentence 4, PPL: -75.99149
10: good sentence 5, PPL: -55.00261
11: bad sentence 5, PPL: -74.27159
12: good sentence 6, PPL: -75.81273
13: bad sentence 6, PPL: -609.80220
14: good sentence 7, PPL: -23.51218
15: bad sentence 7, PPL: -28.07477
16: good sentence 8, PPL: -24.66154
17: bad sentence 8, PPL: -85.41849
18: good sentence 9, PPL: -17.04290
19: bad sentence 9, PPL: -120.17604
20: good sentence 10, PPL: -32.39078
21: bad sentence 10, PPL: -192.01336
22: good sentence 11, PPL: -24.70795
23: bad sentence 11, PPL: -33.14600
24: good sentence 12, PPL: -77.75118
25: bad sentence 12, PPL: -113.07778
26: good sentence 13, PPL: -159.75651
27: bad sentence 13, PPL: -212.18607
28: good sentence 14, PPL: -41.64936
29: bad sentence 14, PPL: -655.80363
30: good sentence 15, PPL: -84.70749
31: bad sentence 15, PPL: -78.54688
32: good sentence 16, PPL: -19.56259
33: bad sentence 16, PPL: -31.21571
34: good sentence 17, PPL: -11.87564
35: bad sentence 17, PPL: -51.93110
36: good sentence 18, PPL: -36.28310
37: bad sentence 18, PPL: -34.24351
38: good sentence 19, PPL: -40.27618
39: bad sentence 19, PPL: -165.20900
40: good sentence 20, PPL: -61.15537
41: bad sentence 20, PPL: -38.31174
42: good sentence 21, PPL: -45.99514
43: bad sentence 21, PPL: -403.10592
44: good sentence 22, PPL: -60.76612
45: bad sentence 22, PPL: -157.56442
46: good sentence 23, PPL: -20.60838
47: bad sentence 23, PPL: -67.38751
48: good sentence 24, PPL: -24.03811
49: bad sentence 24, PPL: -87.29631
50: good sentence 25, PPL: -40.43160
51: bad sentence 25, PPL: -94.86234
52: good sentence 26, PPL: -42.58139
53: bad sentence 26, PPL: -51.35262
54: good sentence 27, PPL: -35.19604
55: bad sentence 27, PPL: -99.22136
56: good sentence 28, PPL: -103.34255
57: bad sentence 28, PPL: -153.83134
58: good sentence 29, PPL: -16.42520
59: bad sentence 29, PPL: -39.20027
60: good sentence 30, PPL: -87.38192
61: bad sentence 30, PPL: -256.73169
62: good sentence 31, PPL: -82.20025
63: bad sentence 31, PPL: -318.66843
64: good sentence 32, PPL: -35.00219
65: bad sentence 32, PPL: -197.62438
66: good sentence 33, PPL: -47.48522
67: bad sentence 33, PPL: -126.41246
68: good sentence 34, PPL: -11.15087
69: bad sentence 34, PPL: -69.70615
70: good sentence 35, PPL: -41.92075
71: bad sentence 35, PPL: -123.54507
72: good sentence 36, PPL: -47.87243
73: bad sentence 36, PPL: -125.95104
74: good sentence 37, PPL: -29.42952
75: bad sentence 37, PPL: -108.37443
76: good sentence 38, PPL: -34.43898
77: bad sentence 38, PPL: -214.04070
78: good sentence 39, PPL: -48.40552
79: bad sentence 39, PPL: -211.89704
80: good sentence 40, PPL: -27.83822
81: bad sentence 40, PPL: -160.78213
82: good sentence 41, PPL: -31.52604
83: bad sentence 41, PPL: -127.01920
84: good sentence 42, PPL: -11.09364
85: bad sentence 42, PPL: -34.43323
86: good sentence 43, PPL: -12.82314
87: bad sentence 43, PPL: -336.51759
88: good sentence 44, PPL: -69.23816
89: bad sentence 44, PPL: -378.05711
90: good sentence 45, PPL: -18.57771
91: bad sentence 45, PPL: -23.32742
92: good sentence 46, PPL: -75.54707
93: bad sentence 46, PPL: -177.16641
94: good sentence 47, PPL: -13.16370
95: bad sentence 47, PPL: -129.15918
96: good sentence 48, PPL: -56.00140
97: bad sentence 48, PPL: -36.29484
98: good sentence 49, PPL: -50.67389
99: bad sentence 49, PPL: -31.28240
100: good sentence 50, PPL: -6.68108
101: bad sentence 50, PPL: -33.98009
102: good sentence 51, PPL: -17.40360
103: bad sentence 51, PPL: -148.82531
