head_final_clause_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.61700, Average Perplexity (Good Sentences): -260.95513, Average Perplexity (Bad Sentences): -312.32031
0: good sentence 0, PPL: -325.87874
1: bad sentence 0, PPL: -440.71351
2: good sentence 1, PPL: -744.14631
3: bad sentence 1, PPL: -1704.61889
4: good sentence 2, PPL: -110.30309
5: bad sentence 2, PPL: -231.51324
6: good sentence 3, PPL: -299.13379
7: bad sentence 3, PPL: -987.86420
8: good sentence 4, PPL: -165.30735
9: bad sentence 4, PPL: -161.95401
10: good sentence 5, PPL: -85.31365
11: bad sentence 5, PPL: -115.54334
12: good sentence 6, PPL: -92.96782
13: bad sentence 6, PPL: -41.77274
14: good sentence 7, PPL: -346.51799
15: bad sentence 7, PPL: -383.33517
16: good sentence 8, PPL: -62.86900
17: bad sentence 8, PPL: -56.37369
18: good sentence 9, PPL: -201.87936
19: bad sentence 9, PPL: -249.42997
20: good sentence 10, PPL: -47.82399
21: bad sentence 10, PPL: -105.40451
22: good sentence 11, PPL: -675.43596
23: bad sentence 11, PPL: -500.53247
24: good sentence 12, PPL: -20.09964
25: bad sentence 12, PPL: -14.98789
26: good sentence 13, PPL: -486.60366
27: bad sentence 13, PPL: -724.20802
28: good sentence 14, PPL: -9773.97871
29: bad sentence 14, PPL: -9448.85488
30: good sentence 15, PPL: -139.06253
31: bad sentence 15, PPL: -143.39074
32: good sentence 16, PPL: -74.37197
33: bad sentence 16, PPL: -143.66737
34: good sentence 17, PPL: -536.53597
35: bad sentence 17, PPL: -431.85077
36: good sentence 18, PPL: -374.18867
37: bad sentence 18, PPL: -216.16502
38: good sentence 19, PPL: -476.46796
39: bad sentence 19, PPL: -439.60439
40: good sentence 20, PPL: -354.12592
41: bad sentence 20, PPL: -722.33621
42: good sentence 21, PPL: -1615.01184
43: bad sentence 21, PPL: -2217.50150
44: good sentence 22, PPL: -737.05953
45: bad sentence 22, PPL: -907.98133
46: good sentence 23, PPL: -94.82106
47: bad sentence 23, PPL: -46.30516
48: good sentence 24, PPL: -363.56714
49: bad sentence 24, PPL: -400.35835
50: good sentence 25, PPL: -346.56020
51: bad sentence 25, PPL: -337.70645
52: good sentence 26, PPL: -99.80841
53: bad sentence 26, PPL: -142.46344
