passive_formal_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.60900, Average Perplexity (Good Sentences): -332.47241, Average Perplexity (Bad Sentences): -437.44629
0: good sentence 0, PPL: -2208.28114
1: bad sentence 0, PPL: -7201.97811
2: good sentence 1, PPL: -531.33009
3: bad sentence 1, PPL: -383.85273
4: good sentence 2, PPL: -523.79862
5: bad sentence 2, PPL: -1060.88015
6: good sentence 3, PPL: -525.11178
7: bad sentence 3, PPL: -854.36930
8: good sentence 4, PPL: -21.60340
9: bad sentence 4, PPL: -116.76757
10: good sentence 5, PPL: -923.84467
11: bad sentence 5, PPL: -608.20852
12: good sentence 6, PPL: -130.78279
13: bad sentence 6, PPL: -515.49709
14: good sentence 7, PPL: -1635.18013
15: bad sentence 7, PPL: -1480.85618
16: good sentence 8, PPL: -69.39399
17: bad sentence 8, PPL: -592.81771
18: good sentence 9, PPL: -102.48882
19: bad sentence 9, PPL: -612.19307
20: good sentence 10, PPL: -518.80486
21: bad sentence 10, PPL: -1284.01176
22: good sentence 11, PPL: -186.54176
23: bad sentence 11, PPL: -266.82031
24: good sentence 12, PPL: -46.73971
25: bad sentence 12, PPL: -86.11848
26: good sentence 13, PPL: -393.00798
27: bad sentence 13, PPL: -255.16040
28: good sentence 14, PPL: -14.49550
29: bad sentence 14, PPL: -144.08594
30: good sentence 15, PPL: -318.09996
31: bad sentence 15, PPL: -112.83604
32: good sentence 16, PPL: -518.96030
33: bad sentence 16, PPL: -783.02051
34: good sentence 17, PPL: -94.87474
35: bad sentence 17, PPL: -1040.55838
36: good sentence 18, PPL: -458.43934
37: bad sentence 18, PPL: -630.43766
38: good sentence 19, PPL: -596.46285
39: bad sentence 19, PPL: -2058.45280
40: good sentence 20, PPL: -656.45970
41: bad sentence 20, PPL: -2974.58448
42: good sentence 21, PPL: -61.14353
43: bad sentence 21, PPL: -37.71478
44: good sentence 22, PPL: -214.46991
45: bad sentence 22, PPL: -380.30627
46: good sentence 23, PPL: -147.08818
47: bad sentence 23, PPL: -170.98646
48: good sentence 24, PPL: -377.60788
49: bad sentence 24, PPL: -2128.08520
50: good sentence 25, PPL: -21.17279
51: bad sentence 25, PPL: -56.87999
52: good sentence 26, PPL: -702.67437
53: bad sentence 26, PPL: -960.54589
54: good sentence 27, PPL: -812.92044
55: bad sentence 27, PPL: -1886.32014
56: good sentence 28, PPL: -698.53980
57: bad sentence 28, PPL: -760.23118
58: good sentence 29, PPL: -1927.29724
59: bad sentence 29, PPL: -580.35450
60: good sentence 30, PPL: -231.48273
61: bad sentence 30, PPL: -125.94168
