verb_complement_frequency_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.98400, Average Perplexity (Good Sentences): -157.61802, Average Perplexity (Bad Sentences): -405.79578
0: good sentence 0, PPL: -82.54692
1: bad sentence 0, PPL: -216.96245
2: good sentence 1, PPL: -2666.46274
3: bad sentence 1, PPL: -5067.95054
4: good sentence 2, PPL: -54.68360
5: bad sentence 2, PPL: -146.37235
6: good sentence 3, PPL: -705.58904
7: bad sentence 3, PPL: -1521.22937
8: good sentence 4, PPL: -27.66484
9: bad sentence 4, PPL: -74.31233
10: good sentence 5, PPL: -111.94024
11: bad sentence 5, PPL: -210.42530
12: good sentence 6, PPL: -1391.30912
13: bad sentence 6, PPL: -1634.90607
14: good sentence 7, PPL: -65.37424
15: bad sentence 7, PPL: -131.21026
16: good sentence 8, PPL: -19.11936
17: bad sentence 8, PPL: -43.61648
18: good sentence 9, PPL: -64.62502
19: bad sentence 9, PPL: -83.83537
20: good sentence 10, PPL: -53.12770
21: bad sentence 10, PPL: -96.40391
22: good sentence 11, PPL: -134.75355
23: bad sentence 11, PPL: -297.74928
24: good sentence 12, PPL: -133.17200
25: bad sentence 12, PPL: -274.87516
26: good sentence 13, PPL: -12.96478
27: bad sentence 13, PPL: -24.74431
28: good sentence 14, PPL: -119.37325
29: bad sentence 14, PPL: -198.98955
30: good sentence 15, PPL: -296.50086
31: bad sentence 15, PPL: -383.48399
32: good sentence 16, PPL: -88.20791
33: bad sentence 16, PPL: -252.74735
34: good sentence 17, PPL: -114.19761
35: bad sentence 17, PPL: -244.30633
36: good sentence 18, PPL: -38.41948
37: bad sentence 18, PPL: -92.82527
38: good sentence 19, PPL: -200.26431
39: bad sentence 19, PPL: -603.91090
40: good sentence 20, PPL: -494.75879
41: bad sentence 20, PPL: -1325.29398
42: good sentence 21, PPL: -220.29956
43: bad sentence 21, PPL: -462.43929
44: good sentence 22, PPL: -604.87748
45: bad sentence 22, PPL: -758.80765
46: good sentence 23, PPL: -39.89576
47: bad sentence 23, PPL: -185.58333
48: good sentence 24, PPL: -12.45751
49: bad sentence 24, PPL: -27.77334
50: good sentence 25, PPL: -467.47473
51: bad sentence 25, PPL: -1156.62745
52: good sentence 26, PPL: -592.11249
53: bad sentence 26, PPL: -2370.81368
54: good sentence 27, PPL: -237.63764
55: bad sentence 27, PPL: -700.74079
56: good sentence 28, PPL: -339.87489
57: bad sentence 28, PPL: -1121.73626
58: good sentence 29, PPL: -388.51926
59: bad sentence 29, PPL: -858.75244
60: good sentence 30, PPL: -119.88426
61: bad sentence 30, PPL: -275.76371
62: good sentence 31, PPL: -398.31816
63: bad sentence 31, PPL: -1852.99948
64: good sentence 32, PPL: -454.28828
65: bad sentence 32, PPL: -1271.89524
66: good sentence 33, PPL: -67.44579
67: bad sentence 33, PPL: -353.14971
68: good sentence 34, PPL: -104.58912
69: bad sentence 34, PPL: -289.56307
70: good sentence 35, PPL: -70.28504
71: bad sentence 35, PPL: -530.13147
72: good sentence 36, PPL: -33.19640
73: bad sentence 36, PPL: -139.07293
74: good sentence 37, PPL: -65.92158
75: bad sentence 37, PPL: -151.81484
76: good sentence 38, PPL: -2520.18469
77: bad sentence 38, PPL: -8089.16902
78: good sentence 39, PPL: -230.67625
79: bad sentence 39, PPL: -307.14608
80: good sentence 40, PPL: -568.24917
81: bad sentence 40, PPL: -1049.94691
82: good sentence 41, PPL: -20.17366
83: bad sentence 41, PPL: -51.89358
84: good sentence 42, PPL: -277.21654
85: bad sentence 42, PPL: -716.84852
