anaphor_agreement_gender_1000.csv
anaphor_agreement_gender_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.92600, Average Perplexity (Good Sentences): -5352.46729, Average Perplexity (Bad Sentences): -7628.50879
0: good sentence 0, PPL: -3280.08936
1: bad sentence 0, PPL: -4908.35156
2: good sentence 1, PPL: -5352.96240
3: bad sentence 1, PPL: -8828.26953
4: good sentence 2, PPL: -2476.83740
5: bad sentence 2, PPL: -1982.64563
6: good sentence 3, PPL: -1244.20984
7: bad sentence 3, PPL: -1428.83411
8: good sentence 4, PPL: -10661.64941
9: bad sentence 4, PPL: -10919.54199
10: good sentence 5, PPL: -1905.22656
11: bad sentence 5, PPL: -4058.30371
12: good sentence 6, PPL: -10698.85645
13: bad sentence 6, PPL: -21113.75000
14: good sentence 7, PPL: -12473.57812
15: bad sentence 7, PPL: -14067.15039
16: good sentence 8, PPL: -8202.95703
17: bad sentence 8, PPL: -11504.74023
18: good sentence 9, PPL: -18593.51953
19: bad sentence 9, PPL: -17978.96875
20: good sentence 10, PPL: -1273.83215
21: bad sentence 10, PPL: -2441.80835
22: good sentence 11, PPL: -2763.68506
23: bad sentence 11, PPL: -2883.58130
24: good sentence 12, PPL: -2162.77783
25: bad sentence 12, PPL: -4127.84180
26: good sentence 13, PPL: -3785.87329
27: bad sentence 13, PPL: -4293.80371
28: good sentence 14, PPL: -4360.20312
29: bad sentence 14, PPL: -4236.12061
30: good sentence 15, PPL: -15487.93555
31: bad sentence 15, PPL: -26550.37305
32: good sentence 16, PPL: -13437.21094
33: bad sentence 16, PPL: -17202.68750
34: good sentence 17, PPL: -16567.39453
35: bad sentence 17, PPL: -30708.60742
36: good sentence 18, PPL: -5155.41504
37: bad sentence 18, PPL: -11137.68262
38: good sentence 19, PPL: -4970.23730
39: bad sentence 19, PPL: -6785.87500
40: good sentence 20, PPL: -956.08362
41: bad sentence 20, PPL: -1158.51184
42: good sentence 21, PPL: -16959.16211
43: bad sentence 21, PPL: -16648.66211
44: good sentence 22, PPL: -11299.20996
45: bad sentence 22, PPL: -13777.01562
46: good sentence 23, PPL: -12025.27441
47: bad sentence 23, PPL: -11946.82422
48: good sentence 24, PPL: -6558.64893
49: bad sentence 24, PPL: -10139.41895
50: good sentence 25, PPL: -5651.08398
51: bad sentence 25, PPL: -6630.58936
52: good sentence 26, PPL: -2499.85254
53: bad sentence 26, PPL: -2700.57446
54: good sentence 27, PPL: -15643.11816
55: bad sentence 27, PPL: -32092.78906
56: good sentence 28, PPL: -2693.72607
57: bad sentence 28, PPL: -6613.18457
58: good sentence 29, PPL: -6840.04883
59: bad sentence 29, PPL: -9566.13086
60: good sentence 30, PPL: -13002.11133
61: bad sentence 30, PPL: -10716.76758
62: good sentence 31, PPL: -5199.21533
63: bad sentence 31, PPL: -8649.44531
64: good sentence 32, PPL: -3220.07178
65: bad sentence 32, PPL: -4952.06885
66: good sentence 33, PPL: -19702.99609
67: bad sentence 33, PPL: -44307.69141
68: good sentence 34, PPL: -1685.01575
69: bad sentence 34, PPL: -3854.45068
70: good sentence 35, PPL: -19606.66992
71: bad sentence 35, PPL: -23134.42383
72: good sentence 36, PPL: -4021.47144
73: bad sentence 36, PPL: -7517.74268
74: good sentence 37, PPL: -2520.96606
75: bad sentence 37, PPL: -4841.84033
76: good sentence 38, PPL: -6773.81641
77: bad sentence 38, PPL: -7415.48340
78: good sentence 39, PPL: -10105.96777
79: bad sentence 39, PPL: -17445.30273
80: good sentence 40, PPL: -17000.79492
81: bad sentence 40, PPL: -29179.60352
82: good sentence 41, PPL: -1910.33545
83: bad sentence 41, PPL: -2590.62134
84: good sentence 42, PPL: -4545.53955
85: bad sentence 42, PPL: -8724.64355
86: good sentence 43, PPL: -54215.00391
87: bad sentence 43, PPL: -85846.43750
88: good sentence 44, PPL: -20249.60742
89: bad sentence 44, PPL: -22514.55664
90: good sentence 45, PPL: -5710.02490
91: bad sentence 45, PPL: -10347.33105
92: good sentence 46, PPL: -5768.85400
93: bad sentence 46, PPL: -8198.07617
94: good sentence 47, PPL: -17090.46484
95: bad sentence 47, PPL: -19599.45312
96: good sentence 48, PPL: -5914.45117
97: bad sentence 48, PPL: -8606.46875
98: good sentence 49, PPL: -6781.22998
99: bad sentence 49, PPL: -7732.28223
100: good sentence 50, PPL: -2417.44678
101: bad sentence 50, PPL: -3809.84644
102: good sentence 51, PPL: -424.89890
103: bad sentence 51, PPL: -457.07062
104: good sentence 52, PPL: -2394.83765
105: bad sentence 52, PPL: -2939.53394
106: good sentence 53, PPL: -1037.13928
107: bad sentence 53, PPL: -1434.90796
