classifier_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.76000, Average Perplexity (Good Sentences): -11104.55957, Average Perplexity (Bad Sentences): -14935.21191
0: good sentence 0, PPL: -9520.73438
1: bad sentence 0, PPL: -14447.23730
2: good sentence 1, PPL: -13957.79883
3: bad sentence 1, PPL: -19679.46484
4: good sentence 2, PPL: -10114.79980
5: bad sentence 2, PPL: -12928.19629
6: good sentence 3, PPL: -2280.67407
7: bad sentence 3, PPL: -2861.88330
8: good sentence 4, PPL: -18792.82422
9: bad sentence 4, PPL: -26620.93164
10: good sentence 5, PPL: -7547.20947
11: bad sentence 5, PPL: -15982.66992
12: good sentence 6, PPL: -3097.09375
13: bad sentence 6, PPL: -6565.52051
14: good sentence 7, PPL: -33870.82422
15: bad sentence 7, PPL: -38291.39453
16: good sentence 8, PPL: -4825.86279
17: bad sentence 8, PPL: -5621.70264
18: good sentence 9, PPL: -14222.19629
19: bad sentence 9, PPL: -14942.63477
20: good sentence 10, PPL: -27722.28516
21: bad sentence 10, PPL: -28024.28125
22: good sentence 11, PPL: -3945.48755
23: bad sentence 11, PPL: -4966.11035
24: good sentence 12, PPL: -2660.82666
25: bad sentence 12, PPL: -7981.81787
26: good sentence 13, PPL: -4882.05908
27: bad sentence 13, PPL: -6877.26709
28: good sentence 14, PPL: -57152.80078
29: bad sentence 14, PPL: -68725.23438
30: good sentence 15, PPL: -11033.46484
31: bad sentence 15, PPL: -10764.66406
32: good sentence 16, PPL: -10215.13379
33: bad sentence 16, PPL: -26979.95312
34: good sentence 17, PPL: -23264.60742
35: bad sentence 17, PPL: -36746.17188
36: good sentence 18, PPL: -11142.81348
37: bad sentence 18, PPL: -23014.78125
38: good sentence 19, PPL: -139201.46875
39: bad sentence 19, PPL: -82650.35156
40: good sentence 20, PPL: -5066.75342
41: bad sentence 20, PPL: -6560.86963
42: good sentence 21, PPL: -24869.34570
43: bad sentence 21, PPL: -48987.85938
44: good sentence 22, PPL: -3681.69043
45: bad sentence 22, PPL: -5374.81494
46: good sentence 23, PPL: -7658.50488
47: bad sentence 23, PPL: -8180.78564
48: good sentence 24, PPL: -6538.27100
49: bad sentence 24, PPL: -41735.59375
50: good sentence 25, PPL: -9162.69141
51: bad sentence 25, PPL: -38129.45312
52: good sentence 26, PPL: -12722.22949
53: bad sentence 26, PPL: -14494.29688
54: good sentence 27, PPL: -7769.95898
55: bad sentence 27, PPL: -32058.83398
56: good sentence 28, PPL: -4976.93945
57: bad sentence 28, PPL: -6545.99512
58: good sentence 29, PPL: -65087.29688
59: bad sentence 29, PPL: -117291.51562
60: good sentence 30, PPL: -48570.86328
61: bad sentence 30, PPL: -76680.02344
62: good sentence 31, PPL: -17206.56055
63: bad sentence 31, PPL: -23535.74609
64: good sentence 32, PPL: -5179.16260
65: bad sentence 32, PPL: -17540.25781
66: good sentence 33, PPL: -987.73444
67: bad sentence 33, PPL: -2097.49487
68: good sentence 34, PPL: -18704.44336
69: bad sentence 34, PPL: -24298.78711
70: good sentence 35, PPL: -1583.67688
71: bad sentence 35, PPL: -2817.75586
72: good sentence 36, PPL: -1748.05579
73: bad sentence 36, PPL: -1980.23621
74: good sentence 37, PPL: -9752.75977
75: bad sentence 37, PPL: -44386.10156
76: good sentence 38, PPL: -19476.38477
77: bad sentence 38, PPL: -15113.74219
78: good sentence 39, PPL: -54250.27734
79: bad sentence 39, PPL: -33611.69531
80: good sentence 40, PPL: -13552.40625
81: bad sentence 40, PPL: -17439.18164
82: good sentence 41, PPL: -9236.91602
83: bad sentence 41, PPL: -7012.70850
84: good sentence 42, PPL: -9296.16016
85: bad sentence 42, PPL: -8864.50488
86: good sentence 43, PPL: -25870.63672
