classifier_adj_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.69100, Average Perplexity (Good Sentences): -6505.97119, Average Perplexity (Bad Sentences): -7604.81445
0: good sentence 0, PPL: -9211.93262
1: bad sentence 0, PPL: -8706.20898
2: good sentence 1, PPL: -7470.97900
3: bad sentence 1, PPL: -22659.91406
4: good sentence 2, PPL: -9717.86035
5: bad sentence 2, PPL: -13901.41992
6: good sentence 3, PPL: -9700.12012
7: bad sentence 3, PPL: -10092.17676
8: good sentence 4, PPL: -1251.03711
9: bad sentence 4, PPL: -2351.72461
10: good sentence 5, PPL: -3895.18359
11: bad sentence 5, PPL: -3528.07812
12: good sentence 6, PPL: -7328.61523
13: bad sentence 6, PPL: -14664.80176
14: good sentence 7, PPL: -2008.65234
15: bad sentence 7, PPL: -2798.39526
16: good sentence 8, PPL: -4329.14355
17: bad sentence 8, PPL: -7259.31250
18: good sentence 9, PPL: -5616.79932
19: bad sentence 9, PPL: -5990.75244
20: good sentence 10, PPL: -1349.29492
21: bad sentence 10, PPL: -1753.67700
22: good sentence 11, PPL: -8222.31836
23: bad sentence 11, PPL: -11516.29883
24: good sentence 12, PPL: -2985.77783
25: bad sentence 12, PPL: -6307.37939
26: good sentence 13, PPL: -15696.19824
27: bad sentence 13, PPL: -15773.79395
28: good sentence 14, PPL: -23386.93359
29: bad sentence 14, PPL: -21165.88477
30: good sentence 15, PPL: -5254.07422
31: bad sentence 15, PPL: -7363.78467
32: good sentence 16, PPL: -3785.41089
33: bad sentence 16, PPL: -8061.76855
34: good sentence 17, PPL: -1259.81970
35: bad sentence 17, PPL: -2419.40845
36: good sentence 18, PPL: -3096.52100
37: bad sentence 18, PPL: -3615.17969
38: good sentence 19, PPL: -4725.39648
39: bad sentence 19, PPL: -6509.90576
40: good sentence 20, PPL: -1162.74341
41: bad sentence 20, PPL: -1570.06592
42: good sentence 21, PPL: -9179.24707
43: bad sentence 21, PPL: -12162.37109
44: good sentence 22, PPL: -22605.45703
45: bad sentence 22, PPL: -27452.40820
46: good sentence 23, PPL: -18767.37500
47: bad sentence 23, PPL: -24417.09570
48: good sentence 24, PPL: -18605.04883
49: bad sentence 24, PPL: -16685.93750
50: good sentence 25, PPL: -2623.22803
51: bad sentence 25, PPL: -6464.53906
52: good sentence 26, PPL: -10096.16211
53: bad sentence 26, PPL: -11039.23340
54: good sentence 27, PPL: -2496.87646
55: bad sentence 27, PPL: -6412.10889
56: good sentence 28, PPL: -4918.31348
57: bad sentence 28, PPL: -7709.29443
58: good sentence 29, PPL: -4281.07520
59: bad sentence 29, PPL: -9901.72461
60: good sentence 30, PPL: -8230.99512
61: bad sentence 30, PPL: -13216.75586
62: good sentence 31, PPL: -6776.74951
63: bad sentence 31, PPL: -11892.68164
64: good sentence 32, PPL: -1439.74951
65: bad sentence 32, PPL: -2130.91797
66: good sentence 33, PPL: -5783.28613
67: bad sentence 33, PPL: -6619.22949
68: good sentence 34, PPL: -2686.28516
69: bad sentence 34, PPL: -3812.13599
70: good sentence 35, PPL: -2525.78027
71: bad sentence 35, PPL: -2908.60986
72: good sentence 36, PPL: -13084.59473
73: bad sentence 36, PPL: -28636.97656
74: good sentence 37, PPL: -7559.95947
75: bad sentence 37, PPL: -10154.43750
76: good sentence 38, PPL: -3797.94409
77: bad sentence 38, PPL: -5037.15234
78: good sentence 39, PPL: -6799.95850
79: bad sentence 39, PPL: -6347.27100
80: good sentence 40, PPL: -6720.81934
81: bad sentence 40, PPL: -11861.28320
82: good sentence 41, PPL: -4457.57812
83: bad sentence 41, PPL: -5821.58447
