classifier_clause_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.66500, Average Perplexity (Good Sentences): -8203.98926, Average Perplexity (Bad Sentences): -9137.83887
0: good sentence 0, PPL: -10978.60156
1: bad sentence 0, PPL: -9563.22168
2: good sentence 1, PPL: -11233.83887
3: bad sentence 1, PPL: -12524.55957
4: good sentence 2, PPL: -3983.68604
5: bad sentence 2, PPL: -4967.79199
6: good sentence 3, PPL: -5138.58350
7: bad sentence 3, PPL: -5976.32129
8: good sentence 4, PPL: -11414.94727
9: bad sentence 4, PPL: -18904.79492
10: good sentence 5, PPL: -11040.20215
11: bad sentence 5, PPL: -15032.63867
12: good sentence 6, PPL: -7361.46094
13: bad sentence 6, PPL: -8878.84570
14: good sentence 7, PPL: -13799.96191
15: bad sentence 7, PPL: -16832.96289
16: good sentence 8, PPL: -2697.48071
17: bad sentence 8, PPL: -3012.41724
18: good sentence 9, PPL: -10929.12695
19: bad sentence 9, PPL: -12434.56152
20: good sentence 10, PPL: -11313.28125
21: bad sentence 10, PPL: -19409.41016
22: good sentence 11, PPL: -8594.90332
23: bad sentence 11, PPL: -10308.53418
24: good sentence 12, PPL: -10663.77441
25: bad sentence 12, PPL: -9951.49121
26: good sentence 13, PPL: -2394.95752
27: bad sentence 13, PPL: -2824.05347
28: good sentence 14, PPL: -9402.85352
29: bad sentence 14, PPL: -7792.34033
30: good sentence 15, PPL: -6530.84912
31: bad sentence 15, PPL: -6937.52148
32: good sentence 16, PPL: -2712.57202
33: bad sentence 16, PPL: -3653.53760
34: good sentence 17, PPL: -17212.48633
35: bad sentence 17, PPL: -22884.11914
36: good sentence 18, PPL: -11757.00879
37: bad sentence 18, PPL: -13713.67578
38: good sentence 19, PPL: -8628.75684
39: bad sentence 19, PPL: -10099.94629
40: good sentence 20, PPL: -7215.08545
41: bad sentence 20, PPL: -9517.28418
42: good sentence 21, PPL: -7766.95117
43: bad sentence 21, PPL: -8402.56348
44: good sentence 22, PPL: -8036.61377
45: bad sentence 22, PPL: -8569.70312
46: good sentence 23, PPL: -25451.72656
47: bad sentence 23, PPL: -24443.28125
48: good sentence 24, PPL: -6879.41846
49: bad sentence 24, PPL: -11388.70898
50: good sentence 25, PPL: -7165.13916
51: bad sentence 25, PPL: -11196.37305
52: good sentence 26, PPL: -7825.89014
53: bad sentence 26, PPL: -17580.76953
54: good sentence 27, PPL: -20406.57812
55: bad sentence 27, PPL: -20246.05469
56: good sentence 28, PPL: -13492.34961
57: bad sentence 28, PPL: -17221.46680
58: good sentence 29, PPL: -2365.71387
59: bad sentence 29, PPL: -3419.40649
60: good sentence 30, PPL: -12933.24023
61: bad sentence 30, PPL: -15397.34863
62: good sentence 31, PPL: -11550.63867
63: bad sentence 31, PPL: -15818.23438
64: good sentence 32, PPL: -7370.58545
65: bad sentence 32, PPL: -7801.50098
66: good sentence 33, PPL: -5530.82666
67: bad sentence 33, PPL: -7339.94678
68: good sentence 34, PPL: -12675.65234
69: bad sentence 34, PPL: -12919.61719
70: good sentence 35, PPL: -4309.38037
71: bad sentence 35, PPL: -6101.11377
72: good sentence 36, PPL: -7188.30664
73: bad sentence 36, PPL: -15232.44043
74: good sentence 37, PPL: -23413.78125
75: bad sentence 37, PPL: -32628.87500
76: good sentence 38, PPL: -15900.84570
77: bad sentence 38, PPL: -19915.02930
78: good sentence 39, PPL: -3345.23950
79: bad sentence 39, PPL: -4678.94336
80: good sentence 40, PPL: -13013.05176
81: bad sentence 40, PPL: -20247.98633
82: good sentence 41, PPL: -18995.95117
83: bad sentence 41, PPL: -16507.93555
84: good sentence 42, PPL: -24198.65430
85: bad sentence 42, PPL: -42522.16016
86: good sentence 43, PPL: -4861.72754
87: bad sentence 43, PPL: -5373.91309
88: good sentence 44, PPL: -8898.27539
89: bad sentence 44, PPL: -13726.98242
90: good sentence 45, PPL: -3817.10205
91: bad sentence 45, PPL: -3506.72705
92: good sentence 46, PPL: -6981.51855
93: bad sentence 46, PPL: -8206.92383
94: good sentence 47, PPL: -10363.18262
95: bad sentence 47, PPL: -15624.71973
96: good sentence 48, PPL: -7540.48242
97: bad sentence 48, PPL: -7857.20898
98: good sentence 49, PPL: -21111.75586
99: bad sentence 49, PPL: -28076.25781
100: good sentence 50, PPL: -18366.61328
101: bad sentence 50, PPL: -22482.05078
102: good sentence 51, PPL: -10400.57715
103: bad sentence 51, PPL: -8929.88184
104: good sentence 52, PPL: -6942.58496
105: bad sentence 52, PPL: -6003.51221
106: good sentence 53, PPL: -12295.40332
107: bad sentence 53, PPL: -9844.73047
108: good sentence 54, PPL: -5760.43213
109: bad sentence 54, PPL: -6349.11182
110: good sentence 55, PPL: -20381.95508
111: bad sentence 55, PPL: -23458.59180
112: good sentence 56, PPL: -8087.02637
113: bad sentence 56, PPL: -7653.48145
114: good sentence 57, PPL: -22633.24219
115: bad sentence 57, PPL: -40942.95312
116: good sentence 58, PPL: -9899.34570
117: bad sentence 58, PPL: -11201.53223
118: good sentence 59, PPL: -12559.07812
119: bad sentence 59, PPL: -17270.70898
120: good sentence 60, PPL: -23222.86523
121: bad sentence 60, PPL: -23782.94531
122: good sentence 61, PPL: -5349.50732
123: bad sentence 61, PPL: -6391.72949
124: good sentence 62, PPL: -3089.22632
125: bad sentence 62, PPL: -3831.28882
126: good sentence 63, PPL: -1964.73413
127: bad sentence 63, PPL: -2503.64844
128: good sentence 64, PPL: -6928.22559
129: bad sentence 64, PPL: -6328.77539
130: good sentence 65, PPL: -30389.10156
131: bad sentence 65, PPL: -49838.42969
132: good sentence 66, PPL: -12922.21875
133: bad sentence 66, PPL: -13077.74609
134: good sentence 67, PPL: -13046.58984
135: bad sentence 67, PPL: -10452.25391
136: good sentence 68, PPL: -5920.43311
137: bad sentence 68, PPL: -6083.62549
138: good sentence 69, PPL: -10880.50879
139: bad sentence 69, PPL: -17065.78906
140: good sentence 70, PPL: -8613.49805
141: bad sentence 70, PPL: -10166.72461
142: good sentence 71, PPL: -15280.36719
143: bad sentence 71, PPL: -25713.09180
144: good sentence 72, PPL: -3344.92017
145: bad sentence 72, PPL: -3600.77295
146: good sentence 73, PPL: -4957.90479
147: bad sentence 73, PPL: -6589.89697
148: good sentence 74, PPL: -6113.18701
149: bad sentence 74, PPL: -6661.97070
150: good sentence 75, PPL: -39589.26172
151: bad sentence 75, PPL: -37630.75391
152: good sentence 76, PPL: -23727.71289
153: bad sentence 76, PPL: -19486.45312
154: good sentence 77, PPL: -6004.26270
155: bad sentence 77, PPL: -6918.29492
156: good sentence 78, PPL: -15312.31348
157: bad sentence 78, PPL: -23649.88672
158: good sentence 79, PPL: -6835.37354
159: bad sentence 79, PPL: -9004.34961
160: good sentence 80, PPL: -2029.98877
161: bad sentence 80, PPL: -2692.51367
162: good sentence 81, PPL: -10970.15527
163: bad sentence 81, PPL: -18224.70703
164: good sentence 82, PPL: -12915.24414
165: bad sentence 82, PPL: -16349.06934
166: good sentence 83, PPL: -7505.62158
167: bad sentence 83, PPL: -11161.36230
168: good sentence 84, PPL: -4941.77002
169: bad sentence 84, PPL: -6788.70312
170: good sentence 85, PPL: -2554.23145
171: bad sentence 85, PPL: -4114.58545
172: good sentence 86, PPL: -7104.53320
173: bad sentence 86, PPL: -5882.83105
174: good sentence 87, PPL: -18713.32812
175: bad sentence 87, PPL: -18716.79102
176: good sentence 88, PPL: -3951.81006
177: bad sentence 88, PPL: -3794.77612
178: good sentence 89, PPL: -10681.20898
179: bad sentence 89, PPL: -17117.42773
180: good sentence 90, PPL: -6090.52783
181: bad sentence 90, PPL: -6710.07324
182: good sentence 91, PPL: -7034.59180
183: bad sentence 91, PPL: -7533.22266
184: good sentence 92, PPL: -5467.60010
185: bad sentence 92, PPL: -5890.85938
186: good sentence 93, PPL: -4414.03613
187: bad sentence 93, PPL: -4813.96191
188: good sentence 94, PPL: -10392.01172
189: bad sentence 94, PPL: -21043.79297
190: good sentence 95, PPL: -12028.06055
191: bad sentence 95, PPL: -13503.58789
192: good sentence 96, PPL: -8931.13379
193: bad sentence 96, PPL: -6448.11133
194: good sentence 97, PPL: -7524.28369
195: bad sentence 97, PPL: -9494.75684
196: good sentence 98, PPL: -6200.31934
197: bad sentence 98, PPL: -5856.33740
198: good sentence 99, PPL: -7522.43262
199: bad sentence 99, PPL: -12545.32422
200: good sentence 100, PPL: -6297.90625
201: bad sentence 100, PPL: -7050.13232
202: good sentence 101, PPL: -5871.53711
203: bad sentence 101, PPL: -7398.27637
204: good sentence 102, PPL: -11166.03613
205: bad sentence 102, PPL: -16630.34961
206: good sentence 103, PPL: -4979.14209
207: bad sentence 103, PPL: -4516.08398
208: good sentence 104, PPL: -14180.90234
209: bad sentence 104, PPL: -12700.20215
210: good sentence 105, PPL: -33324.30859
211: bad sentence 105, PPL: -22747.79883
212: good sentence 106, PPL: -7767.50684
213: bad sentence 106, PPL: -9585.06250
214: good sentence 107, PPL: -14969.36328
215: bad sentence 107, PPL: -12794.85645
216: good sentence 108, PPL: -6614.12451
217: bad sentence 108, PPL: -8559.86035
218: good sentence 109, PPL: -5931.17627
219: bad sentence 109, PPL: -7102.92773
220: good sentence 110, PPL: -21288.56055
221: bad sentence 110, PPL: -30296.87695
222: good sentence 111, PPL: -15619.08789
223: bad sentence 111, PPL: -14817.68555
224: good sentence 112, PPL: -22412.28516
225: bad sentence 112, PPL: -26719.18359
226: good sentence 113, PPL: -4289.83740
227: bad sentence 113, PPL: -5427.84033
228: good sentence 114, PPL: -5695.98730
229: bad sentence 114, PPL: -7894.14795
230: good sentence 115, PPL: -2598.71899
231: bad sentence 115, PPL: -3856.20093
232: good sentence 116, PPL: -6014.00488
233: bad sentence 116, PPL: -6040.85449
234: good sentence 117, PPL: -4983.28418
235: bad sentence 117, PPL: -7695.17676
236: good sentence 118, PPL: -8155.73291
237: bad sentence 118, PPL: -7974.80225
238: good sentence 119, PPL: -11721.23926
239: bad sentence 119, PPL: -17483.95898
240: good sentence 120, PPL: -29608.03906
241: bad sentence 120, PPL: -20585.74219
242: good sentence 121, PPL: -3482.73755
243: bad sentence 121, PPL: -3584.44385
244: good sentence 122, PPL: -7973.87451
245: bad sentence 122, PPL: -10411.15625
246: good sentence 123, PPL: -6604.08398
247: bad sentence 123, PPL: -9938.88672
248: good sentence 124, PPL: -13930.77637
249: bad sentence 124, PPL: -11236.83984
250: good sentence 125, PPL: -6397.81592
251: bad sentence 125, PPL: -7081.16260
252: good sentence 126, PPL: -4647.76807
253: bad sentence 126, PPL: -7375.50098
254: good sentence 127, PPL: -10418.64551
255: bad sentence 127, PPL: -21978.70898
256: good sentence 128, PPL: -14780.56641
257: bad sentence 128, PPL: -18244.53320
258: good sentence 129, PPL: -9396.06738
259: bad sentence 129, PPL: -9027.04883
260: good sentence 130, PPL: -2612.62231
261: bad sentence 130, PPL: -2742.67871
262: good sentence 131, PPL: -4462.74219
263: bad sentence 131, PPL: -7082.42529
264: good sentence 132, PPL: -9385.14160
265: bad sentence 132, PPL: -10370.79492
266: good sentence 133, PPL: -1260.59363
267: bad sentence 133, PPL: -2203.83374
268: good sentence 134, PPL: -19783.90234
269: bad sentence 134, PPL: -30997.90039
270: good sentence 135, PPL: -2688.87256
271: bad sentence 135, PPL: -3887.83545
272: good sentence 136, PPL: -7808.66162
