coverb_instrument_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.54100, Average Perplexity (Good Sentences): -10288.75488, Average Perplexity (Bad Sentences): -11608.59277
0: good sentence 0, PPL: -8498.62598
1: bad sentence 0, PPL: -6589.75293
2: good sentence 1, PPL: -9761.88867
3: bad sentence 1, PPL: -16994.47266
4: good sentence 2, PPL: -4177.11719
5: bad sentence 2, PPL: -9591.11523
6: good sentence 3, PPL: -16995.98047
7: bad sentence 3, PPL: -19264.60938
8: good sentence 4, PPL: -25468.89453
9: bad sentence 4, PPL: -21215.09375
10: good sentence 5, PPL: -8962.77246
11: bad sentence 5, PPL: -12313.22754
12: good sentence 6, PPL: -18276.94141
13: bad sentence 6, PPL: -24176.71680
14: good sentence 7, PPL: -29093.82422
15: bad sentence 7, PPL: -38304.46875
16: good sentence 8, PPL: -1994.78369
17: bad sentence 8, PPL: -1686.51392
18: good sentence 9, PPL: -27753.50000
19: bad sentence 9, PPL: -34611.80469
20: good sentence 10, PPL: -16479.15039
21: bad sentence 10, PPL: -19107.27344
22: good sentence 11, PPL: -8651.63965
23: bad sentence 11, PPL: -6228.99902
24: good sentence 12, PPL: -5418.10742
25: bad sentence 12, PPL: -9525.59277
26: good sentence 13, PPL: -16517.96680
27: bad sentence 13, PPL: -5395.20312
28: good sentence 14, PPL: -11007.87207
29: bad sentence 14, PPL: -10928.64746
30: good sentence 15, PPL: -8748.87305
31: bad sentence 15, PPL: -10861.57812
32: good sentence 16, PPL: -28668.29102
33: bad sentence 16, PPL: -29566.89648
34: good sentence 17, PPL: -13426.62988
35: bad sentence 17, PPL: -11685.06738
36: good sentence 18, PPL: -4215.30225
37: bad sentence 18, PPL: -19296.29102
38: good sentence 19, PPL: -3778.13281
39: bad sentence 19, PPL: -15901.04297
40: good sentence 20, PPL: -5298.83936
41: bad sentence 20, PPL: -6281.87256
42: good sentence 21, PPL: -15863.85840
43: bad sentence 21, PPL: -16251.46191
44: good sentence 22, PPL: -15987.44043
45: bad sentence 22, PPL: -18797.53906
46: good sentence 23, PPL: -3447.91846
47: bad sentence 23, PPL: -4742.15381
48: good sentence 24, PPL: -1471.30188
49: bad sentence 24, PPL: -1926.57751
50: good sentence 25, PPL: -41282.21875
51: bad sentence 25, PPL: -56705.16406
52: good sentence 26, PPL: -7555.84424
53: bad sentence 26, PPL: -6834.67627
54: good sentence 27, PPL: -12170.36523
55: bad sentence 27, PPL: -29040.34961
56: good sentence 28, PPL: -9629.72852
57: bad sentence 28, PPL: -12627.31738
58: good sentence 29, PPL: -29872.83008
59: bad sentence 29, PPL: -12981.33398
60: good sentence 30, PPL: -95758.75781
61: bad sentence 30, PPL: -65635.45312
