coverb_with_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.73500, Average Perplexity (Good Sentences): -6982.72363, Average Perplexity (Bad Sentences): -9183.35449
0: good sentence 0, PPL: -2689.34448
1: bad sentence 0, PPL: -9523.99414
2: good sentence 1, PPL: -11637.31348
3: bad sentence 1, PPL: -11714.75781
4: good sentence 2, PPL: -25758.91602
5: bad sentence 2, PPL: -16456.95898
6: good sentence 3, PPL: -8796.86328
7: bad sentence 3, PPL: -11592.05371
8: good sentence 4, PPL: -4307.24365
9: bad sentence 4, PPL: -5384.52197
10: good sentence 5, PPL: -3868.32617
11: bad sentence 5, PPL: -7398.26904
12: good sentence 6, PPL: -13837.82520
13: bad sentence 6, PPL: -3043.16040
14: good sentence 7, PPL: -24024.15234
15: bad sentence 7, PPL: -22983.15234
16: good sentence 8, PPL: -2760.57544
17: bad sentence 8, PPL: -4518.33691
18: good sentence 9, PPL: -6495.90234
19: bad sentence 9, PPL: -15031.32031
20: good sentence 10, PPL: -6248.62158
21: bad sentence 10, PPL: -17676.93359
22: good sentence 11, PPL: -56435.36328
23: bad sentence 11, PPL: -12934.11523
24: good sentence 12, PPL: -21241.30859
25: bad sentence 12, PPL: -8252.80762
26: good sentence 13, PPL: -4270.61572
27: bad sentence 13, PPL: -4836.07666
28: good sentence 14, PPL: -11719.31738
29: bad sentence 14, PPL: -7873.62158
30: good sentence 15, PPL: -5349.49170
31: bad sentence 15, PPL: -6383.49365
32: good sentence 16, PPL: -9743.79785
33: bad sentence 16, PPL: -11188.36816
34: good sentence 17, PPL: -59684.87109
35: bad sentence 17, PPL: -68501.25000
36: good sentence 18, PPL: -2702.27515
37: bad sentence 18, PPL: -4536.92529
38: good sentence 19, PPL: -12560.19238
39: bad sentence 19, PPL: -14827.22656
40: good sentence 20, PPL: -7627.59229
41: bad sentence 20, PPL: -4677.51123
42: good sentence 21, PPL: -7913.95020
43: bad sentence 21, PPL: -9612.52344
44: good sentence 22, PPL: -2113.52148
45: bad sentence 22, PPL: -3610.85889
46: good sentence 23, PPL: -5766.93994
47: bad sentence 23, PPL: -11688.28809
48: good sentence 24, PPL: -7218.73291
49: bad sentence 24, PPL: -10736.70508
50: good sentence 25, PPL: -43466.03906
51: bad sentence 25, PPL: -18698.46875
52: good sentence 26, PPL: -3664.90723
53: bad sentence 26, PPL: -5275.22705
54: good sentence 27, PPL: -6947.20801
55: bad sentence 27, PPL: -10286.44824
56: good sentence 28, PPL: -38109.82031
57: bad sentence 28, PPL: -9056.12402
58: good sentence 29, PPL: -8323.00098
59: bad sentence 29, PPL: -8275.05566
60: good sentence 30, PPL: -23969.11133
61: bad sentence 30, PPL: -43018.43359
62: good sentence 31, PPL: -6235.42383
63: bad sentence 31, PPL: -5140.69678
64: good sentence 32, PPL: -5870.99951
65: bad sentence 32, PPL: -11589.02539
66: good sentence 33, PPL: -4066.08252
67: bad sentence 33, PPL: -5023.14014
68: good sentence 34, PPL: -7593.90771
69: bad sentence 34, PPL: -4783.04980
70: good sentence 35, PPL: -6280.63184
71: bad sentence 35, PPL: -15386.92578
72: good sentence 36, PPL: -3496.94507
73: bad sentence 36, PPL: -6603.10791
74: good sentence 37, PPL: -6363.79346
75: bad sentence 37, PPL: -11122.06934
76: good sentence 38, PPL: -14118.07324
77: bad sentence 38, PPL: -17299.42578
78: good sentence 39, PPL: -1630.54626
79: bad sentence 39, PPL: -2545.85352
80: good sentence 40, PPL: -6354.28467
81: bad sentence 40, PPL: -5700.41064
82: good sentence 41, PPL: -4132.48193
83: bad sentence 41, PPL: -6548.34961
84: good sentence 42, PPL: -2137.38379
85: bad sentence 42, PPL: -4067.81616
86: good sentence 43, PPL: -4191.17090
87: bad sentence 43, PPL: -4818.11865
88: good sentence 44, PPL: -11406.39453
89: bad sentence 44, PPL: -27780.35156
90: good sentence 45, PPL: -3650.33008
91: bad sentence 45, PPL: -2836.95801
92: good sentence 46, PPL: -1014.58362
93: bad sentence 46, PPL: -2103.94678
94: good sentence 47, PPL: -5683.69678
95: bad sentence 47, PPL: -12103.12891
96: good sentence 48, PPL: -3641.90454
97: bad sentence 48, PPL: -5825.42236
98: good sentence 49, PPL: -11747.23535
99: bad sentence 49, PPL: -14603.72852
100: good sentence 50, PPL: -6754.88867
101: bad sentence 50, PPL: -11888.75684
102: good sentence 51, PPL: -3272.91797
103: bad sentence 51, PPL: -6977.13281
104: good sentence 52, PPL: -6300.12305
105: bad sentence 52, PPL: -30280.75977
106: good sentence 53, PPL: -5029.42920
107: bad sentence 53, PPL: -6610.51758
108: good sentence 54, PPL: -10425.50293
109: bad sentence 54, PPL: -10960.52344
110: good sentence 55, PPL: -3315.95728
111: bad sentence 55, PPL: -3966.50928
112: good sentence 56, PPL: -8515.94824
113: bad sentence 56, PPL: -24675.15430
114: good sentence 57, PPL: -4136.11328
115: bad sentence 57, PPL: -3915.36597
116: good sentence 58, PPL: -16559.84375
117: bad sentence 58, PPL: -27276.04688
118: good sentence 59, PPL: -2911.00342
119: bad sentence 59, PPL: -1775.71399
120: good sentence 60, PPL: -9420.23926
121: bad sentence 60, PPL: -17280.80859
122: good sentence 61, PPL: -10680.64941
123: bad sentence 61, PPL: -8343.80762
124: good sentence 62, PPL: -3126.93237
125: bad sentence 62, PPL: -3659.56714
126: good sentence 63, PPL: -18146.09375
127: bad sentence 63, PPL: -16831.87305
128: good sentence 64, PPL: -6864.09033
129: bad sentence 64, PPL: -9237.37402
130: good sentence 65, PPL: -7754.84229
131: bad sentence 65, PPL: -23120.90430
132: good sentence 66, PPL: -4712.21973
133: bad sentence 66, PPL: -16389.23633
134: good sentence 67, PPL: -3950.03931
