filler_gap_dependency_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.91900, Average Perplexity (Good Sentences): -1684.86230, Average Perplexity (Bad Sentences): -3217.11279
0: good sentence 0, PPL: -1662.53455
1: bad sentence 0, PPL: -1449.00464
2: good sentence 1, PPL: -747.72864
3: bad sentence 1, PPL: -2413.21216
4: good sentence 2, PPL: -235.63187
5: bad sentence 2, PPL: -566.07196
6: good sentence 3, PPL: -1534.34424
7: bad sentence 3, PPL: -11406.62305
8: good sentence 4, PPL: -1541.56116
9: bad sentence 4, PPL: -1759.63428
10: good sentence 5, PPL: -1476.13171
11: bad sentence 5, PPL: -4358.36963
12: good sentence 6, PPL: -1238.68921
13: bad sentence 6, PPL: -5596.92920
14: good sentence 7, PPL: -1282.16248
15: bad sentence 7, PPL: -2705.97290
16: good sentence 8, PPL: -1605.36182
17: bad sentence 8, PPL: -2106.49780
18: good sentence 9, PPL: -5509.96826
19: bad sentence 9, PPL: -6744.01709
20: good sentence 10, PPL: -1826.44299
21: bad sentence 10, PPL: -3585.41162
22: good sentence 11, PPL: -2145.42603
23: bad sentence 11, PPL: -3587.77148
24: good sentence 12, PPL: -1363.36987
25: bad sentence 12, PPL: -2998.09839
26: good sentence 13, PPL: -1707.01587
27: bad sentence 13, PPL: -2908.57080
28: good sentence 14, PPL: -3545.05298
29: bad sentence 14, PPL: -10316.54004
30: good sentence 15, PPL: -6740.60303
31: bad sentence 15, PPL: -8359.74512
32: good sentence 16, PPL: -831.89349
33: bad sentence 16, PPL: -1357.49072
34: good sentence 17, PPL: -924.28375
35: bad sentence 17, PPL: -2528.51318
36: good sentence 18, PPL: -1217.16016
37: bad sentence 18, PPL: -2398.87769
38: good sentence 19, PPL: -1377.96509
39: bad sentence 19, PPL: -2448.87109
40: good sentence 20, PPL: -6071.27441
41: bad sentence 20, PPL: -9132.84668
42: good sentence 21, PPL: -824.55804
43: bad sentence 21, PPL: -2994.25537
44: good sentence 22, PPL: -2651.74390
45: bad sentence 22, PPL: -3479.04272
46: good sentence 23, PPL: -1445.39148
47: bad sentence 23, PPL: -2188.11841
48: good sentence 24, PPL: -2694.84497
49: bad sentence 24, PPL: -5266.74121
50: good sentence 25, PPL: -3495.11816
51: bad sentence 25, PPL: -6684.19336
52: good sentence 26, PPL: -480.70618
53: bad sentence 26, PPL: -1672.68494
54: good sentence 27, PPL: -1976.44128
55: bad sentence 27, PPL: -3965.43115
56: good sentence 28, PPL: -2619.34351
57: bad sentence 28, PPL: -3783.49463
58: good sentence 29, PPL: -4635.60742
59: bad sentence 29, PPL: -7077.83398
60: good sentence 30, PPL: -700.56329
61: bad sentence 30, PPL: -859.86621
62: good sentence 31, PPL: -1317.58972
63: bad sentence 31, PPL: -2441.37427
64: good sentence 32, PPL: -2066.06079
65: bad sentence 32, PPL: -2008.49719
66: good sentence 33, PPL: -3224.05127
67: bad sentence 33, PPL: -5772.62939
68: good sentence 34, PPL: -1428.79468
69: bad sentence 34, PPL: -1358.48535
70: good sentence 35, PPL: -2693.98560
71: bad sentence 35, PPL: -5645.88574
72: good sentence 36, PPL: -1565.24670
73: bad sentence 36, PPL: -3616.84546
74: good sentence 37, PPL: -1969.62793
75: bad sentence 37, PPL: -3245.33960
76: good sentence 38, PPL: -664.79028
77: bad sentence 38, PPL: -1564.11560
78: good sentence 39, PPL: -5311.73047
79: bad sentence 39, PPL: -8531.62109
80: good sentence 40, PPL: -773.96667
81: bad sentence 40, PPL: -2786.38623
82: good sentence 41, PPL: -3235.99072
83: bad sentence 41, PPL: -11835.55371
84: good sentence 42, PPL: -1024.47668
85: bad sentence 42, PPL: -3685.57935
86: good sentence 43, PPL: -7827.68164
87: bad sentence 43, PPL: -19659.67578
88: good sentence 44, PPL: -422.03259
89: bad sentence 44, PPL: -1266.94702
90: good sentence 45, PPL: -747.39355
91: bad sentence 45, PPL: -833.34143
92: good sentence 46, PPL: -13851.48926
93: bad sentence 46, PPL: -29115.61328
94: good sentence 47, PPL: -803.72845
95: bad sentence 47, PPL: -3675.06738
96: good sentence 48, PPL: -847.90234
97: bad sentence 48, PPL: -1559.01794
98: good sentence 49, PPL: -1218.19775
99: bad sentence 49, PPL: -2012.47473
100: good sentence 50, PPL: -1962.03125
101: bad sentence 50, PPL: -2706.74097
102: good sentence 51, PPL: -400.57877
103: bad sentence 51, PPL: -1473.88452
104: good sentence 52, PPL: -963.54193
105: bad sentence 52, PPL: -1723.37976
106: good sentence 53, PPL: -1476.40198
107: bad sentence 53, PPL: -1743.37671
108: good sentence 54, PPL: -1250.64941
109: bad sentence 54, PPL: -3786.66382
110: good sentence 55, PPL: -3804.42212
111: bad sentence 55, PPL: -6179.58740
112: good sentence 56, PPL: -727.22906
113: bad sentence 56, PPL: -1005.71216
114: good sentence 57, PPL: -847.90234
115: bad sentence 57, PPL: -1809.06946
116: good sentence 58, PPL: -1042.55835
117: bad sentence 58, PPL: -2146.18945
118: good sentence 59, PPL: -615.43420
119: bad sentence 59, PPL: -438.12357
120: good sentence 60, PPL: -2272.83154
121: bad sentence 60, PPL: -8511.27930
122: good sentence 61, PPL: -2427.00244
123: bad sentence 61, PPL: -8324.62109
124: good sentence 62, PPL: -1874.81702
125: bad sentence 62, PPL: -4343.43604
126: good sentence 63, PPL: -7161.01953
127: bad sentence 63, PPL: -7927.67529
128: good sentence 64, PPL: -1629.29187
129: bad sentence 64, PPL: -3074.97974
130: good sentence 65, PPL: -1941.70911
131: bad sentence 65, PPL: -5471.49658
132: good sentence 66, PPL: -2245.13892
133: bad sentence 66, PPL: -6617.16553
134: good sentence 67, PPL: -1084.30774
135: bad sentence 67, PPL: -1558.82922
136: good sentence 68, PPL: -1367.86890
137: bad sentence 68, PPL: -1913.09290
138: good sentence 69, PPL: -1052.88879
139: bad sentence 69, PPL: -1977.63281
140: good sentence 70, PPL: -809.14813
141: bad sentence 70, PPL: -2401.69800
142: good sentence 71, PPL: -1970.55603
143: bad sentence 71, PPL: -7691.58936
144: good sentence 72, PPL: -2610.26123
145: bad sentence 72, PPL: -3288.19507
146: good sentence 73, PPL: -973.95746
147: bad sentence 73, PPL: -1565.48633
148: good sentence 74, PPL: -747.72864
149: bad sentence 74, PPL: -2194.01953
150: good sentence 75, PPL: -1235.66052
151: bad sentence 75, PPL: -2316.30347
152: good sentence 76, PPL: -2290.52637
153: bad sentence 76, PPL: -7874.20801
154: good sentence 77, PPL: -973.21838
155: bad sentence 77, PPL: -1952.04248
156: good sentence 78, PPL: -1523.44958
157: bad sentence 78, PPL: -3572.13843
158: good sentence 79, PPL: -1263.36047
159: bad sentence 79, PPL: -6671.69824
160: good sentence 80, PPL: -1603.78943
161: bad sentence 80, PPL: -4103.91797
162: good sentence 81, PPL: -1340.25916
163: bad sentence 81, PPL: -2201.39697
164: good sentence 82, PPL: -1061.65637
165: bad sentence 82, PPL: -1725.70178
166: good sentence 83, PPL: -1749.08716
167: bad sentence 83, PPL: -2734.72974
168: good sentence 84, PPL: -1609.36963
169: bad sentence 84, PPL: -4419.90820
170: good sentence 85, PPL: -1881.28625
171: bad sentence 85, PPL: -2470.58789
172: good sentence 86, PPL: -1839.78076
173: bad sentence 86, PPL: -3663.84473
174: good sentence 87, PPL: -1514.92834
175: bad sentence 87, PPL: -2202.64453
176: good sentence 88, PPL: -961.72827
177: bad sentence 88, PPL: -1288.04285
178: good sentence 89, PPL: -888.36017
179: bad sentence 89, PPL: -1344.79480
180: good sentence 90, PPL: -389.99081
181: bad sentence 90, PPL: -300.47961
182: good sentence 91, PPL: -2387.27148
183: bad sentence 91, PPL: -3540.83301
184: good sentence 92, PPL: -1997.27649
185: bad sentence 92, PPL: -1974.53284
186: good sentence 93, PPL: -2834.91895
187: bad sentence 93, PPL: -5515.42529
188: good sentence 94, PPL: -1476.12463
189: bad sentence 94, PPL: -2767.99658
190: good sentence 95, PPL: -4033.64380
191: bad sentence 95, PPL: -2444.98438
192: good sentence 96, PPL: -1653.80786
193: bad sentence 96, PPL: -4516.70850
194: good sentence 97, PPL: -1749.60254
195: bad sentence 97, PPL: -1139.65002
196: good sentence 98, PPL: -6554.61621
197: bad sentence 98, PPL: -10832.29297
198: good sentence 99, PPL: -1968.44763
199: bad sentence 99, PPL: -4015.86475
200: good sentence 100, PPL: -658.66962
201: bad sentence 100, PPL: -1418.05627
202: good sentence 101, PPL: -2693.17139
203: bad sentence 101, PPL: -4318.77295
204: good sentence 102, PPL: -947.16083
205: bad sentence 102, PPL: -3192.50024
206: good sentence 103, PPL: -536.97198
207: bad sentence 103, PPL: -1609.10413
208: good sentence 104, PPL: -539.18829
209: bad sentence 104, PPL: -1112.75281
210: good sentence 105, PPL: -1713.09326
211: bad sentence 105, PPL: -1544.89465
212: good sentence 106, PPL: -3185.23218
213: bad sentence 106, PPL: -4487.97021
214: good sentence 107, PPL: -2143.23291
215: bad sentence 107, PPL: -3039.68262
216: good sentence 108, PPL: -2317.06885
217: bad sentence 108, PPL: -6823.96240
218: good sentence 109, PPL: -1408.28479
219: bad sentence 109, PPL: -2696.24365
220: good sentence 110, PPL: -2691.28931
221: bad sentence 110, PPL: -4292.35449
222: good sentence 111, PPL: -2569.52954
223: bad sentence 111, PPL: -6623.33398
224: good sentence 112, PPL: -1048.86499
225: bad sentence 112, PPL: -1659.49329
226: good sentence 113, PPL: -2152.07373
227: bad sentence 113, PPL: -3508.68726
228: good sentence 114, PPL: -2348.26538
229: bad sentence 114, PPL: -4210.93848
230: good sentence 115, PPL: -489.22125
231: bad sentence 115, PPL: -801.79987
232: good sentence 116, PPL: -2011.96729
233: bad sentence 116, PPL: -3372.64038
234: good sentence 117, PPL: -634.12811
235: bad sentence 117, PPL: -430.59518
236: good sentence 118, PPL: -15198.67383
237: bad sentence 118, PPL: -47952.14453
238: good sentence 119, PPL: -1859.41016
239: bad sentence 119, PPL: -6341.83789
240: good sentence 120, PPL: -739.36243
241: bad sentence 120, PPL: -1847.17334
242: good sentence 121, PPL: -1234.95129
243: bad sentence 121, PPL: -3217.82764
244: good sentence 122, PPL: -1902.62292
245: bad sentence 122, PPL: -4092.93481
246: good sentence 123, PPL: -1700.22949
247: bad sentence 123, PPL: -3297.10962
248: good sentence 124, PPL: -1332.27209
249: bad sentence 124, PPL: -691.13477
250: good sentence 125, PPL: -960.94672
251: bad sentence 125, PPL: -1852.06836
252: good sentence 126, PPL: -2073.34985
253: bad sentence 126, PPL: -1870.75647
254: good sentence 127, PPL: -5761.44287
255: bad sentence 127, PPL: -3833.61353
256: good sentence 128, PPL: -6795.34912
257: bad sentence 128, PPL: -8251.14648
258: good sentence 129, PPL: -1823.04785
259: bad sentence 129, PPL: -2990.45972
260: good sentence 130, PPL: -1267.56213
261: bad sentence 130, PPL: -2719.73560
262: good sentence 131, PPL: -1120.67505
263: bad sentence 131, PPL: -1932.02368
264: good sentence 132, PPL: -1721.30103
265: bad sentence 132, PPL: -2551.82593
266: good sentence 133, PPL: -900.01166
267: bad sentence 133, PPL: -3258.97070
268: good sentence 134, PPL: -6554.61621
269: bad sentence 134, PPL: -8552.96484
270: good sentence 135, PPL: -1185.75452
271: bad sentence 135, PPL: -2392.79102
272: good sentence 136, PPL: -1075.46448
273: bad sentence 136, PPL: -3555.65771
274: good sentence 137, PPL: -1059.34937
275: bad sentence 137, PPL: -2587.12646
276: good sentence 138, PPL: -1280.97827
277: bad sentence 138, PPL: -2048.98755
278: good sentence 139, PPL: -995.00964
279: bad sentence 139, PPL: -2416.16870
280: good sentence 140, PPL: -1691.80188
281: bad sentence 140, PPL: -2021.97827
282: good sentence 141, PPL: -1545.78540
283: bad sentence 141, PPL: -3288.12891
284: good sentence 142, PPL: -1712.08545
285: bad sentence 142, PPL: -5382.83301
286: good sentence 143, PPL: -830.11981
287: bad sentence 143, PPL: -246.27582
288: good sentence 144, PPL: -2826.41650
289: bad sentence 144, PPL: -6412.36572
290: good sentence 145, PPL: -2449.98193
291: bad sentence 145, PPL: -9139.14551
292: good sentence 146, PPL: -901.75275
293: bad sentence 146, PPL: -2280.48706
294: good sentence 147, PPL: -890.56390
295: bad sentence 147, PPL: -2665.65088
296: good sentence 148, PPL: -1803.22766
297: bad sentence 148, PPL: -7962.13477
298: good sentence 149, PPL: -549.07922
299: bad sentence 149, PPL: -723.93835
300: good sentence 150, PPL: -2458.82617
301: bad sentence 150, PPL: -4124.15137
302: good sentence 151, PPL: -2267.26343
303: bad sentence 151, PPL: -4638.37158
304: good sentence 152, PPL: -2571.77661
305: bad sentence 152, PPL: -3515.25879
306: good sentence 153, PPL: -3270.25977
307: bad sentence 153, PPL: -4027.09424
308: good sentence 154, PPL: -1639.06421
309: bad sentence 154, PPL: -2362.96851
310: good sentence 155, PPL: -3319.03247
311: bad sentence 155, PPL: -6503.33447
312: good sentence 156, PPL: -3499.06030
313: bad sentence 156, PPL: -8321.69141
314: good sentence 157, PPL: -1174.26648
315: bad sentence 157, PPL: -1804.62036
316: good sentence 158, PPL: -716.73834
317: bad sentence 158, PPL: -1296.54907
318: good sentence 159, PPL: -5281.95215
319: bad sentence 159, PPL: -11119.23730
320: good sentence 160, PPL: -1084.41895
321: bad sentence 160, PPL: -5856.63916
322: good sentence 161, PPL: -2687.91870
323: bad sentence 161, PPL: -3257.70898
324: good sentence 162, PPL: -808.78473
325: bad sentence 162, PPL: -1332.75183
326: good sentence 163, PPL: -2841.04639
327: bad sentence 163, PPL: -2912.74170
328: good sentence 164, PPL: -893.15167
329: bad sentence 164, PPL: -1387.68420
330: good sentence 165, PPL: -2969.80933
331: bad sentence 165, PPL: -4442.62305
332: good sentence 166, PPL: -1442.65442
333: bad sentence 166, PPL: -1322.76184
334: good sentence 167, PPL: -1776.24084
335: bad sentence 167, PPL: -3038.82471
336: good sentence 168, PPL: -2516.71191
337: bad sentence 168, PPL: -5580.38574
338: good sentence 169, PPL: -252.94514
339: bad sentence 169, PPL: -674.91290
340: good sentence 170, PPL: -2421.36938
341: bad sentence 170, PPL: -6863.50098
342: good sentence 171, PPL: -1356.17078
343: bad sentence 171, PPL: -4794.00537
344: good sentence 172, PPL: -2797.88428
345: bad sentence 172, PPL: -7347.73438
346: good sentence 173, PPL: -1721.82068
347: bad sentence 173, PPL: -3164.09351
348: good sentence 174, PPL: -1527.43408
349: bad sentence 174, PPL: -4188.10645
350: good sentence 175, PPL: -1914.41248
351: bad sentence 175, PPL: -4470.53320
352: good sentence 176, PPL: -2914.51587
353: bad sentence 176, PPL: -2245.91406
354: good sentence 177, PPL: -4764.24756
355: bad sentence 177, PPL: -13303.17578
356: good sentence 178, PPL: -905.47119
357: bad sentence 178, PPL: -5867.14893
358: good sentence 179, PPL: -756.41028
359: bad sentence 179, PPL: -1075.94812
360: good sentence 180, PPL: -1968.44763
361: bad sentence 180, PPL: -4237.27637
362: good sentence 181, PPL: -2666.98096
363: bad sentence 181, PPL: -3904.00879
364: good sentence 182, PPL: -715.20197
365: bad sentence 182, PPL: -2085.33228
366: good sentence 183, PPL: -3801.70923
367: bad sentence 183, PPL: -6477.52979
368: good sentence 184, PPL: -1546.44165
369: bad sentence 184, PPL: -2180.84790
370: good sentence 185, PPL: -3200.38013
371: bad sentence 185, PPL: -3958.10913
372: good sentence 186, PPL: -605.49738
373: bad sentence 186, PPL: -991.79041
374: good sentence 187, PPL: -1973.82104
375: bad sentence 187, PPL: -4559.51514
376: good sentence 188, PPL: -1491.43665
377: bad sentence 188, PPL: -4074.67310
378: good sentence 189, PPL: -1707.91968
379: bad sentence 189, PPL: -3076.98022
380: good sentence 190, PPL: -1163.51978
381: bad sentence 190, PPL: -1309.06482
382: good sentence 191, PPL: -6554.61621
383: bad sentence 191, PPL: -17129.31445
384: good sentence 192, PPL: -2618.95630
385: bad sentence 192, PPL: -3613.81128
386: good sentence 193, PPL: -2572.02539
387: bad sentence 193, PPL: -9282.80957
388: good sentence 194, PPL: -504.94867
389: bad sentence 194, PPL: -2013.34729
390: good sentence 195, PPL: -1611.80029
391: bad sentence 195, PPL: -2610.34473
392: good sentence 196, PPL: -1493.47205
393: bad sentence 196, PPL: -2747.22046
394: good sentence 197, PPL: -233.86653
395: bad sentence 197, PPL: -384.58365
396: good sentence 198, PPL: -1465.50781
397: bad sentence 198, PPL: -3579.90039
398: good sentence 199, PPL: -8621.92188
399: bad sentence 199, PPL: -9010.81836
400: good sentence 200, PPL: -3418.95996
401: bad sentence 200, PPL: -6051.38916
402: good sentence 201, PPL: -1902.62292
403: bad sentence 201, PPL: -4275.39160
404: good sentence 202, PPL: -1447.47778
405: bad sentence 202, PPL: -3559.65112
406: good sentence 203, PPL: -6296.01465
407: bad sentence 203, PPL: -12712.46680
408: good sentence 204, PPL: -1525.42029
409: bad sentence 204, PPL: -4347.21924
410: good sentence 205, PPL: -4033.64380
411: bad sentence 205, PPL: -7823.99512
412: good sentence 206, PPL: -1157.94019
413: bad sentence 206, PPL: -1990.92273
414: good sentence 207, PPL: -1618.62732
415: bad sentence 207, PPL: -3139.14697
416: good sentence 208, PPL: -4128.14551
417: bad sentence 208, PPL: -6783.41602
418: good sentence 209, PPL: -6554.61621
419: bad sentence 209, PPL: -8491.27051
420: good sentence 210, PPL: -1011.19452
421: bad sentence 210, PPL: -1441.04285
422: good sentence 211, PPL: -440.54062
423: bad sentence 211, PPL: -2492.08423
424: good sentence 212, PPL: -255.23589
425: bad sentence 212, PPL: -831.74707
426: good sentence 213, PPL: -490.23541
427: bad sentence 213, PPL: -841.73529
428: good sentence 214, PPL: -1924.63464
429: bad sentence 214, PPL: -6230.31787
430: good sentence 215, PPL: -2760.30298
431: bad sentence 215, PPL: -5453.79932
432: good sentence 216, PPL: -738.98212
433: bad sentence 216, PPL: -969.34192
434: good sentence 217, PPL: -1104.76941
435: bad sentence 217, PPL: -1576.54993
436: good sentence 218, PPL: -1993.53418
437: bad sentence 218, PPL: -9189.34668
438: good sentence 219, PPL: -1062.54358
439: bad sentence 219, PPL: -1168.05432
440: good sentence 220, PPL: -1310.97693
441: bad sentence 220, PPL: -3699.42212
442: good sentence 221, PPL: -880.12390
443: bad sentence 221, PPL: -1619.73596
444: good sentence 222, PPL: -2398.87207
445: bad sentence 222, PPL: -2152.14868
446: good sentence 223, PPL: -8476.48047
447: bad sentence 223, PPL: -6834.80664
448: good sentence 224, PPL: -1363.36987
449: bad sentence 224, PPL: -2310.67847
450: good sentence 225, PPL: -3197.08276
451: bad sentence 225, PPL: -7295.72852
452: good sentence 226, PPL: -399.25378
453: bad sentence 226, PPL: -766.16608
454: good sentence 227, PPL: -3293.01831
455: bad sentence 227, PPL: -5645.78906
456: good sentence 228, PPL: -1792.16638
457: bad sentence 228, PPL: -1813.68872
458: good sentence 229, PPL: -1980.58203
459: bad sentence 229, PPL: -1647.49548
460: good sentence 230, PPL: -4072.08569
461: bad sentence 230, PPL: -7102.27734
462: good sentence 231, PPL: -2236.99927
463: bad sentence 231, PPL: -4065.91577
464: good sentence 232, PPL: -2820.66748
465: bad sentence 232, PPL: -4956.42969
466: good sentence 233, PPL: -880.12390
467: bad sentence 233, PPL: -2167.50220
468: good sentence 234, PPL: -1498.65100
469: bad sentence 234, PPL: -3995.64819
470: good sentence 235, PPL: -833.96350
471: bad sentence 235, PPL: -5932.68066
