head_final_clause_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.65600, Average Perplexity (Good Sentences): -6615.79004, Average Perplexity (Bad Sentences): -7186.88770
0: good sentence 0, PPL: -7915.64062
1: bad sentence 0, PPL: -10872.20020
2: good sentence 1, PPL: -17964.65820
3: bad sentence 1, PPL: -32268.54883
4: good sentence 2, PPL: -3770.60620
5: bad sentence 2, PPL: -4384.90137
6: good sentence 3, PPL: -11718.37793
7: bad sentence 3, PPL: -10033.30176
8: good sentence 4, PPL: -5050.87646
9: bad sentence 4, PPL: -5878.61963
10: good sentence 5, PPL: -7889.87256
11: bad sentence 5, PPL: -5049.13281
12: good sentence 6, PPL: -2868.99243
13: bad sentence 6, PPL: -3426.71582
14: good sentence 7, PPL: -7432.96484
15: bad sentence 7, PPL: -10355.30762
16: good sentence 8, PPL: -3357.33960
17: bad sentence 8, PPL: -2853.42554
18: good sentence 9, PPL: -13577.73730
19: bad sentence 9, PPL: -18651.29102
20: good sentence 10, PPL: -6409.49268
21: bad sentence 10, PPL: -6290.73926
22: good sentence 11, PPL: -11606.67773
23: bad sentence 11, PPL: -19324.72461
24: good sentence 12, PPL: -1897.18811
25: bad sentence 12, PPL: -2042.66711
26: good sentence 13, PPL: -6994.10693
27: bad sentence 13, PPL: -7034.15576
28: good sentence 14, PPL: -24478.81055
29: bad sentence 14, PPL: -27834.15820
30: good sentence 15, PPL: -5040.96338
31: bad sentence 15, PPL: -7004.01270
32: good sentence 16, PPL: -4133.75146
33: bad sentence 16, PPL: -3470.16211
34: good sentence 17, PPL: -5962.42480
35: bad sentence 17, PPL: -7091.83398
36: good sentence 18, PPL: -21279.99609
37: bad sentence 18, PPL: -28809.57812
38: good sentence 19, PPL: -6335.15771
39: bad sentence 19, PPL: -7110.70166
40: good sentence 20, PPL: -11207.76074
41: bad sentence 20, PPL: -11666.07129
42: good sentence 21, PPL: -12159.58789
43: bad sentence 21, PPL: -9009.15918
44: good sentence 22, PPL: -6325.78223
