passive_formal_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.61600, Average Perplexity (Good Sentences): -3112.07227, Average Perplexity (Bad Sentences): -3596.30811
0: good sentence 0, PPL: -1991.89893
1: bad sentence 0, PPL: -1978.52417
2: good sentence 1, PPL: -16162.83496
3: bad sentence 1, PPL: -3269.85742
4: good sentence 2, PPL: -1617.88574
5: bad sentence 2, PPL: -2372.11646
6: good sentence 3, PPL: -8774.62598
7: bad sentence 3, PPL: -13546.96582
8: good sentence 4, PPL: -11847.94238
9: bad sentence 4, PPL: -7469.14844
10: good sentence 5, PPL: -1906.61621
11: bad sentence 5, PPL: -1834.43896
12: good sentence 6, PPL: -3804.28418
13: bad sentence 6, PPL: -5129.97119
14: good sentence 7, PPL: -1820.12769
15: bad sentence 7, PPL: -4140.08740
16: good sentence 8, PPL: -759.40479
17: bad sentence 8, PPL: -1070.52710
18: good sentence 9, PPL: -2112.17847
19: bad sentence 9, PPL: -3370.66309
20: good sentence 10, PPL: -625.19531
21: bad sentence 10, PPL: -1538.36902
22: good sentence 11, PPL: -5218.52441
23: bad sentence 11, PPL: -2230.52319
24: good sentence 12, PPL: -1665.75476
25: bad sentence 12, PPL: -1963.18799
26: good sentence 13, PPL: -4183.26855
27: bad sentence 13, PPL: -5926.21729
28: good sentence 14, PPL: -1604.04492
29: bad sentence 14, PPL: -1924.81079
30: good sentence 15, PPL: -2121.14185
31: bad sentence 15, PPL: -2364.65601
32: good sentence 16, PPL: -1625.81958
33: bad sentence 16, PPL: -5436.52783
34: good sentence 17, PPL: -2077.75806
35: bad sentence 17, PPL: -9074.52148
36: good sentence 18, PPL: -5576.51270
37: bad sentence 18, PPL: -3840.11572
38: good sentence 19, PPL: -3994.80249
39: bad sentence 19, PPL: -5843.24365
40: good sentence 20, PPL: -4585.91113
41: bad sentence 20, PPL: -9744.30957
42: good sentence 21, PPL: -5474.33594
43: bad sentence 21, PPL: -2293.02344
44: good sentence 22, PPL: -3316.80811
45: bad sentence 22, PPL: -1516.33044
46: good sentence 23, PPL: -2556.54663
47: bad sentence 23, PPL: -3408.22339
48: good sentence 24, PPL: -9494.15820
49: bad sentence 24, PPL: -24371.21875
50: good sentence 25, PPL: -2413.40894
51: bad sentence 25, PPL: -3251.93237
52: good sentence 26, PPL: -2884.48340
53: bad sentence 26, PPL: -4705.03516
54: good sentence 27, PPL: -8480.95215
55: bad sentence 27, PPL: -17649.07422
56: good sentence 28, PPL: -11000.82031
57: bad sentence 28, PPL: -13752.76953
58: good sentence 29, PPL: -2976.27686
59: bad sentence 29, PPL: -1917.15759
60: good sentence 30, PPL: -15636.57129
61: bad sentence 30, PPL: -19515.31641
62: good sentence 31, PPL: -2071.04175
63: bad sentence 31, PPL: -4772.80664
64: good sentence 32, PPL: -3347.02930
65: bad sentence 32, PPL: -4859.75732
66: good sentence 33, PPL: -2131.71777
67: bad sentence 33, PPL: -510.33960
68: good sentence 34, PPL: -8750.47461
69: bad sentence 34, PPL: -3716.86694
70: good sentence 35, PPL: -7982.97510
71: bad sentence 35, PPL: -2336.72461
72: good sentence 36, PPL: -478.87869
73: bad sentence 36, PPL: -651.96411
74: good sentence 37, PPL: -18329.39453
75: bad sentence 37, PPL: -7739.71143
76: good sentence 38, PPL: -478.64240
77: bad sentence 38, PPL: -258.45901
78: good sentence 39, PPL: -1865.98206
79: bad sentence 39, PPL: -986.28534
80: good sentence 40, PPL: -20321.20703
81: bad sentence 40, PPL: -5939.77441
82: good sentence 41, PPL: -997.69531
83: bad sentence 41, PPL: -2088.07666
84: good sentence 42, PPL: -1048.79541
85: bad sentence 42, PPL: -2311.70020
86: good sentence 43, PPL: -1842.37219
87: bad sentence 43, PPL: -1061.18359
88: good sentence 44, PPL: -820.08759
89: bad sentence 44, PPL: -674.25793
90: good sentence 45, PPL: -2446.83423
91: bad sentence 45, PPL: -1011.09564
92: good sentence 46, PPL: -2653.37305
93: bad sentence 46, PPL: -3624.08936
94: good sentence 47, PPL: -5285.69141
95: bad sentence 47, PPL: -5656.36279
96: good sentence 48, PPL: -1690.57202
97: bad sentence 48, PPL: -1237.88147
98: good sentence 49, PPL: -28646.78320
99: bad sentence 49, PPL: -12061.62598
100: good sentence 50, PPL: -3818.20142
101: bad sentence 50, PPL: -1788.90662
102: good sentence 51, PPL: -1771.46277
103: bad sentence 51, PPL: -5628.01123
104: good sentence 52, PPL: -1217.47827
105: bad sentence 52, PPL: -1415.90771
106: good sentence 53, PPL: -3774.59277
107: bad sentence 53, PPL: -2999.31372
108: good sentence 54, PPL: -26548.27148
109: bad sentence 54, PPL: -27214.25977
110: good sentence 55, PPL: -1314.64026
111: bad sentence 55, PPL: -3395.69360
112: good sentence 56, PPL: -7281.56934
113: bad sentence 56, PPL: -10243.79590
114: good sentence 57, PPL: -1374.85474
115: bad sentence 57, PPL: -1955.04944
116: good sentence 58, PPL: -2533.19067
