verb_complement_direction_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.80100, Average Perplexity (Good Sentences): -5999.68896, Average Perplexity (Bad Sentences): -9267.07422
0: good sentence 0, PPL: -8510.41992
1: bad sentence 0, PPL: -7680.74805
2: good sentence 1, PPL: -11691.20898
3: bad sentence 1, PPL: -15397.65723
4: good sentence 2, PPL: -6346.57520
5: bad sentence 2, PPL: -26036.76562
6: good sentence 3, PPL: -5353.00781
7: bad sentence 3, PPL: -6260.41357
8: good sentence 4, PPL: -7858.34863
9: bad sentence 4, PPL: -8138.43018
10: good sentence 5, PPL: -2431.47363
11: bad sentence 5, PPL: -8096.09326
12: good sentence 6, PPL: -4562.59033
13: bad sentence 6, PPL: -4859.87793
14: good sentence 7, PPL: -3403.82544
15: bad sentence 7, PPL: -3584.95679
16: good sentence 8, PPL: -11201.45703
17: bad sentence 8, PPL: -22781.12305
18: good sentence 9, PPL: -6218.57031
19: bad sentence 9, PPL: -6657.10596
20: good sentence 10, PPL: -106016.00781
21: bad sentence 10, PPL: -139788.26562
22: good sentence 11, PPL: -3803.97949
23: bad sentence 11, PPL: -5240.80762
24: good sentence 12, PPL: -2398.49805
25: bad sentence 12, PPL: -5014.89307
26: good sentence 13, PPL: -28860.88867
27: bad sentence 13, PPL: -21827.14258
28: good sentence 14, PPL: -1222.22705
29: bad sentence 14, PPL: -1196.87817
30: good sentence 15, PPL: -11199.09668
31: bad sentence 15, PPL: -28468.42383
32: good sentence 16, PPL: -26702.19336
33: bad sentence 16, PPL: -22213.87500
34: good sentence 17, PPL: -4652.51758
35: bad sentence 17, PPL: -10916.49121
36: good sentence 18, PPL: -3532.09766
37: bad sentence 18, PPL: -3000.90186
38: good sentence 19, PPL: -12165.24902
39: bad sentence 19, PPL: -12277.17090
40: good sentence 20, PPL: -13366.73633
41: bad sentence 20, PPL: -15069.41406
42: good sentence 21, PPL: -5313.51367
43: bad sentence 21, PPL: -17413.43945
44: good sentence 22, PPL: -6382.66602
45: bad sentence 22, PPL: -9890.58789
46: good sentence 23, PPL: -13792.64746
47: bad sentence 23, PPL: -16612.96094
48: good sentence 24, PPL: -5832.09229
49: bad sentence 24, PPL: -7467.60986
50: good sentence 25, PPL: -3271.70728
51: bad sentence 25, PPL: -12700.25195
52: good sentence 26, PPL: -949.99725
53: bad sentence 26, PPL: -833.59332
54: good sentence 27, PPL: -5537.19189
55: bad sentence 27, PPL: -5278.04492
56: good sentence 28, PPL: -19051.26758
57: bad sentence 28, PPL: -26462.85742
58: good sentence 29, PPL: -9148.71191
59: bad sentence 29, PPL: -7007.12598
60: good sentence 30, PPL: -822.34467
61: bad sentence 30, PPL: -1165.63281
62: good sentence 31, PPL: -19385.71289
63: bad sentence 31, PPL: -40908.87891
64: good sentence 32, PPL: -16359.09766
65: bad sentence 32, PPL: -15052.52246
66: good sentence 33, PPL: -1208.06604
67: bad sentence 33, PPL: -2314.95972
68: good sentence 34, PPL: -5842.13477
69: bad sentence 34, PPL: -15048.93359
70: good sentence 35, PPL: -1075.83936
71: bad sentence 35, PPL: -1611.61658
72: good sentence 36, PPL: -3450.85278
73: bad sentence 36, PPL: -2996.62061
74: good sentence 37, PPL: -958.95825
75: bad sentence 37, PPL: -2607.00366
76: good sentence 38, PPL: -30663.62695
77: bad sentence 38, PPL: -62673.40625
78: good sentence 39, PPL: -6931.88672
79: bad sentence 39, PPL: -9541.04004
80: good sentence 40, PPL: -6428.48145
81: bad sentence 40, PPL: -12081.34570
82: good sentence 41, PPL: -4808.53857
83: bad sentence 41, PPL: -5058.04395
84: good sentence 42, PPL: -4113.96533
85: bad sentence 42, PPL: -7352.29053
86: good sentence 43, PPL: -2122.12744
87: bad sentence 43, PPL: -8665.08203
88: good sentence 44, PPL: -8951.53906
89: bad sentence 44, PPL: -10012.60742
90: good sentence 45, PPL: -4042.12329
91: bad sentence 45, PPL: -10757.44922
92: good sentence 46, PPL: -11651.96094
93: bad sentence 46, PPL: -11021.50684
94: good sentence 47, PPL: -5392.66699
95: bad sentence 47, PPL: -16320.87305
96: good sentence 48, PPL: -11970.19238
97: bad sentence 48, PPL: -17179.85156
98: good sentence 49, PPL: -1001.04926
99: bad sentence 49, PPL: -2526.27148
100: good sentence 50, PPL: -548.02039
101: bad sentence 50, PPL: -6680.71387
102: good sentence 51, PPL: -8929.31934
103: bad sentence 51, PPL: -14071.12207
104: good sentence 52, PPL: -2328.16284
105: bad sentence 52, PPL: -3186.92432
106: good sentence 53, PPL: -8900.77051
107: bad sentence 53, PPL: -17485.32617
108: good sentence 54, PPL: -8510.94727
109: bad sentence 54, PPL: -12976.13477
110: good sentence 55, PPL: -31328.61914
111: bad sentence 55, PPL: -41250.42188
112: good sentence 56, PPL: -6585.83838
113: bad sentence 56, PPL: -12385.88184
114: good sentence 57, PPL: -9263.08887
115: bad sentence 57, PPL: -27183.34180
116: good sentence 58, PPL: -5901.04785
117: bad sentence 58, PPL: -10741.00684
118: good sentence 59, PPL: -2784.47632
119: bad sentence 59, PPL: -4867.07178
120: good sentence 60, PPL: -7858.34863
121: bad sentence 60, PPL: -9973.33398
122: good sentence 61, PPL: -9470.99023
123: bad sentence 61, PPL: -21431.17578
124: good sentence 62, PPL: -8727.99805
125: bad sentence 62, PPL: -14809.70312
126: good sentence 63, PPL: -4573.66455
127: bad sentence 63, PPL: -8573.26660
128: good sentence 64, PPL: -7171.08643
129: bad sentence 64, PPL: -7409.46777
130: good sentence 65, PPL: -8792.64453
131: bad sentence 65, PPL: -9022.96875
132: good sentence 66, PPL: -736.50104
133: bad sentence 66, PPL: -15506.92773
134: good sentence 67, PPL: -3341.84644
135: bad sentence 67, PPL: -3675.20068
136: good sentence 68, PPL: -1221.92114
137: bad sentence 68, PPL: -1729.31567
138: good sentence 69, PPL: -26736.33984
139: bad sentence 69, PPL: -38015.95312
140: good sentence 70, PPL: -10064.81250
141: bad sentence 70, PPL: -10158.96094
142: good sentence 71, PPL: -5137.67285
143: bad sentence 71, PPL: -27937.76953
144: good sentence 72, PPL: -16404.82617
145: bad sentence 72, PPL: -45746.26562
146: good sentence 73, PPL: -3066.15356
147: bad sentence 73, PPL: -4759.38867
148: good sentence 74, PPL: -3381.22632
149: bad sentence 74, PPL: -5476.86816
150: good sentence 75, PPL: -4796.65283
151: bad sentence 75, PPL: -7289.64355
152: good sentence 76, PPL: -2212.43506
153: bad sentence 76, PPL: -2573.07300
154: good sentence 77, PPL: -2012.22729
155: bad sentence 77, PPL: -3453.94775
156: good sentence 78, PPL: -15732.57031
157: bad sentence 78, PPL: -11975.19336
158: good sentence 79, PPL: -10105.91992
159: bad sentence 79, PPL: -14791.93262
160: good sentence 80, PPL: -13592.27246
161: bad sentence 80, PPL: -15884.73340
162: good sentence 81, PPL: -4404.19678
163: bad sentence 81, PPL: -3574.96021
