verb_complement_res_adj_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.59300, Average Perplexity (Good Sentences): -4566.08594, Average Perplexity (Bad Sentences): -4783.75195
0: good sentence 0, PPL: -10123.26367
1: bad sentence 0, PPL: -5061.24805
2: good sentence 1, PPL: -3760.55835
3: bad sentence 1, PPL: -4907.17725
4: good sentence 2, PPL: -5059.95508
5: bad sentence 2, PPL: -5639.16992
6: good sentence 3, PPL: -34777.77344
7: bad sentence 3, PPL: -23401.30078
8: good sentence 4, PPL: -7107.51465
9: bad sentence 4, PPL: -8835.65625
10: good sentence 5, PPL: -1984.02637
11: bad sentence 5, PPL: -2534.62256
12: good sentence 6, PPL: -244.03416
13: bad sentence 6, PPL: -731.85052
14: good sentence 7, PPL: -6351.57031
15: bad sentence 7, PPL: -13816.39551
16: good sentence 8, PPL: -5614.13770
17: bad sentence 8, PPL: -4261.45361
18: good sentence 9, PPL: -2997.34937
19: bad sentence 9, PPL: -2624.60425
20: good sentence 10, PPL: -9561.37988
21: bad sentence 10, PPL: -10679.40625
22: good sentence 11, PPL: -986.90442
23: bad sentence 11, PPL: -2310.50220
24: good sentence 12, PPL: -5320.00928
25: bad sentence 12, PPL: -12108.82129
26: good sentence 13, PPL: -35025.83984
27: bad sentence 13, PPL: -35862.09766
28: good sentence 14, PPL: -4419.48682
29: bad sentence 14, PPL: -6693.61523
30: good sentence 15, PPL: -8344.77832
31: bad sentence 15, PPL: -14845.77539
32: good sentence 16, PPL: -23264.58398
33: bad sentence 16, PPL: -31456.60547
34: good sentence 17, PPL: -2767.48169
35: bad sentence 17, PPL: -3588.91455
36: good sentence 18, PPL: -5854.35498
37: bad sentence 18, PPL: -5475.23389
38: good sentence 19, PPL: -5686.86865
39: bad sentence 19, PPL: -3915.87012
40: good sentence 20, PPL: -2750.00708
41: bad sentence 20, PPL: -2225.73364
42: good sentence 21, PPL: -7072.26123
43: bad sentence 21, PPL: -4572.79199
44: good sentence 22, PPL: -5774.25928
45: bad sentence 22, PPL: -6626.10791
46: good sentence 23, PPL: -1774.56470
47: bad sentence 23, PPL: -2232.01050
48: good sentence 24, PPL: -1712.63904
49: bad sentence 24, PPL: -2572.29150
50: good sentence 25, PPL: -7214.12842
51: bad sentence 25, PPL: -6757.95605
52: good sentence 26, PPL: -7130.31299
53: bad sentence 26, PPL: -10534.92383
54: good sentence 27, PPL: -839.26923
55: bad sentence 27, PPL: -853.70331
56: good sentence 28, PPL: -8533.21582
57: bad sentence 28, PPL: -11624.02441
58: good sentence 29, PPL: -10580.46484
59: bad sentence 29, PPL: -10853.15918
60: good sentence 30, PPL: -9541.06738
61: bad sentence 30, PPL: -8145.22412
62: good sentence 31, PPL: -5145.17432
63: bad sentence 31, PPL: -4194.68213
64: good sentence 32, PPL: -4540.77344
65: bad sentence 32, PPL: -3131.30713
66: good sentence 33, PPL: -22899.07422
67: bad sentence 33, PPL: -45473.58594
68: good sentence 34, PPL: -35087.52734
69: bad sentence 34, PPL: -63206.05859
70: good sentence 35, PPL: -6148.07959
71: bad sentence 35, PPL: -6818.58887
72: good sentence 36, PPL: -1982.79785
73: bad sentence 36, PPL: -3608.46655
74: good sentence 37, PPL: -976.44446
75: bad sentence 37, PPL: -1070.00037
76: good sentence 38, PPL: -3434.78735
77: bad sentence 38, PPL: -5845.06641
78: good sentence 39, PPL: -3389.11328
