AlternativeQuestion
	haishi_ma
Model: baichuan-inc/Baichuan-7B, Accuracy: 26.60000, Average Perplexity (Good Sentences): -594.95111, Average Perplexity (Bad Sentences): -499.76050
0: good sentence 0, PPL: -100.32970
1: bad sentence 0, PPL: -126.82362
2: good sentence 1, PPL: -632.33813
3: bad sentence 1, PPL: -598.00409
4: good sentence 2, PPL: -165.34641
5: bad sentence 2, PPL: -170.40263
6: good sentence 3, PPL: -277.31686
7: bad sentence 3, PPL: -249.49983
8: good sentence 4, PPL: -1620.95593
9: bad sentence 4, PPL: -1450.76550
10: good sentence 5, PPL: -54.38705
11: bad sentence 5, PPL: -75.61192
12: good sentence 6, PPL: -1079.42041
13: bad sentence 6, PPL: -993.97815
14: good sentence 7, PPL: -1035.00110
15: bad sentence 7, PPL: -681.43018
16: good sentence 8, PPL: -668.02362
17: bad sentence 8, PPL: -426.51495
18: good sentence 9, PPL: -243.77899
19: bad sentence 9, PPL: -263.84497
20: good sentence 10, PPL: -112.50914
21: bad sentence 10, PPL: -97.87481
22: good sentence 11, PPL: -64.85997
23: bad sentence 11, PPL: -89.17583
24: good sentence 12, PPL: -1934.00903
25: bad sentence 12, PPL: -1079.83887
26: good sentence 13, PPL: -1046.95374
27: bad sentence 13, PPL: -1040.31860
28: good sentence 14, PPL: -4052.68408
29: bad sentence 14, PPL: -2869.27271
30: good sentence 15, PPL: -3024.56494
31: bad sentence 15, PPL: -1576.13208
32: good sentence 16, PPL: -693.18140
33: bad sentence 16, PPL: -581.63428
34: good sentence 17, PPL: -379.75165
35: bad sentence 17, PPL: -419.08530
36: good sentence 18, PPL: -72.65781
37: bad sentence 18, PPL: -80.03896
38: good sentence 19, PPL: -1888.55566
39: bad sentence 19, PPL: -1443.58411
40: good sentence 20, PPL: -953.29486
41: bad sentence 20, PPL: -869.98334
42: good sentence 21, PPL: -464.13629
43: bad sentence 21, PPL: -466.17334
44: good sentence 22, PPL: -491.73239
45: bad sentence 22, PPL: -330.09732
46: good sentence 23, PPL: -244.95694
47: bad sentence 23, PPL: -234.28745
48: good sentence 24, PPL: -759.10394
49: bad sentence 24, PPL: -589.94208
50: good sentence 25, PPL: -347.49307
51: bad sentence 25, PPL: -305.69244
52: good sentence 26, PPL: -4828.75830
53: bad sentence 26, PPL: -2229.54712
54: good sentence 27, PPL: -6700.14258
55: bad sentence 27, PPL: -3448.36890
56: good sentence 28, PPL: -229.28683
57: bad sentence 28, PPL: -227.42462
58: good sentence 29, PPL: -3932.46753
59: bad sentence 29, PPL: -2031.85486
60: good sentence 30, PPL: -415.80850
61: bad sentence 30, PPL: -380.28568
62: good sentence 31, PPL: -722.34497
63: bad sentence 31, PPL: -456.76669
64: good sentence 32, PPL: -1382.61572
65: bad sentence 32, PPL: -1168.54456
66: good sentence 33, PPL: -43.85392
67: bad sentence 33, PPL: -55.81993
68: good sentence 34, PPL: -182.56541
69: bad sentence 34, PPL: -217.19603
70: good sentence 35, PPL: -980.34650
71: bad sentence 35, PPL: -610.84460
72: good sentence 36, PPL: -372.98685
73: bad sentence 36, PPL: -434.49811
